khoi,nam_hoc,tong_diem,so_hoc_sinh
C07,2025,5.7,1
C07,2025,6.85,1
C07,2025,8.0,1
C07,2025,8.1,1
C07,2025,8.25,1
C07,2025,8.35,1
C07,2025,8.5,1
C07,2025,8.55,2
C07,2025,8.6,1
C07,2025,8.7,1
C07,2025,8.75,1
C07,2025,8.85,1
C07,2025,9.1,1
C07,2025,9.2,4
C07,2025,9.35,1
C07,2025,9.5,1
C07,2025,9.55,1
C07,2025,9.6,1
C07,2025,9.7,4
C07,2025,9.75,1
C07,2025,9.8,1
C07,2025,9.85,4
C07,2025,9.9,1
C07,2025,9.95,2
C07,2025,10.0,2
C07,2025,10.05,2
C07,2025,10.1,3
C07,2025,10.15,1
C07,2025,10.2,4
C07,2025,10.25,3
C07,2025,10.3,1
C07,2025,10.35,3
C07,2025,10.45,2
C07,2025,10.5,2
C07,2025,10.55,3
C07,2025,10.6,4
C07,2025,10.65,1
C07,2025,10.7,3
C07,2025,10.75,9
C07,2025,10.8,2
C07,2025,10.85,7
C07,2025,10.899999999999999,1
C07,2025,10.95,9
C07,2025,11.049999999999999,1
C07,2025,11.05,5
C07,2025,11.1,9
C07,2025,11.149999999999999,1
C07,2025,11.2,6
C07,2025,11.25,6
C07,2025,11.3,3
C07,2025,11.35,9
C07,2025,11.399999999999999,2
C07,2025,11.45,15
C07,2025,11.5,7
C07,2025,11.549999999999999,1
C07,2025,11.55,4
C07,2025,11.6,12
C07,2025,11.649999999999999,2
C07,2025,11.65,1
C07,2025,11.7,5
C07,2025,11.75,5
C07,2025,11.799999999999999,1
C07,2025,11.8,4
C07,2025,11.85,16
C07,2025,11.899999999999999,1
C07,2025,11.95,14
C07,2025,12.0,10
C07,2025,12.05,6
C07,2025,12.1,11
C07,2025,12.149999999999999,2
C07,2025,12.2,17
C07,2025,12.25,8
C07,2025,12.299999999999999,2
C07,2025,12.3,3
C07,2025,12.35,34
C07,2025,12.45,24
C07,2025,12.5,8
C07,2025,12.549999999999999,3
C07,2025,12.55,5
C07,2025,12.6,25
C07,2025,12.62,1
C07,2025,12.649999999999999,1
C07,2025,12.65,1
C07,2025,12.7,31
C07,2025,12.75,18
C07,2025,12.799999999999999,4
C07,2025,12.8,1
C07,2025,12.85,31
C07,2025,12.95,24
C07,2025,13.0,21
C07,2025,13.03,1
C07,2025,13.049999999999999,2
C07,2025,13.05,6
C07,2025,13.1,30
C07,2025,13.149999999999999,1
C07,2025,13.15,1
C07,2025,13.2,39
C07,2025,13.25,33
C07,2025,13.299999999999999,2
C07,2025,13.3,7
C07,2025,13.35,57
C07,2025,13.399999999999999,1
C07,2025,13.4,1
C07,2025,13.45,29
C07,2025,13.5,43
C07,2025,13.549999999999999,4
C07,2025,13.55,8
C07,2025,13.6,66
C07,2025,13.649999999999999,1
C07,2025,13.7,42
C07,2025,13.75,29
C07,2025,13.77,1
C07,2025,13.799999999999999,2
C07,2025,13.8,7
C07,2025,13.85,59
C07,2025,13.870000000000001,2
C07,2025,13.899999999999999,1
C07,2025,13.9,1
C07,2025,13.95,46
C07,2025,14.0,28
C07,2025,14.049999999999999,7
C07,2025,14.05,8
C07,2025,14.1,92
C07,2025,14.149999999999999,4
C07,2025,14.18,1
C07,2025,14.2,33
C07,2025,14.25,52
C07,2025,14.299999999999999,7
C07,2025,14.3,8
C07,2025,14.35,85
C07,2025,14.399999999999999,1
C07,2025,14.45,56
C07,2025,14.5,70
C07,2025,14.52,3
C07,2025,14.549999999999999,7
C07,2025,14.55,10
C07,2025,14.6,88
C07,2025,14.649999999999999,2
C07,2025,14.65,2
C07,2025,14.68,1
C07,2025,14.7,58
C07,2025,14.75,72
C07,2025,14.78,1
C07,2025,14.799999999999999,3
C07,2025,14.8,9
C07,2025,14.85,121
C07,2025,14.899999999999999,1
C07,2025,14.9,1
C07,2025,14.95,65
C07,2025,15.0,84
C07,2025,15.049999999999999,6
C07,2025,15.05,11
C07,2025,15.1,114
C07,2025,15.149999999999999,4
C07,2025,15.2,54
C07,2025,15.25,93
C07,2025,15.299999999999999,12
C07,2025,15.3,10
C07,2025,15.35,110
C07,2025,15.399999999999999,2
C07,2025,15.4,1
C07,2025,15.45,61
C07,2025,15.5,110
C07,2025,15.52,2
C07,2025,15.549999999999999,8
C07,2025,15.55,9
C07,2025,15.6,156
C07,2025,15.649999999999999,3
C07,2025,15.68,2
C07,2025,15.7,63
C07,2025,15.75,115
C07,2025,15.799999999999999,12
C07,2025,15.8,9
C07,2025,15.85,140
C07,2025,15.899999999999999,1
C07,2025,15.9,1
C07,2025,15.95,76
C07,2025,16.0,141
C07,2025,16.049999999999997,6
C07,2025,16.05,12
C07,2025,16.1,161
C07,2025,16.15,1
C07,2025,16.17,1
C07,2025,16.2,67
C07,2025,16.25,161
C07,2025,16.299999999999997,5
C07,2025,16.3,10
C07,2025,16.35,171
C07,2025,16.38,1
C07,2025,16.45,61
C07,2025,16.5,154
C07,2025,16.549999999999997,5
C07,2025,16.55,8
C07,2025,16.6,185
C07,2025,16.7,92
C07,2025,16.75,171
C07,2025,16.799999999999997,8
C07,2025,16.8,12
C07,2025,16.85,219
C07,2025,16.9,1
C07,2025,16.92,2
C07,2025,16.95,65
C07,2025,17.0,179
C07,2025,17.049999999999997,1
C07,2025,17.05,9
C07,2025,17.1,210
C07,2025,17.15,1
C07,2025,17.17,1
C07,2025,17.18,2
C07,2025,17.2,71
C07,2025,17.25,209
C07,2025,17.299999999999997,10
C07,2025,17.3,11
C07,2025,17.33,3
C07,2025,17.35,218
C07,2025,17.42,1
C07,2025,17.45,56
C07,2025,17.5,244
C07,2025,17.549999999999997,5
C07,2025,17.55,2
C07,2025,17.58,1
C07,2025,17.6,202
C07,2025,17.68,1
C07,2025,17.7,60
C07,2025,17.75,282
C07,2025,17.759999999999998,1
C07,2025,17.799999999999997,10
C07,2025,17.8,4
C07,2025,17.85,214
C07,2025,17.91,1
C07,2025,17.92,1
C07,2025,17.95,83
C07,2025,18.0,264
C07,2025,18.02,1
C07,2025,18.03,1
C07,2025,18.049999999999997,4
C07,2025,18.05,2
C07,2025,18.1,212
C07,2025,18.15,1
C07,2025,18.17,2
C07,2025,18.2,63
C07,2025,18.25,272
C07,2025,18.28,1
C07,2025,18.299999999999997,5
C07,2025,18.3,3
C07,2025,18.33,3
C07,2025,18.35,246
C07,2025,18.4,1
C07,2025,18.45,53
C07,2025,18.5,299
C07,2025,18.549999999999997,5
C07,2025,18.55,2
C07,2025,18.58,1
C07,2025,18.6,231
C07,2025,18.65,1
C07,2025,18.67,2
C07,2025,18.7,47
C07,2025,18.75,291
C07,2025,18.799999999999997,2
C07,2025,18.8,1
C07,2025,18.85,207
C07,2025,18.87,1
C07,2025,18.9,1
C07,2025,18.95,41
C07,2025,19.0,342
C07,2025,19.02,1
C07,2025,19.05,2
C07,2025,19.1,211
C07,2025,19.2,46
C07,2025,19.25,324
C07,2025,19.299999999999997,2
C07,2025,19.3,2
C07,2025,19.33,1
C07,2025,19.35,199
C07,2025,19.4,1
C07,2025,19.42,1
C07,2025,19.45,33
C07,2025,19.5,329
C07,2025,19.53,1
C07,2025,19.549999999999997,3
C07,2025,19.55,3
C07,2025,19.6,172
C07,2025,19.67,1
C07,2025,19.7,39
C07,2025,19.75,313
C07,2025,19.799999999999997,2
C07,2025,19.8,1
C07,2025,19.83,1
C07,2025,19.85,180
C07,2025,19.92,1
C07,2025,19.95,46
C07,2025,20.0,310
C07,2025,20.05,1
C07,2025,20.1,171
C07,2025,20.2,29
C07,2025,20.25,271
C07,2025,20.299999999999997,1
C07,2025,20.3,2
C07,2025,20.35,144
C07,2025,20.41,1
C07,2025,20.45,24
C07,2025,20.5,296
C07,2025,20.58,1
C07,2025,20.6,146
C07,2025,20.66,1
C07,2025,20.67,1
C07,2025,20.7,12
C07,2025,20.75,304
C07,2025,20.799999999999997,2
C07,2025,20.8,3
C07,2025,20.83,1
C07,2025,20.85,124
C07,2025,20.95,12
C07,2025,21.0,292
C07,2025,21.08,2
C07,2025,21.1,124
C07,2025,21.2,12
C07,2025,21.25,288
C07,2025,21.35,88
C07,2025,21.45,14
C07,2025,21.5,281
C07,2025,21.58,1
C07,2025,21.6,93
C07,2025,21.65,1
C07,2025,21.67,1
C07,2025,21.7,5
C07,2025,21.75,248
C07,2025,21.85,83
C07,2025,21.91,1
C07,2025,21.93,1
C07,2025,21.95,6
C07,2025,21.950000000000003,1
C07,2025,22.0,203
C07,2025,22.08,1
C07,2025,22.1,54
C07,2025,22.17,1
C07,2025,22.2,5
C07,2025,22.25,190
C07,2025,22.35,58
C07,2025,22.45,4
C07,2025,22.5,203
C07,2025,22.52,1
C07,2025,22.6,43
C07,2025,22.7,3
C07,2025,22.700000000000003,1
C07,2025,22.75,175
C07,2025,22.83,1
C07,2025,22.85,41
C07,2025,22.95,2
C07,2025,23.0,154
C07,2025,23.1,31
C07,2025,23.25,129
C07,2025,23.35,23
C07,2025,23.45,3
C07,2025,23.5,106
C07,2025,23.6,16
C07,2025,23.75,82
C07,2025,23.85,17
C07,2025,24.0,77
C07,2025,24.1,15
C07,2025,24.16,1
C07,2025,24.25,66
C07,2025,24.35,9
C07,2025,24.5,46
C07,2025,24.6,6
C07,2025,24.75,38
C07,2025,24.85,2
C07,2025,24.92,1
C07,2025,25.0,39
C07,2025,25.1,3
C07,2025,25.25,28
C07,2025,25.35,3
C07,2025,25.5,20
C07,2025,25.75,18
C07,2025,26.0,14
C07,2025,26.25,7
C07,2025,26.5,5
C07,2025,26.75,3
C07,2025,27.0,3
C07,2025,27.25,1
C07,2025,27.5,1
C07,2025,28.25,1
C07,2025,28.5,1
