khoi,nam_hoc,tong_diem,so_hoc_sinh
D13,2023,6.3,1
D13,2023,6.4,1
D13,2023,6.7,1
D13,2023,6.8,1
D13,2023,7.05,1
D13,2023,7.2,1
D13,2023,7.35,1
D13,2023,7.65,1
D13,2023,7.75,1
D13,2023,7.85,2
D13,2023,7.9,1
D13,2023,8.05,2
D13,2023,8.1,1
D13,2023,8.15,1
D13,2023,8.2,1
D13,2023,8.3,1
D13,2023,8.35,1
D13,2023,8.4,2
D13,2023,8.45,1
D13,2023,8.5,3
D13,2023,8.6,3
D13,2023,8.65,4
D13,2023,8.7,1
D13,2023,8.75,5
D13,2023,8.8,4
D13,2023,8.85,3
D13,2023,8.9,1
D13,2023,8.95,2
D13,2023,9.0,3
D13,2023,9.05,4
D13,2023,9.1,1
D13,2023,9.15,1
D13,2023,9.2,5
D13,2023,9.25,5
D13,2023,9.3,7
D13,2023,9.35,4
D13,2023,9.4,10
D13,2023,9.45,3
D13,2023,9.5,5
D13,2023,9.55,8
D13,2023,9.6,8
D13,2023,9.629999999999999,1
D13,2023,9.65,9
D13,2023,9.7,9
D13,2023,9.75,7
D13,2023,9.8,11
D13,2023,9.85,4
D13,2023,9.9,10
D13,2023,9.95,11
D13,2023,10.0,12
D13,2023,10.05,8
D13,2023,10.1,6
D13,2023,10.15,13
D13,2023,10.2,12
D13,2023,10.25,18
D13,2023,10.3,11
D13,2023,10.35,12
D13,2023,10.4,19
D13,2023,10.45,22
D13,2023,10.5,16
D13,2023,10.55,12
D13,2023,10.6,16
D13,2023,10.629999999999999,1
D13,2023,10.65,21
D13,2023,10.7,18
D13,2023,10.75,22
D13,2023,10.8,31
D13,2023,10.85,22
D13,2023,10.9,24
D13,2023,10.95,36
D13,2023,11.0,30
D13,2023,11.05,36
D13,2023,11.07,1
D13,2023,11.1,25
D13,2023,11.15,40
D13,2023,11.2,24
D13,2023,11.25,46
D13,2023,11.3,38
D13,2023,11.31,1
D13,2023,11.35,39
D13,2023,11.4,53
D13,2023,11.45,41
D13,2023,11.5,38
D13,2023,11.55,55
D13,2023,11.6,69
D13,2023,11.65,53
D13,2023,11.7,57
D13,2023,11.75,73
D13,2023,11.8,74
D13,2023,11.85,72
D13,2023,11.899999999999999,1
D13,2023,11.9,78
D13,2023,11.93,1
D13,2023,11.95,78
D13,2023,12.0,91
D13,2023,12.05,109
D13,2023,12.1,90
D13,2023,12.120000000000001,1
D13,2023,12.15,97
D13,2023,12.2,113
D13,2023,12.25,106
D13,2023,12.27,1
D13,2023,12.3,109
D13,2023,12.35,131
D13,2023,12.4,122
D13,2023,12.45,137
D13,2023,12.5,128
D13,2023,12.55,138
D13,2023,12.6,139
D13,2023,12.65,153
D13,2023,12.68,1
D13,2023,12.7,147
D13,2023,12.75,156
D13,2023,12.8,151
D13,2023,12.81,1
D13,2023,12.85,186
D13,2023,12.9,168
D13,2023,12.91,1
D13,2023,12.93,1
D13,2023,12.95,179
D13,2023,12.969999999999999,1
D13,2023,13.0,213
D13,2023,13.030000000000001,1
D13,2023,13.05,207
D13,2023,13.07,1
D13,2023,13.08,1
D13,2023,13.1,218
D13,2023,13.129999999999999,1
D13,2023,13.15,227
D13,2023,13.18,1
D13,2023,13.2,206
D13,2023,13.23,1
D13,2023,13.25,221
D13,2023,13.27,1
D13,2023,13.280000000000001,1
D13,2023,13.3,268
D13,2023,13.35,282
D13,2023,13.36,1
D13,2023,13.4,266
D13,2023,13.42,1
D13,2023,13.45,261
D13,2023,13.450000000000001,1
D13,2023,13.469999999999999,1
D13,2023,13.48,2
D13,2023,13.5,292
D13,2023,13.55,308
D13,2023,13.56,1
D13,2023,13.57,2
D13,2023,13.58,1
D13,2023,13.6,331
D13,2023,13.620000000000001,1
D13,2023,13.629999999999999,1
D13,2023,13.65,350
D13,2023,13.7,347
D13,2023,13.719999999999999,2
D13,2023,13.75,341
D13,2023,13.780000000000001,1
D13,2023,13.8,302
D13,2023,13.83,2
D13,2023,13.85,349
D13,2023,13.86,1
D13,2023,13.870000000000001,1
D13,2023,13.879999999999999,1
D13,2023,13.88,1
D13,2023,13.9,377
D13,2023,13.91,1
D13,2023,13.92,1
D13,2023,13.93,2
D13,2023,13.95,391
D13,2023,13.969999999999999,1
D13,2023,13.98,1
D13,2023,14.0,420
D13,2023,14.030000000000001,2
D13,2023,14.05,432
D13,2023,14.06,1
D13,2023,14.1,448
D13,2023,14.15,431
D13,2023,14.18,1
D13,2023,14.2,424
D13,2023,14.25,438
D13,2023,14.3,496
D13,2023,14.32,3
D13,2023,14.33,4
D13,2023,14.35,488
D13,2023,14.370000000000001,1
D13,2023,14.379999999999999,1
D13,2023,14.4,488
D13,2023,14.42,1
D13,2023,14.45,491
D13,2023,14.469999999999999,1
D13,2023,14.48,1
D13,2023,14.5,528
D13,2023,14.530000000000001,1
D13,2023,14.55,575
D13,2023,14.56,1
D13,2023,14.57,1
D13,2023,14.58,2
D13,2023,14.6,544
D13,2023,14.620000000000001,1
D13,2023,14.629999999999999,1
D13,2023,14.65,562
D13,2023,14.67,1
D13,2023,14.68,1
D13,2023,14.680000000000001,1
D13,2023,14.7,598
D13,2023,14.71,2
D13,2023,14.719999999999999,1
D13,2023,14.75,582
D13,2023,14.780000000000001,1
D13,2023,14.8,639
D13,2023,14.81,1
D13,2023,14.82,2
D13,2023,14.83,2
D13,2023,14.85,628
D13,2023,14.879999999999999,1
D13,2023,14.88,1
D13,2023,14.9,656
D13,2023,14.92,2
D13,2023,14.93,2
D13,2023,14.95,711
D13,2023,14.969999999999999,1
D13,2023,15.0,666
D13,2023,15.01,1
D13,2023,15.05,688
D13,2023,15.08,2
D13,2023,15.1,688
D13,2023,15.120000000000001,1
D13,2023,15.129999999999999,4
D13,2023,15.15,741
D13,2023,15.18,1
D13,2023,15.2,772
D13,2023,15.219999999999999,8
D13,2023,15.23,2
D13,2023,15.25,838
D13,2023,15.27,6
D13,2023,15.280000000000001,3
D13,2023,15.3,780
D13,2023,15.31,1
D13,2023,15.33,1
D13,2023,15.35,803
D13,2023,15.379999999999999,3
D13,2023,15.4,808
D13,2023,15.42,1
D13,2023,15.43,2
D13,2023,15.45,849
D13,2023,15.469999999999999,1
D13,2023,15.48,2
D13,2023,15.5,906
D13,2023,15.52,1
D13,2023,15.530000000000001,4
D13,2023,15.55,892
D13,2023,15.579999999999998,1
D13,2023,15.58,2
D13,2023,15.6,850
D13,2023,15.620000000000001,1
D13,2023,15.629999999999999,2
D13,2023,15.65,902
D13,2023,15.67,2
D13,2023,15.68,1
D13,2023,15.7,918
D13,2023,15.719999999999999,1
D13,2023,15.73,1
D13,2023,15.75,946
D13,2023,15.780000000000001,3
D13,2023,15.8,996
D13,2023,15.83,2
D13,2023,15.85,1039
D13,2023,15.850000000000001,1
D13,2023,15.870000000000001,3
D13,2023,15.879999999999999,1
D13,2023,15.9,1062
D13,2023,15.92,4
D13,2023,15.93,1
D13,2023,15.95,1021
D13,2023,15.96,1
D13,2023,15.969999999999999,3
D13,2023,15.98,1
D13,2023,16.0,1023
D13,2023,16.02,3
D13,2023,16.03,3
D13,2023,16.05,1036
D13,2023,16.060000000000002,1
D13,2023,16.07,4
D13,2023,16.08,2
D13,2023,16.1,1080
D13,2023,16.12,1
D13,2023,16.13,2
D13,2023,16.15,1054
D13,2023,16.17,2
D13,2023,16.18,3
D13,2023,16.2,1150
D13,2023,16.22,1
D13,2023,16.23,4
D13,2023,16.25,1147
D13,2023,16.259999999999998,1
D13,2023,16.27,1
D13,2023,16.28,6
D13,2023,16.3,1170
D13,2023,16.32,3
D13,2023,16.33,1
D13,2023,16.35,1149
D13,2023,16.36,1
D13,2023,16.37,1
D13,2023,16.38,2
D13,2023,16.4,1181
D13,2023,16.41,1
D13,2023,16.42,3
D13,2023,16.43,1
D13,2023,16.45,1167
D13,2023,16.450000000000003,1
D13,2023,16.47,2
D13,2023,16.5,1221
D13,2023,16.52,3
D13,2023,16.53,3
D13,2023,16.55,1200
D13,2023,16.560000000000002,1
D13,2023,16.57,1
D13,2023,16.58,2
D13,2023,16.6,1259
D13,2023,16.62,3
D13,2023,16.63,2
D13,2023,16.65,1247
D13,2023,16.67,4
D13,2023,16.68,2
D13,2023,16.7,1241
D13,2023,16.72,2
D13,2023,16.73,2
D13,2023,16.75,1306
D13,2023,16.759999999999998,1
D13,2023,16.77,3
D13,2023,16.78,4
D13,2023,16.8,1296
D13,2023,16.82,1
D13,2023,16.83,1
D13,2023,16.85,1336
D13,2023,16.88,2
