khoi,nam_hoc,tong_diem,so_hoc_sinh
X54,2025,7.0,1
X54,2025,7.800000000000001,1
X54,2025,8.2,1
X54,2025,8.55,1
X54,2025,8.7,1
X54,2025,8.75,2
X54,2025,8.8,2
X54,2025,8.95,1
X54,2025,9.049999999999999,1
X54,2025,9.100000000000001,1
X54,2025,9.15,1
X54,2025,9.2,1
X54,2025,9.35,1
X54,2025,9.4,2
X54,2025,9.45,2
X54,2025,9.5,2
X54,2025,9.55,4
X54,2025,9.6,2
X54,2025,9.7,2
X54,2025,9.75,2
X54,2025,9.799999999999999,1
X54,2025,9.8,1
X54,2025,9.85,2
X54,2025,9.850000000000001,1
X54,2025,9.9,2
X54,2025,10.0,1
X54,2025,10.1,1
X54,2025,10.15,1
X54,2025,10.3,2
X54,2025,10.35,2
X54,2025,10.45,2
X54,2025,10.549999999999999,1
X54,2025,10.55,1
X54,2025,10.6,2
X54,2025,10.7,3
X54,2025,10.75,1
X54,2025,10.8,1
X54,2025,10.85,3
X54,2025,10.850000000000001,1
X54,2025,10.95,2
X54,2025,11.0,3
X54,2025,11.05,4
X54,2025,11.1,4
X54,2025,11.149999999999999,1
X54,2025,11.2,5
X54,2025,11.25,1
X54,2025,11.3,5
X54,2025,11.35,4
X54,2025,11.399999999999999,1
X54,2025,11.4,1
X54,2025,11.45,4
X54,2025,11.5,2
X54,2025,11.549999999999999,1
X54,2025,11.55,3
X54,2025,11.6,5
X54,2025,11.649999999999999,1
X54,2025,11.65,1
X54,2025,11.7,6
X54,2025,11.799999999999999,1
X54,2025,11.8,2
X54,2025,11.85,8
X54,2025,11.899999999999999,1
X54,2025,11.9,1
X54,2025,11.95,4
X54,2025,12.0,4
X54,2025,12.05,1
X54,2025,12.1,4
X54,2025,12.15,1
X54,2025,12.2,7
X54,2025,12.25,1
X54,2025,12.299999999999999,5
X54,2025,12.3,5
X54,2025,12.35,4
X54,2025,12.4,1
X54,2025,12.45,6
X54,2025,12.5,5
X54,2025,12.549999999999999,1
X54,2025,12.6,7
X54,2025,12.649999999999999,1
X54,2025,12.7,9
X54,2025,12.75,3
X54,2025,12.799999999999999,2
X54,2025,12.8,2
X54,2025,12.85,13
X54,2025,12.899999999999999,2
X54,2025,12.95,21
X54,2025,13.0,2
X54,2025,13.049999999999999,3
X54,2025,13.05,5
X54,2025,13.1,14
X54,2025,13.149999999999999,1
X54,2025,13.15,1
X54,2025,13.2,22
X54,2025,13.25,9
X54,2025,13.3,8
X54,2025,13.35,17
X54,2025,13.399999999999999,2
X54,2025,13.4,1
X54,2025,13.45,19
X54,2025,13.5,10
X54,2025,13.549999999999999,4
X54,2025,13.55,1
X54,2025,13.6,26
X54,2025,13.649999999999999,3
X54,2025,13.7,27
X54,2025,13.75,9
X54,2025,13.799999999999999,3
X54,2025,13.8,7
X54,2025,13.85,24
X54,2025,13.9,2
X54,2025,13.95,25
X54,2025,14.0,9
X54,2025,14.049999999999999,5
X54,2025,14.05,5
X54,2025,14.1,35
X54,2025,14.149999999999999,1
X54,2025,14.15,1
X54,2025,14.2,27
X54,2025,14.25,20
X54,2025,14.299999999999999,4
X54,2025,14.3,7
X54,2025,14.35,37
X54,2025,14.399999999999999,1
X54,2025,14.4,2
X54,2025,14.45,35
X54,2025,14.5,19
X54,2025,14.549999999999999,2
X54,2025,14.55,9
X54,2025,14.6,46
X54,2025,14.649999999999999,1
X54,2025,14.65,2
X54,2025,14.7,28
X54,2025,14.749999999999998,1
X54,2025,14.75,20
X54,2025,14.799999999999999,5
X54,2025,14.8,7
X54,2025,14.85,47
X54,2025,14.9,1
X54,2025,14.95,33
X54,2025,15.0,21
X54,2025,15.049999999999999,9
X54,2025,15.05,3
X54,2025,15.1,54
X54,2025,15.15,3
X54,2025,15.2,34
X54,2025,15.249999999999998,1
X54,2025,15.25,32
X54,2025,15.299999999999999,2
X54,2025,15.3,12
X54,2025,15.35,67
X54,2025,15.45,41
X54,2025,15.5,37
X54,2025,15.549999999999999,9
X54,2025,15.55,6
X54,2025,15.6,52
X54,2025,15.649999999999999,3
X54,2025,15.65,1
X54,2025,15.7,42
X54,2025,15.75,36
X54,2025,15.799999999999999,5
X54,2025,15.8,8
X54,2025,15.85,77
X54,2025,15.899999999999999,1
X54,2025,15.9,1
X54,2025,15.95,48
X54,2025,16.0,60
X54,2025,16.049999999999997,7
X54,2025,16.05,12
X54,2025,16.1,80
X54,2025,16.15,2
X54,2025,16.2,53
X54,2025,16.25,46
X54,2025,16.299999999999997,5
X54,2025,16.3,11
X54,2025,16.35,92
X54,2025,16.4,4
X54,2025,16.45,52
X54,2025,16.5,55
X54,2025,16.549999999999997,6
X54,2025,16.55,13
X54,2025,16.6,120
X54,2025,16.65,4
X54,2025,16.7,68
X54,2025,16.75,71
X54,2025,16.799999999999997,9
X54,2025,16.8,10
X54,2025,16.85,124
X54,2025,16.95,52
X54,2025,17.0,82
X54,2025,17.049999999999997,2
X54,2025,17.05,10
X54,2025,17.1,120
X54,2025,17.2,64
X54,2025,17.25,84
X54,2025,17.299999999999997,5
X54,2025,17.3,11
X54,2025,17.35,131
X54,2025,17.45,66
X54,2025,17.5,103
X54,2025,17.549999999999997,3
X54,2025,17.55,2
X54,2025,17.6,135
X54,2025,17.65,1
X54,2025,17.7,65
X54,2025,17.75,126
X54,2025,17.799999999999997,5
X54,2025,17.8,9
X54,2025,17.85,170
X54,2025,17.95,73
X54,2025,18.0,122
X54,2025,18.049999999999997,2
X54,2025,18.05,5
X54,2025,18.1,145
X54,2025,18.2,63
X54,2025,18.25,131
X54,2025,18.299999999999997,2
X54,2025,18.3,5
X54,2025,18.35,140
X54,2025,18.4,1
X54,2025,18.45,48
X54,2025,18.5,150
X54,2025,18.549999999999997,2
X54,2025,18.55,4
X54,2025,18.6,158
X54,2025,18.65,1
X54,2025,18.7,64
X54,2025,18.75,142
X54,2025,18.799999999999997,1
X54,2025,18.8,4
X54,2025,18.85,157
X54,2025,18.9,1
X54,2025,18.95,52
X54,2025,19.0,171
X54,2025,19.049999999999997,2
X54,2025,19.05,6
X54,2025,19.1,174
X54,2025,19.2,42
X54,2025,19.25,183
X54,2025,19.3,8
X54,2025,19.35,161
X54,2025,19.45,47
X54,2025,19.5,166
X54,2025,19.55,2
X54,2025,19.6,139
X54,2025,19.7,27
X54,2025,19.75,178
X54,2025,19.799999999999997,1
X54,2025,19.8,8
X54,2025,19.85,153
X54,2025,19.95,31
X54,2025,20.0,195
X54,2025,20.05,3
X54,2025,20.1,134
X54,2025,20.2,29
X54,2025,20.25,193
X54,2025,20.3,2
X54,2025,20.35,123
X54,2025,20.45,27
X54,2025,20.5,160
X54,2025,20.55,4
X54,2025,20.6,116
X54,2025,20.7,19
X54,2025,20.75,176
X54,2025,20.8,1
X54,2025,20.85,104
X54,2025,20.95,14
X54,2025,21.0,182
X54,2025,21.05,1
X54,2025,21.1,74
X54,2025,21.2,13
X54,2025,21.25,153
X54,2025,21.3,1
X54,2025,21.35,66
X54,2025,21.45,4
X54,2025,21.5,140
X54,2025,21.6,42
X54,2025,21.7,10
X54,2025,21.75,140
X54,2025,21.85,45
X54,2025,21.95,6
X54,2025,22.0,118
X54,2025,22.1,33
X54,2025,22.2,4
X54,2025,22.25,97
X54,2025,22.35,45
X54,2025,22.45,2
X54,2025,22.5,55
X54,2025,22.6,33
X54,2025,22.7,1
X54,2025,22.75,62
X54,2025,22.85,23
X54,2025,22.95,2
X54,2025,23.0,50
X54,2025,23.1,15
X54,2025,23.2,1
X54,2025,23.25,34
X54,2025,23.35,11
X54,2025,23.5,34
X54,2025,23.6,12
X54,2025,23.7,1
X54,2025,23.75,17
X54,2025,23.85,5
X54,2025,24.0,18
X54,2025,24.1,5
X54,2025,24.25,14
X54,2025,24.5,7
X54,2025,24.75,6
X54,2025,25.0,4
X54,2025,25.25,3
X54,2025,26.5,1
