khoi,nam_hoc,tong_diem,so_hoc_sinh
Y11,2025,11.0,1
Y11,2025,11.85,1
Y11,2025,12.1,1
Y11,2025,12.35,1
Y11,2025,13.0,1
Y11,2025,13.299999999999999,1
Y11,2025,13.45,1
Y11,2025,14.7,1
Y11,2025,14.85,2
Y11,2025,15.0,2
Y11,2025,15.42,1
Y11,2025,15.85,1
Y11,2025,16.5,1
Y11,2025,16.6,2
Y11,2025,17.0,2
Y11,2025,17.25,1
Y11,2025,17.35,3
Y11,2025,17.5,2
Y11,2025,18.25,3
Y11,2025,18.45,1
Y11,2025,18.7,1
Y11,2025,19.5,2
Y11,2025,19.6,1
Y11,2025,19.75,3
Y11,2025,19.85,1
Y11,2025,20.35,1
Y11,2025,20.5,1
Y11,2025,20.6,1
Y11,2025,21.0,2
Y11,2025,21.1,1
Y11,2025,21.25,1
Y11,2025,21.5,6
Y11,2025,21.75,1
Y11,2025,21.85,1
Y11,2025,22.0,2
Y11,2025,22.1,1
Y11,2025,22.35,1
Y11,2025,22.5,1
Y11,2025,23.0,1
Y11,2025,23.75,1
Y11,2025,24.75,1
Y11,2025,27.5,1
