nam_hoc,tinh,tong_diem,so_hoc_sinh
2023,An Giang,5.0,1
2023,An Giang,5.2,1
2023,An Giang,6.1,1
2023,An Giang,6.35,1
2023,An Giang,6.5,1
2023,An Giang,7.15,1
2023,An Giang,7.25,1
2023,An Giang,7.5,1
2023,An Giang,7.6,1
2023,An Giang,7.75,1
2023,An Giang,8.0,1
2023,An Giang,8.6,1
2023,An Giang,8.65,1
2023,An Giang,8.75,2
2023,An Giang,8.85,1
2023,An Giang,9.25,1
2023,An Giang,9.5,3
2023,An Giang,9.55,1
2023,An Giang,9.75,1
2023,An Giang,9.8,1
2023,An Giang,10.25,3
2023,An Giang,10.4,1
2023,An Giang,10.55,2
2023,An Giang,10.65,1
2023,An Giang,10.75,1
2023,An Giang,11.0,1
2023,An Giang,11.1,1
2023,An Giang,11.25,1
2023,An Giang,11.3,2
2023,An Giang,11.35,1
2023,An Giang,11.45,1
2023,An Giang,11.5,1
2023,An Giang,11.65,1
2023,An Giang,11.7,1
2023,An Giang,11.75,1
2023,An Giang,12.0,6
2023,An Giang,12.15,1
2023,An Giang,12.25,3
2023,An Giang,12.45,1
2023,An Giang,12.5,4
2023,An Giang,12.55,1
2023,An Giang,12.65,1
2023,An Giang,12.75,3
2023,An Giang,12.8,1
2023,An Giang,12.85,1
2023,An Giang,12.9,2
2023,An Giang,12.95,1
2023,An Giang,13.0,2
2023,An Giang,13.1,2
2023,An Giang,13.15,2
2023,An Giang,13.2,1
2023,An Giang,13.25,2
2023,An Giang,13.3,1
2023,An Giang,13.45,2
2023,An Giang,13.5,4
2023,An Giang,13.55,2
2023,An Giang,13.6,2
2023,An Giang,13.65,1
2023,An Giang,13.7,1
2023,An Giang,13.75,5
2023,An Giang,13.8,1
2023,An Giang,13.85,5
2023,An Giang,13.9,2
2023,An Giang,13.95,1
2023,An Giang,14.0,4
2023,An Giang,14.05,2
2023,An Giang,14.1,1
2023,An Giang,14.15,2
2023,An Giang,14.25,4
2023,An Giang,14.3,3
2023,An Giang,14.45,2
2023,An Giang,14.5,8
2023,An Giang,14.55,5
2023,An Giang,14.6,2
2023,An Giang,14.65,2
2023,An Giang,14.7,1
2023,An Giang,14.75,7
2023,An Giang,14.85,2
2023,An Giang,14.9,2
2023,An Giang,15.0,5
2023,An Giang,15.05,2
2023,An Giang,15.1,1
2023,An Giang,15.15,3
2023,An Giang,15.2,3
2023,An Giang,15.25,10
2023,An Giang,15.3,3
2023,An Giang,15.35,3
2023,An Giang,15.4,5
2023,An Giang,15.45,1
2023,An Giang,15.5,8
2023,An Giang,15.55,1
2023,An Giang,15.6,1
2023,An Giang,15.7,1
2023,An Giang,15.75,10
2023,An Giang,15.8,2
2023,An Giang,15.85,5
2023,An Giang,15.9,5
2023,An Giang,15.95,1
2023,An Giang,15.969999999999999,1
2023,An Giang,16.0,13
2023,An Giang,16.05,1
2023,An Giang,16.1,4
2023,An Giang,16.12,1
2023,An Giang,16.15,2
2023,An Giang,16.17,1
2023,An Giang,16.2,2
2023,An Giang,16.25,12
2023,An Giang,16.3,1
2023,An Giang,16.35,2
2023,An Giang,16.45,2
2023,An Giang,16.5,12
2023,An Giang,16.55,4
2023,An Giang,16.6,4
2023,An Giang,16.65,3
2023,An Giang,16.75,10
2023,An Giang,16.8,5
2023,An Giang,16.85,3
2023,An Giang,16.9,4
2023,An Giang,16.95,3
2023,An Giang,17.0,9
2023,An Giang,17.05,2
2023,An Giang,17.1,1
2023,An Giang,17.15,3
2023,An Giang,17.2,6
2023,An Giang,17.25,9
2023,An Giang,17.3,4
2023,An Giang,17.35,5
2023,An Giang,17.4,3
2023,An Giang,17.45,4
2023,An Giang,17.5,12
2023,An Giang,17.55,4
2023,An Giang,17.6,5
2023,An Giang,17.65,9
2023,An Giang,17.7,4
2023,An Giang,17.75,12
2023,An Giang,17.77,1
2023,An Giang,17.8,2
2023,An Giang,17.85,4
2023,An Giang,17.9,6
2023,An Giang,17.95,3
2023,An Giang,18.0,10
2023,An Giang,18.05,5
2023,An Giang,18.1,8
2023,An Giang,18.15,7
2023,An Giang,18.2,6
2023,An Giang,18.25,19
2023,An Giang,18.3,3
2023,An Giang,18.35,2
2023,An Giang,18.4,3
2023,An Giang,18.45,5
2023,An Giang,18.5,13
2023,An Giang,18.55,11
2023,An Giang,18.6,3
2023,An Giang,18.65,7
2023,An Giang,18.7,5
2023,An Giang,18.75,10
2023,An Giang,18.8,6
2023,An Giang,18.85,2
2023,An Giang,18.9,2
2023,An Giang,18.95,6
2023,An Giang,19.0,7
2023,An Giang,19.05,5
2023,An Giang,19.1,5
2023,An Giang,19.15,10
2023,An Giang,19.17,1
2023,An Giang,19.2,5
2023,An Giang,19.25,17
2023,An Giang,19.3,6
2023,An Giang,19.35,5
2023,An Giang,19.4,8
2023,An Giang,19.45,5
2023,An Giang,19.48,1
2023,An Giang,19.5,14
2023,An Giang,19.55,6
2023,An Giang,19.6,9
2023,An Giang,19.65,11
2023,An Giang,19.66,1
2023,An Giang,19.7,9
2023,An Giang,19.75,9
2023,An Giang,19.8,7
2023,An Giang,19.83,1
2023,An Giang,19.85,8
2023,An Giang,19.9,7
2023,An Giang,19.95,9
2023,An Giang,20.0,15
2023,An Giang,20.05,8
2023,An Giang,20.1,7
2023,An Giang,20.15,6
2023,An Giang,20.2,13
2023,An Giang,20.25,17
2023,An Giang,20.3,4
2023,An Giang,20.35,11
2023,An Giang,20.4,4
2023,An Giang,20.45,9
2023,An Giang,20.5,16
2023,An Giang,20.55,11
2023,An Giang,20.6,8
2023,An Giang,20.65,7
2023,An Giang,20.7,8
2023,An Giang,20.75,19
2023,An Giang,20.8,13
2023,An Giang,20.85,8
2023,An Giang,20.9,7
2023,An Giang,20.95,7
2023,An Giang,21.0,16
2023,An Giang,21.05,8
2023,An Giang,21.1,6
