nam_hoc,tinh,tong_diem,so_hoc_sinh
2023,Bắc Giang,2.6,1
2023,Bắc Giang,4.6,1
2023,Bắc Giang,5.6,1
2023,Bắc Giang,6.0,1
2023,Bắc Giang,6.75,1
2023,Bắc Giang,7.75,1
2023,Bắc Giang,8.05,1
2023,Bắc Giang,8.3,1
2023,Bắc Giang,10.0,1
2023,Bắc Giang,10.5,1
2023,Bắc Giang,10.6,1
2023,Bắc Giang,10.65,1
2023,Bắc Giang,10.8,1
2023,Bắc Giang,11.0,1
2023,Bắc Giang,11.1,2
2023,Bắc Giang,11.25,1
2023,Bắc Giang,11.35,1
2023,Bắc Giang,11.45,1
2023,Bắc Giang,11.55,1
2023,Bắc Giang,11.9,1
2023,Bắc Giang,12.0,1
2023,Bắc Giang,12.1,1
2023,Bắc Giang,12.2,2
2023,Bắc Giang,12.25,2
2023,Bắc Giang,12.5,2
2023,Bắc Giang,12.6,1
2023,Bắc Giang,12.7,2
2023,Bắc Giang,12.75,2
2023,Bắc Giang,12.95,2
2023,Bắc Giang,13.0,2
2023,Bắc Giang,13.25,1
2023,Bắc Giang,13.35,1
2023,Bắc Giang,13.5,1
2023,Bắc Giang,13.55,1
2023,Bắc Giang,13.65,2
2023,Bắc Giang,13.7,2
2023,Bắc Giang,13.75,4
2023,Bắc Giang,13.8,2
2023,Bắc Giang,13.85,1
2023,Bắc Giang,13.9,1
2023,Bắc Giang,13.95,1
2023,Bắc Giang,14.0,4
2023,Bắc Giang,14.1,1
2023,Bắc Giang,14.15,2
2023,Bắc Giang,14.2,1
2023,Bắc Giang,14.25,3
2023,Bắc Giang,14.3,1
2023,Bắc Giang,14.35,1
2023,Bắc Giang,14.4,2
2023,Bắc Giang,14.45,1
2023,Bắc Giang,14.5,6
2023,Bắc Giang,14.55,3
2023,Bắc Giang,14.6,1
2023,Bắc Giang,14.65,1
2023,Bắc Giang,14.7,4
2023,Bắc Giang,14.75,4
2023,Bắc Giang,14.8,4
2023,Bắc Giang,14.85,2
2023,Bắc Giang,14.95,3
2023,Bắc Giang,15.0,2
2023,Bắc Giang,15.05,3
2023,Bắc Giang,15.1,3
2023,Bắc Giang,15.15,3
2023,Bắc Giang,15.2,1
2023,Bắc Giang,15.25,7
2023,Bắc Giang,15.3,1
2023,Bắc Giang,15.35,5
2023,Bắc Giang,15.399999999999999,1
