nam_hoc,tinh,tong_diem,so_hoc_sinh
2023,Bắc Kạn,0.0,1
2023,Bắc Kạn,3.4,1
2023,Bắc Kạn,3.8,1
2023,Bắc Kạn,5.75,1
2023,Bắc Kạn,6.5,1
2023,Bắc Kạn,7.5,1
2023,Bắc Kạn,9.35,1
2023,Bắc Kạn,9.95,1
2023,Bắc Kạn,10.4,1
2023,Bắc Kạn,10.75,1
2023,Bắc Kạn,11.2,1
2023,Bắc Kạn,11.25,1
2023,Bắc Kạn,11.45,1
2023,Bắc Kạn,11.7,1
2023,Bắc Kạn,11.9,1
2023,Bắc Kạn,12.25,1
2023,Bắc Kạn,12.4,1
2023,Bắc Kạn,12.5,4
2023,Bắc Kạn,12.8,2
2023,Bắc Kạn,12.9,1
2023,Bắc Kạn,12.95,1
2023,Bắc Kạn,13.0,1
2023,Bắc Kạn,13.15,1
2023,Bắc Kạn,13.25,5
2023,Bắc Kạn,13.3,1
2023,Bắc Kạn,13.4,1
2023,Bắc Kạn,13.5,1
2023,Bắc Kạn,13.55,1
2023,Bắc Kạn,13.67,1
2023,Bắc Kạn,13.75,1
2023,Bắc Kạn,13.8,1
2023,Bắc Kạn,14.0,3
2023,Bắc Kạn,14.05,1
2023,Bắc Kạn,14.1,1
2023,Bắc Kạn,14.15,2
2023,Bắc Kạn,14.2,1
2023,Bắc Kạn,14.25,1
2023,Bắc Kạn,14.3,2
2023,Bắc Kạn,14.5,3
2023,Bắc Kạn,14.55,1
2023,Bắc Kạn,14.7,1
2023,Bắc Kạn,14.75,3
2023,Bắc Kạn,14.95,1
2023,Bắc Kạn,15.0,1
2023,Bắc Kạn,15.05,1
2023,Bắc Kạn,15.15,1
2023,Bắc Kạn,15.25,1
2023,Bắc Kạn,15.3,2
2023,Bắc Kạn,15.4,1
2023,Bắc Kạn,15.45,1
2023,Bắc Kạn,15.5,1
2023,Bắc Kạn,15.55,1
2023,Bắc Kạn,15.6,1
2023,Bắc Kạn,15.700000000000001,1
2023,Bắc Kạn,15.75,3
2023,Bắc Kạn,15.8,1
2023,Bắc Kạn,16.0,1
2023,Bắc Kạn,16.05,1
2023,Bắc Kạn,16.15,1
2023,Bắc Kạn,16.2,1
2023,Bắc Kạn,16.25,5
2023,Bắc Kạn,16.3,1
2023,Bắc Kạn,16.35,4
2023,Bắc Kạn,16.4,1
2023,Bắc Kạn,16.45,1
2023,Bắc Kạn,16.5,4
2023,Bắc Kạn,16.55,1
2023,Bắc Kạn,16.58,1
2023,Bắc Kạn,16.6,1
2023,Bắc Kạn,16.7,1
2023,Bắc Kạn,16.75,3
2023,Bắc Kạn,16.8,3
2023,Bắc Kạn,16.95,2
2023,Bắc Kạn,17.0,4
2023,Bắc Kạn,17.05,2
2023,Bắc Kạn,17.1,2
2023,Bắc Kạn,17.15,1
2023,Bắc Kạn,17.2,3
2023,Bắc Kạn,17.25,4
2023,Bắc Kạn,17.3,2
2023,Bắc Kạn,17.35,2
2023,Bắc Kạn,17.4,3
2023,Bắc Kạn,17.45,2
2023,Bắc Kạn,17.5,4
2023,Bắc Kạn,17.55,2
2023,Bắc Kạn,17.6,1
2023,Bắc Kạn,17.65,2
2023,Bắc Kạn,17.7,1
2023,Bắc Kạn,17.75,3
2023,Bắc Kạn,17.8,1
2023,Bắc Kạn,17.85,1
2023,Bắc Kạn,17.9,3
2023,Bắc Kạn,17.95,1
2023,Bắc Kạn,18.0,4
2023,Bắc Kạn,18.05,2
2023,Bắc Kạn,18.1,2
2023,Bắc Kạn,18.15,2
2023,Bắc Kạn,18.2,2
2023,Bắc Kạn,18.25,3
2023,Bắc Kạn,18.3,2
2023,Bắc Kạn,18.35,1
2023,Bắc Kạn,18.4,2
2023,Bắc Kạn,18.45,1
2023,Bắc Kạn,18.5,6
2023,Bắc Kạn,18.55,2
2023,Bắc Kạn,18.6,3
2023,Bắc Kạn,18.65,2
2023,Bắc Kạn,18.66,1
2023,Bắc Kạn,18.7,1
2023,Bắc Kạn,18.75,3
2023,Bắc Kạn,18.8,2
2023,Bắc Kạn,18.9,2
2023,Bắc Kạn,18.95,1
2023,Bắc Kạn,19.0,1
