nam_hoc,tinh,tong_diem,so_hoc_sinh
2018,Bạc Liêu,0.0,19
2018,Bạc Liêu,5.5,1
2018,Bạc Liêu,6.75,1
2018,Bạc Liêu,6.8,1
2018,Bạc Liêu,6.9,1
2018,Bạc Liêu,6.95,1
2018,Bạc Liêu,8.2,2
2018,Bạc Liêu,8.3,1
2018,Bạc Liêu,8.45,1
2018,Bạc Liêu,8.5,1
2018,Bạc Liêu,8.9,1
2018,Bạc Liêu,8.95,1
2018,Bạc Liêu,9.1,1
2018,Bạc Liêu,9.15,1
2018,Bạc Liêu,9.3,1
2018,Bạc Liêu,9.4,1
2018,Bạc Liêu,9.55,1
2018,Bạc Liêu,9.6,1
2018,Bạc Liêu,9.65,1
2018,Bạc Liêu,9.7,1
2018,Bạc Liêu,9.8,1
2018,Bạc Liêu,9.85,3
2018,Bạc Liêu,9.95,1
2018,Bạc Liêu,10.05,1
2018,Bạc Liêu,10.15,1
2018,Bạc Liêu,10.2,1
2018,Bạc Liêu,10.25,2
2018,Bạc Liêu,10.3,1
2018,Bạc Liêu,10.420000000000002,1
2018,Bạc Liêu,10.6,1
2018,Bạc Liêu,10.7,2
2018,Bạc Liêu,10.75,3
2018,Bạc Liêu,10.8,1
2018,Bạc Liêu,11.0,1
2018,Bạc Liêu,11.05,1
2018,Bạc Liêu,11.1,2
2018,Bạc Liêu,11.2,3
2018,Bạc Liêu,11.25,2
2018,Bạc Liêu,11.3,1
2018,Bạc Liêu,11.35,1
2018,Bạc Liêu,11.4,1
2018,Bạc Liêu,11.5,3
2018,Bạc Liêu,11.55,3
2018,Bạc Liêu,11.6,1
2018,Bạc Liêu,11.65,1
2018,Bạc Liêu,11.7,1
2018,Bạc Liêu,11.75,1
2018,Bạc Liêu,11.8,1
2018,Bạc Liêu,11.85,1
2018,Bạc Liêu,11.9,1
2018,Bạc Liêu,12.05,2
2018,Bạc Liêu,12.1,2
2018,Bạc Liêu,12.2,3
2018,Bạc Liêu,12.25,3
2018,Bạc Liêu,12.3,2
2018,Bạc Liêu,12.35,1
