nam_hoc,tinh,tong_diem,so_hoc_sinh
2023,Bắc Ninh,0.75,1
2023,Bắc Ninh,1.75,1
2023,Bắc Ninh,2.5,1
2023,Bắc Ninh,2.6,1
2023,Bắc Ninh,2.8,1
2023,Bắc Ninh,3.0,2
2023,Bắc Ninh,3.4,1
2023,Bắc Ninh,4.6,1
2023,Bắc Ninh,5.4,1
2023,Bắc Ninh,5.6,1
2023,Bắc Ninh,5.7,1
2023,Bắc Ninh,6.0,1
2023,Bắc Ninh,6.4,1
2023,Bắc Ninh,6.5,1
2023,Bắc Ninh,6.75,1
2023,Bắc Ninh,6.9,2
2023,Bắc Ninh,7.0,1
2023,Bắc Ninh,7.25,1
2023,Bắc Ninh,7.5,1
2023,Bắc Ninh,7.75,2
2023,Bắc Ninh,8.0,2
2023,Bắc Ninh,8.05,1
2023,Bắc Ninh,8.3,1
2023,Bắc Ninh,8.5,2
2023,Bắc Ninh,8.95,1
2023,Bắc Ninh,9.1,2
2023,Bắc Ninh,9.15,1
2023,Bắc Ninh,9.25,2
2023,Bắc Ninh,9.5,2
2023,Bắc Ninh,9.75,1
2023,Bắc Ninh,9.8,2
2023,Bắc Ninh,10.0,2
2023,Bắc Ninh,10.1,1
2023,Bắc Ninh,10.25,2
2023,Bắc Ninh,10.5,2
2023,Bắc Ninh,10.6,1
2023,Bắc Ninh,10.65,2
2023,Bắc Ninh,10.8,1
2023,Bắc Ninh,10.9,2
2023,Bắc Ninh,10.95,1
2023,Bắc Ninh,11.0,1
2023,Bắc Ninh,11.05,1
2023,Bắc Ninh,11.1,3
2023,Bắc Ninh,11.15,1
2023,Bắc Ninh,11.25,2
2023,Bắc Ninh,11.35,1
2023,Bắc Ninh,11.45,1
2023,Bắc Ninh,11.55,2
2023,Bắc Ninh,11.65,1
2023,Bắc Ninh,11.7,1
2023,Bắc Ninh,11.75,2
2023,Bắc Ninh,11.9,2
2023,Bắc Ninh,12.0,1
2023,Bắc Ninh,12.05,1
2023,Bắc Ninh,12.1,1
2023,Bắc Ninh,12.2,2
2023,Bắc Ninh,12.25,4
2023,Bắc Ninh,12.3,1
2023,Bắc Ninh,12.35,1
2023,Bắc Ninh,12.45,1
2023,Bắc Ninh,12.5,4
2023,Bắc Ninh,12.6,2
2023,Bắc Ninh,12.7,3
2023,Bắc Ninh,12.75,6
2023,Bắc Ninh,12.8,1
2023,Bắc Ninh,12.95,2
2023,Bắc Ninh,13.0,5
2023,Bắc Ninh,13.1,1
2023,Bắc Ninh,13.15,1
2023,Bắc Ninh,13.25,2
2023,Bắc Ninh,13.35,1
2023,Bắc Ninh,13.4,1
2023,Bắc Ninh,13.45,1
