nam_hoc,tinh,tong_diem,so_hoc_sinh
2018,Bến Tre,3.25,1
2018,Bến Tre,3.45,1
2018,Bến Tre,4.85,1
2018,Bến Tre,5.3,1
2018,Bến Tre,5.65,1
2018,Bến Tre,6.0,1
2018,Bến Tre,6.5,1
2018,Bến Tre,6.9,1
2018,Bến Tre,7.0,1
2018,Bến Tre,7.1,1
2018,Bến Tre,7.15,1
2018,Bến Tre,7.45,1
2018,Bến Tre,7.65,1
2018,Bến Tre,7.7,1
2018,Bến Tre,7.75,2
2018,Bến Tre,7.8,1
2018,Bến Tre,8.0,1
2018,Bến Tre,8.25,1
2018,Bến Tre,8.4,1
2018,Bến Tre,8.45,1
2018,Bến Tre,8.7,1
2018,Bến Tre,8.75,1
2018,Bến Tre,8.8,1
2018,Bến Tre,8.85,2
2018,Bến Tre,8.9,1
2018,Bến Tre,8.95,1
2018,Bến Tre,9.0,2
2018,Bến Tre,9.05,2
2018,Bến Tre,9.149999999999999,1
2018,Bến Tre,9.15,1
2018,Bến Tre,9.2,2
2018,Bến Tre,9.3,2
2018,Bến Tre,9.35,2
2018,Bến Tre,9.4,2
2018,Bến Tre,9.5,2
2018,Bến Tre,9.65,2
2018,Bến Tre,9.7,1
2018,Bến Tre,9.75,2
2018,Bến Tre,9.95,1
2018,Bến Tre,10.0,2
2018,Bến Tre,10.05,4
2018,Bến Tre,10.1,2
2018,Bến Tre,10.2,5
2018,Bến Tre,10.25,3
2018,Bến Tre,10.3,1
2018,Bến Tre,10.35,1
2018,Bến Tre,10.4,3
2018,Bến Tre,10.45,1
2018,Bến Tre,10.5,2
2018,Bến Tre,10.55,3
2018,Bến Tre,10.6,1
2018,Bến Tre,10.65,1
2018,Bến Tre,10.7,5
2018,Bến Tre,10.75,3
2018,Bến Tre,10.8,1
2018,Bến Tre,10.85,2
2018,Bến Tre,10.9,1
2018,Bến Tre,10.95,2
2018,Bến Tre,11.05,1
2018,Bến Tre,11.15,4
2018,Bến Tre,11.2,2
2018,Bến Tre,11.25,1
2018,Bến Tre,11.3,2
2018,Bến Tre,11.35,5
2018,Bến Tre,11.4,2
2018,Bến Tre,11.45,3
2018,Bến Tre,11.5,8
2018,Bến Tre,11.55,3
2018,Bến Tre,11.6,1
2018,Bến Tre,11.65,2
2018,Bến Tre,11.7,6
2018,Bến Tre,11.75,1
2018,Bến Tre,11.8,2
2018,Bến Tre,11.85,4
2018,Bến Tre,11.850000000000001,1
2018,Bến Tre,11.9,2
2018,Bến Tre,12.0,2
2018,Bến Tre,12.05,1
2018,Bến Tre,12.1,3
2018,Bến Tre,12.15,7
2018,Bến Tre,12.2,4
2018,Bến Tre,12.25,3
2018,Bến Tre,12.3,2
2018,Bến Tre,12.35,5
2018,Bến Tre,12.4,1
2018,Bến Tre,12.45,4
2018,Bến Tre,12.5,9
2018,Bến Tre,12.55,4
2018,Bến Tre,12.6,4
2018,Bến Tre,12.65,5
2018,Bến Tre,12.75,5
2018,Bến Tre,12.8,7
2018,Bến Tre,12.85,7
2018,Bến Tre,12.9,7
2018,Bến Tre,12.95,3
2018,Bến Tre,13.0,5
2018,Bến Tre,13.05,3
2018,Bến Tre,13.1,4
2018,Bến Tre,13.15,4
2018,Bến Tre,13.2,7
2018,Bến Tre,13.25,10
2018,Bến Tre,13.3,6
2018,Bến Tre,13.35,1
2018,Bến Tre,13.4,5
2018,Bến Tre,13.45,7
2018,Bến Tre,13.5,8
2018,Bến Tre,13.549999999999999,1
2018,Bến Tre,13.55,9
2018,Bến Tre,13.580000000000002,1
2018,Bến Tre,13.6,4
2018,Bến Tre,13.65,4
2018,Bến Tre,13.7,3
2018,Bến Tre,13.75,8
2018,Bến Tre,13.8,4
2018,Bến Tre,13.85,2
2018,Bến Tre,13.9,7
2018,Bến Tre,13.95,4
2018,Bến Tre,13.98,1
2018,Bến Tre,14.0,4
2018,Bến Tre,14.05,2
2018,Bến Tre,14.1,6
2018,Bến Tre,14.15,9
2018,Bến Tre,14.18,1
2018,Bến Tre,14.2,6
2018,Bến Tre,14.25,8
2018,Bến Tre,14.3,7
2018,Bến Tre,14.35,4
2018,Bến Tre,14.4,3
2018,Bến Tre,14.45,4
2018,Bến Tre,14.5,9
2018,Bến Tre,14.55,11
2018,Bến Tre,14.6,1
2018,Bến Tre,14.65,7
2018,Bến Tre,14.7,6
2018,Bến Tre,14.75,6
2018,Bến Tre,14.8,8
2018,Bến Tre,14.85,5
2018,Bến Tre,14.9,4
2018,Bến Tre,14.95,7
2018,Bến Tre,15.0,7
2018,Bến Tre,15.05,7
2018,Bến Tre,15.1,6
2018,Bến Tre,15.15,8
2018,Bến Tre,15.2,5
2018,Bến Tre,15.25,13
2018,Bến Tre,15.3,11
2018,Bến Tre,15.35,6
2018,Bến Tre,15.4,4
2018,Bến Tre,15.45,8
2018,Bến Tre,15.5,8
2018,Bến Tre,15.55,8
2018,Bến Tre,15.58,1
2018,Bến Tre,15.6,7
2018,Bến Tre,15.65,6
2018,Bến Tre,15.7,8
2018,Bến Tre,15.75,6
2018,Bến Tre,15.8,7
2018,Bến Tre,15.85,11
2018,Bến Tre,15.9,9
2018,Bến Tre,15.95,9
2018,Bến Tre,15.98,1
2018,Bến Tre,16.0,3
2018,Bến Tre,16.05,9
2018,Bến Tre,16.1,5
2018,Bến Tre,16.15,7
2018,Bến Tre,16.2,9
2018,Bến Tre,16.25,9
2018,Bến Tre,16.299999999999997,1
2018,Bến Tre,16.3,13
2018,Bến Tre,16.35,5
2018,Bến Tre,16.4,9
2018,Bến Tre,16.45,7
2018,Bến Tre,16.5,11
2018,Bến Tre,16.55,8
2018,Bến Tre,16.6,4
2018,Bến Tre,16.65,6
2018,Bến Tre,16.7,5
2018,Bến Tre,16.75,6
2018,Bến Tre,16.8,5
2018,Bến Tre,16.85,8
