nam_hoc,tinh,tong_diem,so_hoc_sinh
2018,Bình Dương,0.0,1
2018,Bình Dương,2.4,1
2018,Bình Dương,2.6,1
2018,Bình Dương,3.6,1
2018,Bình Dương,3.8,1
2018,Bình Dương,3.9,1
2018,Bình Dương,4.75,1
2018,Bình Dương,4.95,2
2018,Bình Dương,5.0,1
2018,Bình Dương,5.25,1
2018,Bình Dương,5.75,1
2018,Bình Dương,5.8,1
2018,Bình Dương,5.85,1
2018,Bình Dương,6.2,1
2018,Bình Dương,6.3,2
2018,Bình Dương,6.300000000000001,1
2018,Bình Dương,6.45,1
2018,Bình Dương,6.5,1
2018,Bình Dương,6.55,3
2018,Bình Dương,6.6000000000000005,2
2018,Bình Dương,6.75,1
2018,Bình Dương,6.8,1
2018,Bình Dương,6.9,2
2018,Bình Dương,6.95,2
2018,Bình Dương,7.0,2
2018,Bình Dương,7.05,1
2018,Bình Dương,7.050000000000001,1
2018,Bình Dương,7.199999999999999,1
2018,Bình Dương,7.25,3
2018,Bình Dương,7.3,4
2018,Bình Dương,7.35,2
2018,Bình Dương,7.4,3
2018,Bình Dương,7.449999999999999,1
2018,Bình Dương,7.45,2
2018,Bình Dương,7.55,2
2018,Bình Dương,7.6,1
2018,Bình Dương,7.6000000000000005,1
2018,Bình Dương,7.65,1
2018,Bình Dương,7.7,2
2018,Bình Dương,7.75,1
2018,Bình Dương,7.8,1
2018,Bình Dương,7.800000000000001,1
2018,Bình Dương,7.85,1
2018,Bình Dương,7.9,1
2018,Bình Dương,7.95,2
2018,Bình Dương,8.0,1
2018,Bình Dương,8.05,2
2018,Bình Dương,8.1,1
2018,Bình Dương,8.15,1
2018,Bình Dương,8.2,2
2018,Bình Dương,8.25,3
2018,Bình Dương,8.3,4
2018,Bình Dương,8.35,2
2018,Bình Dương,8.4,2
2018,Bình Dương,8.45,4
2018,Bình Dương,8.5,3
2018,Bình Dương,8.55,3
2018,Bình Dương,8.6,2
2018,Bình Dương,8.600000000000001,1
2018,Bình Dương,8.65,4
2018,Bình Dương,8.7,1
2018,Bình Dương,8.75,7
2018,Bình Dương,8.8,7
2018,Bình Dương,8.85,5
2018,Bình Dương,8.9,2
