nam_hoc,tinh,tong_diem,so_hoc_sinh
2018,Bình Phước,0.0,1
2018,Bình Phước,0.25,1
2018,Bình Phước,2.0,1
2018,Bình Phước,3.45,1
2018,Bình Phước,3.8,1
2018,Bình Phước,4.2,1
2018,Bình Phước,4.45,1
2018,Bình Phước,4.55,1
2018,Bình Phước,5.2,2
2018,Bình Phước,5.65,1
2018,Bình Phước,5.85,1
2018,Bình Phước,6.05,1
2018,Bình Phước,6.050000000000001,1
2018,Bình Phước,6.2,1
2018,Bình Phước,6.25,1
2018,Bình Phước,6.3,1
2018,Bình Phước,6.55,1
2018,Bình Phước,6.6,1
2018,Bình Phước,6.75,1
2018,Bình Phước,7.05,1
2018,Bình Phước,7.1,2
2018,Bình Phước,7.25,1
2018,Bình Phước,7.4,2
2018,Bình Phước,7.45,1
2018,Bình Phước,7.5,1
2018,Bình Phước,7.55,1
2018,Bình Phước,7.6,1
2018,Bình Phước,7.7,1
2018,Bình Phước,7.75,1
2018,Bình Phước,7.8,1
2018,Bình Phước,7.85,1
2018,Bình Phước,7.9,1
2018,Bình Phước,7.95,2
2018,Bình Phước,8.0,1
2018,Bình Phước,8.1,1
2018,Bình Phước,8.15,1
2018,Bình Phước,8.2,1
2018,Bình Phước,8.3,1
2018,Bình Phước,8.4,2
2018,Bình Phước,8.45,3
2018,Bình Phước,8.55,2
2018,Bình Phước,8.6,1
2018,Bình Phước,8.65,2
2018,Bình Phước,8.7,3
2018,Bình Phước,8.75,2
2018,Bình Phước,8.8,4
2018,Bình Phước,8.85,5
2018,Bình Phước,8.9,4
2018,Bình Phước,8.95,1
2018,Bình Phước,9.0,3
2018,Bình Phước,9.05,1
2018,Bình Phước,9.15,4
2018,Bình Phước,9.2,4
2018,Bình Phước,9.25,1
2018,Bình Phước,9.3,5
2018,Bình Phước,9.35,4
2018,Bình Phước,9.4,3
2018,Bình Phước,9.45,3
2018,Bình Phước,9.55,2
2018,Bình Phước,9.6,2
2018,Bình Phước,9.65,3
2018,Bình Phước,9.7,4
2018,Bình Phước,9.75,6
2018,Bình Phước,9.8,2
2018,Bình Phước,9.85,2
2018,Bình Phước,9.9,3
2018,Bình Phước,9.95,4
2018,Bình Phước,10.0,1
2018,Bình Phước,10.05,4
2018,Bình Phước,10.1,1
2018,Bình Phước,10.15,4
2018,Bình Phước,10.2,2
2018,Bình Phước,10.25,4
2018,Bình Phước,10.3,4
2018,Bình Phước,10.35,3
2018,Bình Phước,10.4,5
2018,Bình Phước,10.45,4
2018,Bình Phước,10.5,3
2018,Bình Phước,10.55,5
2018,Bình Phước,10.6,2
2018,Bình Phước,10.65,2
2018,Bình Phước,10.7,3
2018,Bình Phước,10.75,3
2018,Bình Phước,10.8,3
2018,Bình Phước,10.85,1
2018,Bình Phước,10.9,3
2018,Bình Phước,10.95,6
2018,Bình Phước,11.0,8
2018,Bình Phước,11.05,1
2018,Bình Phước,11.1,5
2018,Bình Phước,11.15,4
2018,Bình Phước,11.2,5
2018,Bình Phước,11.25,3
2018,Bình Phước,11.3,4
2018,Bình Phước,11.35,6
2018,Bình Phước,11.399999999999999,1
2018,Bình Phước,11.4,1
2018,Bình Phước,11.45,5
2018,Bình Phước,11.5,2
2018,Bình Phước,11.55,7
2018,Bình Phước,11.6,5
2018,Bình Phước,11.65,10
2018,Bình Phước,11.7,4
2018,Bình Phước,11.75,9
2018,Bình Phước,11.8,8
2018,Bình Phước,11.85,11
2018,Bình Phước,11.9,6
2018,Bình Phước,11.95,8
2018,Bình Phước,12.0,5
2018,Bình Phước,12.05,7
2018,Bình Phước,12.1,4
2018,Bình Phước,12.15,9
2018,Bình Phước,12.2,4
2018,Bình Phước,12.25,8
2018,Bình Phước,12.299999999999999,1
2018,Bình Phước,12.3,8
2018,Bình Phước,12.35,5
2018,Bình Phước,12.4,6
2018,Bình Phước,12.45,8
2018,Bình Phước,12.5,7
2018,Bình Phước,12.55,8
2018,Bình Phước,12.6,11
2018,Bình Phước,12.65,7
2018,Bình Phước,12.7,5
2018,Bình Phước,12.75,6
2018,Bình Phước,12.8,3
2018,Bình Phước,12.85,11
2018,Bình Phước,12.9,4
2018,Bình Phước,12.95,12
2018,Bình Phước,13.0,2
2018,Bình Phước,13.05,3
2018,Bình Phước,13.1,3
2018,Bình Phước,13.15,1
2018,Bình Phước,13.2,4
2018,Bình Phước,13.25,7
2018,Bình Phước,13.3,7
2018,Bình Phước,13.35,5
2018,Bình Phước,13.4,3
2018,Bình Phước,13.45,4
2018,Bình Phước,13.5,5
2018,Bình Phước,13.55,5
2018,Bình Phước,13.6,5
2018,Bình Phước,13.65,8
2018,Bình Phước,13.7,8
2018,Bình Phước,13.75,4
2018,Bình Phước,13.8,9
2018,Bình Phước,13.85,6
2018,Bình Phước,13.9,6
2018,Bình Phước,13.95,5
2018,Bình Phước,14.0,4
2018,Bình Phước,14.05,6
2018,Bình Phước,14.1,5
2018,Bình Phước,14.15,4
2018,Bình Phước,14.2,4
2018,Bình Phước,14.25,10
2018,Bình Phước,14.3,3
2018,Bình Phước,14.35,5
2018,Bình Phước,14.4,5
2018,Bình Phước,14.45,4
2018,Bình Phước,14.5,7
2018,Bình Phước,14.55,13
2018,Bình Phước,14.6,5
2018,Bình Phước,14.65,3
2018,Bình Phước,14.7,3
2018,Bình Phước,14.75,6
2018,Bình Phước,14.8,5
2018,Bình Phước,14.85,2
2018,Bình Phước,14.9,7
2018,Bình Phước,14.95,5
2018,Bình Phước,15.0,5
2018,Bình Phước,15.05,6
2018,Bình Phước,15.1,3
2018,Bình Phước,15.15,6
2018,Bình Phước,15.2,3
2018,Bình Phước,15.25,5
2018,Bình Phước,15.3,2
2018,Bình Phước,15.35,1
2018,Bình Phước,15.4,8
2018,Bình Phước,15.45,6
2018,Bình Phước,15.5,1
2018,Bình Phước,15.55,4
2018,Bình Phước,15.6,2
2018,Bình Phước,15.600000000000001,1
2018,Bình Phước,15.65,4
2018,Bình Phước,15.7,3
2018,Bình Phước,15.75,2
2018,Bình Phước,15.8,5
2018,Bình Phước,15.85,6
2018,Bình Phước,15.9,2
2018,Bình Phước,15.95,1
2018,Bình Phước,16.0,2
2018,Bình Phước,16.05,3
2018,Bình Phước,16.1,5
2018,Bình Phước,16.15,4
2018,Bình Phước,16.2,7
2018,Bình Phước,16.25,4
2018,Bình Phước,16.3,7
2018,Bình Phước,16.35,1
2018,Bình Phước,16.4,4
2018,Bình Phước,16.45,5
2018,Bình Phước,16.5,4
2018,Bình Phước,16.55,3
2018,Bình Phước,16.6,1
2018,Bình Phước,16.65,9
2018,Bình Phước,16.7,2
2018,Bình Phước,16.700000000000003,1
2018,Bình Phước,16.75,9
2018,Bình Phước,16.8,2
2018,Bình Phước,16.85,3
2018,Bình Phước,16.9,3
2018,Bình Phước,16.95,8
2018,Bình Phước,17.0,6
2018,Bình Phước,17.05,2
2018,Bình Phước,17.1,7
2018,Bình Phước,17.15,6
2018,Bình Phước,17.2,4
2018,Bình Phước,17.25,7
2018,Bình Phước,17.3,4
2018,Bình Phước,17.35,6
2018,Bình Phước,17.4,5
2018,Bình Phước,17.45,3
2018,Bình Phước,17.450000000000003,1
2018,Bình Phước,17.5,6
2018,Bình Phước,17.55,4
2018,Bình Phước,17.6,5
2018,Bình Phước,17.65,4
2018,Bình Phước,17.7,3
2018,Bình Phước,17.75,5
2018,Bình Phước,17.8,3
2018,Bình Phước,17.85,4
2018,Bình Phước,17.9,3
2018,Bình Phước,17.95,4
2018,Bình Phước,18.0,4
2018,Bình Phước,18.05,3
2018,Bình Phước,18.1,4
2018,Bình Phước,18.15,3
2018,Bình Phước,18.2,6
2018,Bình Phước,18.25,4
2018,Bình Phước,18.3,6
2018,Bình Phước,18.35,4
2018,Bình Phước,18.4,5
