nam_hoc,tinh,tong_diem,so_hoc_sinh
2018,Bình Thuận,0.0,1
2018,Bình Thuận,4.65,1
2018,Bình Thuận,5.0,1
2018,Bình Thuận,5.3,1
2018,Bình Thuận,5.35,1
2018,Bình Thuận,5.85,1
2018,Bình Thuận,6.2,1
2018,Bình Thuận,6.5,1
2018,Bình Thuận,6.9,1
2018,Bình Thuận,7.0,2
2018,Bình Thuận,7.05,1
2018,Bình Thuận,7.1,1
2018,Bình Thuận,7.15,1
2018,Bình Thuận,7.25,1
2018,Bình Thuận,7.35,1
2018,Bình Thuận,7.6,1
2018,Bình Thuận,7.8,1
2018,Bình Thuận,7.85,1
2018,Bình Thuận,8.3,3
2018,Bình Thuận,8.45,1
2018,Bình Thuận,8.5,1
2018,Bình Thuận,8.55,1
2018,Bình Thuận,8.6,1
2018,Bình Thuận,8.65,1
2018,Bình Thuận,8.7,1
2018,Bình Thuận,8.8,1
2018,Bình Thuận,8.85,1
2018,Bình Thuận,8.9,1
2018,Bình Thuận,8.95,1
2018,Bình Thuận,9.05,1
2018,Bình Thuận,9.1,3
2018,Bình Thuận,9.15,1
2018,Bình Thuận,9.2,1
2018,Bình Thuận,9.25,1
2018,Bình Thuận,9.35,1
2018,Bình Thuận,9.4,2
2018,Bình Thuận,9.45,1
2018,Bình Thuận,9.5,1
2018,Bình Thuận,9.55,1
2018,Bình Thuận,9.65,1
2018,Bình Thuận,9.7,1
2018,Bình Thuận,9.95,1
2018,Bình Thuận,10.0,1
2018,Bình Thuận,10.05,2
2018,Bình Thuận,10.1,1
2018,Bình Thuận,10.2,1
2018,Bình Thuận,10.25,2
2018,Bình Thuận,10.35,5
2018,Bình Thuận,10.45,3
2018,Bình Thuận,10.5,2
2018,Bình Thuận,10.55,3
2018,Bình Thuận,10.6,3
2018,Bình Thuận,10.65,4
2018,Bình Thuận,10.7,1
2018,Bình Thuận,10.75,2
2018,Bình Thuận,10.8,10
2018,Bình Thuận,10.85,3
2018,Bình Thuận,10.9,3
2018,Bình Thuận,10.95,2
2018,Bình Thuận,11.0,3
2018,Bình Thuận,11.05,6
2018,Bình Thuận,11.1,1
2018,Bình Thuận,11.15,2
2018,Bình Thuận,11.2,3
2018,Bình Thuận,11.25,4
2018,Bình Thuận,11.3,5
2018,Bình Thuận,11.35,3
2018,Bình Thuận,11.4,2
2018,Bình Thuận,11.45,2
2018,Bình Thuận,11.5,1
2018,Bình Thuận,11.55,1
2018,Bình Thuận,11.6,3
2018,Bình Thuận,11.65,4
2018,Bình Thuận,11.7,4
2018,Bình Thuận,11.75,6
2018,Bình Thuận,11.8,2
2018,Bình Thuận,11.85,3
2018,Bình Thuận,11.9,1
2018,Bình Thuận,11.95,3
2018,Bình Thuận,12.0,1
2018,Bình Thuận,12.05,2
2018,Bình Thuận,12.1,2
2018,Bình Thuận,12.15,2
2018,Bình Thuận,12.2,5
2018,Bình Thuận,12.25,2
2018,Bình Thuận,12.3,6
2018,Bình Thuận,12.35,1
2018,Bình Thuận,12.4,3
2018,Bình Thuận,12.45,4
2018,Bình Thuận,12.5,7
2018,Bình Thuận,12.6,4
2018,Bình Thuận,12.65,7
2018,Bình Thuận,12.7,3
2018,Bình Thuận,12.75,4
2018,Bình Thuận,12.8,1
2018,Bình Thuận,12.85,2
2018,Bình Thuận,12.9,7
2018,Bình Thuận,12.95,3
2018,Bình Thuận,13.0,4
2018,Bình Thuận,13.05,2
2018,Bình Thuận,13.1,2
2018,Bình Thuận,13.15,7
2018,Bình Thuận,13.2,3
2018,Bình Thuận,13.25,4
2018,Bình Thuận,13.3,2
2018,Bình Thuận,13.35,5
2018,Bình Thuận,13.350000000000001,1
2018,Bình Thuận,13.4,6
2018,Bình Thuận,13.45,6
2018,Bình Thuận,13.5,4
2018,Bình Thuận,13.55,4
2018,Bình Thuận,13.6,2
2018,Bình Thuận,13.65,6
