nam_hoc,tinh,tong_diem,so_hoc_sinh
2018,Bình Định,0.5,1
2018,Bình Định,1.5,1
2018,Bình Định,1.75,1
2018,Bình Định,2.0,1
2018,Bình Định,2.4,1
2018,Bình Định,2.5,1
2018,Bình Định,4.6,1
2018,Bình Định,5.1,1
2018,Bình Định,5.15,1
2018,Bình Định,5.25,1
2018,Bình Định,5.45,1
2018,Bình Định,5.55,1
2018,Bình Định,5.7,1
2018,Bình Định,6.1,1
2018,Bình Định,6.4,1
2018,Bình Định,6.45,2
2018,Bình Định,6.5,1
2018,Bình Định,6.65,3
2018,Bình Định,6.85,1
2018,Bình Định,6.95,1
2018,Bình Định,7.05,4
2018,Bình Định,7.1,2
2018,Bình Định,7.15,1
2018,Bình Định,7.199999999999999,1
2018,Bình Định,7.2,2
2018,Bình Định,7.25,1
2018,Bình Định,7.3,2
2018,Bình Định,7.35,2
2018,Bình Định,7.3500000000000005,1
2018,Bình Định,7.4,2
2018,Bình Định,7.449999999999999,1
2018,Bình Định,7.45,2
2018,Bình Định,7.5,3
2018,Bình Định,7.65,3
2018,Bình Định,7.7,2
2018,Bình Định,7.75,3
2018,Bình Định,7.8,1
2018,Bình Định,7.800000000000001,1
2018,Bình Định,7.85,1
2018,Bình Định,7.9,3
2018,Bình Định,7.95,4
2018,Bình Định,8.05,1
2018,Bình Định,8.1,3
2018,Bình Định,8.149999999999999,1
2018,Bình Định,8.15,2
2018,Bình Định,8.2,5
2018,Bình Định,8.3,2
2018,Bình Định,8.35,2
2018,Bình Định,8.4,1
2018,Bình Định,8.5,4
2018,Bình Định,8.55,2
2018,Bình Định,8.6,2
2018,Bình Định,8.65,3
2018,Bình Định,8.7,2
2018,Bình Định,8.75,3
2018,Bình Định,8.8,3
2018,Bình Định,8.85,5
2018,Bình Định,8.9,2
2018,Bình Định,8.95,1
2018,Bình Định,9.0,2
2018,Bình Định,9.05,2
2018,Bình Định,9.1,1
2018,Bình Định,9.15,6
2018,Bình Định,9.25,4
2018,Bình Định,9.3,3
2018,Bình Định,9.350000000000001,1
2018,Bình Định,9.4,1
2018,Bình Định,9.45,4
2018,Bình Định,9.5,2
2018,Bình Định,9.55,2
2018,Bình Định,9.6,1
2018,Bình Định,9.65,3
2018,Bình Định,9.7,2
2018,Bình Định,9.75,5
2018,Bình Định,9.8,4
2018,Bình Định,9.85,1
2018,Bình Định,9.9,3
2018,Bình Định,9.95,2
2018,Bình Định,10.0,2
2018,Bình Định,10.05,3
2018,Bình Định,10.1,3
2018,Bình Định,10.15,1
2018,Bình Định,10.2,1
2018,Bình Định,10.25,7
2018,Bình Định,10.3,4
2018,Bình Định,10.35,3
2018,Bình Định,10.4,4
2018,Bình Định,10.45,5
2018,Bình Định,10.5,1
2018,Bình Định,10.6,4
2018,Bình Định,10.65,1
2018,Bình Định,10.7,1
2018,Bình Định,10.75,2
2018,Bình Định,10.799999999999999,1
2018,Bình Định,10.8,6
2018,Bình Định,10.85,6
2018,Bình Định,10.9,3
2018,Bình Định,10.95,5
2018,Bình Định,11.0,5
2018,Bình Định,11.05,1
2018,Bình Định,11.1,1
2018,Bình Định,11.2,2
2018,Bình Định,11.25,6
2018,Bình Định,11.3,3
2018,Bình Định,11.35,3
2018,Bình Định,11.4,3
2018,Bình Định,11.45,5
2018,Bình Định,11.5,6
2018,Bình Định,11.55,7
2018,Bình Định,11.6,2
2018,Bình Định,11.65,5
2018,Bình Định,11.7,3
2018,Bình Định,11.75,7
2018,Bình Định,11.8,1
2018,Bình Định,11.85,3
2018,Bình Định,11.9,3
2018,Bình Định,11.95,6
2018,Bình Định,12.0,7
2018,Bình Định,12.05,2
2018,Bình Định,12.1,4
2018,Bình Định,12.15,5
2018,Bình Định,12.2,4
2018,Bình Định,12.25,5
2018,Bình Định,12.3,2
2018,Bình Định,12.4,3
2018,Bình Định,12.45,2
2018,Bình Định,12.5,4
2018,Bình Định,12.55,2
2018,Bình Định,12.6,1
2018,Bình Định,12.600000000000001,1
2018,Bình Định,12.65,7
2018,Bình Định,12.7,4
2018,Bình Định,12.75,3
2018,Bình Định,12.8,1
2018,Bình Định,12.85,2
2018,Bình Định,12.9,2
2018,Bình Định,12.95,2
2018,Bình Định,13.0,3
2018,Bình Định,13.05,5
2018,Bình Định,13.1,6
2018,Bình Định,13.15,5
2018,Bình Định,13.2,7
2018,Bình Định,13.25,4
2018,Bình Định,13.299999999999999,1
2018,Bình Định,13.3,3
2018,Bình Định,13.35,5
2018,Bình Định,13.4,2
2018,Bình Định,13.45,1
2018,Bình Định,13.5,5
2018,Bình Định,13.549999999999999,1
2018,Bình Định,13.55,6
2018,Bình Định,13.6,6
2018,Bình Định,13.65,2
2018,Bình Định,13.7,2
2018,Bình Định,13.75,7
2018,Bình Định,13.8,2
2018,Bình Định,13.85,5
2018,Bình Định,13.9,4
2018,Bình Định,13.95,1
2018,Bình Định,14.0,5
2018,Bình Định,14.05,2
2018,Bình Định,14.1,5
2018,Bình Định,14.100000000000001,1
2018,Bình Định,14.149999999999999,1
2018,Bình Định,14.15,6
2018,Bình Định,14.2,4
2018,Bình Định,14.25,3
2018,Bình Định,14.3,2
2018,Bình Định,14.4,5
2018,Bình Định,14.45,4
2018,Bình Định,14.5,7
2018,Bình Định,14.55,2
2018,Bình Định,14.6,2
2018,Bình Định,14.600000000000001,1
2018,Bình Định,14.65,5
2018,Bình Định,14.7,2
2018,Bình Định,14.75,2
2018,Bình Định,14.8,6
2018,Bình Định,14.85,2
2018,Bình Định,14.850000000000001,1
2018,Bình Định,14.899999999999999,1
2018,Bình Định,14.9,6
2018,Bình Định,14.95,2
2018,Bình Định,15.0,2
2018,Bình Định,15.05,3
2018,Bình Định,15.1,4
2018,Bình Định,15.149999999999999,1
2018,Bình Định,15.15,4
2018,Bình Định,15.2,6
2018,Bình Định,15.25,1
2018,Bình Định,15.3,4
2018,Bình Định,15.35,1
2018,Bình Định,15.399999999999999,1
2018,Bình Định,15.4,4
2018,Bình Định,15.45,7
2018,Bình Định,15.5,7
2018,Bình Định,15.55,6
2018,Bình Định,15.6,4
2018,Bình Định,15.65,3
2018,Bình Định,15.7,5
2018,Bình Định,15.75,4
2018,Bình Định,15.799999999999999,1
2018,Bình Định,15.8,4
2018,Bình Định,15.850000000000001,1
2018,Bình Định,15.9,3
2018,Bình Định,15.95,3
2018,Bình Định,16.0,4
2018,Bình Định,16.05,4
2018,Bình Định,16.1,3
2018,Bình Định,16.15,4
2018,Bình Định,16.2,6
2018,Bình Định,16.25,7
2018,Bình Định,16.3,1
2018,Bình Định,16.35,3
2018,Bình Định,16.4,3
2018,Bình Định,16.45,2
2018,Bình Định,16.5,11
2018,Bình Định,16.55,2
2018,Bình Định,16.6,5
2018,Bình Định,16.65,6
2018,Bình Định,16.7,6
2018,Bình Định,16.75,10
2018,Bình Định,16.8,3
2018,Bình Định,16.85,5
2018,Bình Định,16.9,4
2018,Bình Định,16.95,5
2018,Bình Định,17.0,6
2018,Bình Định,17.05,7
2018,Bình Định,17.1,3
2018,Bình Định,17.15,9
2018,Bình Định,17.2,5
2018,Bình Định,17.25,7
2018,Bình Định,17.3,4
2018,Bình Định,17.35,5
2018,Bình Định,17.4,3
2018,Bình Định,17.45,3
2018,Bình Định,17.5,6
2018,Bình Định,17.55,4
2018,Bình Định,17.6,6
2018,Bình Định,17.65,3
2018,Bình Định,17.7,3
2018,Bình Định,17.75,6
2018,Bình Định,17.8,6
2018,Bình Định,17.85,9
2018,Bình Định,17.9,10
2018,Bình Định,17.95,3
2018,Bình Định,18.0,8
2018,Bình Định,18.05,7
2018,Bình Định,18.1,12
2018,Bình Định,18.15,7
2018,Bình Định,18.2,9
2018,Bình Định,18.25,6
2018,Bình Định,18.3,5
2018,Bình Định,18.35,5
2018,Bình Định,18.4,4
2018,Bình Định,18.45,5
2018,Bình Định,18.5,7
2018,Bình Định,18.55,12
2018,Bình Định,18.6,8
2018,Bình Định,18.65,10
2018,Bình Định,18.7,6
2018,Bình Định,18.75,7
2018,Bình Định,18.8,8
2018,Bình Định,18.85,9
2018,Bình Định,18.9,5
2018,Bình Định,18.95,6
2018,Bình Định,18.950000000000003,2
2018,Bình Định,19.0,5
2018,Bình Định,19.05,8
