nam_hoc,tinh,tong_diem,so_hoc_sinh
2018,Cà Mau,2.8,1
2018,Cà Mau,4.3,1
2018,Cà Mau,4.45,1
2018,Cà Mau,4.6,1
2018,Cà Mau,6.2,1
2018,Cà Mau,6.300000000000001,1
2018,Cà Mau,6.4,2
2018,Cà Mau,6.45,2
2018,Cà Mau,6.6000000000000005,1
2018,Cà Mau,6.65,1
2018,Cà Mau,6.7,1
2018,Cà Mau,6.800000000000001,1
2018,Cà Mau,7.1,1
2018,Cà Mau,7.2,2
2018,Cà Mau,7.25,1
2018,Cà Mau,7.4,2
2018,Cà Mau,7.45,1
2018,Cà Mau,7.5,2
2018,Cà Mau,7.699999999999999,2
2018,Cà Mau,7.7,1
2018,Cà Mau,7.75,1
2018,Cà Mau,7.8,1
2018,Cà Mau,7.9,4
2018,Cà Mau,7.95,2
2018,Cà Mau,8.1,2
2018,Cà Mau,8.100000000000001,1
2018,Cà Mau,8.2,1
2018,Cà Mau,8.25,2
2018,Cà Mau,8.35,1
2018,Cà Mau,8.45,2
2018,Cà Mau,8.55,1
2018,Cà Mau,8.6,3
2018,Cà Mau,8.65,2
2018,Cà Mau,8.7,2
2018,Cà Mau,8.75,2
2018,Cà Mau,8.8,3
2018,Cà Mau,8.85,1
2018,Cà Mau,8.9,1
2018,Cà Mau,8.95,2
2018,Cà Mau,9.0,1
2018,Cà Mau,9.05,3
2018,Cà Mau,9.1,2
2018,Cà Mau,9.15,3
2018,Cà Mau,9.2,1
2018,Cà Mau,9.3,3
2018,Cà Mau,9.35,3
2018,Cà Mau,9.4,2
2018,Cà Mau,9.45,1
2018,Cà Mau,9.65,2
2018,Cà Mau,9.7,5
2018,Cà Mau,9.75,1
2018,Cà Mau,9.8,2
2018,Cà Mau,9.85,3
2018,Cà Mau,9.9,3
2018,Cà Mau,9.95,1
2018,Cà Mau,10.0,5
2018,Cà Mau,10.05,3
2018,Cà Mau,10.1,1
2018,Cà Mau,10.2,2
2018,Cà Mau,10.25,2
2018,Cà Mau,10.3,2
2018,Cà Mau,10.35,2
2018,Cà Mau,10.4,4
2018,Cà Mau,10.5,1
2018,Cà Mau,10.55,5
2018,Cà Mau,10.6,2
2018,Cà Mau,10.600000000000001,1
2018,Cà Mau,10.65,3
2018,Cà Mau,10.75,2
2018,Cà Mau,10.8,1
2018,Cà Mau,10.85,3
2018,Cà Mau,10.9,1
2018,Cà Mau,10.95,1
2018,Cà Mau,11.0,3
2018,Cà Mau,11.05,3
2018,Cà Mau,11.1,2
2018,Cà Mau,11.2,2
2018,Cà Mau,11.25,4
2018,Cà Mau,11.3,4
2018,Cà Mau,11.35,1
2018,Cà Mau,11.4,2
2018,Cà Mau,11.5,3
2018,Cà Mau,11.55,1
2018,Cà Mau,11.6,1
2018,Cà Mau,11.600000000000001,1
2018,Cà Mau,11.65,4
2018,Cà Mau,11.7,3
2018,Cà Mau,11.75,5
2018,Cà Mau,11.8,2
2018,Cà Mau,11.85,2
2018,Cà Mau,11.9,2
2018,Cà Mau,11.95,1
2018,Cà Mau,12.0,5
2018,Cà Mau,12.05,4
2018,Cà Mau,12.1,2
2018,Cà Mau,12.15,5
2018,Cà Mau,12.2,2
2018,Cà Mau,12.25,6
2018,Cà Mau,12.3,2
2018,Cà Mau,12.399999999999999,1
2018,Cà Mau,12.4,4
2018,Cà Mau,12.45,3
2018,Cà Mau,12.5,6
2018,Cà Mau,12.55,1
2018,Cà Mau,12.6,5
2018,Cà Mau,12.649999999999999,1
2018,Cà Mau,12.65,1
2018,Cà Mau,12.75,4
2018,Cà Mau,12.8,4
2018,Cà Mau,12.85,1
2018,Cà Mau,12.9,4
2018,Cà Mau,13.0,1
2018,Cà Mau,13.05,2
2018,Cà Mau,13.1,3
2018,Cà Mau,13.15,1
2018,Cà Mau,13.2,2
2018,Cà Mau,13.25,5
2018,Cà Mau,13.3,2
2018,Cà Mau,13.35,3
2018,Cà Mau,13.4,1
2018,Cà Mau,13.45,3
2018,Cà Mau,13.5,7
2018,Cà Mau,13.55,2
2018,Cà Mau,13.6,4
2018,Cà Mau,13.65,4
2018,Cà Mau,13.7,4
2018,Cà Mau,13.75,6
2018,Cà Mau,13.8,2
2018,Cà Mau,13.85,2
2018,Cà Mau,13.9,4
2018,Cà Mau,13.95,3
2018,Cà Mau,14.0,6
2018,Cà Mau,14.1,2
2018,Cà Mau,14.2,4
2018,Cà Mau,14.25,6
2018,Cà Mau,14.3,4
2018,Cà Mau,14.35,4
2018,Cà Mau,14.4,3
2018,Cà Mau,14.45,4
2018,Cà Mau,14.5,2
2018,Cà Mau,14.55,2
2018,Cà Mau,14.6,3
2018,Cà Mau,14.65,3
2018,Cà Mau,14.7,4
2018,Cà Mau,14.75,4
2018,Cà Mau,14.85,3
2018,Cà Mau,14.9,1
2018,Cà Mau,14.95,2
2018,Cà Mau,15.0,2
2018,Cà Mau,15.1,2
2018,Cà Mau,15.100000000000001,1
2018,Cà Mau,15.15,7
2018,Cà Mau,15.2,3
2018,Cà Mau,15.25,7
2018,Cà Mau,15.3,2
2018,Cà Mau,15.35,1
2018,Cà Mau,15.4,1
2018,Cà Mau,15.45,5
2018,Cà Mau,15.5,4
2018,Cà Mau,15.55,3
2018,Cà Mau,15.6,5
2018,Cà Mau,15.600000000000001,1
2018,Cà Mau,15.65,2
2018,Cà Mau,15.7,4
2018,Cà Mau,15.75,4
2018,Cà Mau,15.8,1
2018,Cà Mau,15.85,1
2018,Cà Mau,15.9,5
2018,Cà Mau,15.95,3
2018,Cà Mau,16.0,7
2018,Cà Mau,16.05,2
2018,Cà Mau,16.1,3
2018,Cà Mau,16.15,5
2018,Cà Mau,16.2,1
2018,Cà Mau,16.25,1
2018,Cà Mau,16.3,2
2018,Cà Mau,16.35,5
2018,Cà Mau,16.4,5
2018,Cà Mau,16.45,5
2018,Cà Mau,16.5,8
2018,Cà Mau,16.55,4
2018,Cà Mau,16.6,4
2018,Cà Mau,16.65,3
2018,Cà Mau,16.7,5
2018,Cà Mau,16.75,2
2018,Cà Mau,16.8,6
2018,Cà Mau,16.85,3
2018,Cà Mau,16.9,4
2018,Cà Mau,16.95,5
2018,Cà Mau,17.0,4
2018,Cà Mau,17.05,8
2018,Cà Mau,17.1,3
2018,Cà Mau,17.15,3
2018,Cà Mau,17.2,5
2018,Cà Mau,17.25,4
2018,Cà Mau,17.3,6
2018,Cà Mau,17.35,7
2018,Cà Mau,17.4,3
2018,Cà Mau,17.45,3
2018,Cà Mau,17.450000000000003,1
2018,Cà Mau,17.5,9
2018,Cà Mau,17.55,3
2018,Cà Mau,17.6,8
2018,Cà Mau,17.65,4
2018,Cà Mau,17.7,4
2018,Cà Mau,17.75,6
2018,Cà Mau,17.799999999999997,1
2018,Cà Mau,17.8,6
2018,Cà Mau,17.85,5
2018,Cà Mau,17.9,5
2018,Cà Mau,17.95,5
2018,Cà Mau,18.0,5
