nam_hoc,tinh,tong_diem,so_hoc_sinh
2023,Cần Thơ,4.5,1
2023,Cần Thơ,5.2,1
2023,Cần Thơ,7.2,1
2023,Cần Thơ,8.65,1
2023,Cần Thơ,9.1,1
2023,Cần Thơ,9.45,1
2023,Cần Thơ,9.5,1
2023,Cần Thơ,9.8,1
2023,Cần Thơ,9.95,1
2023,Cần Thơ,10.25,1
2023,Cần Thơ,10.45,1
2023,Cần Thơ,10.5,2
2023,Cần Thơ,10.6,1
2023,Cần Thơ,10.75,2
2023,Cần Thơ,10.95,1
2023,Cần Thơ,11.0,1
2023,Cần Thơ,11.05,1
2023,Cần Thơ,11.15,1
2023,Cần Thơ,11.25,2
2023,Cần Thơ,11.3,1
2023,Cần Thơ,11.5,2
2023,Cần Thơ,11.65,1
2023,Cần Thơ,11.7,1
2023,Cần Thơ,11.75,1
2023,Cần Thơ,11.8,1
2023,Cần Thơ,11.9,1
2023,Cần Thơ,11.95,2
2023,Cần Thơ,12.05,1
2023,Cần Thơ,12.25,1
2023,Cần Thơ,12.3,1
2023,Cần Thơ,12.35,4
2023,Cần Thơ,12.4,1
2023,Cần Thơ,12.5,2
2023,Cần Thơ,12.55,1
2023,Cần Thơ,12.65,1
2023,Cần Thơ,12.75,2
2023,Cần Thơ,12.85,2
2023,Cần Thơ,12.9,2
2023,Cần Thơ,13.0,2
2023,Cần Thơ,13.1,1
2023,Cần Thơ,13.15,1
2023,Cần Thơ,13.25,5
2023,Cần Thơ,13.3,1
2023,Cần Thơ,13.45,2
2023,Cần Thơ,13.5,4
2023,Cần Thơ,13.55,1
2023,Cần Thơ,13.6,1
2023,Cần Thơ,13.65,1
2023,Cần Thơ,13.7,2
2023,Cần Thơ,13.75,2
2023,Cần Thơ,13.8,2
2023,Cần Thơ,13.85,3
2023,Cần Thơ,13.850000000000001,1
2023,Cần Thơ,13.9,1
2023,Cần Thơ,13.95,1
2023,Cần Thơ,14.0,4
2023,Cần Thơ,14.05,1
2023,Cần Thơ,14.1,1
2023,Cần Thơ,14.15,3
2023,Cần Thơ,14.25,3
2023,Cần Thơ,14.45,1
2023,Cần Thơ,14.5,6
2023,Cần Thơ,14.55,5
2023,Cần Thơ,14.6,3
2023,Cần Thơ,14.7,4
2023,Cần Thơ,14.75,7
2023,Cần Thơ,14.9,5
2023,Cần Thơ,14.95,2
2023,Cần Thơ,15.0,10
2023,Cần Thơ,15.05,1
2023,Cần Thơ,15.1,1
2023,Cần Thơ,15.2,2
2023,Cần Thơ,15.25,5
2023,Cần Thơ,15.35,1
2023,Cần Thơ,15.4,5
2023,Cần Thơ,15.45,3
2023,Cần Thơ,15.5,3
2023,Cần Thơ,15.55,4
2023,Cần Thơ,15.6,2
2023,Cần Thơ,15.65,6
2023,Cần Thơ,15.7,4
2023,Cần Thơ,15.75,8
2023,Cần Thơ,15.8,7
2023,Cần Thơ,15.85,2
2023,Cần Thơ,15.9,3
2023,Cần Thơ,15.95,2
2023,Cần Thơ,16.0,7
2023,Cần Thơ,16.05,3
2023,Cần Thơ,16.1,1
2023,Cần Thơ,16.15,6
2023,Cần Thơ,16.2,4
2023,Cần Thơ,16.25,6
2023,Cần Thơ,16.3,3
2023,Cần Thơ,16.35,1
2023,Cần Thơ,16.4,6
2023,Cần Thơ,16.45,7
2023,Cần Thơ,16.5,8
2023,Cần Thơ,16.55,4
2023,Cần Thơ,16.6,3
2023,Cần Thơ,16.65,4
2023,Cần Thơ,16.7,4
2023,Cần Thơ,16.75,8
2023,Cần Thơ,16.8,2
2023,Cần Thơ,16.85,5
2023,Cần Thơ,16.9,5
2023,Cần Thơ,16.95,7
2023,Cần Thơ,17.0,10
2023,Cần Thơ,17.05,1
2023,Cần Thơ,17.1,3
2023,Cần Thơ,17.15,1
2023,Cần Thơ,17.2,7
2023,Cần Thơ,17.25,14
2023,Cần Thơ,17.3,3
2023,Cần Thơ,17.35,2
2023,Cần Thơ,17.4,1
2023,Cần Thơ,17.45,5
2023,Cần Thơ,17.5,5
2023,Cần Thơ,17.55,5
2023,Cần Thơ,17.6,4
2023,Cần Thơ,17.65,7
2023,Cần Thơ,17.7,1
2023,Cần Thơ,17.75,9
2023,Cần Thơ,17.8,3
2023,Cần Thơ,17.85,3
2023,Cần Thơ,17.9,4
2023,Cần Thơ,17.95,3
2023,Cần Thơ,18.0,9
2023,Cần Thơ,18.05,2
2023,Cần Thơ,18.1,8
2023,Cần Thơ,18.15,4
2023,Cần Thơ,18.2,3
2023,Cần Thơ,18.25,10
2023,Cần Thơ,18.3,5
2023,Cần Thơ,18.35,4
2023,Cần Thơ,18.4,3
2023,Cần Thơ,18.45,5
2023,Cần Thơ,18.5,8
2023,Cần Thơ,18.55,6
2023,Cần Thơ,18.6,6
2023,Cần Thơ,18.65,3
2023,Cần Thơ,18.7,6
2023,Cần Thơ,18.75,8
2023,Cần Thơ,18.8,4
2023,Cần Thơ,18.85,8
2023,Cần Thơ,18.9,4
2023,Cần Thơ,18.95,3
2023,Cần Thơ,19.0,11
2023,Cần Thơ,19.05,5
2023,Cần Thơ,19.1,4
2023,Cần Thơ,19.15,3
2023,Cần Thơ,19.2,2
2023,Cần Thơ,19.25,19
2023,Cần Thơ,19.3,4
2023,Cần Thơ,19.35,3
2023,Cần Thơ,19.4,8
2023,Cần Thơ,19.45,3
2023,Cần Thơ,19.5,6
2023,Cần Thơ,19.55,4
2023,Cần Thơ,19.6,6
2023,Cần Thơ,19.65,5
2023,Cần Thơ,19.7,4
2023,Cần Thơ,19.75,10
2023,Cần Thơ,19.8,7
2023,Cần Thơ,19.85,6
2023,Cần Thơ,19.9,3
2023,Cần Thơ,19.95,2
2023,Cần Thơ,20.0,9
2023,Cần Thơ,20.05,5
2023,Cần Thơ,20.1,6
2023,Cần Thơ,20.15,4
2023,Cần Thơ,20.25,9
2023,Cần Thơ,20.3,3
2023,Cần Thơ,20.35,8
2023,Cần Thơ,20.4,6
2023,Cần Thơ,20.45,2
2023,Cần Thơ,20.5,19
2023,Cần Thơ,20.55,5
2023,Cần Thơ,20.6,7
2023,Cần Thơ,20.65,6
2023,Cần Thơ,20.7,3
2023,Cần Thơ,20.75,15
2023,Cần Thơ,20.8,6
2023,Cần Thơ,20.85,2
2023,Cần Thơ,20.9,5
2023,Cần Thơ,20.95,6
2023,Cần Thơ,21.0,8
2023,Cần Thơ,21.05,11
2023,Cần Thơ,21.1,7
2023,Cần Thơ,21.15,3
2023,Cần Thơ,21.2,7
2023,Cần Thơ,21.25,12
2023,Cần Thơ,21.3,8
2023,Cần Thơ,21.35,2
2023,Cần Thơ,21.4,4
2023,Cần Thơ,21.45,10
2023,Cần Thơ,21.5,10
2023,Cần Thơ,21.55,6
2023,Cần Thơ,21.6,4
2023,Cần Thơ,21.65,4
2023,Cần Thơ,21.7,5
2023,Cần Thơ,21.700000000000003,2
2023,Cần Thơ,21.75,15
2023,Cần Thơ,21.8,7
2023,Cần Thơ,21.85,8
