nam_hoc,tinh,tong_diem,so_hoc_sinh
2018,Cao Bằng,3.8,1
2018,Cao Bằng,3.9,1
2018,Cao Bằng,5.15,1
2018,Cao Bằng,5.199999999999999,1
2018,Cao Bằng,5.2,1
2018,Cao Bằng,5.7,2
2018,Cao Bằng,5.75,1
2018,Cao Bằng,5.85,1
2018,Cao Bằng,6.1,1
2018,Cao Bằng,6.9,2
2018,Cao Bằng,7.15,2
2018,Cao Bằng,7.4,1
2018,Cao Bằng,7.45,1
2018,Cao Bằng,7.5,1
2018,Cao Bằng,7.7,1
2018,Cao Bằng,7.8999999999999995,1
2018,Cao Bằng,7.9,2
2018,Cao Bằng,7.95,1
2018,Cao Bằng,8.0,2
2018,Cao Bằng,8.05,1
2018,Cao Bằng,8.1,1
2018,Cao Bằng,8.25,2
2018,Cao Bằng,8.3,1
2018,Cao Bằng,8.45,2
2018,Cao Bằng,8.6,1
2018,Cao Bằng,8.7,1
2018,Cao Bằng,8.75,1
2018,Cao Bằng,8.8,2
2018,Cao Bằng,8.95,1
2018,Cao Bằng,9.0,3
2018,Cao Bằng,9.05,3
2018,Cao Bằng,9.1,3
2018,Cao Bằng,9.149999999999999,1
2018,Cao Bằng,9.2,1
2018,Cao Bằng,9.25,4
2018,Cao Bằng,9.35,1
2018,Cao Bằng,9.4,2
2018,Cao Bằng,9.45,3
2018,Cao Bằng,9.5,2
2018,Cao Bằng,9.55,5
2018,Cao Bằng,9.6,1
2018,Cao Bằng,9.65,2
2018,Cao Bằng,9.7,1
2018,Cao Bằng,9.8,2
2018,Cao Bằng,9.85,2
2018,Cao Bằng,9.9,1
2018,Cao Bằng,9.95,1
2018,Cao Bằng,10.0,3
2018,Cao Bằng,10.05,2
2018,Cao Bằng,10.1,4
2018,Cao Bằng,10.15,4
2018,Cao Bằng,10.2,2
2018,Cao Bằng,10.25,3
2018,Cao Bằng,10.3,4
2018,Cao Bằng,10.35,5
2018,Cao Bằng,10.4,2
2018,Cao Bằng,10.45,1
2018,Cao Bằng,10.5,5
2018,Cao Bằng,10.55,4
2018,Cao Bằng,10.6,1
2018,Cao Bằng,10.65,2
2018,Cao Bằng,10.75,4
2018,Cao Bằng,10.8,4
2018,Cao Bằng,10.85,3
2018,Cao Bằng,10.9,3
2018,Cao Bằng,10.95,6
2018,Cao Bằng,11.0,8
2018,Cao Bằng,11.05,3
2018,Cao Bằng,11.1,1
2018,Cao Bằng,11.15,4
2018,Cao Bằng,11.2,1
2018,Cao Bằng,11.25,4
2018,Cao Bằng,11.3,4
2018,Cao Bằng,11.35,2
2018,Cao Bằng,11.4,1
2018,Cao Bằng,11.45,4
2018,Cao Bằng,11.5,1
2018,Cao Bằng,11.6,4
2018,Cao Bằng,11.65,5
2018,Cao Bằng,11.7,5
2018,Cao Bằng,11.75,4
2018,Cao Bằng,11.8,2
2018,Cao Bằng,11.850000000000001,1
2018,Cao Bằng,11.9,4
2018,Cao Bằng,11.95,3
2018,Cao Bằng,12.0,6
2018,Cao Bằng,12.05,5
2018,Cao Bằng,12.1,4
2018,Cao Bằng,12.15,2
2018,Cao Bằng,12.2,4
2018,Cao Bằng,12.25,8
2018,Cao Bằng,12.3,2
2018,Cao Bằng,12.35,2
2018,Cao Bằng,12.4,7
2018,Cao Bằng,12.45,2
2018,Cao Bằng,12.5,1
2018,Cao Bằng,12.55,8
2018,Cao Bằng,12.6,2
2018,Cao Bằng,12.65,3
2018,Cao Bằng,12.7,1
2018,Cao Bằng,12.75,7
2018,Cao Bằng,12.8,3
2018,Cao Bằng,12.85,2
2018,Cao Bằng,12.9,6
2018,Cao Bằng,13.0,8
2018,Cao Bằng,13.05,5
2018,Cao Bằng,13.1,5
2018,Cao Bằng,13.15,4
2018,Cao Bằng,13.2,2
2018,Cao Bằng,13.25,4
2018,Cao Bằng,13.3,6
2018,Cao Bằng,13.35,5
2018,Cao Bằng,13.4,6
2018,Cao Bằng,13.45,3
2018,Cao Bằng,13.5,6
2018,Cao Bằng,13.55,3
2018,Cao Bằng,13.6,3
2018,Cao Bằng,13.65,4
2018,Cao Bằng,13.7,4
2018,Cao Bằng,13.75,3
2018,Cao Bằng,13.8,2
2018,Cao Bằng,13.85,6
2018,Cao Bằng,13.9,5
2018,Cao Bằng,13.95,6
2018,Cao Bằng,14.0,8
2018,Cao Bằng,14.05,3
2018,Cao Bằng,14.1,4
2018,Cao Bằng,14.15,4
2018,Cao Bằng,14.2,3
2018,Cao Bằng,14.200000000000001,1
2018,Cao Bằng,14.25,8
2018,Cao Bằng,14.3,6
2018,Cao Bằng,14.35,3
2018,Cao Bằng,14.4,2
2018,Cao Bằng,14.5,7
2018,Cao Bằng,14.55,5
2018,Cao Bằng,14.6,6
2018,Cao Bằng,14.7,3
2018,Cao Bằng,14.75,1
2018,Cao Bằng,14.8,1
2018,Cao Bằng,14.85,2
2018,Cao Bằng,14.9,3
2018,Cao Bằng,14.95,1
2018,Cao Bằng,15.0,7
2018,Cao Bằng,15.049999999999999,1
2018,Cao Bằng,15.05,3
2018,Cao Bằng,15.1,5
2018,Cao Bằng,15.15,4
2018,Cao Bằng,15.2,3
2018,Cao Bằng,15.25,9
2018,Cao Bằng,15.3,2
2018,Cao Bằng,15.35,4
2018,Cao Bằng,15.399999999999999,1
2018,Cao Bằng,15.4,4
2018,Cao Bằng,15.45,6
2018,Cao Bằng,15.5,4
2018,Cao Bằng,15.55,2
2018,Cao Bằng,15.6,3
2018,Cao Bằng,15.65,2
2018,Cao Bằng,15.7,9
2018,Cao Bằng,15.75,6
2018,Cao Bằng,15.8,3
2018,Cao Bằng,15.9,3
2018,Cao Bằng,15.95,3
2018,Cao Bằng,16.0,5
2018,Cao Bằng,16.05,2
2018,Cao Bằng,16.1,4
2018,Cao Bằng,16.15,4
2018,Cao Bằng,16.2,2
2018,Cao Bằng,16.25,6
2018,Cao Bằng,16.3,1
2018,Cao Bằng,16.35,5
2018,Cao Bằng,16.4,1
2018,Cao Bằng,16.5,5
2018,Cao Bằng,16.55,1
2018,Cao Bằng,16.6,3
2018,Cao Bằng,16.7,4
2018,Cao Bằng,16.75,6
2018,Cao Bằng,16.8,1
2018,Cao Bằng,16.85,3
2018,Cao Bằng,16.9,4
2018,Cao Bằng,16.95,6
2018,Cao Bằng,17.0,6
2018,Cao Bằng,17.05,2
2018,Cao Bằng,17.1,4
2018,Cao Bằng,17.15,2
2018,Cao Bằng,17.2,2
2018,Cao Bằng,17.25,4
2018,Cao Bằng,17.3,2
2018,Cao Bằng,17.35,3
2018,Cao Bằng,17.4,3
2018,Cao Bằng,17.45,3
2018,Cao Bằng,17.5,6
2018,Cao Bằng,17.55,3
2018,Cao Bằng,17.6,4
2018,Cao Bằng,17.65,4
2018,Cao Bằng,17.75,4
2018,Cao Bằng,17.8,1
2018,Cao Bằng,17.85,5
2018,Cao Bằng,17.9,5
2018,Cao Bằng,17.95,1
2018,Cao Bằng,18.0,11
2018,Cao Bằng,18.05,4
2018,Cao Bằng,18.1,3
2018,Cao Bằng,18.15,4
2018,Cao Bằng,18.2,5
2018,Cao Bằng,18.25,6
2018,Cao Bằng,18.3,5
2018,Cao Bằng,18.35,6
2018,Cao Bằng,18.4,4
2018,Cao Bằng,18.45,3
2018,Cao Bằng,18.5,11
2018,Cao Bằng,18.55,7
2018,Cao Bằng,18.6,4
2018,Cao Bằng,18.65,8
2018,Cao Bằng,18.7,3
2018,Cao Bằng,18.75,5
2018,Cao Bằng,18.8,1
2018,Cao Bằng,18.85,4
2018,Cao Bằng,18.9,1
2018,Cao Bằng,18.95,1
2018,Cao Bằng,19.0,8
2018,Cao Bằng,19.05,3
2018,Cao Bằng,19.1,2
2018,Cao Bằng,19.15,9
2018,Cao Bằng,19.2,3
2018,Cao Bằng,19.200000000000003,1
2018,Cao Bằng,19.25,14
2018,Cao Bằng,19.3,4
2018,Cao Bằng,19.35,2
2018,Cao Bằng,19.4,7
2018,Cao Bằng,19.45,4
2018,Cao Bằng,19.5,10
2018,Cao Bằng,19.55,2
2018,Cao Bằng,19.6,5
2018,Cao Bằng,19.65,6
2018,Cao Bằng,19.7,3
2018,Cao Bằng,19.700000000000003,1
2018,Cao Bằng,19.75,11
2018,Cao Bằng,19.8,4
2018,Cao Bằng,19.85,9
2018,Cao Bằng,19.9,8
2018,Cao Bằng,19.95,3
2018,Cao Bằng,20.0,9
2018,Cao Bằng,20.05,7
2018,Cao Bằng,20.1,4
2018,Cao Bằng,20.15,9
2018,Cao Bằng,20.2,2
2018,Cao Bằng,20.25,11
2018,Cao Bằng,20.3,5
