nam_hoc,tinh,tong_diem,so_hoc_sinh
2023,Gia Lai,2.4,1
2023,Gia Lai,2.8,1
2023,Gia Lai,4.2,1
2023,Gia Lai,5.2,2
2023,Gia Lai,5.5,1
2023,Gia Lai,6.0,1
2023,Gia Lai,6.15,1
2023,Gia Lai,6.45,1
2023,Gia Lai,6.6,1
2023,Gia Lai,6.9,1
2023,Gia Lai,7.0,1
2023,Gia Lai,7.5,1
2023,Gia Lai,7.75,1
2023,Gia Lai,8.05,1
2023,Gia Lai,8.25,2
2023,Gia Lai,8.8,1
2023,Gia Lai,8.85,2
2023,Gia Lai,8.9,2
2023,Gia Lai,9.0,2
2023,Gia Lai,9.2,1
2023,Gia Lai,9.3,1
2023,Gia Lai,9.35,1
2023,Gia Lai,9.4,1
2023,Gia Lai,9.45,1
2023,Gia Lai,9.5,1
2023,Gia Lai,9.55,1
2023,Gia Lai,9.649999999999999,1
2023,Gia Lai,9.7,3
2023,Gia Lai,9.8,3
2023,Gia Lai,9.899999999999999,1
2023,Gia Lai,9.95,1
2023,Gia Lai,10.0,5
2023,Gia Lai,10.1,1
2023,Gia Lai,10.2,1
2023,Gia Lai,10.25,2
2023,Gia Lai,10.3,2
2023,Gia Lai,10.35,2
2023,Gia Lai,10.45,1
2023,Gia Lai,10.5,3
2023,Gia Lai,10.55,1
2023,Gia Lai,10.65,1
2023,Gia Lai,10.7,1
2023,Gia Lai,10.75,4
2023,Gia Lai,10.8,1
2023,Gia Lai,10.85,1
2023,Gia Lai,10.9,4
2023,Gia Lai,10.95,4
2023,Gia Lai,11.0,2
2023,Gia Lai,11.05,1
2023,Gia Lai,11.1,1
2023,Gia Lai,11.15,3
2023,Gia Lai,11.2,1
2023,Gia Lai,11.25,5
2023,Gia Lai,11.3,1
2023,Gia Lai,11.35,4
2023,Gia Lai,11.4,1
2023,Gia Lai,11.45,2
2023,Gia Lai,11.5,1
2023,Gia Lai,11.55,4
2023,Gia Lai,11.6,1
2023,Gia Lai,11.65,4
2023,Gia Lai,11.75,1
2023,Gia Lai,11.8,2
2023,Gia Lai,11.85,1
2023,Gia Lai,11.9,1
2023,Gia Lai,11.95,1
2023,Gia Lai,11.950000000000001,1
2023,Gia Lai,12.0,6
2023,Gia Lai,12.05,2
2023,Gia Lai,12.07,1
2023,Gia Lai,12.1,2
2023,Gia Lai,12.15,2
2023,Gia Lai,12.2,2
2023,Gia Lai,12.25,3
2023,Gia Lai,12.3,4
2023,Gia Lai,12.35,3
2023,Gia Lai,12.4,2
2023,Gia Lai,12.42,1
2023,Gia Lai,12.45,2
2023,Gia Lai,12.5,5
2023,Gia Lai,12.55,8
2023,Gia Lai,12.7,3
2023,Gia Lai,12.75,8
2023,Gia Lai,12.8,5
2023,Gia Lai,12.85,3
2023,Gia Lai,12.9,1
2023,Gia Lai,12.95,3
2023,Gia Lai,13.0,11
2023,Gia Lai,13.05,2
2023,Gia Lai,13.1,7
2023,Gia Lai,13.15,3
2023,Gia Lai,13.2,4
2023,Gia Lai,13.25,11
2023,Gia Lai,13.3,4
2023,Gia Lai,13.35,5
2023,Gia Lai,13.4,3
2023,Gia Lai,13.45,5
2023,Gia Lai,13.5,2
2023,Gia Lai,13.55,2
2023,Gia Lai,13.6,4
2023,Gia Lai,13.65,7
2023,Gia Lai,13.7,2
2023,Gia Lai,13.75,8
2023,Gia Lai,13.8,6
2023,Gia Lai,13.85,2
2023,Gia Lai,13.9,3
2023,Gia Lai,13.95,6
2023,Gia Lai,14.0,9
2023,Gia Lai,14.05,5
2023,Gia Lai,14.1,5
2023,Gia Lai,14.15,4
2023,Gia Lai,14.2,5
2023,Gia Lai,14.25,10
2023,Gia Lai,14.3,5
2023,Gia Lai,14.35,3
2023,Gia Lai,14.4,1
2023,Gia Lai,14.43,1
2023,Gia Lai,14.45,4
2023,Gia Lai,14.5,7
2023,Gia Lai,14.55,5
2023,Gia Lai,14.6,7
2023,Gia Lai,14.65,4
2023,Gia Lai,14.7,3
2023,Gia Lai,14.75,13
2023,Gia Lai,14.76,1
2023,Gia Lai,14.8,2
2023,Gia Lai,14.85,6
2023,Gia Lai,14.9,4
2023,Gia Lai,14.95,3
2023,Gia Lai,15.0,8
2023,Gia Lai,15.05,6
2023,Gia Lai,15.1,10
2023,Gia Lai,15.15,5
2023,Gia Lai,15.18,1
2023,Gia Lai,15.2,7
2023,Gia Lai,15.25,17
2023,Gia Lai,15.3,8
2023,Gia Lai,15.309999999999999,1
2023,Gia Lai,15.35,6
2023,Gia Lai,15.399999999999999,1
2023,Gia Lai,15.4,5
2023,Gia Lai,15.45,4
2023,Gia Lai,15.5,13
2023,Gia Lai,15.55,4
2023,Gia Lai,15.6,9
2023,Gia Lai,15.600000000000001,1
2023,Gia Lai,15.65,4
2023,Gia Lai,15.7,6
2023,Gia Lai,15.75,11
2023,Gia Lai,15.8,4
2023,Gia Lai,15.85,7
2023,Gia Lai,15.899999999999999,1
2023,Gia Lai,15.9,9
2023,Gia Lai,15.95,7
2023,Gia Lai,16.0,16
2023,Gia Lai,16.05,3
2023,Gia Lai,16.1,7
2023,Gia Lai,16.15,7
2023,Gia Lai,16.2,1
2023,Gia Lai,16.25,20
2023,Gia Lai,16.3,7
2023,Gia Lai,16.35,9
2023,Gia Lai,16.4,5
2023,Gia Lai,16.45,3
2023,Gia Lai,16.5,8
2023,Gia Lai,16.55,4
2023,Gia Lai,16.6,11
2023,Gia Lai,16.65,5
2023,Gia Lai,16.7,11
2023,Gia Lai,16.75,15
2023,Gia Lai,16.8,4
2023,Gia Lai,16.85,5
2023,Gia Lai,16.9,3
2023,Gia Lai,16.95,3
2023,Gia Lai,16.950000000000003,1
2023,Gia Lai,17.0,13
2023,Gia Lai,17.05,1
2023,Gia Lai,17.1,8
2023,Gia Lai,17.15,3
2023,Gia Lai,17.2,9
2023,Gia Lai,17.25,15
2023,Gia Lai,17.3,9
2023,Gia Lai,17.35,9
2023,Gia Lai,17.4,10
2023,Gia Lai,17.45,4
2023,Gia Lai,17.5,18
2023,Gia Lai,17.55,6
2023,Gia Lai,17.6,9
2023,Gia Lai,17.65,10
2023,Gia Lai,17.7,9
2023,Gia Lai,17.75,16
2023,Gia Lai,17.8,2
2023,Gia Lai,17.85,10
2023,Gia Lai,17.9,9
2023,Gia Lai,17.95,12
2023,Gia Lai,18.0,19
2023,Gia Lai,18.05,8
2023,Gia Lai,18.1,11
2023,Gia Lai,18.15,14
2023,Gia Lai,18.2,8
2023,Gia Lai,18.25,17
2023,Gia Lai,18.3,6
2023,Gia Lai,18.35,11
2023,Gia Lai,18.4,6
2023,Gia Lai,18.45,7
2023,Gia Lai,18.47,1
2023,Gia Lai,18.48,1
2023,Gia Lai,18.5,15
2023,Gia Lai,18.55,15
2023,Gia Lai,18.6,10
2023,Gia Lai,18.65,7
2023,Gia Lai,18.7,5
2023,Gia Lai,18.75,18
2023,Gia Lai,18.8,11
2023,Gia Lai,18.85,5
2023,Gia Lai,18.9,9
2023,Gia Lai,18.95,15
2023,Gia Lai,19.0,15
2023,Gia Lai,19.05,8
2023,Gia Lai,19.1,11
2023,Gia Lai,19.15,3
2023,Gia Lai,19.2,11
2023,Gia Lai,19.25,14
2023,Gia Lai,19.3,10
2023,Gia Lai,19.35,14
2023,Gia Lai,19.4,8
2023,Gia Lai,19.45,11
2023,Gia Lai,19.5,17
2023,Gia Lai,19.55,15
2023,Gia Lai,19.6,5
2023,Gia Lai,19.65,9
2023,Gia Lai,19.7,9
2023,Gia Lai,19.75,17
2023,Gia Lai,19.8,6
2023,Gia Lai,19.85,9
2023,Gia Lai,19.9,15
2023,Gia Lai,19.92,1
2023,Gia Lai,19.95,11
2023,Gia Lai,20.0,18
2023,Gia Lai,20.03,1
2023,Gia Lai,20.05,11
2023,Gia Lai,20.1,15
2023,Gia Lai,20.15,8
2023,Gia Lai,20.2,5
2023,Gia Lai,20.200000000000003,1
2023,Gia Lai,20.25,20
2023,Gia Lai,20.3,10
2023,Gia Lai,20.35,6
2023,Gia Lai,20.4,18
2023,Gia Lai,20.45,13
2023,Gia Lai,20.450000000000003,2
2023,Gia Lai,20.5,25
2023,Gia Lai,20.55,12
2023,Gia Lai,20.6,15
