nam_hoc,tinh,tong_diem,so_hoc_sinh
2023,Hà Giang,5.05,1
2023,Hà Giang,6.7,1
2023,Hà Giang,7.5,1
2023,Hà Giang,7.7,1
2023,Hà Giang,8.0,1
2023,Hà Giang,8.1,1
2023,Hà Giang,8.2,1
2023,Hà Giang,8.3,1
2023,Hà Giang,8.9,1
2023,Hà Giang,9.0,2
2023,Hà Giang,9.3,1
2023,Hà Giang,9.45,1
2023,Hà Giang,9.5,1
2023,Hà Giang,9.55,1
2023,Hà Giang,9.6,1
2023,Hà Giang,10.0,4
2023,Hà Giang,10.15,1
2023,Hà Giang,10.2,1
2023,Hà Giang,10.3,1
2023,Hà Giang,10.5,2
2023,Hà Giang,10.7,1
2023,Hà Giang,10.75,2
2023,Hà Giang,10.8,1
2023,Hà Giang,10.85,1
2023,Hà Giang,10.9,1
2023,Hà Giang,10.95,2
2023,Hà Giang,11.0,3
2023,Hà Giang,11.1,1
2023,Hà Giang,11.25,1
2023,Hà Giang,11.3,1
2023,Hà Giang,11.35,1
2023,Hà Giang,11.45,2
2023,Hà Giang,11.5,1
2023,Hà Giang,11.55,1
2023,Hà Giang,11.6,2
2023,Hà Giang,11.65,2
2023,Hà Giang,11.75,3
2023,Hà Giang,11.8,1
2023,Hà Giang,11.85,3
2023,Hà Giang,11.9,4
2023,Hà Giang,11.95,2
2023,Hà Giang,12.0,3
2023,Hà Giang,12.05,1
2023,Hà Giang,12.1,3
2023,Hà Giang,12.15,3
2023,Hà Giang,12.2,1
2023,Hà Giang,12.25,1
2023,Hà Giang,12.3,2
2023,Hà Giang,12.4,2
2023,Hà Giang,12.45,1
2023,Hà Giang,12.5,1
2023,Hà Giang,12.55,5
2023,Hà Giang,12.6,4
2023,Hà Giang,12.65,2
2023,Hà Giang,12.7,2
2023,Hà Giang,12.75,7
2023,Hà Giang,12.8,1
2023,Hà Giang,12.85,1
2023,Hà Giang,12.9,1
2023,Hà Giang,12.95,5
2023,Hà Giang,13.0,3
2023,Hà Giang,13.05,3
2023,Hà Giang,13.1,3
2023,Hà Giang,13.15,1
2023,Hà Giang,13.2,2
2023,Hà Giang,13.25,6
2023,Hà Giang,13.35,2
2023,Hà Giang,13.4,1
2023,Hà Giang,13.5,1
2023,Hà Giang,13.55,4
2023,Hà Giang,13.6,2
2023,Hà Giang,13.65,1
2023,Hà Giang,13.7,4
2023,Hà Giang,13.75,1
2023,Hà Giang,13.85,1
2023,Hà Giang,13.899999999999999,1
2023,Hà Giang,13.9,3
2023,Hà Giang,13.95,3
2023,Hà Giang,14.0,3
2023,Hà Giang,14.05,3
2023,Hà Giang,14.1,4
2023,Hà Giang,14.15,1
