nam_hoc,tinh,tong_diem,so_hoc_sinh
2018,Hà Nam,0.0,1
2018,Hà Nam,4.75,1
2018,Hà Nam,4.9,1
2018,Hà Nam,5.0,1
2018,Hà Nam,5.4,2
2018,Hà Nam,6.05,2
2018,Hà Nam,6.199999999999999,1
2018,Hà Nam,6.45,1
2018,Hà Nam,6.5,1
2018,Hà Nam,6.6,1
2018,Hà Nam,7.0,3
2018,Hà Nam,7.25,1
2018,Hà Nam,7.3,2
2018,Hà Nam,7.5,1
2018,Hà Nam,7.55,1
2018,Hà Nam,7.6,1
2018,Hà Nam,7.65,2
2018,Hà Nam,7.7,1
2018,Hà Nam,7.75,2
2018,Hà Nam,7.85,1
2018,Hà Nam,7.9,1
2018,Hà Nam,8.0,3
2018,Hà Nam,8.05,2
2018,Hà Nam,8.15,1
2018,Hà Nam,8.2,2
2018,Hà Nam,8.3,1
2018,Hà Nam,8.35,4
2018,Hà Nam,8.4,2
2018,Hà Nam,8.45,1
2018,Hà Nam,8.55,1
2018,Hà Nam,8.65,3
2018,Hà Nam,8.7,2
2018,Hà Nam,8.8,1
2018,Hà Nam,8.85,2
2018,Hà Nam,8.9,2
2018,Hà Nam,9.0,1
2018,Hà Nam,9.05,2
2018,Hà Nam,9.1,3
2018,Hà Nam,9.15,1
2018,Hà Nam,9.2,3
2018,Hà Nam,9.25,1
2018,Hà Nam,9.3,4
2018,Hà Nam,9.35,1
2018,Hà Nam,9.4,4
2018,Hà Nam,9.45,1
2018,Hà Nam,9.5,3
2018,Hà Nam,9.55,1
2018,Hà Nam,9.6,1
2018,Hà Nam,9.65,2
2018,Hà Nam,9.7,1
2018,Hà Nam,9.75,1
2018,Hà Nam,9.8,1
2018,Hà Nam,9.85,5
2018,Hà Nam,9.9,5
2018,Hà Nam,9.95,4
2018,Hà Nam,10.05,2
2018,Hà Nam,10.1,2
2018,Hà Nam,10.15,1
2018,Hà Nam,10.2,3
2018,Hà Nam,10.25,2
2018,Hà Nam,10.3,3
2018,Hà Nam,10.35,1
2018,Hà Nam,10.45,1
2018,Hà Nam,10.5,1
2018,Hà Nam,10.55,1
2018,Hà Nam,10.6,3
2018,Hà Nam,10.65,1
2018,Hà Nam,10.7,2
2018,Hà Nam,10.75,1
2018,Hà Nam,10.8,1
2018,Hà Nam,10.85,4
2018,Hà Nam,10.9,2
2018,Hà Nam,10.95,4
2018,Hà Nam,11.0,4
2018,Hà Nam,11.05,4
2018,Hà Nam,11.1,1
2018,Hà Nam,11.15,2
2018,Hà Nam,11.2,4
2018,Hà Nam,11.3,2
2018,Hà Nam,11.35,5
2018,Hà Nam,11.399999999999999,1
2018,Hà Nam,11.4,1
2018,Hà Nam,11.45,3
2018,Hà Nam,11.5,3
2018,Hà Nam,11.55,3
2018,Hà Nam,11.6,6
2018,Hà Nam,11.65,1
2018,Hà Nam,11.7,6
2018,Hà Nam,11.75,3
2018,Hà Nam,11.8,3
2018,Hà Nam,11.85,3
2018,Hà Nam,11.9,3
2018,Hà Nam,11.95,4
2018,Hà Nam,12.0,4
2018,Hà Nam,12.05,1
2018,Hà Nam,12.1,3
2018,Hà Nam,12.15,5
2018,Hà Nam,12.25,5
2018,Hà Nam,12.3,5
2018,Hà Nam,12.35,2
2018,Hà Nam,12.4,3
2018,Hà Nam,12.5,3
2018,Hà Nam,12.55,2
2018,Hà Nam,12.6,2
2018,Hà Nam,12.65,2
2018,Hà Nam,12.7,3
2018,Hà Nam,12.75,2
2018,Hà Nam,12.8,10
2018,Hà Nam,12.85,5
2018,Hà Nam,12.9,5
2018,Hà Nam,12.95,4
2018,Hà Nam,13.0,10
2018,Hà Nam,13.05,1
2018,Hà Nam,13.1,8
2018,Hà Nam,13.15,7
2018,Hà Nam,13.2,3
2018,Hà Nam,13.25,3
2018,Hà Nam,13.3,5
2018,Hà Nam,13.35,5
2018,Hà Nam,13.4,2
2018,Hà Nam,13.45,3
2018,Hà Nam,13.5,7
2018,Hà Nam,13.55,7
2018,Hà Nam,13.6,7
2018,Hà Nam,13.649999999999999,1
2018,Hà Nam,13.65,11
2018,Hà Nam,13.7,2
2018,Hà Nam,13.75,5
2018,Hà Nam,13.8,6
2018,Hà Nam,13.85,3
2018,Hà Nam,13.9,4
2018,Hà Nam,13.95,5
2018,Hà Nam,14.0,5
2018,Hà Nam,14.05,3
2018,Hà Nam,14.1,6
2018,Hà Nam,14.15,4
2018,Hà Nam,14.2,8
2018,Hà Nam,14.25,5
2018,Hà Nam,14.3,6
2018,Hà Nam,14.35,7
2018,Hà Nam,14.4,4
2018,Hà Nam,14.45,7
2018,Hà Nam,14.5,5
2018,Hà Nam,14.55,6
2018,Hà Nam,14.6,4
2018,Hà Nam,14.65,6
2018,Hà Nam,14.7,3
2018,Hà Nam,14.75,5
2018,Hà Nam,14.8,6
2018,Hà Nam,14.85,10
2018,Hà Nam,14.850000000000001,1
2018,Hà Nam,14.9,8
2018,Hà Nam,14.95,4
2018,Hà Nam,15.0,5
2018,Hà Nam,15.05,5
2018,Hà Nam,15.1,3
2018,Hà Nam,15.15,6
2018,Hà Nam,15.2,8
2018,Hà Nam,15.25,3
2018,Hà Nam,15.3,6
2018,Hà Nam,15.35,5
2018,Hà Nam,15.4,4
2018,Hà Nam,15.45,5
2018,Hà Nam,15.5,3
2018,Hà Nam,15.55,4
2018,Hà Nam,15.6,2
2018,Hà Nam,15.600000000000001,1
2018,Hà Nam,15.65,8
2018,Hà Nam,15.7,2
2018,Hà Nam,15.75,7
2018,Hà Nam,15.8,5
2018,Hà Nam,15.85,4
2018,Hà Nam,15.9,4
2018,Hà Nam,16.0,6
2018,Hà Nam,16.05,5
2018,Hà Nam,16.1,3
2018,Hà Nam,16.15,2
2018,Hà Nam,16.2,6
2018,Hà Nam,16.25,4
2018,Hà Nam,16.3,6
2018,Hà Nam,16.35,4
2018,Hà Nam,16.4,5
2018,Hà Nam,16.45,5
2018,Hà Nam,16.5,8
2018,Hà Nam,16.55,4
2018,Hà Nam,16.6,3
2018,Hà Nam,16.65,5
2018,Hà Nam,16.7,4
2018,Hà Nam,16.75,4
2018,Hà Nam,16.8,5
2018,Hà Nam,16.85,9
2018,Hà Nam,16.9,5
2018,Hà Nam,16.95,5
2018,Hà Nam,17.0,3
2018,Hà Nam,17.05,5
2018,Hà Nam,17.1,6
2018,Hà Nam,17.15,5
2018,Hà Nam,17.2,2
2018,Hà Nam,17.25,2
2018,Hà Nam,17.3,4
2018,Hà Nam,17.35,4
2018,Hà Nam,17.4,6
2018,Hà Nam,17.45,4
2018,Hà Nam,17.5,3
2018,Hà Nam,17.55,5
2018,Hà Nam,17.6,2
2018,Hà Nam,17.65,4
2018,Hà Nam,17.7,4
2018,Hà Nam,17.75,7
2018,Hà Nam,17.8,4
2018,Hà Nam,17.85,1
2018,Hà Nam,17.9,4
2018,Hà Nam,17.95,3
2018,Hà Nam,18.0,6
2018,Hà Nam,18.049999999999997,1
2018,Hà Nam,18.05,3
2018,Hà Nam,18.1,2
2018,Hà Nam,18.15,8
2018,Hà Nam,18.2,3
2018,Hà Nam,18.25,4
2018,Hà Nam,18.3,2
2018,Hà Nam,18.35,2
2018,Hà Nam,18.4,2
2018,Hà Nam,18.45,1
2018,Hà Nam,18.5,4
2018,Hà Nam,18.55,4
2018,Hà Nam,18.6,8
2018,Hà Nam,18.65,2
2018,Hà Nam,18.7,3
2018,Hà Nam,18.75,6
2018,Hà Nam,18.8,7
2018,Hà Nam,18.85,4
2018,Hà Nam,18.9,3
2018,Hà Nam,18.95,3
2018,Hà Nam,19.0,4
2018,Hà Nam,19.05,5
2018,Hà Nam,19.1,4
2018,Hà Nam,19.15,3
2018,Hà Nam,19.2,3
2018,Hà Nam,19.25,5
2018,Hà Nam,19.299999999999997,1
2018,Hà Nam,19.3,4
2018,Hà Nam,19.35,3
2018,Hà Nam,19.4,4
2018,Hà Nam,19.45,1
2018,Hà Nam,19.5,3
2018,Hà Nam,19.55,2
2018,Hà Nam,19.6,1
2018,Hà Nam,19.65,6
2018,Hà Nam,19.7,3
2018,Hà Nam,19.75,4
2018,Hà Nam,19.799999999999997,1
2018,Hà Nam,19.8,5
2018,Hà Nam,19.9,6
2018,Hà Nam,19.95,4
2018,Hà Nam,20.0,6
2018,Hà Nam,20.049999999999997,1
2018,Hà Nam,20.05,4
2018,Hà Nam,20.1,4
2018,Hà Nam,20.15,1
2018,Hà Nam,20.2,7
2018,Hà Nam,20.25,3
2018,Hà Nam,20.3,5
2018,Hà Nam,20.4,5
2018,Hà Nam,20.45,3
2018,Hà Nam,20.5,5
2018,Hà Nam,20.55,1
2018,Hà Nam,20.6,4
2018,Hà Nam,20.65,1
2018,Hà Nam,20.799999999999997,1
2018,Hà Nam,20.8,1
2018,Hà Nam,20.85,6
2018,Hà Nam,20.9,10
2018,Hà Nam,20.95,5
2018,Hà Nam,20.950000000000003,1
2018,Hà Nam,21.0,1
2018,Hà Nam,21.05,2
2018,Hà Nam,21.15,1
2018,Hà Nam,21.2,3
2018,Hà Nam,21.25,7
2018,Hà Nam,21.3,3
2018,Hà Nam,21.35,6
2018,Hà Nam,21.45,6
2018,Hà Nam,21.5,2
2018,Hà Nam,21.55,6
2018,Hà Nam,21.65,2
2018,Hà Nam,21.7,3
2018,Hà Nam,21.75,3
2018,Hà Nam,21.8,3
2018,Hà Nam,21.85,3
2018,Hà Nam,21.9,7
2018,Hà Nam,21.95,5
2018,Hà Nam,21.950000000000003,1
2018,Hà Nam,22.0,3
2018,Hà Nam,22.05,1
2018,Hà Nam,22.1,7
2018,Hà Nam,22.15,3
2018,Hà Nam,22.2,4
2018,Hà Nam,22.25,8
2018,Hà Nam,22.3,1
2018,Hà Nam,22.35,3
2018,Hà Nam,22.4,4
2018,Hà Nam,22.45,4
2018,Hà Nam,22.450000000000003,1
2018,Hà Nam,22.5,5
2018,Hà Nam,22.55,5
2018,Hà Nam,22.6,6
2018,Hà Nam,22.65,1
2018,Hà Nam,22.7,6
2018,Hà Nam,22.700000000000003,1
2018,Hà Nam,22.75,9
2018,Hà Nam,22.799999999999997,1
2018,Hà Nam,22.8,11
2018,Hà Nam,22.85,6
2018,Hà Nam,22.9,6
2018,Hà Nam,23.0,7
2018,Hà Nam,23.049999999999997,1
2018,Hà Nam,23.05,2
2018,Hà Nam,23.1,4
2018,Hà Nam,23.15,4
2018,Hà Nam,23.2,3
