nam_hoc,tinh,tong_diem,so_hoc_sinh
2018,Hà Nội,0.0,11
2018,Hà Nội,0.5,2
2018,Hà Nội,1.0,2
2018,Hà Nội,1.5,1
2018,Hà Nội,2.0,1
2018,Hà Nội,2.2,2
2018,Hà Nội,2.25,3
2018,Hà Nội,2.6,4
2018,Hà Nội,2.75,2
2018,Hà Nội,2.8,2
2018,Hà Nội,3.0,1
2018,Hà Nội,3.1,1
2018,Hà Nội,3.2,1
2018,Hà Nội,3.25,3
2018,Hà Nội,3.3,1
2018,Hà Nội,3.35,1
2018,Hà Nội,3.4,1
2018,Hà Nội,3.45,2
2018,Hà Nội,3.5,3
2018,Hà Nội,3.75,9
2018,Hà Nội,4.0,6
2018,Hà Nội,4.05,1
2018,Hà Nội,4.15,1
2018,Hà Nội,4.2,2
2018,Hà Nội,4.25,5
2018,Hà Nội,4.4,1
2018,Hà Nội,4.5,3
2018,Hà Nội,4.6,2
2018,Hà Nội,4.65,2
2018,Hà Nội,4.75,6
2018,Hà Nội,4.8,1
2018,Hà Nội,4.85,1
2018,Hà Nội,5.0,6
2018,Hà Nội,5.05,1
2018,Hà Nội,5.1,2
2018,Hà Nội,5.15,3
2018,Hà Nội,5.2,2
2018,Hà Nội,5.25,3
2018,Hà Nội,5.3,1
2018,Hà Nội,5.35,2
2018,Hà Nội,5.4,3
2018,Hà Nội,5.45,2
2018,Hà Nội,5.5,3
2018,Hà Nội,5.55,2
2018,Hà Nội,5.550000000000001,1
2018,Hà Nội,5.6,2
2018,Hà Nội,5.7,1
2018,Hà Nội,5.75,9
2018,Hà Nội,5.8,1
2018,Hà Nội,5.85,1
2018,Hà Nội,5.9,2
2018,Hà Nội,5.95,1
2018,Hà Nội,6.0,7
2018,Hà Nội,6.05,2
2018,Hà Nội,6.1,3
2018,Hà Nội,6.199999999999999,2
2018,Hà Nội,6.2,2
2018,Hà Nội,6.25,5
2018,Hà Nội,6.3,3
2018,Hà Nội,6.35,3
2018,Hà Nội,6.3500000000000005,1
2018,Hà Nội,6.4,5
2018,Hà Nội,6.45,4
2018,Hà Nội,6.5,13
2018,Hà Nội,6.55,3
2018,Hà Nội,6.6,13
2018,Hà Nội,6.65,4
2018,Hà Nội,6.7,5
2018,Hà Nội,6.75,9
2018,Hà Nội,6.8,6
2018,Hà Nội,6.85,1
2018,Hà Nội,6.9,7
2018,Hà Nội,6.95,4
2018,Hà Nội,7.0,14
2018,Hà Nội,7.05,7
2018,Hà Nội,7.1,4
2018,Hà Nội,7.15,12
2018,Hà Nội,7.2,6
2018,Hà Nội,7.25,4
2018,Hà Nội,7.3,4
2018,Hà Nội,7.35,4
2018,Hà Nội,7.4,11
2018,Hà Nội,7.45,8
2018,Hà Nội,7.5,13
2018,Hà Nội,7.55,13
2018,Hà Nội,7.6,7
2018,Hà Nội,7.6000000000000005,2
2018,Hà Nội,7.6499999999999995,1
2018,Hà Nội,7.65,5
2018,Hà Nội,7.7,11
2018,Hà Nội,7.75,9
2018,Hà Nội,7.8,18
2018,Hà Nội,7.85,9
2018,Hà Nội,7.8500000000000005,1
2018,Hà Nội,7.8999999999999995,1
2018,Hà Nội,7.9,11
2018,Hà Nội,7.95,16
2018,Hà Nội,8.0,13
2018,Hà Nội,8.05,10
2018,Hà Nội,8.1,18
2018,Hà Nội,8.15,11
2018,Hà Nội,8.2,10
2018,Hà Nội,8.25,9
2018,Hà Nội,8.3,11
2018,Hà Nội,8.35,11
2018,Hà Nội,8.399999999999999,1
2018,Hà Nội,8.4,12
2018,Hà Nội,8.45,14
2018,Hà Nội,8.5,14
2018,Hà Nội,8.55,9
2018,Hà Nội,8.6,18
2018,Hà Nội,8.65,21
2018,Hà Nội,8.7,17
2018,Hà Nội,8.75,19
2018,Hà Nội,8.8,21
2018,Hà Nội,8.85,18
2018,Hà Nội,8.850000000000001,2
2018,Hà Nội,8.9,16
2018,Hà Nội,8.95,15
2018,Hà Nội,9.0,15
2018,Hà Nội,9.05,22
2018,Hà Nội,9.1,18
2018,Hà Nội,9.15,19
2018,Hà Nội,9.2,16
2018,Hà Nội,9.25,19
2018,Hà Nội,9.3,21
2018,Hà Nội,9.35,11
2018,Hà Nội,9.4,18
2018,Hà Nội,9.45,23
2018,Hà Nội,9.5,20
2018,Hà Nội,9.55,21
2018,Hà Nội,9.6,23
2018,Hà Nội,9.65,28
