nam_hoc,tinh,tong_diem,so_hoc_sinh
2023,Hà Tĩnh,4.8,1
2023,Hà Tĩnh,5.5,1
2023,Hà Tĩnh,8.5,1
2023,Hà Tĩnh,10.5,1
2023,Hà Tĩnh,10.75,2
2023,Hà Tĩnh,10.9,1
2023,Hà Tĩnh,11.05,1
2023,Hà Tĩnh,11.2,1
2023,Hà Tĩnh,11.5,1
2023,Hà Tĩnh,11.55,1
2023,Hà Tĩnh,11.6,1
2023,Hà Tĩnh,11.95,1
2023,Hà Tĩnh,12.25,2
2023,Hà Tĩnh,12.399999999999999,1
2023,Hà Tĩnh,12.4,1
2023,Hà Tĩnh,12.5,2
2023,Hà Tĩnh,12.55,1
2023,Hà Tĩnh,12.6,1
2023,Hà Tĩnh,12.85,1
2023,Hà Tĩnh,12.95,1
2023,Hà Tĩnh,13.0,2
2023,Hà Tĩnh,13.05,1
2023,Hà Tĩnh,13.15,2
2023,Hà Tĩnh,13.2,1
2023,Hà Tĩnh,13.25,2
2023,Hà Tĩnh,13.3,2
2023,Hà Tĩnh,13.45,2
2023,Hà Tĩnh,13.55,3
2023,Hà Tĩnh,13.6,1
2023,Hà Tĩnh,13.65,1
2023,Hà Tĩnh,13.7,1
2023,Hà Tĩnh,13.75,3
2023,Hà Tĩnh,13.8,2
2023,Hà Tĩnh,13.85,3
2023,Hà Tĩnh,13.9,2
2023,Hà Tĩnh,14.0,1
2023,Hà Tĩnh,14.05,2
2023,Hà Tĩnh,14.1,4
2023,Hà Tĩnh,14.15,5
2023,Hà Tĩnh,14.2,3
2023,Hà Tĩnh,14.25,4
2023,Hà Tĩnh,14.3,2
2023,Hà Tĩnh,14.35,1
2023,Hà Tĩnh,14.4,4
2023,Hà Tĩnh,14.45,3
2023,Hà Tĩnh,14.5,4
2023,Hà Tĩnh,14.55,2
2023,Hà Tĩnh,14.6,3
2023,Hà Tĩnh,14.65,1
2023,Hà Tĩnh,14.7,3
2023,Hà Tĩnh,14.75,4
2023,Hà Tĩnh,14.8,3
2023,Hà Tĩnh,14.85,1
2023,Hà Tĩnh,14.9,5
2023,Hà Tĩnh,14.95,3
2023,Hà Tĩnh,15.0,2
2023,Hà Tĩnh,15.05,4
2023,Hà Tĩnh,15.1,3
2023,Hà Tĩnh,15.15,2
2023,Hà Tĩnh,15.2,2
2023,Hà Tĩnh,15.25,3
2023,Hà Tĩnh,15.3,5
2023,Hà Tĩnh,15.35,2
2023,Hà Tĩnh,15.4,4
2023,Hà Tĩnh,15.45,6
2023,Hà Tĩnh,15.5,7
2023,Hà Tĩnh,15.55,5
2023,Hà Tĩnh,15.6,4
2023,Hà Tĩnh,15.65,3
2023,Hà Tĩnh,15.7,7
2023,Hà Tĩnh,15.75,5
2023,Hà Tĩnh,15.8,7
2023,Hà Tĩnh,15.85,2
2023,Hà Tĩnh,15.9,6
2023,Hà Tĩnh,15.95,6
2023,Hà Tĩnh,16.0,3
2023,Hà Tĩnh,16.05,8
2023,Hà Tĩnh,16.1,2
2023,Hà Tĩnh,16.15,6
2023,Hà Tĩnh,16.2,3
2023,Hà Tĩnh,16.25,8
2023,Hà Tĩnh,16.3,4
2023,Hà Tĩnh,16.35,9
2023,Hà Tĩnh,16.4,4
2023,Hà Tĩnh,16.45,4
2023,Hà Tĩnh,16.5,3
2023,Hà Tĩnh,16.55,12
2023,Hà Tĩnh,16.6,4
2023,Hà Tĩnh,16.65,8
2023,Hà Tĩnh,16.7,6
2023,Hà Tĩnh,16.75,11
2023,Hà Tĩnh,16.8,12
2023,Hà Tĩnh,16.85,10
2023,Hà Tĩnh,16.9,11
2023,Hà Tĩnh,16.95,7
2023,Hà Tĩnh,17.0,4
2023,Hà Tĩnh,17.05,9
2023,Hà Tĩnh,17.1,10
2023,Hà Tĩnh,17.15,8
2023,Hà Tĩnh,17.2,11
2023,Hà Tĩnh,17.25,8
2023,Hà Tĩnh,17.3,6
2023,Hà Tĩnh,17.35,9
2023,Hà Tĩnh,17.4,11
2023,Hà Tĩnh,17.45,5
2023,Hà Tĩnh,17.5,7
2023,Hà Tĩnh,17.55,8
2023,Hà Tĩnh,17.6,7
2023,Hà Tĩnh,17.65,11
2023,Hà Tĩnh,17.7,11
2023,Hà Tĩnh,17.75,14
2023,Hà Tĩnh,17.8,10
2023,Hà Tĩnh,17.85,17
2023,Hà Tĩnh,17.9,8
2023,Hà Tĩnh,17.95,4
2023,Hà Tĩnh,18.0,20
2023,Hà Tĩnh,18.05,4
2023,Hà Tĩnh,18.1,9
2023,Hà Tĩnh,18.15,12
2023,Hà Tĩnh,18.2,10
2023,Hà Tĩnh,18.25,7
2023,Hà Tĩnh,18.3,13
2023,Hà Tĩnh,18.35,14
2023,Hà Tĩnh,18.4,14
2023,Hà Tĩnh,18.45,13
2023,Hà Tĩnh,18.5,13
2023,Hà Tĩnh,18.55,14
2023,Hà Tĩnh,18.6,15
2023,Hà Tĩnh,18.65,16
2023,Hà Tĩnh,18.7,12
2023,Hà Tĩnh,18.75,11
2023,Hà Tĩnh,18.8,6
2023,Hà Tĩnh,18.85,9
2023,Hà Tĩnh,18.9,13
2023,Hà Tĩnh,18.95,12
2023,Hà Tĩnh,19.0,12
2023,Hà Tĩnh,19.05,12
2023,Hà Tĩnh,19.1,8
2023,Hà Tĩnh,19.13,1
2023,Hà Tĩnh,19.15,12
2023,Hà Tĩnh,19.2,10
2023,Hà Tĩnh,19.25,17
2023,Hà Tĩnh,19.3,10
2023,Hà Tĩnh,19.35,13
2023,Hà Tĩnh,19.4,10
2023,Hà Tĩnh,19.45,14
2023,Hà Tĩnh,19.5,20
2023,Hà Tĩnh,19.55,16
2023,Hà Tĩnh,19.6,22
2023,Hà Tĩnh,19.65,12
2023,Hà Tĩnh,19.7,17
2023,Hà Tĩnh,19.700000000000003,1
2023,Hà Tĩnh,19.75,22
2023,Hà Tĩnh,19.8,19
2023,Hà Tĩnh,19.85,18
2023,Hà Tĩnh,19.9,15
2023,Hà Tĩnh,19.95,11
2023,Hà Tĩnh,20.0,21
2023,Hà Tĩnh,20.05,12
2023,Hà Tĩnh,20.1,16
2023,Hà Tĩnh,20.15,14
2023,Hà Tĩnh,20.2,14
2023,Hà Tĩnh,20.25,20
2023,Hà Tĩnh,20.3,10
2023,Hà Tĩnh,20.35,22
2023,Hà Tĩnh,20.4,19
2023,Hà Tĩnh,20.45,28
2023,Hà Tĩnh,20.5,24
2023,Hà Tĩnh,20.55,23
2023,Hà Tĩnh,20.6,21
2023,Hà Tĩnh,20.65,16
2023,Hà Tĩnh,20.7,16
2023,Hà Tĩnh,20.75,20
2023,Hà Tĩnh,20.8,14
2023,Hà Tĩnh,20.85,14
2023,Hà Tĩnh,20.9,18
2023,Hà Tĩnh,20.95,14
2023,Hà Tĩnh,21.0,15
2023,Hà Tĩnh,21.05,19
2023,Hà Tĩnh,21.1,18
2023,Hà Tĩnh,21.15,25
2023,Hà Tĩnh,21.2,16
2023,Hà Tĩnh,21.25,15
2023,Hà Tĩnh,21.3,14
2023,Hà Tĩnh,21.35,19
2023,Hà Tĩnh,21.4,14
2023,Hà Tĩnh,21.45,20
2023,Hà Tĩnh,21.5,17
2023,Hà Tĩnh,21.55,18
2023,Hà Tĩnh,21.6,18
2023,Hà Tĩnh,21.65,14
2023,Hà Tĩnh,21.7,13
2023,Hà Tĩnh,21.75,23
2023,Hà Tĩnh,21.8,28
2023,Hà Tĩnh,21.85,21
2023,Hà Tĩnh,21.9,25
2023,Hà Tĩnh,21.95,17
2023,Hà Tĩnh,21.97,1
2023,Hà Tĩnh,22.0,30
2023,Hà Tĩnh,22.05,23
2023,Hà Tĩnh,22.1,14
2023,Hà Tĩnh,22.15,15
2023,Hà Tĩnh,22.2,15
2023,Hà Tĩnh,22.25,16
2023,Hà Tĩnh,22.3,14
2023,Hà Tĩnh,22.35,23
2023,Hà Tĩnh,22.4,14
2023,Hà Tĩnh,22.45,14
2023,Hà Tĩnh,22.450000000000003,1
2023,Hà Tĩnh,22.5,28
2023,Hà Tĩnh,22.55,20
2023,Hà Tĩnh,22.6,27
2023,Hà Tĩnh,22.65,16
2023,Hà Tĩnh,22.7,16
2023,Hà Tĩnh,22.75,16
2023,Hà Tĩnh,22.8,24
2023,Hà Tĩnh,22.85,13
2023,Hà Tĩnh,22.9,17
2023,Hà Tĩnh,22.95,17
2023,Hà Tĩnh,23.0,22
2023,Hà Tĩnh,23.049999999999997,1
2023,Hà Tĩnh,23.05,18
2023,Hà Tĩnh,23.1,8
2023,Hà Tĩnh,23.15,22
2023,Hà Tĩnh,23.2,16
2023,Hà Tĩnh,23.25,16
2023,Hà Tĩnh,23.3,19
2023,Hà Tĩnh,23.35,18
2023,Hà Tĩnh,23.4,13
2023,Hà Tĩnh,23.45,16
2023,Hà Tĩnh,23.5,32
2023,Hà Tĩnh,23.54,1
2023,Hà Tĩnh,23.55,19
2023,Hà Tĩnh,23.6,30
2023,Hà Tĩnh,23.65,15
2023,Hà Tĩnh,23.7,20
2023,Hà Tĩnh,23.75,25
2023,Hà Tĩnh,23.77,1
2023,Hà Tĩnh,23.8,11
2023,Hà Tĩnh,23.85,17
2023,Hà Tĩnh,23.9,15
2023,Hà Tĩnh,23.95,17
2023,Hà Tĩnh,24.0,15
2023,Hà Tĩnh,24.049999999999997,1
2023,Hà Tĩnh,24.05,13
2023,Hà Tĩnh,24.1,16
2023,Hà Tĩnh,24.15,16
2023,Hà Tĩnh,24.2,14
2023,Hà Tĩnh,24.200000000000003,1
2023,Hà Tĩnh,24.25,23
2023,Hà Tĩnh,24.3,14
2023,Hà Tĩnh,24.35,14
2023,Hà Tĩnh,24.4,19
2023,Hà Tĩnh,24.45,9
2023,Hà Tĩnh,24.5,20
2023,Hà Tĩnh,24.55,16
2023,Hà Tĩnh,24.6,16
2023,Hà Tĩnh,24.65,17
2023,Hà Tĩnh,24.7,9
2023,Hà Tĩnh,24.75,19
2023,Hà Tĩnh,24.8,14
2023,Hà Tĩnh,24.85,12
2023,Hà Tĩnh,24.9,14
2023,Hà Tĩnh,24.95,13
2023,Hà Tĩnh,24.950000000000003,1
2023,Hà Tĩnh,25.0,16
2023,Hà Tĩnh,25.049999999999997,1
2023,Hà Tĩnh,25.05,5
2023,Hà Tĩnh,25.1,7
2023,Hà Tĩnh,25.15,15
2023,Hà Tĩnh,25.2,18
2023,Hà Tĩnh,25.25,15
2023,Hà Tĩnh,25.3,9
2023,Hà Tĩnh,25.35,15
2023,Hà Tĩnh,25.4,10
2023,Hà Tĩnh,25.45,15
2023,Hà Tĩnh,25.5,18
2023,Hà Tĩnh,25.549999999999997,1
2023,Hà Tĩnh,25.55,7
2023,Hà Tĩnh,25.6,14
2023,Hà Tĩnh,25.65,11
2023,Hà Tĩnh,25.7,8
2023,Hà Tĩnh,25.75,14
2023,Hà Tĩnh,25.799999999999997,1
2023,Hà Tĩnh,25.8,9
2023,Hà Tĩnh,25.85,9
2023,Hà Tĩnh,25.9,18
2023,Hà Tĩnh,25.95,9
2023,Hà Tĩnh,26.0,12
2023,Hà Tĩnh,26.05,10
2023,Hà Tĩnh,26.1,16
2023,Hà Tĩnh,26.15,11
2023,Hà Tĩnh,26.150000000000002,1
2023,Hà Tĩnh,26.2,10
2023,Hà Tĩnh,26.25,10
2023,Hà Tĩnh,26.3,10
2023,Hà Tĩnh,26.35,8
2023,Hà Tĩnh,26.4,13
2023,Hà Tĩnh,26.45,8
2023,Hà Tĩnh,26.5,17
2023,Hà Tĩnh,26.55,8
2023,Hà Tĩnh,26.6,6
2023,Hà Tĩnh,26.65,8
2023,Hà Tĩnh,26.650000000000002,1
2023,Hà Tĩnh,26.7,10
2023,Hà Tĩnh,26.75,9
2023,Hà Tĩnh,26.8,9
2023,Hà Tĩnh,26.85,6
2023,Hà Tĩnh,26.9,6
2023,Hà Tĩnh,26.95,10
2023,Hà Tĩnh,26.950000000000003,1
2023,Hà Tĩnh,27.0,12
2023,Hà Tĩnh,27.05,7
2023,Hà Tĩnh,27.1,7
2023,Hà Tĩnh,27.15,6
2023,Hà Tĩnh,27.2,6
2023,Hà Tĩnh,27.200000000000003,1
2023,Hà Tĩnh,27.25,9
2023,Hà Tĩnh,27.299999999999997,1
2023,Hà Tĩnh,27.3,6
2023,Hà Tĩnh,27.35,10
2023,Hà Tĩnh,27.4,11
2023,Hà Tĩnh,27.45,3
2023,Hà Tĩnh,27.5,14
2023,Hà Tĩnh,27.55,1
2023,Hà Tĩnh,27.6,4
2023,Hà Tĩnh,27.65,6
2023,Hà Tĩnh,27.7,5
2023,Hà Tĩnh,27.700000000000003,1
2023,Hà Tĩnh,27.75,13
2023,Hà Tĩnh,27.8,9
2023,Hà Tĩnh,27.85,7
2023,Hà Tĩnh,27.9,7
2023,Hà Tĩnh,27.95,2
2023,Hà Tĩnh,28.0,13
2023,Hà Tĩnh,28.049999999999997,1
2023,Hà Tĩnh,28.05,6
2023,Hà Tĩnh,28.1,2
2023,Hà Tĩnh,28.15,2
2023,Hà Tĩnh,28.2,7
2023,Hà Tĩnh,28.25,2
2023,Hà Tĩnh,28.3,4
2023,Hà Tĩnh,28.35,5
2023,Hà Tĩnh,28.4,5
2023,Hà Tĩnh,28.45,7
2023,Hà Tĩnh,28.450000000000003,2
2023,Hà Tĩnh,28.5,14
2023,Hà Tĩnh,28.55,1
2023,Hà Tĩnh,28.6,6
2023,Hà Tĩnh,28.65,6
2023,Hà Tĩnh,28.7,4
2023,Hà Tĩnh,28.75,11
2023,Hà Tĩnh,28.8,3
2023,Hà Tĩnh,28.85,5
2023,Hà Tĩnh,28.9,5
2023,Hà Tĩnh,28.95,5
2023,Hà Tĩnh,29.0,7
2023,Hà Tĩnh,29.05,2
2023,Hà Tĩnh,29.1,4
2023,Hà Tĩnh,29.15,4
2023,Hà Tĩnh,29.2,5
2023,Hà Tĩnh,29.200000000000003,3
2023,Hà Tĩnh,29.25,7
2023,Hà Tĩnh,29.299999999999997,1
2023,Hà Tĩnh,29.3,8
2023,Hà Tĩnh,29.35,5
2023,Hà Tĩnh,29.4,2
2023,Hà Tĩnh,29.45,1
2023,Hà Tĩnh,29.5,6
2023,Hà Tĩnh,29.55,7
