nam_hoc,tinh,tong_diem,so_hoc_sinh
2023,Hải Dương,2.2,1
2023,Hải Dương,5.4,1
2023,Hải Dương,5.5,1
2023,Hải Dương,6.2,1
2023,Hải Dương,7.0,2
2023,Hải Dương,7.25,1
2023,Hải Dương,7.4,1
2023,Hải Dương,7.5,1
2023,Hải Dương,7.75,1
2023,Hải Dương,7.85,1
2023,Hải Dương,7.95,1
2023,Hải Dương,8.25,2
2023,Hải Dương,8.4,1
2023,Hải Dương,8.5,1
2023,Hải Dương,8.55,1
2023,Hải Dương,8.65,1
2023,Hải Dương,8.75,2
2023,Hải Dương,9.0,1
2023,Hải Dương,9.15,1
2023,Hải Dương,9.3,1
2023,Hải Dương,9.4,1
2023,Hải Dương,9.5,1
2023,Hải Dương,9.7,1
2023,Hải Dương,9.75,1
2023,Hải Dương,10.0,1
2023,Hải Dương,10.15,1
2023,Hải Dương,10.2,1
2023,Hải Dương,10.6,1
2023,Hải Dương,10.65,1
2023,Hải Dương,10.75,2
2023,Hải Dương,10.85,2
2023,Hải Dương,10.95,1
2023,Hải Dương,11.1,1
2023,Hải Dương,11.2,1
2023,Hải Dương,11.25,1
2023,Hải Dương,11.45,3
2023,Hải Dương,11.5,1
2023,Hải Dương,11.55,1
2023,Hải Dương,11.65,1
2023,Hải Dương,11.75,3
2023,Hải Dương,11.8,1
2023,Hải Dương,11.85,1
2023,Hải Dương,11.9,2
2023,Hải Dương,12.0,1
2023,Hải Dương,12.1,1
2023,Hải Dương,12.15,1
2023,Hải Dương,12.2,1
2023,Hải Dương,12.25,4
2023,Hải Dương,12.35,1
2023,Hải Dương,12.4,4
2023,Hải Dương,12.45,1
2023,Hải Dương,12.5,3
2023,Hải Dương,12.55,1
2023,Hải Dương,12.6,1
2023,Hải Dương,12.65,2
2023,Hải Dương,12.7,1
2023,Hải Dương,12.75,1
2023,Hải Dương,12.8,1
2023,Hải Dương,12.85,1
2023,Hải Dương,12.95,1
2023,Hải Dương,13.0,4
2023,Hải Dương,13.15,1
2023,Hải Dương,13.2,1
2023,Hải Dương,13.25,4
2023,Hải Dương,13.3,1
2023,Hải Dương,13.35,1
2023,Hải Dương,13.4,1
2023,Hải Dương,13.45,3
2023,Hải Dương,13.5,2
2023,Hải Dương,13.55,1
2023,Hải Dương,13.6,1
2023,Hải Dương,13.600000000000001,1
2023,Hải Dương,13.65,4
2023,Hải Dương,13.7,3
2023,Hải Dương,13.75,4
2023,Hải Dương,13.8,1
2023,Hải Dương,13.85,5
2023,Hải Dương,13.9,4
2023,Hải Dương,13.95,3
2023,Hải Dương,14.0,2
2023,Hải Dương,14.05,4
2023,Hải Dương,14.2,1
2023,Hải Dương,14.25,4
2023,Hải Dương,14.3,2
2023,Hải Dương,14.4,4
2023,Hải Dương,14.45,4
2023,Hải Dương,14.5,7
2023,Hải Dương,14.55,3
2023,Hải Dương,14.6,2
2023,Hải Dương,14.65,2
2023,Hải Dương,14.7,6
2023,Hải Dương,14.75,4
2023,Hải Dương,14.8,2
2023,Hải Dương,14.85,3
2023,Hải Dương,14.9,4
2023,Hải Dương,14.95,6
2023,Hải Dương,15.0,6
2023,Hải Dương,15.05,2
2023,Hải Dương,15.1,5
2023,Hải Dương,15.100000000000001,1
2023,Hải Dương,15.15,6
2023,Hải Dương,15.2,1
2023,Hải Dương,15.25,4
2023,Hải Dương,15.3,6
2023,Hải Dương,15.35,7
2023,Hải Dương,15.350000000000001,1
2023,Hải Dương,15.4,8
2023,Hải Dương,15.45,6
2023,Hải Dương,15.5,4
2023,Hải Dương,15.55,2
2023,Hải Dương,15.6,2
2023,Hải Dương,15.65,7
2023,Hải Dương,15.7,10
2023,Hải Dương,15.75,6
2023,Hải Dương,15.8,6
2023,Hải Dương,15.85,6
2023,Hải Dương,15.9,4
2023,Hải Dương,15.95,5
2023,Hải Dương,16.0,7
2023,Hải Dương,16.05,8
2023,Hải Dương,16.1,9
2023,Hải Dương,16.15,4
2023,Hải Dương,16.2,3
2023,Hải Dương,16.25,9
2023,Hải Dương,16.3,7
2023,Hải Dương,16.35,5
2023,Hải Dương,16.4,5
2023,Hải Dương,16.45,7
2023,Hải Dương,16.5,10
2023,Hải Dương,16.55,4
2023,Hải Dương,16.6,7
2023,Hải Dương,16.65,9
2023,Hải Dương,16.7,8
2023,Hải Dương,16.75,9
2023,Hải Dương,16.8,11
2023,Hải Dương,16.85,7
2023,Hải Dương,16.9,11
2023,Hải Dương,16.95,7
2023,Hải Dương,17.0,17
2023,Hải Dương,17.05,8
2023,Hải Dương,17.1,5
2023,Hải Dương,17.15,3
2023,Hải Dương,17.2,4
2023,Hải Dương,17.25,13
2023,Hải Dương,17.3,8
2023,Hải Dương,17.35,14
2023,Hải Dương,17.4,13
2023,Hải Dương,17.45,6
2023,Hải Dương,17.5,13
2023,Hải Dương,17.55,8
2023,Hải Dương,17.6,6
2023,Hải Dương,17.65,8
2023,Hải Dương,17.7,8
2023,Hải Dương,17.75,12
2023,Hải Dương,17.8,6
2023,Hải Dương,17.85,3
2023,Hải Dương,17.9,7
2023,Hải Dương,17.95,14
2023,Hải Dương,18.0,11
2023,Hải Dương,18.049999999999997,1
2023,Hải Dương,18.05,14
2023,Hải Dương,18.1,8
2023,Hải Dương,18.15,13
2023,Hải Dương,18.2,17
2023,Hải Dương,18.25,12
2023,Hải Dương,18.3,11
2023,Hải Dương,18.35,15
2023,Hải Dương,18.4,12
2023,Hải Dương,18.45,15
2023,Hải Dương,18.5,20
2023,Hải Dương,18.55,14
2023,Hải Dương,18.6,9
2023,Hải Dương,18.65,13
2023,Hải Dương,18.7,10
2023,Hải Dương,18.75,15
2023,Hải Dương,18.8,8
2023,Hải Dương,18.85,5
2023,Hải Dương,18.9,18
2023,Hải Dương,18.95,17
2023,Hải Dương,19.0,15
2023,Hải Dương,19.05,15
2023,Hải Dương,19.1,14
2023,Hải Dương,19.15,15
2023,Hải Dương,19.2,10
2023,Hải Dương,19.25,17
2023,Hải Dương,19.3,18
2023,Hải Dương,19.35,9
2023,Hải Dương,19.4,13
2023,Hải Dương,19.45,10
2023,Hải Dương,19.5,18
2023,Hải Dương,19.55,17
2023,Hải Dương,19.6,21
2023,Hải Dương,19.65,7
2023,Hải Dương,19.7,16
2023,Hải Dương,19.75,25
2023,Hải Dương,19.799999999999997,1
2023,Hải Dương,19.8,16
2023,Hải Dương,19.85,14
2023,Hải Dương,19.9,16
2023,Hải Dương,19.95,11
2023,Hải Dương,20.0,12
2023,Hải Dương,20.05,13
2023,Hải Dương,20.1,17
2023,Hải Dương,20.15,14
2023,Hải Dương,20.2,14
2023,Hải Dương,20.25,12
2023,Hải Dương,20.3,13
2023,Hải Dương,20.35,17
2023,Hải Dương,20.4,21
2023,Hải Dương,20.45,14
2023,Hải Dương,20.5,21
2023,Hải Dương,20.55,20
2023,Hải Dương,20.6,9
2023,Hải Dương,20.65,14
2023,Hải Dương,20.7,18
2023,Hải Dương,20.700000000000003,1
2023,Hải Dương,20.75,11
2023,Hải Dương,20.8,25
2023,Hải Dương,20.85,12
2023,Hải Dương,20.9,14
2023,Hải Dương,20.95,23
2023,Hải Dương,21.0,17
2023,Hải Dương,21.05,24
2023,Hải Dương,21.1,16
2023,Hải Dương,21.15,20
2023,Hải Dương,21.2,20
2023,Hải Dương,21.25,12
2023,Hải Dương,21.3,14
2023,Hải Dương,21.35,15
2023,Hải Dương,21.4,9
2023,Hải Dương,21.45,14
2023,Hải Dương,21.5,23
2023,Hải Dương,21.55,16
2023,Hải Dương,21.6,13
2023,Hải Dương,21.65,19
2023,Hải Dương,21.7,18
2023,Hải Dương,21.700000000000003,1
2023,Hải Dương,21.75,19
2023,Hải Dương,21.8,13
2023,Hải Dương,21.85,23
2023,Hải Dương,21.9,15
2023,Hải Dương,21.95,16
2023,Hải Dương,22.0,16
2023,Hải Dương,22.049999999999997,1
2023,Hải Dương,22.05,23
2023,Hải Dương,22.1,20
2023,Hải Dương,22.15,13
2023,Hải Dương,22.2,21
2023,Hải Dương,22.25,16
2023,Hải Dương,22.3,12
2023,Hải Dương,22.349999999999998,1
2023,Hải Dương,22.35,21
2023,Hải Dương,22.4,29
2023,Hải Dương,22.45,24
2023,Hải Dương,22.5,17
