nam_hoc,tinh,tong_diem,so_hoc_sinh
2023,Hải Phòng,4.5,1
2023,Hải Phòng,4.9,1
2023,Hải Phòng,6.25,2
2023,Hải Phòng,6.5,1
2023,Hải Phòng,7.25,2
2023,Hải Phòng,7.3,1
2023,Hải Phòng,8.0,3
2023,Hải Phòng,8.25,1
2023,Hải Phòng,8.4,1
2023,Hải Phòng,8.5,1
2023,Hải Phòng,8.65,1
2023,Hải Phòng,8.75,1
2023,Hải Phòng,9.55,1
2023,Hải Phòng,9.75,1
2023,Hải Phòng,9.8,2
2023,Hải Phòng,9.95,1
2023,Hải Phòng,10.05,1
2023,Hải Phòng,10.1,2
2023,Hải Phòng,10.15,1
2023,Hải Phòng,10.2,1
2023,Hải Phòng,10.25,1
2023,Hải Phòng,10.35,1
2023,Hải Phòng,10.4,1
2023,Hải Phòng,10.55,2
2023,Hải Phòng,10.6,2
2023,Hải Phòng,10.7,2
2023,Hải Phòng,10.75,1
2023,Hải Phòng,11.0,5
2023,Hải Phòng,11.05,2
2023,Hải Phòng,11.2,2
2023,Hải Phòng,11.25,1
2023,Hải Phòng,11.3,1
2023,Hải Phòng,11.4,2
2023,Hải Phòng,11.45,1
2023,Hải Phòng,11.55,1
2023,Hải Phòng,11.65,1
2023,Hải Phòng,11.7,1
2023,Hải Phòng,11.75,4
2023,Hải Phòng,11.8,2
2023,Hải Phòng,11.85,1
2023,Hải Phòng,11.9,2
2023,Hải Phòng,11.95,4
2023,Hải Phòng,12.0,4
2023,Hải Phòng,12.05,2
2023,Hải Phòng,12.1,1
2023,Hải Phòng,12.2,3
2023,Hải Phòng,12.25,1
2023,Hải Phòng,12.3,3
2023,Hải Phòng,12.35,1
2023,Hải Phòng,12.4,2
2023,Hải Phòng,12.45,1
2023,Hải Phòng,12.5,5
2023,Hải Phòng,12.55,2
2023,Hải Phòng,12.6,2
2023,Hải Phòng,12.65,4
2023,Hải Phòng,12.7,3
2023,Hải Phòng,12.75,5
2023,Hải Phòng,12.8,1
2023,Hải Phòng,12.85,1
2023,Hải Phòng,12.9,4
2023,Hải Phòng,12.95,3
2023,Hải Phòng,13.0,1
2023,Hải Phòng,13.05,3
2023,Hải Phòng,13.1,1
2023,Hải Phòng,13.15,3
2023,Hải Phòng,13.2,4
2023,Hải Phòng,13.25,4
2023,Hải Phòng,13.3,1
2023,Hải Phòng,13.35,4
2023,Hải Phòng,13.4,1
2023,Hải Phòng,13.45,1
2023,Hải Phòng,13.5,5
2023,Hải Phòng,13.55,5
2023,Hải Phòng,13.6,2
2023,Hải Phòng,13.65,3
2023,Hải Phòng,13.7,2
2023,Hải Phòng,13.75,8
2023,Hải Phòng,13.8,5
2023,Hải Phòng,13.85,5
2023,Hải Phòng,13.9,5
2023,Hải Phòng,13.95,5
2023,Hải Phòng,14.0,4
2023,Hải Phòng,14.05,4
2023,Hải Phòng,14.1,5
2023,Hải Phòng,14.15,4
2023,Hải Phòng,14.2,3
2023,Hải Phòng,14.25,6
2023,Hải Phòng,14.3,3
2023,Hải Phòng,14.35,6
2023,Hải Phòng,14.4,2
2023,Hải Phòng,14.45,2
2023,Hải Phòng,14.5,8
2023,Hải Phòng,14.55,4
2023,Hải Phòng,14.6,1
2023,Hải Phòng,14.65,5
2023,Hải Phòng,14.7,5
2023,Hải Phòng,14.75,8
2023,Hải Phòng,14.8,3
2023,Hải Phòng,14.85,5
2023,Hải Phòng,14.9,4
2023,Hải Phòng,14.95,7
2023,Hải Phòng,15.0,12
2023,Hải Phòng,15.05,6
2023,Hải Phòng,15.1,9
2023,Hải Phòng,15.15,5
2023,Hải Phòng,15.2,10
2023,Hải Phòng,15.25,9
2023,Hải Phòng,15.3,13
2023,Hải Phòng,15.35,5
2023,Hải Phòng,15.4,9
2023,Hải Phòng,15.45,7
2023,Hải Phòng,15.5,6
2023,Hải Phòng,15.55,10
2023,Hải Phòng,15.6,6
2023,Hải Phòng,15.600000000000001,1
2023,Hải Phòng,15.65,6
2023,Hải Phòng,15.7,3
2023,Hải Phòng,15.75,6
2023,Hải Phòng,15.8,8
2023,Hải Phòng,15.85,7
2023,Hải Phòng,15.9,7
2023,Hải Phòng,15.95,6
2023,Hải Phòng,15.950000000000001,1
2023,Hải Phòng,16.0,9
2023,Hải Phòng,16.05,11
2023,Hải Phòng,16.1,10
2023,Hải Phòng,16.15,10
2023,Hải Phòng,16.2,13
2023,Hải Phòng,16.25,6
2023,Hải Phòng,16.3,6
2023,Hải Phòng,16.35,10
2023,Hải Phòng,16.4,7
2023,Hải Phòng,16.45,6
2023,Hải Phòng,16.450000000000003,1
2023,Hải Phòng,16.5,13
2023,Hải Phòng,16.55,15
2023,Hải Phòng,16.6,10
2023,Hải Phòng,16.65,8
2023,Hải Phòng,16.7,10
2023,Hải Phòng,16.75,11
2023,Hải Phòng,16.8,11
2023,Hải Phòng,16.85,10
2023,Hải Phòng,16.9,11
2023,Hải Phòng,16.95,9
2023,Hải Phòng,17.0,15
2023,Hải Phòng,17.05,12
2023,Hải Phòng,17.1,8
2023,Hải Phòng,17.15,9
2023,Hải Phòng,17.2,10
2023,Hải Phòng,17.25,15
2023,Hải Phòng,17.3,9
2023,Hải Phòng,17.35,12
2023,Hải Phòng,17.4,9
2023,Hải Phòng,17.45,11
2023,Hải Phòng,17.5,8
2023,Hải Phòng,17.55,11
2023,Hải Phòng,17.6,15
2023,Hải Phòng,17.65,6
2023,Hải Phòng,17.7,10
2023,Hải Phòng,17.75,13
2023,Hải Phòng,17.8,5
2023,Hải Phòng,17.85,15
2023,Hải Phòng,17.9,10
2023,Hải Phòng,17.95,10
2023,Hải Phòng,18.0,10
2023,Hải Phòng,18.05,18
2023,Hải Phòng,18.1,8
2023,Hải Phòng,18.15,15
2023,Hải Phòng,18.2,9
2023,Hải Phòng,18.200000000000003,1
2023,Hải Phòng,18.25,10
2023,Hải Phòng,18.3,13
2023,Hải Phòng,18.35,10
2023,Hải Phòng,18.4,13
2023,Hải Phòng,18.45,14
2023,Hải Phòng,18.5,10
2023,Hải Phòng,18.55,12
2023,Hải Phòng,18.6,13
2023,Hải Phòng,18.65,9
2023,Hải Phòng,18.7,11
2023,Hải Phòng,18.75,11
2023,Hải Phòng,18.8,16
2023,Hải Phòng,18.85,13
2023,Hải Phòng,18.9,10
2023,Hải Phòng,18.95,20
2023,Hải Phòng,19.0,13
2023,Hải Phòng,19.05,17
2023,Hải Phòng,19.1,10
2023,Hải Phòng,19.15,9
2023,Hải Phòng,19.2,12
2023,Hải Phòng,19.25,6
2023,Hải Phòng,19.3,15
2023,Hải Phòng,19.35,13
2023,Hải Phòng,19.4,16
2023,Hải Phòng,19.45,15
2023,Hải Phòng,19.5,13
2023,Hải Phòng,19.55,13
2023,Hải Phòng,19.6,4
2023,Hải Phòng,19.65,12
2023,Hải Phòng,19.7,15
2023,Hải Phòng,19.75,16
2023,Hải Phòng,19.8,15
2023,Hải Phòng,19.85,11
2023,Hải Phòng,19.9,19
2023,Hải Phòng,19.95,7
2023,Hải Phòng,20.0,12
2023,Hải Phòng,20.05,22
2023,Hải Phòng,20.1,12
2023,Hải Phòng,20.15,7
2023,Hải Phòng,20.2,21
2023,Hải Phòng,20.200000000000003,1
2023,Hải Phòng,20.25,13
2023,Hải Phòng,20.299999999999997,1
2023,Hải Phòng,20.3,12
2023,Hải Phòng,20.35,12
2023,Hải Phòng,20.4,13
2023,Hải Phòng,20.45,8
2023,Hải Phòng,20.5,14
2023,Hải Phòng,20.55,19
2023,Hải Phòng,20.6,17
2023,Hải Phòng,20.65,16
2023,Hải Phòng,20.7,17
2023,Hải Phòng,20.75,19
2023,Hải Phòng,20.8,13
2023,Hải Phòng,20.85,15
2023,Hải Phòng,20.9,12
2023,Hải Phòng,20.95,9
2023,Hải Phòng,21.0,19
2023,Hải Phòng,21.05,18
2023,Hải Phòng,21.1,19
2023,Hải Phòng,21.15,9
2023,Hải Phòng,21.2,10
2023,Hải Phòng,21.25,16
2023,Hải Phòng,21.3,16
2023,Hải Phòng,21.35,16
2023,Hải Phòng,21.4,10
2023,Hải Phòng,21.45,7
2023,Hải Phòng,21.450000000000003,2
2023,Hải Phòng,21.5,10
2023,Hải Phòng,21.55,14
2023,Hải Phòng,21.6,18
2023,Hải Phòng,21.65,11
2023,Hải Phòng,21.7,20
2023,Hải Phòng,21.75,10
2023,Hải Phòng,21.8,15
2023,Hải Phòng,21.85,13
2023,Hải Phòng,21.9,10
2023,Hải Phòng,21.95,18
2023,Hải Phòng,22.0,22
2023,Hải Phòng,22.049999999999997,1
2023,Hải Phòng,22.05,15
2023,Hải Phòng,22.1,15
2023,Hải Phòng,22.15,19
2023,Hải Phòng,22.150000000000002,1
2023,Hải Phòng,22.2,13
2023,Hải Phòng,22.25,19
2023,Hải Phòng,22.299999999999997,1
2023,Hải Phòng,22.3,12
2023,Hải Phòng,22.35,12
2023,Hải Phòng,22.4,12
2023,Hải Phòng,22.45,12
2023,Hải Phòng,22.5,10
2023,Hải Phòng,22.55,17
2023,Hải Phòng,22.599999999999998,1
2023,Hải Phòng,22.6,15
2023,Hải Phòng,22.65,12
2023,Hải Phòng,22.7,11
2023,Hải Phòng,22.700000000000003,2
2023,Hải Phòng,22.75,8
2023,Hải Phòng,22.8,17
2023,Hải Phòng,22.85,21
2023,Hải Phòng,22.9,8
2023,Hải Phòng,22.95,5
2023,Hải Phòng,22.950000000000003,1
2023,Hải Phòng,23.0,17
2023,Hải Phòng,23.05,11
2023,Hải Phòng,23.1,10
2023,Hải Phòng,23.15,12
2023,Hải Phòng,23.2,15
2023,Hải Phòng,23.25,13
2023,Hải Phòng,23.3,9
2023,Hải Phòng,23.35,7
2023,Hải Phòng,23.4,15
2023,Hải Phòng,23.45,13
2023,Hải Phòng,23.5,14
2023,Hải Phòng,23.55,8
2023,Hải Phòng,23.6,18
2023,Hải Phòng,23.65,10
2023,Hải Phòng,23.7,16
2023,Hải Phòng,23.75,10
2023,Hải Phòng,23.799999999999997,1
2023,Hải Phòng,23.8,19
2023,Hải Phòng,23.85,6
2023,Hải Phòng,23.9,11
2023,Hải Phòng,23.900000000000002,1
2023,Hải Phòng,23.95,13
2023,Hải Phòng,23.950000000000003,2
2023,Hải Phòng,24.0,15
2023,Hải Phòng,24.05,9
2023,Hải Phòng,24.1,5
2023,Hải Phòng,24.15,12
2023,Hải Phòng,24.2,7
2023,Hải Phòng,24.25,6
2023,Hải Phòng,24.3,15
2023,Hải Phòng,24.35,9
2023,Hải Phòng,24.4,8
2023,Hải Phòng,24.400000000000002,1
2023,Hải Phòng,24.45,15
2023,Hải Phòng,24.450000000000003,2
2023,Hải Phòng,24.5,10
2023,Hải Phòng,24.549999999999997,1
