nam_hoc,tinh,tong_diem,so_hoc_sinh
2018,Hậu Giang,0.25,1
2018,Hậu Giang,3.4,1
2018,Hậu Giang,6.45,1
2018,Hậu Giang,6.5,1
2018,Hậu Giang,6.6,1
2018,Hậu Giang,6.85,1
2018,Hậu Giang,6.9,1
2018,Hậu Giang,7.0,1
2018,Hậu Giang,7.15,2
2018,Hậu Giang,7.35,4
2018,Hậu Giang,7.5,1
2018,Hậu Giang,7.55,2
2018,Hậu Giang,7.6,2
2018,Hậu Giang,7.75,1
2018,Hậu Giang,7.85,2
2018,Hậu Giang,7.9,1
2018,Hậu Giang,8.0,1
2018,Hậu Giang,8.1,2
2018,Hậu Giang,8.15,1
2018,Hậu Giang,8.25,1
2018,Hậu Giang,8.35,2
2018,Hậu Giang,8.399999999999999,1
2018,Hậu Giang,8.4,2
2018,Hậu Giang,8.5,1
2018,Hậu Giang,8.55,1
2018,Hậu Giang,8.65,2
2018,Hậu Giang,8.7,2
2018,Hậu Giang,8.75,1
2018,Hậu Giang,8.780000000000001,1
2018,Hậu Giang,8.8,3
2018,Hậu Giang,8.85,1
2018,Hậu Giang,8.9,4
2018,Hậu Giang,8.95,1
2018,Hậu Giang,9.0,1
2018,Hậu Giang,9.05,1
2018,Hậu Giang,9.08,1
2018,Hậu Giang,9.1,2
2018,Hậu Giang,9.2,2
2018,Hậu Giang,9.25,2
2018,Hậu Giang,9.3,2
2018,Hậu Giang,9.4,1
2018,Hậu Giang,9.45,1
2018,Hậu Giang,9.5,2
2018,Hậu Giang,9.55,1
2018,Hậu Giang,9.6,1
2018,Hậu Giang,9.65,2
2018,Hậu Giang,9.7,2
2018,Hậu Giang,9.75,2
2018,Hậu Giang,9.8,2
2018,Hậu Giang,9.85,3
2018,Hậu Giang,9.9,1
2018,Hậu Giang,10.0,2
2018,Hậu Giang,10.1,1
2018,Hậu Giang,10.15,1
2018,Hậu Giang,10.200000000000001,1
2018,Hậu Giang,10.3,3
2018,Hậu Giang,10.35,1
2018,Hậu Giang,10.4,2
2018,Hậu Giang,10.5,2
2018,Hậu Giang,10.6,2
2018,Hậu Giang,10.65,1
2018,Hậu Giang,10.67,1
2018,Hậu Giang,10.75,5
2018,Hậu Giang,10.85,1
2018,Hậu Giang,10.95,1
2018,Hậu Giang,11.0,1
2018,Hậu Giang,11.05,2
2018,Hậu Giang,11.1,4
2018,Hậu Giang,11.15,1
2018,Hậu Giang,11.2,2
2018,Hậu Giang,11.35,1
2018,Hậu Giang,11.4,1
2018,Hậu Giang,11.45,1
2018,Hậu Giang,11.5,3
2018,Hậu Giang,11.55,2
2018,Hậu Giang,11.6,6
2018,Hậu Giang,11.65,3
2018,Hậu Giang,11.7,4
2018,Hậu Giang,11.700000000000001,1
2018,Hậu Giang,11.75,1
2018,Hậu Giang,11.8,2
2018,Hậu Giang,11.85,1
2018,Hậu Giang,11.9,2
2018,Hậu Giang,11.95,2
2018,Hậu Giang,12.0,1
2018,Hậu Giang,12.05,1
2018,Hậu Giang,12.1,2
2018,Hậu Giang,12.15,2
2018,Hậu Giang,12.3,1
2018,Hậu Giang,12.35,3
2018,Hậu Giang,12.4,2
2018,Hậu Giang,12.450000000000001,1
2018,Hậu Giang,12.469999999999999,1
2018,Hậu Giang,12.5,3
2018,Hậu Giang,12.6,1
2018,Hậu Giang,12.65,2
2018,Hậu Giang,12.7,2
2018,Hậu Giang,12.75,2
2018,Hậu Giang,12.8,2
2018,Hậu Giang,12.9,3
2018,Hậu Giang,12.95,3
2018,Hậu Giang,13.0,1
2018,Hậu Giang,13.05,2
2018,Hậu Giang,13.1,1
2018,Hậu Giang,13.2,6
2018,Hậu Giang,13.25,4
2018,Hậu Giang,13.3,1
2018,Hậu Giang,13.35,1
2018,Hậu Giang,13.4,3
2018,Hậu Giang,13.5,1
2018,Hậu Giang,13.55,3
2018,Hậu Giang,13.6,4
2018,Hậu Giang,13.65,1
2018,Hậu Giang,13.7,2
2018,Hậu Giang,13.75,2
2018,Hậu Giang,13.8,3
2018,Hậu Giang,13.85,2
2018,Hậu Giang,13.9,2
2018,Hậu Giang,13.95,1
2018,Hậu Giang,13.969999999999999,1
2018,Hậu Giang,14.0,5
2018,Hậu Giang,14.05,2
2018,Hậu Giang,14.1,2
2018,Hậu Giang,14.15,2
2018,Hậu Giang,14.2,3
2018,Hậu Giang,14.219999999999999,1
2018,Hậu Giang,14.25,2
2018,Hậu Giang,14.3,2
2018,Hậu Giang,14.35,5
2018,Hậu Giang,14.4,2
2018,Hậu Giang,14.45,4
2018,Hậu Giang,14.5,2
2018,Hậu Giang,14.6,2
2018,Hậu Giang,14.65,4
2018,Hậu Giang,14.7,5
2018,Hậu Giang,14.75,3
2018,Hậu Giang,14.85,2
2018,Hậu Giang,14.870000000000001,1
2018,Hậu Giang,14.9,2
2018,Hậu Giang,14.95,2
2018,Hậu Giang,15.030000000000001,1
2018,Hậu Giang,15.05,3
2018,Hậu Giang,15.1,1
2018,Hậu Giang,15.15,2
2018,Hậu Giang,15.2,1
2018,Hậu Giang,15.25,1
2018,Hậu Giang,15.3,3
2018,Hậu Giang,15.4,1
2018,Hậu Giang,15.5,1
2018,Hậu Giang,15.55,2
2018,Hậu Giang,15.6,2
2018,Hậu Giang,15.7,1
2018,Hậu Giang,15.75,1
2018,Hậu Giang,15.77,1
2018,Hậu Giang,15.8,3
2018,Hậu Giang,15.85,1
