nam_hoc,tinh,tong_diem,so_hoc_sinh
2023,Hoà Bình,2.0,1
2023,Hoà Bình,3.2,1
2023,Hoà Bình,5.5,1
2023,Hoà Bình,5.8,1
2023,Hoà Bình,6.65,1
2023,Hoà Bình,6.75,1
2023,Hoà Bình,7.0,1
2023,Hoà Bình,7.75,1
2023,Hoà Bình,8.0,1
2023,Hoà Bình,8.25,1
2023,Hoà Bình,8.45,1
2023,Hoà Bình,8.5,1
2023,Hoà Bình,8.75,1
2023,Hoà Bình,8.95,1
2023,Hoà Bình,9.35,1
2023,Hoà Bình,9.5,1
2023,Hoà Bình,9.6,1
2023,Hoà Bình,9.75,2
2023,Hoà Bình,9.85,1
2023,Hoà Bình,10.2,1
2023,Hoà Bình,10.25,1
2023,Hoà Bình,10.3,1
2023,Hoà Bình,10.55,1
2023,Hoà Bình,10.75,1
2023,Hoà Bình,11.05,1
2023,Hoà Bình,11.25,4
2023,Hoà Bình,11.4,1
2023,Hoà Bình,11.45,1
2023,Hoà Bình,11.5,1
2023,Hoà Bình,11.6,2
2023,Hoà Bình,11.65,1
2023,Hoà Bình,11.75,3
2023,Hoà Bình,12.0,4
2023,Hoà Bình,12.1,1
2023,Hoà Bình,12.15,1
2023,Hoà Bình,12.2,1
2023,Hoà Bình,12.25,2
2023,Hoà Bình,12.3,1
2023,Hoà Bình,12.5,1
2023,Hoà Bình,12.55,1
2023,Hoà Bình,12.6,1
2023,Hoà Bình,12.65,2
2023,Hoà Bình,12.75,4
2023,Hoà Bình,12.8,1
2023,Hoà Bình,13.0,1
2023,Hoà Bình,13.05,1
2023,Hoà Bình,13.1,1
2023,Hoà Bình,13.15,1
2023,Hoà Bình,13.2,1
2023,Hoà Bình,13.25,5
2023,Hoà Bình,13.35,2
2023,Hoà Bình,13.4,3
2023,Hoà Bình,13.5,4
2023,Hoà Bình,13.55,3
2023,Hoà Bình,13.6,2
2023,Hoà Bình,13.65,1
2023,Hoà Bình,13.7,2
2023,Hoà Bình,13.8,2
2023,Hoà Bình,13.9,1
2023,Hoà Bình,13.95,2
2023,Hoà Bình,14.0,6
2023,Hoà Bình,14.05,1
2023,Hoà Bình,14.15,3
2023,Hoà Bình,14.2,4
2023,Hoà Bình,14.25,2
2023,Hoà Bình,14.3,3
2023,Hoà Bình,14.35,3
2023,Hoà Bình,14.4,2
2023,Hoà Bình,14.45,4
2023,Hoà Bình,14.5,3
2023,Hoà Bình,14.55,3
2023,Hoà Bình,14.6,7
2023,Hoà Bình,14.65,1
2023,Hoà Bình,14.7,2
2023,Hoà Bình,14.75,8
2023,Hoà Bình,14.8,2
2023,Hoà Bình,14.85,3
2023,Hoà Bình,14.9,2
2023,Hoà Bình,14.95,4
2023,Hoà Bình,15.0,5
2023,Hoà Bình,15.05,4
2023,Hoà Bình,15.1,3
2023,Hoà Bình,15.15,1
2023,Hoà Bình,15.2,2
2023,Hoà Bình,15.25,4
2023,Hoà Bình,15.3,4
2023,Hoà Bình,15.35,4
2023,Hoà Bình,15.4,1
2023,Hoà Bình,15.45,5
2023,Hoà Bình,15.5,5
2023,Hoà Bình,15.55,2
2023,Hoà Bình,15.6,6
2023,Hoà Bình,15.65,5
2023,Hoà Bình,15.7,1
2023,Hoà Bình,15.75,6
2023,Hoà Bình,15.8,9
2023,Hoà Bình,15.85,1
