nam_hoc,tinh,tong_diem,so_hoc_sinh
2023,Huế,3.75,1
2023,Huế,4.2,1
2023,Huế,5.8,1
2023,Huế,6.25,1
2023,Huế,7.0,1
2023,Huế,8.75,1
2023,Huế,9.65,1
2023,Huế,9.7,2
2023,Huế,10.25,1
2023,Huế,10.35,1
2023,Huế,10.55,1
2023,Huế,11.2,1
2023,Huế,11.35,1
2023,Huế,11.5,1
2023,Huế,11.55,1
2023,Huế,11.7,1
2023,Huế,11.75,1
2023,Huế,12.25,2
2023,Huế,12.35,1
2023,Huế,12.4,1
2023,Huế,12.45,2
2023,Huế,12.5,2
2023,Huế,12.55,1
2023,Huế,12.75,1
2023,Huế,12.8,1
2023,Huế,12.85,2
2023,Huế,12.95,1
2023,Huế,13.0,2
2023,Huế,13.15,1
2023,Huế,13.25,2
2023,Huế,13.3,1
2023,Huế,13.35,1
2023,Huế,13.350000000000001,1
2023,Huế,13.5,2
2023,Huế,13.6,1
2023,Huế,13.75,2
2023,Huế,13.9,2
2023,Huế,14.0,7
2023,Huế,14.05,1
2023,Huế,14.1,3
2023,Huế,14.129999999999999,1
2023,Huế,14.15,2
2023,Huế,14.25,2
2023,Huế,14.4,1
2023,Huế,14.45,2
2023,Huế,14.5,1
2023,Huế,14.55,2
2023,Huế,14.6,2
2023,Huế,14.65,2
2023,Huế,14.7,2
2023,Huế,14.75,5
2023,Huế,14.8,1
2023,Huế,14.85,3
2023,Huế,14.9,4
2023,Huế,15.0,2
2023,Huế,15.05,1
2023,Huế,15.1,2
2023,Huế,15.15,1
2023,Huế,15.2,2
2023,Huế,15.25,3
2023,Huế,15.3,3
2023,Huế,15.35,4
2023,Huế,15.4,1
2023,Huế,15.45,1
2023,Huế,15.5,2
2023,Huế,15.55,2
2023,Huế,15.6,2
2023,Huế,15.7,2
2023,Huế,15.75,4
2023,Huế,15.8,1
2023,Huế,15.85,4
2023,Huế,15.9,3
2023,Huế,15.95,1
2023,Huế,16.0,4
2023,Huế,16.05,1
2023,Huế,16.1,3
2023,Huế,16.15,2
2023,Huế,16.2,5
2023,Huế,16.25,6
2023,Huế,16.35,1
2023,Huế,16.4,5
2023,Huế,16.45,2
2023,Huế,16.5,4
2023,Huế,16.55,3
2023,Huế,16.6,2
2023,Huế,16.65,3
2023,Huế,16.7,2
2023,Huế,16.75,2
2023,Huế,16.8,4
2023,Huế,16.85,2
2023,Huế,16.95,2
2023,Huế,17.0,5
2023,Huế,17.1,1
2023,Huế,17.15,1
2023,Huế,17.2,3
2023,Huế,17.25,9
