nam_hoc,tinh,tong_diem,so_hoc_sinh
2018,Hưng Yên,0.0,3
2018,Hưng Yên,3.2,1
2018,Hưng Yên,5.199999999999999,1
2018,Hưng Yên,5.800000000000001,1
2018,Hưng Yên,5.85,1
2018,Hưng Yên,6.05,1
2018,Hưng Yên,6.2,1
2018,Hưng Yên,6.25,3
2018,Hưng Yên,6.35,2
2018,Hưng Yên,6.45,1
2018,Hưng Yên,6.5,1
2018,Hưng Yên,6.55,1
2018,Hưng Yên,6.550000000000001,1
2018,Hưng Yên,6.65,1
2018,Hưng Yên,6.75,1
2018,Hưng Yên,6.8,1
2018,Hưng Yên,6.9,1
2018,Hưng Yên,7.0,2
2018,Hưng Yên,7.05,1
2018,Hưng Yên,7.050000000000001,1
2018,Hưng Yên,7.1,1
2018,Hưng Yên,7.15,2
2018,Hưng Yên,7.2,1
2018,Hưng Yên,7.25,3
2018,Hưng Yên,7.300000000000001,1
2018,Hưng Yên,7.35,1
2018,Hưng Yên,7.449999999999999,1
2018,Hưng Yên,7.45,1
2018,Hưng Yên,7.55,1
2018,Hưng Yên,7.7,2
2018,Hưng Yên,7.75,1
2018,Hưng Yên,7.85,1
2018,Hưng Yên,7.9,1
2018,Hưng Yên,8.0,4
2018,Hưng Yên,8.05,1
2018,Hưng Yên,8.1,1
2018,Hưng Yên,8.15,1
2018,Hưng Yên,8.25,1
2018,Hưng Yên,8.3,1
2018,Hưng Yên,8.35,1
2018,Hưng Yên,8.399999999999999,1
2018,Hưng Yên,8.45,1
2018,Hưng Yên,8.5,1
2018,Hưng Yên,8.55,1
2018,Hưng Yên,8.6,1
2018,Hưng Yên,8.600000000000001,1
2018,Hưng Yên,8.65,1
2018,Hưng Yên,8.7,1
2018,Hưng Yên,8.75,1
2018,Hưng Yên,8.8,2
2018,Hưng Yên,8.85,2
2018,Hưng Yên,8.95,3
2018,Hưng Yên,9.05,2
2018,Hưng Yên,9.15,4
2018,Hưng Yên,9.2,1
2018,Hưng Yên,9.25,1
2018,Hưng Yên,9.3,4
2018,Hưng Yên,9.350000000000001,1
2018,Hưng Yên,9.45,1
2018,Hưng Yên,9.5,2
2018,Hưng Yên,9.55,2
2018,Hưng Yên,9.6,1
2018,Hưng Yên,9.65,1
2018,Hưng Yên,9.7,1
2018,Hưng Yên,9.75,1
2018,Hưng Yên,9.8,2
2018,Hưng Yên,9.85,2
2018,Hưng Yên,9.9,3
2018,Hưng Yên,9.95,1
2018,Hưng Yên,10.0,2
2018,Hưng Yên,10.05,2
2018,Hưng Yên,10.2,1
2018,Hưng Yên,10.25,2
2018,Hưng Yên,10.3,3
2018,Hưng Yên,10.35,1
2018,Hưng Yên,10.4,2
2018,Hưng Yên,10.45,1
2018,Hưng Yên,10.55,2
2018,Hưng Yên,10.65,1
2018,Hưng Yên,10.7,1
2018,Hưng Yên,10.75,1
2018,Hưng Yên,10.8,1
2018,Hưng Yên,10.85,2
2018,Hưng Yên,10.850000000000001,1
2018,Hưng Yên,10.9,4
2018,Hưng Yên,10.95,4
2018,Hưng Yên,11.0,3
2018,Hưng Yên,11.05,1
2018,Hưng Yên,11.1,5
2018,Hưng Yên,11.15,4
2018,Hưng Yên,11.2,1
2018,Hưng Yên,11.25,3
2018,Hưng Yên,11.3,2
2018,Hưng Yên,11.35,3
2018,Hưng Yên,11.4,3
2018,Hưng Yên,11.45,1
2018,Hưng Yên,11.5,3
2018,Hưng Yên,11.55,4
2018,Hưng Yên,11.6,4
2018,Hưng Yên,11.65,1
2018,Hưng Yên,11.7,4
2018,Hưng Yên,11.75,5
2018,Hưng Yên,11.8,2
2018,Hưng Yên,11.85,3
2018,Hưng Yên,11.899999999999999,1
2018,Hưng Yên,11.9,4
2018,Hưng Yên,11.95,4
2018,Hưng Yên,12.0,6
2018,Hưng Yên,12.05,2
2018,Hưng Yên,12.1,9
2018,Hưng Yên,12.15,5
2018,Hưng Yên,12.2,5
2018,Hưng Yên,12.3,7
2018,Hưng Yên,12.35,5
2018,Hưng Yên,12.4,5
2018,Hưng Yên,12.45,7
2018,Hưng Yên,12.5,3
2018,Hưng Yên,12.549999999999999,1
2018,Hưng Yên,12.55,1
2018,Hưng Yên,12.6,3
2018,Hưng Yên,12.65,6
2018,Hưng Yên,12.7,7
2018,Hưng Yên,12.75,5
2018,Hưng Yên,12.8,5
2018,Hưng Yên,12.85,6
2018,Hưng Yên,12.9,4
2018,Hưng Yên,12.95,5
2018,Hưng Yên,13.0,5
2018,Hưng Yên,13.05,3
2018,Hưng Yên,13.1,3
2018,Hưng Yên,13.15,3
2018,Hưng Yên,13.2,5
2018,Hưng Yên,13.25,7
2018,Hưng Yên,13.3,9
2018,Hưng Yên,13.35,4
2018,Hưng Yên,13.399999999999999,1
2018,Hưng Yên,13.4,8
2018,Hưng Yên,13.45,8
2018,Hưng Yên,13.5,6
2018,Hưng Yên,13.55,1
2018,Hưng Yên,13.6,5
2018,Hưng Yên,13.65,5
2018,Hưng Yên,13.7,5
2018,Hưng Yên,13.75,5
2018,Hưng Yên,13.8,5
2018,Hưng Yên,13.85,4
2018,Hưng Yên,13.9,7
2018,Hưng Yên,13.95,6
2018,Hưng Yên,14.0,7
2018,Hưng Yên,14.05,4
2018,Hưng Yên,14.1,3
2018,Hưng Yên,14.100000000000001,1
2018,Hưng Yên,14.15,9
2018,Hưng Yên,14.2,11
2018,Hưng Yên,14.25,3
2018,Hưng Yên,14.3,7
2018,Hưng Yên,14.35,4
2018,Hưng Yên,14.4,6
2018,Hưng Yên,14.45,3
2018,Hưng Yên,14.450000000000001,1
2018,Hưng Yên,14.5,4
2018,Hưng Yên,14.55,6
2018,Hưng Yên,14.6,12
2018,Hưng Yên,14.65,8
2018,Hưng Yên,14.7,4
2018,Hưng Yên,14.75,5
2018,Hưng Yên,14.8,2
2018,Hưng Yên,14.85,3
2018,Hưng Yên,14.9,5
2018,Hưng Yên,14.95,8
2018,Hưng Yên,15.0,5
2018,Hưng Yên,15.05,5
