nam_hoc,tinh,tong_diem,so_hoc_sinh
2023,Khánh Hoà,3.6,2
2023,Khánh Hoà,4.0,1
2023,Khánh Hoà,5.45,1
2023,Khánh Hoà,5.95,1
2023,Khánh Hoà,6.6,2
2023,Khánh Hoà,7.0,1
2023,Khánh Hoà,7.5,1
2023,Khánh Hoà,7.65,1
2023,Khánh Hoà,7.85,1
2023,Khánh Hoà,7.9,1
2023,Khánh Hoà,8.1,2
2023,Khánh Hoà,8.45,1
2023,Khánh Hoà,8.55,2
2023,Khánh Hoà,8.7,1
2023,Khánh Hoà,8.75,1
2023,Khánh Hoà,8.9,1
2023,Khánh Hoà,9.15,2
2023,Khánh Hoà,9.25,1
2023,Khánh Hoà,10.1,1
2023,Khánh Hoà,10.25,1
2023,Khánh Hoà,10.3,2
2023,Khánh Hoà,10.45,1
2023,Khánh Hoà,10.5,2
2023,Khánh Hoà,10.55,2
2023,Khánh Hoà,10.6,1
2023,Khánh Hoà,10.65,1
2023,Khánh Hoà,10.7,1
2023,Khánh Hoà,10.75,1
2023,Khánh Hoà,10.8,1
2023,Khánh Hoà,10.85,1
2023,Khánh Hoà,10.9,1
2023,Khánh Hoà,10.95,4
2023,Khánh Hoà,11.0,2
2023,Khánh Hoà,11.1,1
2023,Khánh Hoà,11.15,2
2023,Khánh Hoà,11.2,2
2023,Khánh Hoà,11.35,1
2023,Khánh Hoà,11.45,1
2023,Khánh Hoà,11.5,3
2023,Khánh Hoà,11.65,3
2023,Khánh Hoà,11.7,2
2023,Khánh Hoà,11.75,1
2023,Khánh Hoà,11.8,1
2023,Khánh Hoà,11.85,4
2023,Khánh Hoà,11.9,1
2023,Khánh Hoà,11.95,1
2023,Khánh Hoà,12.0,1
2023,Khánh Hoà,12.05,4
2023,Khánh Hoà,12.1,2
2023,Khánh Hoà,12.15,2
2023,Khánh Hoà,12.2,5
2023,Khánh Hoà,12.25,2
2023,Khánh Hoà,12.3,2
2023,Khánh Hoà,12.399999999999999,1
2023,Khánh Hoà,12.45,2
2023,Khánh Hoà,12.5,4
2023,Khánh Hoà,12.55,1
2023,Khánh Hoà,12.65,1
2023,Khánh Hoà,12.7,1
2023,Khánh Hoà,12.75,8
2023,Khánh Hoà,12.8,2
2023,Khánh Hoà,12.85,3
2023,Khánh Hoà,12.9,1
2023,Khánh Hoà,13.0,1
2023,Khánh Hoà,13.05,6
2023,Khánh Hoà,13.1,1
2023,Khánh Hoà,13.15,4
2023,Khánh Hoà,13.2,3
2023,Khánh Hoà,13.25,4
2023,Khánh Hoà,13.3,5
2023,Khánh Hoà,13.35,4
2023,Khánh Hoà,13.399999999999999,1
2023,Khánh Hoà,13.4,5
2023,Khánh Hoà,13.45,4
2023,Khánh Hoà,13.5,6
2023,Khánh Hoà,13.6,4
2023,Khánh Hoà,13.600000000000001,1
2023,Khánh Hoà,13.65,2
2023,Khánh Hoà,13.7,1
2023,Khánh Hoà,13.75,8
2023,Khánh Hoà,13.8,4
2023,Khánh Hoà,13.85,2
