nam_hoc,tinh,tong_diem,so_hoc_sinh
2018,Kiên Giang,2.2,1
2018,Kiên Giang,3.4,1
2018,Kiên Giang,3.75,1
2018,Kiên Giang,4.55,1
2018,Kiên Giang,4.6,1
2018,Kiên Giang,4.65,1
2018,Kiên Giang,5.8,1
2018,Kiên Giang,5.95,1
2018,Kiên Giang,6.05,1
2018,Kiên Giang,6.2,1
2018,Kiên Giang,6.4,1
2018,Kiên Giang,6.5,1
2018,Kiên Giang,6.55,1
2018,Kiên Giang,6.6,2
2018,Kiên Giang,6.7,3
2018,Kiên Giang,6.85,1
2018,Kiên Giang,6.9,1
2018,Kiên Giang,7.05,1
2018,Kiên Giang,7.1,2
2018,Kiên Giang,7.1499999999999995,1
2018,Kiên Giang,7.2,1
2018,Kiên Giang,7.25,3
2018,Kiên Giang,7.3,1
2018,Kiên Giang,7.35,1
2018,Kiên Giang,7.4,2
2018,Kiên Giang,7.45,1
2018,Kiên Giang,7.5,1
2018,Kiên Giang,7.65,2
2018,Kiên Giang,7.7,2
2018,Kiên Giang,7.8,1
2018,Kiên Giang,7.85,2
2018,Kiên Giang,7.9,1
2018,Kiên Giang,7.95,4
2018,Kiên Giang,8.0,7
2018,Kiên Giang,8.05,2
2018,Kiên Giang,8.1,3
2018,Kiên Giang,8.15,1
2018,Kiên Giang,8.2,2
2018,Kiên Giang,8.3,4
2018,Kiên Giang,8.35,4
2018,Kiên Giang,8.4,2
2018,Kiên Giang,8.45,2
2018,Kiên Giang,8.5,1
2018,Kiên Giang,8.55,2
2018,Kiên Giang,8.6,1
2018,Kiên Giang,8.65,2
2018,Kiên Giang,8.7,5
2018,Kiên Giang,8.75,2
2018,Kiên Giang,8.8,2
2018,Kiên Giang,8.85,3
2018,Kiên Giang,8.9,2
2018,Kiên Giang,8.95,4
2018,Kiên Giang,8.950000000000001,1
2018,Kiên Giang,9.0,5
2018,Kiên Giang,9.05,2
2018,Kiên Giang,9.1,2
2018,Kiên Giang,9.15,4
2018,Kiên Giang,9.2,3
2018,Kiên Giang,9.25,4
2018,Kiên Giang,9.3,3
2018,Kiên Giang,9.35,1
2018,Kiên Giang,9.4,6
2018,Kiên Giang,9.45,3
2018,Kiên Giang,9.5,2
2018,Kiên Giang,9.55,2
2018,Kiên Giang,9.6,5
2018,Kiên Giang,9.65,7
2018,Kiên Giang,9.7,5
2018,Kiên Giang,9.75,5
2018,Kiên Giang,9.8,2
2018,Kiên Giang,9.85,3
2018,Kiên Giang,9.9,3
2018,Kiên Giang,9.95,1
2018,Kiên Giang,10.0,7
2018,Kiên Giang,10.05,2
2018,Kiên Giang,10.15,3
2018,Kiên Giang,10.2,5
2018,Kiên Giang,10.25,6
2018,Kiên Giang,10.3,6
2018,Kiên Giang,10.32,1
2018,Kiên Giang,10.35,4
2018,Kiên Giang,10.4,5
2018,Kiên Giang,10.45,7
2018,Kiên Giang,10.5,3
2018,Kiên Giang,10.55,5
2018,Kiên Giang,10.6,4
2018,Kiên Giang,10.65,3
2018,Kiên Giang,10.7,7
2018,Kiên Giang,10.75,8
2018,Kiên Giang,10.8,9
2018,Kiên Giang,10.85,1
2018,Kiên Giang,10.9,3
2018,Kiên Giang,10.95,8
2018,Kiên Giang,11.0,7
2018,Kiên Giang,11.05,7
2018,Kiên Giang,11.1,7
2018,Kiên Giang,11.149999999999999,1
2018,Kiên Giang,11.15,6
2018,Kiên Giang,11.17,1
2018,Kiên Giang,11.2,3
2018,Kiên Giang,11.25,2
2018,Kiên Giang,11.3,4
2018,Kiên Giang,11.35,5
2018,Kiên Giang,11.4,2
2018,Kiên Giang,11.45,7
2018,Kiên Giang,11.469999999999999,1
2018,Kiên Giang,11.5,5
2018,Kiên Giang,11.55,5
2018,Kiên Giang,11.6,8
2018,Kiên Giang,11.65,4
2018,Kiên Giang,11.7,2
2018,Kiên Giang,11.719999999999999,1
2018,Kiên Giang,11.75,6
2018,Kiên Giang,11.8,5
2018,Kiên Giang,11.85,10
2018,Kiên Giang,11.9,6
2018,Kiên Giang,11.95,4
2018,Kiên Giang,12.0,11
2018,Kiên Giang,12.05,10
2018,Kiên Giang,12.1,10
2018,Kiên Giang,12.120000000000001,1
2018,Kiên Giang,12.15,9
2018,Kiên Giang,12.17,1
2018,Kiên Giang,12.2,10
2018,Kiên Giang,12.25,7
2018,Kiên Giang,12.3,6
2018,Kiên Giang,12.35,5
2018,Kiên Giang,12.4,4
2018,Kiên Giang,12.45,8
2018,Kiên Giang,12.5,11
2018,Kiên Giang,12.55,6
2018,Kiên Giang,12.6,7
2018,Kiên Giang,12.65,9
2018,Kiên Giang,12.68,1
2018,Kiên Giang,12.7,9
2018,Kiên Giang,12.75,11
2018,Kiên Giang,12.8,9
2018,Kiên Giang,12.85,7
2018,Kiên Giang,12.9,6
2018,Kiên Giang,12.95,3
2018,Kiên Giang,13.0,11
2018,Kiên Giang,13.05,6
2018,Kiên Giang,13.1,3
2018,Kiên Giang,13.15,6
2018,Kiên Giang,13.2,10
2018,Kiên Giang,13.25,10
2018,Kiên Giang,13.3,9
2018,Kiên Giang,13.35,4
2018,Kiên Giang,13.4,10
2018,Kiên Giang,13.45,5
2018,Kiên Giang,13.5,5
2018,Kiên Giang,13.530000000000001,1
2018,Kiên Giang,13.55,9
2018,Kiên Giang,13.6,8
2018,Kiên Giang,13.65,4
