nam_hoc,tinh,tong_diem,so_hoc_sinh
2023,Kon Tum,3.5,1
2023,Kon Tum,5.5,1
2023,Kon Tum,6.2,1
2023,Kon Tum,6.5,1
2023,Kon Tum,7.0,1
2023,Kon Tum,7.7,1
2023,Kon Tum,8.2,1
2023,Kon Tum,8.65,1
2023,Kon Tum,9.15,1
2023,Kon Tum,9.25,1
2023,Kon Tum,9.35,1
2023,Kon Tum,9.55,1
2023,Kon Tum,10.05,1
2023,Kon Tum,10.15,1
2023,Kon Tum,10.3,1
2023,Kon Tum,10.35,1
2023,Kon Tum,10.65,1
2023,Kon Tum,10.75,1
2023,Kon Tum,10.8,1
2023,Kon Tum,10.85,2
2023,Kon Tum,11.15,1
2023,Kon Tum,11.3,1
2023,Kon Tum,11.5,3
2023,Kon Tum,11.55,1
2023,Kon Tum,11.75,1
2023,Kon Tum,12.0,4
2023,Kon Tum,12.35,1
2023,Kon Tum,12.4,1
2023,Kon Tum,12.5,1
2023,Kon Tum,12.55,1
2023,Kon Tum,12.6,1
2023,Kon Tum,12.600000000000001,1
2023,Kon Tum,12.75,3
2023,Kon Tum,13.05,1
2023,Kon Tum,13.1,1
2023,Kon Tum,13.2,2
2023,Kon Tum,13.25,1
2023,Kon Tum,13.4,1
2023,Kon Tum,13.55,2
2023,Kon Tum,13.6,1
2023,Kon Tum,13.7,2
2023,Kon Tum,13.75,1
2023,Kon Tum,13.8,2
2023,Kon Tum,13.85,1
2023,Kon Tum,13.9,1
2023,Kon Tum,13.95,1
2023,Kon Tum,14.0,2
2023,Kon Tum,14.05,2
2023,Kon Tum,14.1,1
2023,Kon Tum,14.2,1
2023,Kon Tum,14.3,1
2023,Kon Tum,14.35,1
2023,Kon Tum,14.5,5
2023,Kon Tum,14.65,3
2023,Kon Tum,14.8,1
2023,Kon Tum,14.9,1
2023,Kon Tum,14.95,2
2023,Kon Tum,15.0,3
2023,Kon Tum,15.05,3
2023,Kon Tum,15.25,2
2023,Kon Tum,15.3,1
2023,Kon Tum,15.35,1
2023,Kon Tum,15.45,2
2023,Kon Tum,15.5,3
2023,Kon Tum,15.6,1
2023,Kon Tum,15.649999999999999,1
2023,Kon Tum,15.65,1
2023,Kon Tum,15.7,1
2023,Kon Tum,15.75,4
2023,Kon Tum,15.899999999999999,1
2023,Kon Tum,15.9,1
2023,Kon Tum,16.15,1
2023,Kon Tum,16.2,1
2023,Kon Tum,16.25,3
2023,Kon Tum,16.5,5
2023,Kon Tum,16.55,2
2023,Kon Tum,16.6,1
2023,Kon Tum,16.75,1
2023,Kon Tum,16.9,2
2023,Kon Tum,17.0,5
2023,Kon Tum,17.05,1
2023,Kon Tum,17.15,1
2023,Kon Tum,17.2,1
2023,Kon Tum,17.25,3
2023,Kon Tum,17.3,1
2023,Kon Tum,17.35,1
2023,Kon Tum,17.4,2
2023,Kon Tum,17.5,3
2023,Kon Tum,17.65,1
2023,Kon Tum,17.75,2
