nam_hoc,tinh,tong_diem,so_hoc_sinh
2018,Lai Châu,5.65,1
2018,Lai Châu,5.85,1
2018,Lai Châu,5.95,1
2018,Lai Châu,6.2,1
2018,Lai Châu,6.25,2
2018,Lai Châu,6.45,1
2018,Lai Châu,6.5,1
2018,Lai Châu,6.55,1
2018,Lai Châu,6.7,1
2018,Lai Châu,6.75,1
2018,Lai Châu,6.8,2
2018,Lai Châu,6.9,1
2018,Lai Châu,6.95,1
2018,Lai Châu,7.0,1
2018,Lai Châu,7.1,1
2018,Lai Châu,7.15,1
2018,Lai Châu,7.2,2
2018,Lai Châu,7.25,2
2018,Lai Châu,7.3,1
2018,Lai Châu,7.5,1
2018,Lai Châu,7.65,2
2018,Lai Châu,7.75,2
2018,Lai Châu,7.85,1
2018,Lai Châu,7.9,1
2018,Lai Châu,7.95,1
2018,Lai Châu,8.0,3
2018,Lai Châu,8.1,1
2018,Lai Châu,8.15,3
2018,Lai Châu,8.3,2
2018,Lai Châu,8.35,2
2018,Lai Châu,8.4,1
2018,Lai Châu,8.55,2
2018,Lai Châu,8.6,3
2018,Lai Châu,8.65,1
2018,Lai Châu,8.7,2
2018,Lai Châu,8.75,1
2018,Lai Châu,8.8,3
2018,Lai Châu,8.85,1
2018,Lai Châu,8.9,1
2018,Lai Châu,8.95,1
2018,Lai Châu,9.05,1
2018,Lai Châu,9.1,2
2018,Lai Châu,9.15,1
2018,Lai Châu,9.2,1
2018,Lai Châu,9.25,4
2018,Lai Châu,9.4,1
2018,Lai Châu,9.45,2
2018,Lai Châu,9.5,1
2018,Lai Châu,9.55,2
2018,Lai Châu,9.75,3
2018,Lai Châu,9.8,3
2018,Lai Châu,9.85,2
2018,Lai Châu,9.9,4
2018,Lai Châu,9.95,3
2018,Lai Châu,10.0,2
2018,Lai Châu,10.05,1
2018,Lai Châu,10.1,2
2018,Lai Châu,10.2,2
2018,Lai Châu,10.25,3
2018,Lai Châu,10.3,5
2018,Lai Châu,10.35,1
2018,Lai Châu,10.4,2
2018,Lai Châu,10.45,2
2018,Lai Châu,10.5,5
2018,Lai Châu,10.55,4
2018,Lai Châu,10.6,4
2018,Lai Châu,10.65,2
2018,Lai Châu,10.7,4
2018,Lai Châu,10.75,5
2018,Lai Châu,10.8,4
2018,Lai Châu,10.85,3
2018,Lai Châu,10.9,6
2018,Lai Châu,10.95,4
2018,Lai Châu,11.0,5
2018,Lai Châu,11.05,2
2018,Lai Châu,11.1,2
2018,Lai Châu,11.15,4
