nam_hoc,tinh,tong_diem,so_hoc_sinh
2023,Lâm Đồng,2.25,1
2023,Lâm Đồng,3.25,1
2023,Lâm Đồng,4.6,1
2023,Lâm Đồng,5.0,1
2023,Lâm Đồng,5.4,3
2023,Lâm Đồng,6.5,2
2023,Lâm Đồng,6.85,1
2023,Lâm Đồng,6.95,2
2023,Lâm Đồng,7.0,1
2023,Lâm Đồng,7.25,1
2023,Lâm Đồng,7.6,1
2023,Lâm Đồng,7.85,1
2023,Lâm Đồng,8.25,1
2023,Lâm Đồng,8.35,1
2023,Lâm Đồng,8.5,1
2023,Lâm Đồng,9.05,2
2023,Lâm Đồng,9.25,3
2023,Lâm Đồng,9.3,2
2023,Lâm Đồng,9.55,2
2023,Lâm Đồng,9.6,1
2023,Lâm Đồng,9.65,2
2023,Lâm Đồng,9.9,1
2023,Lâm Đồng,10.0,2
2023,Lâm Đồng,10.15,1
2023,Lâm Đồng,10.2,1
2023,Lâm Đồng,10.4,2
2023,Lâm Đồng,10.5,3
2023,Lâm Đồng,10.55,1
2023,Lâm Đồng,10.7,1
2023,Lâm Đồng,10.75,3
2023,Lâm Đồng,10.8,1
2023,Lâm Đồng,10.9,1
2023,Lâm Đồng,10.95,1
2023,Lâm Đồng,11.05,1
2023,Lâm Đồng,11.15,3
2023,Lâm Đồng,11.25,4
2023,Lâm Đồng,11.35,1
2023,Lâm Đồng,11.4,1
2023,Lâm Đồng,11.5,4
2023,Lâm Đồng,11.6,4
2023,Lâm Đồng,11.65,3
2023,Lâm Đồng,11.7,1
2023,Lâm Đồng,11.75,5
2023,Lâm Đồng,11.8,2
2023,Lâm Đồng,11.85,4
2023,Lâm Đồng,11.9,3
2023,Lâm Đồng,12.0,4
2023,Lâm Đồng,12.05,2
2023,Lâm Đồng,12.15,2
2023,Lâm Đồng,12.25,4
2023,Lâm Đồng,12.3,3
2023,Lâm Đồng,12.35,2
2023,Lâm Đồng,12.399999999999999,1
2023,Lâm Đồng,12.4,2
2023,Lâm Đồng,12.45,2
2023,Lâm Đồng,12.5,5
2023,Lâm Đồng,12.55,1
2023,Lâm Đồng,12.6,2
2023,Lâm Đồng,12.65,3
2023,Lâm Đồng,12.75,7
2023,Lâm Đồng,12.8,1
2023,Lâm Đồng,12.95,4
2023,Lâm Đồng,13.0,5
2023,Lâm Đồng,13.05,4
2023,Lâm Đồng,13.1,2
2023,Lâm Đồng,13.15,4
2023,Lâm Đồng,13.2,5
2023,Lâm Đồng,13.25,5
2023,Lâm Đồng,13.3,2
2023,Lâm Đồng,13.35,4
2023,Lâm Đồng,13.4,1
2023,Lâm Đồng,13.45,1
2023,Lâm Đồng,13.5,5
2023,Lâm Đồng,13.55,2
2023,Lâm Đồng,13.6,2
2023,Lâm Đồng,13.7,1
2023,Lâm Đồng,13.75,6
2023,Lâm Đồng,13.8,4
2023,Lâm Đồng,13.85,4
2023,Lâm Đồng,13.879999999999999,1
2023,Lâm Đồng,13.9,2
2023,Lâm Đồng,13.91,1
2023,Lâm Đồng,13.95,2
2023,Lâm Đồng,14.0,6
2023,Lâm Đồng,14.05,2
2023,Lâm Đồng,14.1,4
2023,Lâm Đồng,14.100000000000001,1
2023,Lâm Đồng,14.15,3
2023,Lâm Đồng,14.2,6
2023,Lâm Đồng,14.23,1
2023,Lâm Đồng,14.25,7
2023,Lâm Đồng,14.3,5
2023,Lâm Đồng,14.35,5
2023,Lâm Đồng,14.4,2
2023,Lâm Đồng,14.45,3
2023,Lâm Đồng,14.5,11
2023,Lâm Đồng,14.55,5
2023,Lâm Đồng,14.6,4
2023,Lâm Đồng,14.600000000000001,1
2023,Lâm Đồng,14.65,2
2023,Lâm Đồng,14.7,1
2023,Lâm Đồng,14.700000000000001,1
2023,Lâm Đồng,14.75,9
2023,Lâm Đồng,14.8,2
2023,Lâm Đồng,14.85,2
2023,Lâm Đồng,14.9,2
2023,Lâm Đồng,14.95,1
2023,Lâm Đồng,15.0,15
2023,Lâm Đồng,15.05,5
2023,Lâm Đồng,15.1,7
2023,Lâm Đồng,15.15,4
2023,Lâm Đồng,15.2,3
2023,Lâm Đồng,15.25,6
2023,Lâm Đồng,15.3,7
2023,Lâm Đồng,15.35,4
2023,Lâm Đồng,15.350000000000001,1
2023,Lâm Đồng,15.4,6
2023,Lâm Đồng,15.45,2
2023,Lâm Đồng,15.5,10
2023,Lâm Đồng,15.55,4
2023,Lâm Đồng,15.58,1
2023,Lâm Đồng,15.6,3
2023,Lâm Đồng,15.65,6
2023,Lâm Đồng,15.7,2
2023,Lâm Đồng,15.700000000000001,1
2023,Lâm Đồng,15.75,8
2023,Lâm Đồng,15.78,1
2023,Lâm Đồng,15.8,4
2023,Lâm Đồng,15.85,4
2023,Lâm Đồng,15.850000000000001,1
2023,Lâm Đồng,15.9,7
2023,Lâm Đồng,15.95,4
2023,Lâm Đồng,16.0,14
2023,Lâm Đồng,16.1,4
2023,Lâm Đồng,16.15,5
2023,Lâm Đồng,16.2,4
2023,Lâm Đồng,16.25,18
2023,Lâm Đồng,16.3,4
2023,Lâm Đồng,16.35,9
2023,Lâm Đồng,16.4,5
2023,Lâm Đồng,16.45,3
