nam_hoc,tinh,tong_diem,so_hoc_sinh
2018,Lạng Sơn,2.25,1
2018,Lạng Sơn,2.4,1
2018,Lạng Sơn,3.0,1
2018,Lạng Sơn,4.0,1
2018,Lạng Sơn,5.25,1
2018,Lạng Sơn,6.05,1
2018,Lạng Sơn,6.5,4
2018,Lạng Sơn,6.800000000000001,1
2018,Lạng Sơn,7.5,1
2018,Lạng Sơn,7.55,1
2018,Lạng Sơn,7.7,1
2018,Lạng Sơn,7.75,1
2018,Lạng Sơn,7.8,1
2018,Lạng Sơn,7.85,1
2018,Lạng Sơn,7.95,1
2018,Lạng Sơn,8.05,1
2018,Lạng Sơn,8.2,2
2018,Lạng Sơn,8.3,1
2018,Lạng Sơn,8.35,1
2018,Lạng Sơn,8.4,2
2018,Lạng Sơn,8.45,2
2018,Lạng Sơn,8.5,1
2018,Lạng Sơn,8.55,3
2018,Lạng Sơn,8.7,1
2018,Lạng Sơn,8.75,1
2018,Lạng Sơn,8.8,1
2018,Lạng Sơn,8.85,4
2018,Lạng Sơn,8.95,4
2018,Lạng Sơn,9.0,2
2018,Lạng Sơn,9.05,3
2018,Lạng Sơn,9.15,2
2018,Lạng Sơn,9.2,2
2018,Lạng Sơn,9.3,4
2018,Lạng Sơn,9.35,2
2018,Lạng Sơn,9.4,3
2018,Lạng Sơn,9.45,3
2018,Lạng Sơn,9.55,6
2018,Lạng Sơn,9.65,1
2018,Lạng Sơn,9.75,2
2018,Lạng Sơn,9.8,3
2018,Lạng Sơn,9.85,1
2018,Lạng Sơn,10.0,2
2018,Lạng Sơn,10.05,2
2018,Lạng Sơn,10.15,1
2018,Lạng Sơn,10.2,2
2018,Lạng Sơn,10.25,2
2018,Lạng Sơn,10.3,3
2018,Lạng Sơn,10.35,1
2018,Lạng Sơn,10.4,1
2018,Lạng Sơn,10.45,2
2018,Lạng Sơn,10.5,4
2018,Lạng Sơn,10.55,5
2018,Lạng Sơn,10.6,8
2018,Lạng Sơn,10.65,1
2018,Lạng Sơn,10.7,3
2018,Lạng Sơn,10.75,5
2018,Lạng Sơn,10.8,4
2018,Lạng Sơn,10.85,6
2018,Lạng Sơn,10.9,2
2018,Lạng Sơn,10.95,6
2018,Lạng Sơn,11.0,5
2018,Lạng Sơn,11.05,2
2018,Lạng Sơn,11.1,3
2018,Lạng Sơn,11.15,5
2018,Lạng Sơn,11.2,3
2018,Lạng Sơn,11.25,3
2018,Lạng Sơn,11.3,3
2018,Lạng Sơn,11.35,6
2018,Lạng Sơn,11.4,3
2018,Lạng Sơn,11.45,6
2018,Lạng Sơn,11.5,8
2018,Lạng Sơn,11.55,3
2018,Lạng Sơn,11.6,1
2018,Lạng Sơn,11.65,4
2018,Lạng Sơn,11.7,4
2018,Lạng Sơn,11.75,5
2018,Lạng Sơn,11.8,4
2018,Lạng Sơn,11.85,3
2018,Lạng Sơn,11.9,9
2018,Lạng Sơn,11.95,6
2018,Lạng Sơn,12.0,6
2018,Lạng Sơn,12.05,5
2018,Lạng Sơn,12.1,8
2018,Lạng Sơn,12.15,6
2018,Lạng Sơn,12.2,2
2018,Lạng Sơn,12.25,5
2018,Lạng Sơn,12.3,7
2018,Lạng Sơn,12.35,2
2018,Lạng Sơn,12.4,9
2018,Lạng Sơn,12.45,8
2018,Lạng Sơn,12.5,8
2018,Lạng Sơn,12.55,7
2018,Lạng Sơn,12.6,7
2018,Lạng Sơn,12.65,8
2018,Lạng Sơn,12.7,4
2018,Lạng Sơn,12.75,12
2018,Lạng Sơn,12.8,7
2018,Lạng Sơn,12.85,7
2018,Lạng Sơn,12.9,12
2018,Lạng Sơn,12.95,6
2018,Lạng Sơn,13.0,4
2018,Lạng Sơn,13.05,7
2018,Lạng Sơn,13.1,13
2018,Lạng Sơn,13.100000000000001,1
2018,Lạng Sơn,13.15,11
2018,Lạng Sơn,13.2,9
2018,Lạng Sơn,13.25,10
2018,Lạng Sơn,13.3,7
2018,Lạng Sơn,13.35,7
2018,Lạng Sơn,13.350000000000001,1
2018,Lạng Sơn,13.4,7
2018,Lạng Sơn,13.45,5
2018,Lạng Sơn,13.5,7
2018,Lạng Sơn,13.55,10
2018,Lạng Sơn,13.6,5
2018,Lạng Sơn,13.65,10
2018,Lạng Sơn,13.7,5
2018,Lạng Sơn,13.75,9
2018,Lạng Sơn,13.8,4
2018,Lạng Sơn,13.85,9
2018,Lạng Sơn,13.9,6
2018,Lạng Sơn,13.95,4
2018,Lạng Sơn,14.0,13
2018,Lạng Sơn,14.05,3
2018,Lạng Sơn,14.1,3
2018,Lạng Sơn,14.15,3
