nam_hoc,tinh,tong_diem,so_hoc_sinh
2018,Lào Cai,5.75,1
2018,Lào Cai,6.0,1
2018,Lào Cai,6.199999999999999,1
2018,Lào Cai,6.25,3
2018,Lào Cai,6.3,1
2018,Lào Cai,6.45,1
2018,Lào Cai,6.550000000000001,1
2018,Lào Cai,6.7,1
2018,Lào Cai,6.75,1
2018,Lào Cai,6.9,3
2018,Lào Cai,7.05,1
2018,Lào Cai,7.25,2
2018,Lào Cai,7.300000000000001,1
2018,Lào Cai,7.35,2
2018,Lào Cai,7.45,1
2018,Lào Cai,7.55,1
2018,Lào Cai,7.6,2
2018,Lào Cai,7.65,1
2018,Lào Cai,7.7,1
2018,Lào Cai,7.75,3
2018,Lào Cai,7.8,1
2018,Lào Cai,7.85,2
2018,Lào Cai,7.9,1
2018,Lào Cai,8.0,1
2018,Lào Cai,8.1,1
2018,Lào Cai,8.15,1
2018,Lào Cai,8.2,2
2018,Lào Cai,8.3,1
2018,Lào Cai,8.35,3
2018,Lào Cai,8.4,1
2018,Lào Cai,8.45,2
2018,Lào Cai,8.5,1
2018,Lào Cai,8.55,4
2018,Lào Cai,8.6,5
2018,Lào Cai,8.65,1
2018,Lào Cai,8.7,4
2018,Lào Cai,8.75,3
2018,Lào Cai,8.8,1
2018,Lào Cai,8.85,1
2018,Lào Cai,8.95,4
2018,Lào Cai,9.0,3
2018,Lào Cai,9.05,2
2018,Lào Cai,9.1,4
2018,Lào Cai,9.2,4
2018,Lào Cai,9.25,5
2018,Lào Cai,9.3,3
2018,Lào Cai,9.35,4
2018,Lào Cai,9.4,2
2018,Lào Cai,9.45,1
2018,Lào Cai,9.5,1
2018,Lào Cai,9.55,4
2018,Lào Cai,9.6,1
2018,Lào Cai,9.65,2
2018,Lào Cai,9.7,1
2018,Lào Cai,9.75,1
2018,Lào Cai,9.8,1
2018,Lào Cai,9.85,2
2018,Lào Cai,9.95,1
2018,Lào Cai,10.0,1
2018,Lào Cai,10.05,3
2018,Lào Cai,10.2,2
2018,Lào Cai,10.25,4
2018,Lào Cai,10.3,1
2018,Lào Cai,10.35,5
2018,Lào Cai,10.4,3
2018,Lào Cai,10.5,4
2018,Lào Cai,10.55,5
2018,Lào Cai,10.6,2
2018,Lào Cai,10.65,2
2018,Lào Cai,10.7,3
2018,Lào Cai,10.75,3
2018,Lào Cai,10.8,3
2018,Lào Cai,10.85,2
2018,Lào Cai,10.9,7
2018,Lào Cai,10.95,3
2018,Lào Cai,11.0,2
2018,Lào Cai,11.1,1
2018,Lào Cai,11.15,4
2018,Lào Cai,11.2,4
2018,Lào Cai,11.25,4
2018,Lào Cai,11.3,3
2018,Lào Cai,11.35,2
2018,Lào Cai,11.4,4
2018,Lào Cai,11.45,3
2018,Lào Cai,11.5,2
2018,Lào Cai,11.55,3
2018,Lào Cai,11.6,3
2018,Lào Cai,11.65,6
2018,Lào Cai,11.7,3
2018,Lào Cai,11.75,6
2018,Lào Cai,11.8,5
2018,Lào Cai,11.85,7
2018,Lào Cai,11.9,2
2018,Lào Cai,11.95,6
2018,Lào Cai,12.0,3
2018,Lào Cai,12.05,5
2018,Lào Cai,12.1,4
2018,Lào Cai,12.15,5
2018,Lào Cai,12.2,4
2018,Lào Cai,12.25,2
2018,Lào Cai,12.3,5
2018,Lào Cai,12.35,5
2018,Lào Cai,12.4,5
2018,Lào Cai,12.45,3
2018,Lào Cai,12.5,3
2018,Lào Cai,12.55,4
2018,Lào Cai,12.6,1
2018,Lào Cai,12.65,1
2018,Lào Cai,12.7,1
2018,Lào Cai,12.75,5
2018,Lào Cai,12.8,7
2018,Lào Cai,12.85,3
2018,Lào Cai,12.9,5
2018,Lào Cai,12.95,4
2018,Lào Cai,13.0,2
2018,Lào Cai,13.05,1
2018,Lào Cai,13.1,8
2018,Lào Cai,13.15,5
2018,Lào Cai,13.2,3
2018,Lào Cai,13.25,12
2018,Lào Cai,13.3,4
2018,Lào Cai,13.35,3
2018,Lào Cai,13.4,4
2018,Lào Cai,13.45,4
2018,Lào Cai,13.5,2
2018,Lào Cai,13.55,4
2018,Lào Cai,13.6,2
2018,Lào Cai,13.65,3
2018,Lào Cai,13.7,4
2018,Lào Cai,13.8,2
2018,Lào Cai,13.9,8
2018,Lào Cai,13.95,5
2018,Lào Cai,14.0,1
2018,Lào Cai,14.05,2
2018,Lào Cai,14.1,1
2018,Lào Cai,14.15,5
2018,Lào Cai,14.2,2
2018,Lào Cai,14.25,6
2018,Lào Cai,14.3,5
2018,Lào Cai,14.35,4
2018,Lào Cai,14.4,4
2018,Lào Cai,14.45,3
2018,Lào Cai,14.5,2
2018,Lào Cai,14.55,4
2018,Lào Cai,14.6,6
2018,Lào Cai,14.65,4
2018,Lào Cai,14.7,2
2018,Lào Cai,14.75,1
2018,Lào Cai,14.8,5
