nam_hoc,tinh,tong_diem,so_hoc_sinh
2023,Long An,0.0,2
2023,Long An,1.0,1
2023,Long An,1.75,1
2023,Long An,2.25,2
2023,Long An,3.25,1
2023,Long An,3.5,1
2023,Long An,3.75,2
2023,Long An,4.75,1
2023,Long An,5.5,1
2023,Long An,5.75,1
2023,Long An,6.5,1
2023,Long An,7.1,1
2023,Long An,7.25,1
2023,Long An,7.5,1
2023,Long An,8.45,1
2023,Long An,8.6,1
2023,Long An,9.1,1
2023,Long An,9.55,2
2023,Long An,9.8,1
2023,Long An,10.5,1
2023,Long An,10.75,1
2023,Long An,10.85,1
2023,Long An,11.0,3
2023,Long An,11.25,3
2023,Long An,11.5,3
2023,Long An,11.6,1
2023,Long An,11.65,1
2023,Long An,11.75,1
2023,Long An,11.85,1
2023,Long An,11.95,2
2023,Long An,12.0,1
2023,Long An,12.1,1
2023,Long An,12.25,2
2023,Long An,12.35,1
2023,Long An,12.5,2
2023,Long An,12.7,1
2023,Long An,12.75,4
2023,Long An,12.95,2
2023,Long An,13.0,6
2023,Long An,13.1,1
2023,Long An,13.15,3
2023,Long An,13.2,2
2023,Long An,13.25,3
2023,Long An,13.3,3
2023,Long An,13.35,2
2023,Long An,13.4,2
2023,Long An,13.5,5
2023,Long An,13.55,1
2023,Long An,13.6,1
2023,Long An,13.75,5
2023,Long An,13.8,2
2023,Long An,13.85,2
2023,Long An,14.0,6
2023,Long An,14.1,2
2023,Long An,14.15,1
2023,Long An,14.25,7
2023,Long An,14.3,1
2023,Long An,14.4,4
2023,Long An,14.45,1
2023,Long An,14.5,6
2023,Long An,14.6,2
2023,Long An,14.75,9
2023,Long An,14.85,1
2023,Long An,15.0,3
2023,Long An,15.05,5
2023,Long An,15.2,2
2023,Long An,15.25,10
2023,Long An,15.3,4
2023,Long An,15.4,1
2023,Long An,15.42,1
2023,Long An,15.45,2
2023,Long An,15.469999999999999,1
2023,Long An,15.5,6
2023,Long An,15.55,2
2023,Long An,15.6,2
2023,Long An,15.65,1
2023,Long An,15.7,1
2023,Long An,15.75,9
2023,Long An,15.8,1
2023,Long An,15.85,1
2023,Long An,15.9,3
2023,Long An,15.95,1
2023,Long An,16.0,6
2023,Long An,16.05,6
2023,Long An,16.1,3
2023,Long An,16.15,1
2023,Long An,16.2,4
2023,Long An,16.25,8
2023,Long An,16.3,3
2023,Long An,16.35,2
2023,Long An,16.4,1
2023,Long An,16.45,3
2023,Long An,16.5,8
2023,Long An,16.55,4
2023,Long An,16.6,4
2023,Long An,16.65,2
2023,Long An,16.7,3
2023,Long An,16.75,8
2023,Long An,16.8,5
2023,Long An,16.85,2
2023,Long An,16.9,3
2023,Long An,16.92,1
2023,Long An,16.95,4
2023,Long An,17.0,11
2023,Long An,17.05,3
2023,Long An,17.1,1
2023,Long An,17.15,3
2023,Long An,17.2,3
2023,Long An,17.25,7
2023,Long An,17.3,7
2023,Long An,17.35,1
2023,Long An,17.4,6
2023,Long An,17.45,3
2023,Long An,17.5,7
2023,Long An,17.55,8
2023,Long An,17.6,3
2023,Long An,17.65,2
2023,Long An,17.7,1
2023,Long An,17.75,17
2023,Long An,17.8,5
2023,Long An,17.9,8
2023,Long An,17.95,2
2023,Long An,18.0,6
2023,Long An,18.05,5
2023,Long An,18.1,7
2023,Long An,18.15,1
2023,Long An,18.2,3
2023,Long An,18.25,11
2023,Long An,18.3,2
2023,Long An,18.35,5
2023,Long An,18.4,5
2023,Long An,18.45,4
2023,Long An,18.5,9
2023,Long An,18.55,6
2023,Long An,18.6,4
2023,Long An,18.65,5
2023,Long An,18.7,6
2023,Long An,18.75,15
2023,Long An,18.8,5
2023,Long An,18.85,8
2023,Long An,18.9,9
2023,Long An,18.95,9
2023,Long An,19.0,13
2023,Long An,19.02,1
2023,Long An,19.05,2
2023,Long An,19.1,7
2023,Long An,19.15,9
2023,Long An,19.18,1
2023,Long An,19.2,7
2023,Long An,19.25,8
