nam_hoc,tinh,tong_diem,so_hoc_sinh
2018,Nam Định,3.5,1
2018,Nam Định,4.0,1
2018,Nam Định,4.5,1
2018,Nam Định,4.85,1
2018,Nam Định,5.4,1
2018,Nam Định,5.45,1
2018,Nam Định,5.85,1
2018,Nam Định,6.1,1
2018,Nam Định,6.25,1
2018,Nam Định,6.35,1
2018,Nam Định,6.4,1
2018,Nam Định,6.5,3
2018,Nam Định,6.75,1
2018,Nam Định,6.800000000000001,1
2018,Nam Định,6.85,1
2018,Nam Định,6.9,1
2018,Nam Định,6.95,1
2018,Nam Định,7.05,1
2018,Nam Định,7.1,1
2018,Nam Định,7.2,1
2018,Nam Định,7.25,1
2018,Nam Định,7.35,1
2018,Nam Định,7.4,1
2018,Nam Định,7.45,1
2018,Nam Định,7.55,1
2018,Nam Định,7.6,1
2018,Nam Định,7.8,1
2018,Nam Định,7.85,1
2018,Nam Định,7.9,2
2018,Nam Định,7.95,2
2018,Nam Định,8.0,3
2018,Nam Định,8.1,1
2018,Nam Định,8.15,2
2018,Nam Định,8.25,1
2018,Nam Định,8.4,2
2018,Nam Định,8.45,1
2018,Nam Định,8.5,1
2018,Nam Định,8.55,2
2018,Nam Định,8.6,2
2018,Nam Định,8.65,2
2018,Nam Định,8.7,1
2018,Nam Định,8.85,4
2018,Nam Định,8.9,1
2018,Nam Định,8.95,1
2018,Nam Định,9.0,3
2018,Nam Định,9.05,3
2018,Nam Định,9.1,5
2018,Nam Định,9.2,1
2018,Nam Định,9.25,5
2018,Nam Định,9.3,4
2018,Nam Định,9.35,9
2018,Nam Định,9.4,2
2018,Nam Định,9.45,1
2018,Nam Định,9.5,5
2018,Nam Định,9.55,3
2018,Nam Định,9.6,2
2018,Nam Định,9.65,1
2018,Nam Định,9.7,2
2018,Nam Định,9.75,4
2018,Nam Định,9.8,3
2018,Nam Định,9.85,2
2018,Nam Định,9.9,6
2018,Nam Định,9.95,1
2018,Nam Định,10.0,6
2018,Nam Định,10.05,1
2018,Nam Định,10.1,2
2018,Nam Định,10.15,2
2018,Nam Định,10.2,6
2018,Nam Định,10.25,4
2018,Nam Định,10.3,5
2018,Nam Định,10.35,4
2018,Nam Định,10.350000000000001,1
2018,Nam Định,10.4,4
2018,Nam Định,10.45,3
2018,Nam Định,10.5,4
2018,Nam Định,10.55,4
2018,Nam Định,10.6,5
2018,Nam Định,10.65,3
2018,Nam Định,10.7,3
2018,Nam Định,10.75,5
2018,Nam Định,10.8,8
2018,Nam Định,10.85,7
2018,Nam Định,10.9,5
2018,Nam Định,10.95,3
2018,Nam Định,11.0,7
2018,Nam Định,11.05,3
2018,Nam Định,11.1,4
2018,Nam Định,11.100000000000001,1
2018,Nam Định,11.15,5
2018,Nam Định,11.2,6
2018,Nam Định,11.25,11
2018,Nam Định,11.3,9
2018,Nam Định,11.4,7
2018,Nam Định,11.45,10
2018,Nam Định,11.5,7
2018,Nam Định,11.55,4
2018,Nam Định,11.6,6
2018,Nam Định,11.65,5
2018,Nam Định,11.7,5
2018,Nam Định,11.75,10
2018,Nam Định,11.8,6
2018,Nam Định,11.85,4
2018,Nam Định,11.9,8
2018,Nam Định,11.95,7
2018,Nam Định,12.0,8
2018,Nam Định,12.05,7
2018,Nam Định,12.1,7
2018,Nam Định,12.15,8
2018,Nam Định,12.2,10
2018,Nam Định,12.200000000000001,1
2018,Nam Định,12.25,9
2018,Nam Định,12.3,10
2018,Nam Định,12.35,6
2018,Nam Định,12.4,14
2018,Nam Định,12.45,4
2018,Nam Định,12.5,4
2018,Nam Định,12.549999999999999,1
2018,Nam Định,12.55,7
2018,Nam Định,12.6,10
2018,Nam Định,12.65,14
2018,Nam Định,12.7,7
2018,Nam Định,12.75,10
2018,Nam Định,12.799999999999999,1
2018,Nam Định,12.8,8
2018,Nam Định,12.85,8
2018,Nam Định,12.9,11
2018,Nam Định,12.95,7
2018,Nam Định,13.0,10
2018,Nam Định,13.05,11
2018,Nam Định,13.1,11
2018,Nam Định,13.149999999999999,1
2018,Nam Định,13.15,7
2018,Nam Định,13.2,14
2018,Nam Định,13.25,11
