nam_hoc,tinh,tong_diem,so_hoc_sinh
2023,Nghệ An,2.6,1
2023,Nghệ An,3.8,3
2023,Nghệ An,4.2,1
2023,Nghệ An,5.0,1
2023,Nghệ An,5.4,1
2023,Nghệ An,6.0,1
2023,Nghệ An,6.15,1
2023,Nghệ An,6.25,1
2023,Nghệ An,6.3,1
2023,Nghệ An,6.4,1
2023,Nghệ An,6.75,1
2023,Nghệ An,7.0,2
2023,Nghệ An,7.5,1
2023,Nghệ An,7.75,1
2023,Nghệ An,7.95,1
2023,Nghệ An,8.0,1
2023,Nghệ An,8.1,1
2023,Nghệ An,8.2,1
2023,Nghệ An,8.4,1
2023,Nghệ An,8.6,1
2023,Nghệ An,8.75,1
2023,Nghệ An,9.2,1
2023,Nghệ An,9.25,1
2023,Nghệ An,9.4,1
2023,Nghệ An,9.6,1
2023,Nghệ An,9.65,1
2023,Nghệ An,9.8,1
2023,Nghệ An,9.85,2
2023,Nghệ An,10.25,1
2023,Nghệ An,10.3,2
2023,Nghệ An,10.35,1
2023,Nghệ An,10.4,1
2023,Nghệ An,10.45,1
2023,Nghệ An,10.5,1
2023,Nghệ An,10.65,1
2023,Nghệ An,10.7,1
2023,Nghệ An,10.75,1
2023,Nghệ An,10.8,2
2023,Nghệ An,10.95,1
2023,Nghệ An,11.0,2
2023,Nghệ An,11.05,2
2023,Nghệ An,11.2,2
2023,Nghệ An,11.25,5
2023,Nghệ An,11.35,3
2023,Nghệ An,11.5,2
2023,Nghệ An,11.55,2
2023,Nghệ An,11.7,1
2023,Nghệ An,11.75,2
2023,Nghệ An,12.0,1
2023,Nghệ An,12.15,1
2023,Nghệ An,12.25,3
2023,Nghệ An,12.3,2
2023,Nghệ An,12.4,2
2023,Nghệ An,12.43,1
2023,Nghệ An,12.45,1
2023,Nghệ An,12.5,3
2023,Nghệ An,12.55,1
2023,Nghệ An,12.6,1
2023,Nghệ An,12.7,4
2023,Nghệ An,12.75,1
2023,Nghệ An,12.8,1
2023,Nghệ An,12.85,1
2023,Nghệ An,12.850000000000001,1
2023,Nghệ An,12.9,2
2023,Nghệ An,12.95,3
2023,Nghệ An,13.0,5
2023,Nghệ An,13.05,2
2023,Nghệ An,13.15,3
2023,Nghệ An,13.2,3
2023,Nghệ An,13.25,1
2023,Nghệ An,13.3,2
