nam_hoc,tinh,tong_diem,so_hoc_sinh
2018,Ninh Bình,0.0,1
2018,Ninh Bình,1.75,1
2018,Ninh Bình,4.0,1
2018,Ninh Bình,4.75,1
2018,Ninh Bình,4.8,1
2018,Ninh Bình,5.25,1
2018,Ninh Bình,5.4,1
2018,Ninh Bình,5.75,1
2018,Ninh Bình,6.1,1
2018,Ninh Bình,6.6,2
2018,Ninh Bình,6.65,1
2018,Ninh Bình,6.75,1
2018,Ninh Bình,6.85,1
2018,Ninh Bình,6.95,2
2018,Ninh Bình,7.15,1
2018,Ninh Bình,7.35,1
2018,Ninh Bình,7.3500000000000005,1
2018,Ninh Bình,7.4,1
2018,Ninh Bình,7.5,2
2018,Ninh Bình,7.65,1
2018,Ninh Bình,7.800000000000001,1
2018,Ninh Bình,8.15,1
2018,Ninh Bình,8.25,2
2018,Ninh Bình,8.4,1
2018,Ninh Bình,8.55,1
2018,Ninh Bình,8.6,1
2018,Ninh Bình,8.65,1
2018,Ninh Bình,8.75,2
2018,Ninh Bình,8.8,1
2018,Ninh Bình,8.9,1
2018,Ninh Bình,8.95,2
2018,Ninh Bình,9.05,3
2018,Ninh Bình,9.2,2
2018,Ninh Bình,9.4,2
2018,Ninh Bình,9.45,2
2018,Ninh Bình,9.5,3
2018,Ninh Bình,9.55,1
2018,Ninh Bình,9.6,3
2018,Ninh Bình,9.65,2
2018,Ninh Bình,9.7,3
2018,Ninh Bình,9.75,2
2018,Ninh Bình,9.8,1
2018,Ninh Bình,9.85,2
2018,Ninh Bình,9.9,4
2018,Ninh Bình,9.95,1
2018,Ninh Bình,10.05,4
2018,Ninh Bình,10.1,3
2018,Ninh Bình,10.15,5
2018,Ninh Bình,10.2,3
2018,Ninh Bình,10.3,1
2018,Ninh Bình,10.35,1
2018,Ninh Bình,10.399999999999999,1
2018,Ninh Bình,10.4,1
2018,Ninh Bình,10.45,1
2018,Ninh Bình,10.5,5
2018,Ninh Bình,10.55,1
2018,Ninh Bình,10.6,2
2018,Ninh Bình,10.65,2
2018,Ninh Bình,10.7,2
2018,Ninh Bình,10.75,2
2018,Ninh Bình,10.8,4
2018,Ninh Bình,10.85,8
2018,Ninh Bình,10.9,5
2018,Ninh Bình,10.95,3
2018,Ninh Bình,11.0,2
2018,Ninh Bình,11.05,6
2018,Ninh Bình,11.1,5
2018,Ninh Bình,11.15,2
2018,Ninh Bình,11.2,5
2018,Ninh Bình,11.25,5
2018,Ninh Bình,11.3,4
2018,Ninh Bình,11.35,2
2018,Ninh Bình,11.4,6
2018,Ninh Bình,11.5,5
2018,Ninh Bình,11.55,6
2018,Ninh Bình,11.6,3
2018,Ninh Bình,11.65,6
2018,Ninh Bình,11.7,4
2018,Ninh Bình,11.75,3
2018,Ninh Bình,11.8,1
2018,Ninh Bình,11.85,3
2018,Ninh Bình,11.850000000000001,1
2018,Ninh Bình,11.9,6
2018,Ninh Bình,11.95,1
2018,Ninh Bình,12.0,4
2018,Ninh Bình,12.05,1
2018,Ninh Bình,12.1,2
2018,Ninh Bình,12.15,10
2018,Ninh Bình,12.2,4
2018,Ninh Bình,12.25,4
2018,Ninh Bình,12.3,10
2018,Ninh Bình,12.35,8
2018,Ninh Bình,12.350000000000001,1
2018,Ninh Bình,12.4,9
2018,Ninh Bình,12.45,7
2018,Ninh Bình,12.5,8
2018,Ninh Bình,12.55,10
2018,Ninh Bình,12.6,4
2018,Ninh Bình,12.65,6
2018,Ninh Bình,12.7,11
2018,Ninh Bình,12.75,13
2018,Ninh Bình,12.8,5
