nam_hoc,tinh,tong_diem,so_hoc_sinh
2023,Ninh Thuận,1.4,1
2023,Ninh Thuận,2.2,1
2023,Ninh Thuận,4.6,1
2023,Ninh Thuận,5.5,1
2023,Ninh Thuận,6.5,1
2023,Ninh Thuận,6.6,1
2023,Ninh Thuận,6.75,1
2023,Ninh Thuận,8.4,1
2023,Ninh Thuận,9.0,1
2023,Ninh Thuận,9.45,1
2023,Ninh Thuận,9.55,1
2023,Ninh Thuận,10.5,1
2023,Ninh Thuận,10.75,1
2023,Ninh Thuận,10.95,1
2023,Ninh Thuận,11.25,1
2023,Ninh Thuận,11.3,3
2023,Ninh Thuận,11.4,1
2023,Ninh Thuận,11.55,1
2023,Ninh Thuận,12.1,1
2023,Ninh Thuận,12.2,2
2023,Ninh Thuận,12.25,1
2023,Ninh Thuận,12.35,2
2023,Ninh Thuận,12.45,1
2023,Ninh Thuận,12.6,1
2023,Ninh Thuận,12.75,1
2023,Ninh Thuận,12.85,1
2023,Ninh Thuận,13.0,1
2023,Ninh Thuận,13.05,1
2023,Ninh Thuận,13.25,1
2023,Ninh Thuận,13.3,1
2023,Ninh Thuận,13.35,1
2023,Ninh Thuận,13.4,1
2023,Ninh Thuận,13.5,1
2023,Ninh Thuận,13.6,1
2023,Ninh Thuận,13.7,1
2023,Ninh Thuận,13.75,3
2023,Ninh Thuận,13.8,1
2023,Ninh Thuận,13.85,1
2023,Ninh Thuận,13.9,1
2023,Ninh Thuận,14.05,1
2023,Ninh Thuận,14.15,1
2023,Ninh Thuận,14.2,2
2023,Ninh Thuận,14.25,3
2023,Ninh Thuận,14.3,1
2023,Ninh Thuận,14.4,2
2023,Ninh Thuận,14.6,1
2023,Ninh Thuận,14.65,1
2023,Ninh Thuận,14.7,1
2023,Ninh Thuận,14.9,1
2023,Ninh Thuận,14.95,1
2023,Ninh Thuận,15.0,3
2023,Ninh Thuận,15.15,4
2023,Ninh Thuận,15.25,3
2023,Ninh Thuận,15.35,2
2023,Ninh Thuận,15.45,1
2023,Ninh Thuận,15.65,2
2023,Ninh Thuận,15.7,3
2023,Ninh Thuận,15.75,5
2023,Ninh Thuận,15.8,1
2023,Ninh Thuận,15.85,2
2023,Ninh Thuận,15.9,1
2023,Ninh Thuận,15.95,2
2023,Ninh Thuận,16.0,1
2023,Ninh Thuận,16.05,1
2023,Ninh Thuận,16.1,2
2023,Ninh Thuận,16.15,1
2023,Ninh Thuận,16.2,3
2023,Ninh Thuận,16.25,4
2023,Ninh Thuận,16.3,1
2023,Ninh Thuận,16.35,2
2023,Ninh Thuận,16.45,1
2023,Ninh Thuận,16.5,3
2023,Ninh Thuận,16.55,1
2023,Ninh Thuận,16.65,4
2023,Ninh Thuận,16.7,3
2023,Ninh Thuận,16.75,2
2023,Ninh Thuận,16.9,1
2023,Ninh Thuận,16.95,1
2023,Ninh Thuận,17.0,3
2023,Ninh Thuận,17.05,3
2023,Ninh Thuận,17.15,1
2023,Ninh Thuận,17.2,1
2023,Ninh Thuận,17.25,2
2023,Ninh Thuận,17.35,1
2023,Ninh Thuận,17.4,2
2023,Ninh Thuận,17.45,1
2023,Ninh Thuận,17.5,4
2023,Ninh Thuận,17.6,1
2023,Ninh Thuận,17.65,3
2023,Ninh Thuận,17.7,1
2023,Ninh Thuận,17.75,2
2023,Ninh Thuận,17.8,1
2023,Ninh Thuận,17.9,2
2023,Ninh Thuận,17.95,1
2023,Ninh Thuận,18.0,3
2023,Ninh Thuận,18.05,2
2023,Ninh Thuận,18.1,4
2023,Ninh Thuận,18.15,4
2023,Ninh Thuận,18.25,1
2023,Ninh Thuận,18.3,1
2023,Ninh Thuận,18.35,2
2023,Ninh Thuận,18.4,1
2023,Ninh Thuận,18.45,2
2023,Ninh Thuận,18.5,3
2023,Ninh Thuận,18.55,4
2023,Ninh Thuận,18.6,3
2023,Ninh Thuận,18.65,1
2023,Ninh Thuận,18.7,2
2023,Ninh Thuận,18.75,3
2023,Ninh Thuận,18.8,4
2023,Ninh Thuận,18.85,2
2023,Ninh Thuận,18.9,3
2023,Ninh Thuận,18.95,2
2023,Ninh Thuận,19.0,2
2023,Ninh Thuận,19.1,2
2023,Ninh Thuận,19.15,5
2023,Ninh Thuận,19.2,2
2023,Ninh Thuận,19.25,4
2023,Ninh Thuận,19.299999999999997,1
2023,Ninh Thuận,19.3,1
2023,Ninh Thuận,19.35,2
2023,Ninh Thuận,19.4,4
2023,Ninh Thuận,19.45,1
2023,Ninh Thuận,19.5,3
2023,Ninh Thuận,19.55,3
2023,Ninh Thuận,19.6,2
2023,Ninh Thuận,19.7,2
2023,Ninh Thuận,19.75,6
2023,Ninh Thuận,19.85,2
2023,Ninh Thuận,19.9,2
2023,Ninh Thuận,19.95,3
2023,Ninh Thuận,20.0,3
2023,Ninh Thuận,20.05,1
2023,Ninh Thuận,20.1,1
2023,Ninh Thuận,20.15,1
2023,Ninh Thuận,20.2,3
2023,Ninh Thuận,20.200000000000003,1
2023,Ninh Thuận,20.25,6
2023,Ninh Thuận,20.3,2
2023,Ninh Thuận,20.35,2
2023,Ninh Thuận,20.4,1
2023,Ninh Thuận,20.45,4
2023,Ninh Thuận,20.5,6
2023,Ninh Thuận,20.6,3
2023,Ninh Thuận,20.65,6
2023,Ninh Thuận,20.7,4
2023,Ninh Thuận,20.75,4
2023,Ninh Thuận,20.8,4
2023,Ninh Thuận,20.85,2
2023,Ninh Thuận,20.9,2
2023,Ninh Thuận,20.95,4
2023,Ninh Thuận,21.0,8
