nam_hoc,tinh,tong_diem,so_hoc_sinh
2023,Phú Thọ,6.2,1
2023,Phú Thọ,6.75,1
2023,Phú Thọ,9.0,1
2023,Phú Thọ,9.15,1
2023,Phú Thọ,9.65,1
2023,Phú Thọ,10.35,1
2023,Phú Thọ,10.85,1
2023,Phú Thọ,11.0,1
2023,Phú Thọ,11.1,1
2023,Phú Thọ,11.5,1
2023,Phú Thọ,11.7,1
2023,Phú Thọ,11.75,2
2023,Phú Thọ,11.85,2
2023,Phú Thọ,11.95,1
2023,Phú Thọ,12.0,3
2023,Phú Thọ,12.3,2
2023,Phú Thọ,12.45,1
2023,Phú Thọ,12.55,1
2023,Phú Thọ,12.6,1
2023,Phú Thọ,12.65,1
2023,Phú Thọ,12.7,1
2023,Phú Thọ,12.85,1
2023,Phú Thọ,12.95,1
2023,Phú Thọ,13.1,1
2023,Phú Thọ,13.17,1
2023,Phú Thọ,13.25,1
2023,Phú Thọ,13.3,2
2023,Phú Thọ,13.35,1
2023,Phú Thọ,13.4,2
2023,Phú Thọ,13.45,1
2023,Phú Thọ,13.5,1
2023,Phú Thọ,13.55,1
2023,Phú Thọ,13.600000000000001,1
2023,Phú Thọ,13.65,1
2023,Phú Thọ,13.7,1
2023,Phú Thọ,13.75,2
2023,Phú Thọ,13.8,1
2023,Phú Thọ,13.85,1
2023,Phú Thọ,13.95,4
2023,Phú Thọ,14.0,2
2023,Phú Thọ,14.05,1
2023,Phú Thọ,14.1,2
2023,Phú Thọ,14.15,2
2023,Phú Thọ,14.2,3
2023,Phú Thọ,14.25,4
2023,Phú Thọ,14.35,2
2023,Phú Thọ,14.4,1
2023,Phú Thọ,14.45,2
2023,Phú Thọ,14.5,6
2023,Phú Thọ,14.55,4
2023,Phú Thọ,14.61,1
2023,Phú Thọ,14.65,3
2023,Phú Thọ,14.7,3
2023,Phú Thọ,14.75,3
2023,Phú Thọ,14.8,1
2023,Phú Thọ,14.85,4
2023,Phú Thọ,14.9,1
2023,Phú Thọ,14.95,5
2023,Phú Thọ,15.0,4
2023,Phú Thọ,15.05,4
2023,Phú Thọ,15.1,4
2023,Phú Thọ,15.15,3
2023,Phú Thọ,15.2,1
2023,Phú Thọ,15.25,5
2023,Phú Thọ,15.3,6
2023,Phú Thọ,15.4,4
2023,Phú Thọ,15.45,1
2023,Phú Thọ,15.5,3
2023,Phú Thọ,15.55,3
2023,Phú Thọ,15.6,3
2023,Phú Thọ,15.65,3
2023,Phú Thọ,15.7,1
2023,Phú Thọ,15.75,4
2023,Phú Thọ,15.8,2
2023,Phú Thọ,15.85,3
2023,Phú Thọ,15.9,6
2023,Phú Thọ,15.95,2
2023,Phú Thọ,16.0,6
