nam_hoc,tinh,tong_diem,so_hoc_sinh
2018,Phú Yên,0.5,1
2018,Phú Yên,0.75,1
2018,Phú Yên,2.5,1
2018,Phú Yên,3.0,1
2018,Phú Yên,3.25,1
2018,Phú Yên,3.4,1
2018,Phú Yên,5.4,1
2018,Phú Yên,5.55,1
2018,Phú Yên,5.6,1
2018,Phú Yên,5.65,1
2018,Phú Yên,5.85,2
2018,Phú Yên,6.05,2
2018,Phú Yên,6.3500000000000005,1
2018,Phú Yên,6.4,1
2018,Phú Yên,6.6,1
2018,Phú Yên,6.75,1
2018,Phú Yên,6.800000000000001,1
2018,Phú Yên,6.8999999999999995,1
2018,Phú Yên,6.9,1
2018,Phú Yên,7.0,1
2018,Phú Yên,7.1,1
2018,Phú Yên,7.4,1
2018,Phú Yên,7.45,1
2018,Phú Yên,7.5,1
2018,Phú Yên,7.55,1
2018,Phú Yên,7.65,1
2018,Phú Yên,7.7,1
2018,Phú Yên,7.75,1
2018,Phú Yên,7.8,2
2018,Phú Yên,7.85,2
2018,Phú Yên,7.9,2
2018,Phú Yên,7.95,1
2018,Phú Yên,8.0,1
2018,Phú Yên,8.05,1
2018,Phú Yên,8.2,2
2018,Phú Yên,8.3,1
2018,Phú Yên,8.45,2
2018,Phú Yên,8.55,1
2018,Phú Yên,8.6,4
2018,Phú Yên,8.600000000000001,1
2018,Phú Yên,8.65,1
2018,Phú Yên,8.7,1
2018,Phú Yên,8.8,2
2018,Phú Yên,8.9,2
2018,Phú Yên,9.0,4
2018,Phú Yên,9.05,2
2018,Phú Yên,9.1,2
2018,Phú Yên,9.15,1
2018,Phú Yên,9.2,3
2018,Phú Yên,9.25,1
2018,Phú Yên,9.3,1
2018,Phú Yên,9.4,3
2018,Phú Yên,9.5,1
2018,Phú Yên,9.55,1
2018,Phú Yên,9.65,2
2018,Phú Yên,9.7,1
2018,Phú Yên,9.8,2
2018,Phú Yên,9.85,2
2018,Phú Yên,9.9,1
2018,Phú Yên,9.95,1
2018,Phú Yên,10.0,4
2018,Phú Yên,10.05,1
2018,Phú Yên,10.1,1
2018,Phú Yên,10.15,1
2018,Phú Yên,10.2,2
