nam_hoc,tinh,tong_diem,so_hoc_sinh
2023,Quảng Bình,1.5,1
2023,Quảng Bình,4.0,1
2023,Quảng Bình,6.0,1
2023,Quảng Bình,8.4,1
2023,Quảng Bình,8.6,1
2023,Quảng Bình,9.3,1
2023,Quảng Bình,9.45,1
2023,Quảng Bình,9.6,1
2023,Quảng Bình,9.75,1
2023,Quảng Bình,10.25,1
2023,Quảng Bình,10.3,1
2023,Quảng Bình,10.5,1
2023,Quảng Bình,10.6,2
2023,Quảng Bình,10.7,1
2023,Quảng Bình,10.9,1
2023,Quảng Bình,11.0,1
2023,Quảng Bình,11.15,2
2023,Quảng Bình,11.25,1
2023,Quảng Bình,11.3,2
2023,Quảng Bình,11.4,1
2023,Quảng Bình,11.5,4
2023,Quảng Bình,11.55,1
2023,Quảng Bình,11.65,1
2023,Quảng Bình,11.85,1
2023,Quảng Bình,11.9,1
2023,Quảng Bình,11.95,1
2023,Quảng Bình,12.0,3
2023,Quảng Bình,12.1,1
2023,Quảng Bình,12.15,1
2023,Quảng Bình,12.35,1
2023,Quảng Bình,12.399999999999999,1
2023,Quảng Bình,12.5,1
2023,Quảng Bình,12.65,1
2023,Quảng Bình,12.85,1
2023,Quảng Bình,13.0,2
2023,Quảng Bình,13.15,2
2023,Quảng Bình,13.2,2
2023,Quảng Bình,13.25,2
2023,Quảng Bình,13.3,3
2023,Quảng Bình,13.45,3
2023,Quảng Bình,13.5,1
2023,Quảng Bình,13.55,4
2023,Quảng Bình,13.6,1
2023,Quảng Bình,13.65,1
2023,Quảng Bình,13.7,4
2023,Quảng Bình,13.75,5
2023,Quảng Bình,13.8,2
2023,Quảng Bình,13.85,2
2023,Quảng Bình,14.0,2
2023,Quảng Bình,14.05,1
2023,Quảng Bình,14.1,1
2023,Quảng Bình,14.15,3
2023,Quảng Bình,14.2,1
2023,Quảng Bình,14.25,3
2023,Quảng Bình,14.3,1
2023,Quảng Bình,14.35,2
2023,Quảng Bình,14.45,1
2023,Quảng Bình,14.5,1
2023,Quảng Bình,14.55,3
2023,Quảng Bình,14.6,1
2023,Quảng Bình,14.65,2
2023,Quảng Bình,14.7,1
2023,Quảng Bình,14.75,3
2023,Quảng Bình,14.8,2
2023,Quảng Bình,14.85,3
2023,Quảng Bình,14.9,1
2023,Quảng Bình,14.95,4
2023,Quảng Bình,15.0,3
2023,Quảng Bình,15.05,2
2023,Quảng Bình,15.1,1
2023,Quảng Bình,15.15,5
2023,Quảng Bình,15.2,7
2023,Quảng Bình,15.25,1
2023,Quảng Bình,15.3,4
2023,Quảng Bình,15.45,1
2023,Quảng Bình,15.5,4
2023,Quảng Bình,15.55,1
2023,Quảng Bình,15.6,1
2023,Quảng Bình,15.600000000000001,1
2023,Quảng Bình,15.65,4
2023,Quảng Bình,15.7,1
2023,Quảng Bình,15.75,4
2023,Quảng Bình,15.85,3
2023,Quảng Bình,15.9,1
2023,Quảng Bình,15.95,4
