nam_hoc,tinh,tong_diem,so_hoc_sinh
2023,Quảng Nam,2.75,1
2023,Quảng Nam,3.2,1
2023,Quảng Nam,3.25,1
2023,Quảng Nam,3.4,1
2023,Quảng Nam,4.45,1
2023,Quảng Nam,4.5,1
2023,Quảng Nam,5.4,1
2023,Quảng Nam,6.0,1
2023,Quảng Nam,6.1,1
2023,Quảng Nam,7.25,1
2023,Quảng Nam,7.55,1
2023,Quảng Nam,7.6,1
2023,Quảng Nam,7.75,1
2023,Quảng Nam,7.95,1
2023,Quảng Nam,8.45,1
2023,Quảng Nam,8.5,2
2023,Quảng Nam,8.55,1
2023,Quảng Nam,8.75,2
2023,Quảng Nam,9.0,5
2023,Quảng Nam,9.25,3
2023,Quảng Nam,9.5,1
2023,Quảng Nam,9.55,1
2023,Quảng Nam,9.65,1
2023,Quảng Nam,9.7,1
2023,Quảng Nam,9.85,1
2023,Quảng Nam,9.9,1
2023,Quảng Nam,10.0,1
2023,Quảng Nam,10.15,3
2023,Quảng Nam,10.35,1
2023,Quảng Nam,10.45,3
2023,Quảng Nam,10.5,6
2023,Quảng Nam,10.75,2
2023,Quảng Nam,10.8,2
2023,Quảng Nam,10.85,4
2023,Quảng Nam,10.95,2
2023,Quảng Nam,11.0,5
2023,Quảng Nam,11.1,2
2023,Quảng Nam,11.15,1
2023,Quảng Nam,11.2,2
2023,Quảng Nam,11.25,1
2023,Quảng Nam,11.350000000000001,1
2023,Quảng Nam,11.45,2
2023,Quảng Nam,11.5,4
2023,Quảng Nam,11.6,4
2023,Quảng Nam,11.75,6
2023,Quảng Nam,11.8,1
2023,Quảng Nam,11.85,1
2023,Quảng Nam,11.95,3
2023,Quảng Nam,12.0,5
2023,Quảng Nam,12.05,4
2023,Quảng Nam,12.1,3
2023,Quảng Nam,12.15,1
2023,Quảng Nam,12.2,3
2023,Quảng Nam,12.25,2
2023,Quảng Nam,12.3,1
2023,Quảng Nam,12.45,1
2023,Quảng Nam,12.5,6
2023,Quảng Nam,12.55,2
2023,Quảng Nam,12.6,2
2023,Quảng Nam,12.65,2
2023,Quảng Nam,12.7,5
2023,Quảng Nam,12.75,9
2023,Quảng Nam,12.8,3
2023,Quảng Nam,12.85,4
2023,Quảng Nam,12.850000000000001,1
2023,Quảng Nam,12.9,3
2023,Quảng Nam,12.95,3
2023,Quảng Nam,13.0,3
2023,Quảng Nam,13.05,2
2023,Quảng Nam,13.1,3
2023,Quảng Nam,13.15,4
2023,Quảng Nam,13.25,9
2023,Quảng Nam,13.3,2
2023,Quảng Nam,13.32,1
2023,Quảng Nam,13.35,1
2023,Quảng Nam,13.4,4
2023,Quảng Nam,13.45,1
2023,Quảng Nam,13.5,4
2023,Quảng Nam,13.55,4
2023,Quảng Nam,13.6,5
2023,Quảng Nam,13.65,2
2023,Quảng Nam,13.67,1
2023,Quảng Nam,13.7,2
2023,Quảng Nam,13.75,9
2023,Quảng Nam,13.85,4
2023,Quảng Nam,13.9,3
2023,Quảng Nam,13.95,3
2023,Quảng Nam,14.0,11
2023,Quảng Nam,14.05,3
2023,Quảng Nam,14.1,3
2023,Quảng Nam,14.15,1
2023,Quảng Nam,14.2,4
2023,Quảng Nam,14.25,9
2023,Quảng Nam,14.3,2
2023,Quảng Nam,14.4,3
2023,Quảng Nam,14.45,3
2023,Quảng Nam,14.5,12
2023,Quảng Nam,14.55,4
2023,Quảng Nam,14.6,2
2023,Quảng Nam,14.65,1
2023,Quảng Nam,14.7,2
2023,Quảng Nam,14.75,8
2023,Quảng Nam,14.8,2
2023,Quảng Nam,14.85,5
2023,Quảng Nam,14.9,2
2023,Quảng Nam,14.95,6
2023,Quảng Nam,15.0,10
2023,Quảng Nam,15.05,4
2023,Quảng Nam,15.08,1
2023,Quảng Nam,15.1,4
2023,Quảng Nam,15.15,3
2023,Quảng Nam,15.2,2
2023,Quảng Nam,15.25,9
2023,Quảng Nam,15.3,3
2023,Quảng Nam,15.35,8
2023,Quảng Nam,15.4,5
2023,Quảng Nam,15.45,5
2023,Quảng Nam,15.5,8
2023,Quảng Nam,15.55,3
2023,Quảng Nam,15.6,3
2023,Quảng Nam,15.65,3
2023,Quảng Nam,15.7,4
2023,Quảng Nam,15.75,9
2023,Quảng Nam,15.8,3
2023,Quảng Nam,15.85,2
2023,Quảng Nam,15.9,4
2023,Quảng Nam,15.95,2
2023,Quảng Nam,16.0,8
2023,Quảng Nam,16.05,3
2023,Quảng Nam,16.1,3
2023,Quảng Nam,16.15,4
2023,Quảng Nam,16.2,4
2023,Quảng Nam,16.25,3
2023,Quảng Nam,16.3,4
2023,Quảng Nam,16.35,3
2023,Quảng Nam,16.4,4
2023,Quảng Nam,16.45,2
2023,Quảng Nam,16.5,12
2023,Quảng Nam,16.55,3
2023,Quảng Nam,16.6,3
2023,Quảng Nam,16.65,4
2023,Quảng Nam,16.7,7
2023,Quảng Nam,16.75,16
2023,Quảng Nam,16.8,5
2023,Quảng Nam,16.85,5
2023,Quảng Nam,16.9,5
2023,Quảng Nam,16.95,5
2023,Quảng Nam,17.0,8
2023,Quảng Nam,17.05,5
2023,Quảng Nam,17.1,3
2023,Quảng Nam,17.15,4
2023,Quảng Nam,17.2,4
2023,Quảng Nam,17.25,4
2023,Quảng Nam,17.3,6
2023,Quảng Nam,17.35,3
2023,Quảng Nam,17.4,6
2023,Quảng Nam,17.45,5
2023,Quảng Nam,17.5,11
2023,Quảng Nam,17.55,5
2023,Quảng Nam,17.6,6
2023,Quảng Nam,17.65,2
2023,Quảng Nam,17.650000000000002,1
2023,Quảng Nam,17.7,2
2023,Quảng Nam,17.75,15
2023,Quảng Nam,17.8,5
2023,Quảng Nam,17.85,3
2023,Quảng Nam,17.9,4
2023,Quảng Nam,17.95,1
2023,Quảng Nam,18.0,16
2023,Quảng Nam,18.05,3
2023,Quảng Nam,18.1,4
2023,Quảng Nam,18.15,5
2023,Quảng Nam,18.2,3
2023,Quảng Nam,18.25,15
2023,Quảng Nam,18.3,6
2023,Quảng Nam,18.35,1
2023,Quảng Nam,18.4,3
2023,Quảng Nam,18.45,6
2023,Quảng Nam,18.5,13
2023,Quảng Nam,18.55,1
2023,Quảng Nam,18.6,2
2023,Quảng Nam,18.65,1
2023,Quảng Nam,18.7,2
2023,Quảng Nam,18.75,13
2023,Quảng Nam,18.8,4
2023,Quảng Nam,18.85,4
2023,Quảng Nam,18.9,4
2023,Quảng Nam,18.95,6
2023,Quảng Nam,19.0,12
2023,Quảng Nam,19.05,7
2023,Quảng Nam,19.1,2
2023,Quảng Nam,19.12,1
2023,Quảng Nam,19.15,2
2023,Quảng Nam,19.2,1
2023,Quảng Nam,19.25,14
2023,Quảng Nam,19.3,4
2023,Quảng Nam,19.35,8
2023,Quảng Nam,19.4,3
2023,Quảng Nam,19.45,2
2023,Quảng Nam,19.5,15
2023,Quảng Nam,19.55,1
2023,Quảng Nam,19.6,6
2023,Quảng Nam,19.65,5
2023,Quảng Nam,19.7,3
2023,Quảng Nam,19.700000000000003,1
2023,Quảng Nam,19.75,17
2023,Quảng Nam,19.8,3
2023,Quảng Nam,19.85,3
2023,Quảng Nam,19.9,3
2023,Quảng Nam,19.95,3
2023,Quảng Nam,20.0,7
2023,Quảng Nam,20.05,4
2023,Quảng Nam,20.1,4
2023,Quảng Nam,20.15,2
2023,Quảng Nam,20.2,5
2023,Quảng Nam,20.25,7
2023,Quảng Nam,20.35,11
2023,Quảng Nam,20.4,6
2023,Quảng Nam,20.45,4
2023,Quảng Nam,20.5,8
2023,Quảng Nam,20.55,4
2023,Quảng Nam,20.6,4
2023,Quảng Nam,20.65,3
2023,Quảng Nam,20.7,3
2023,Quảng Nam,20.75,12
2023,Quảng Nam,20.8,4
2023,Quảng Nam,20.85,3
2023,Quảng Nam,20.9,4
2023,Quảng Nam,20.95,7
2023,Quảng Nam,21.0,11
2023,Quảng Nam,21.05,3
2023,Quảng Nam,21.1,3
2023,Quảng Nam,21.15,10
2023,Quảng Nam,21.2,8
2023,Quảng Nam,21.25,10
2023,Quảng Nam,21.3,2
2023,Quảng Nam,21.35,3
2023,Quảng Nam,21.4,3
2023,Quảng Nam,21.45,6
2023,Quảng Nam,21.450000000000003,1
2023,Quảng Nam,21.5,12
2023,Quảng Nam,21.55,5
2023,Quảng Nam,21.6,9
2023,Quảng Nam,21.65,5
2023,Quảng Nam,21.7,2
2023,Quảng Nam,21.75,9
2023,Quảng Nam,21.799999999999997,1
2023,Quảng Nam,21.8,8
2023,Quảng Nam,21.85,5
2023,Quảng Nam,21.9,6
2023,Quảng Nam,21.95,5
2023,Quảng Nam,22.0,9
2023,Quảng Nam,22.05,4
2023,Quảng Nam,22.1,6
2023,Quảng Nam,22.15,2
2023,Quảng Nam,22.2,2
2023,Quảng Nam,22.25,10
