nam_hoc,tinh,tong_diem,so_hoc_sinh
2018,Quảng Ninh,0.0,2
2018,Quảng Ninh,1.0,1
2018,Quảng Ninh,2.0,1
2018,Quảng Ninh,2.6,1
2018,Quảng Ninh,3.3,1
2018,Quảng Ninh,3.6,2
2018,Quảng Ninh,3.75,1
2018,Quảng Ninh,4.25,1
2018,Quảng Ninh,4.6,1
2018,Quảng Ninh,4.9,1
2018,Quảng Ninh,4.95,1
2018,Quảng Ninh,5.199999999999999,1
2018,Quảng Ninh,5.3,1
2018,Quảng Ninh,5.45,1
2018,Quảng Ninh,5.65,2
2018,Quảng Ninh,5.7,2
2018,Quảng Ninh,5.8,1
2018,Quảng Ninh,5.95,1
2018,Quảng Ninh,6.05,1
2018,Quảng Ninh,6.15,2
2018,Quảng Ninh,6.2,1
2018,Quảng Ninh,6.25,1
2018,Quảng Ninh,6.3,1
2018,Quảng Ninh,6.4,1
2018,Quảng Ninh,6.45,1
2018,Quảng Ninh,6.5,2
2018,Quảng Ninh,6.55,1
2018,Quảng Ninh,6.6,3
2018,Quảng Ninh,6.65,1
2018,Quảng Ninh,6.7,1
2018,Quảng Ninh,6.85,1
2018,Quảng Ninh,6.9,2
2018,Quảng Ninh,6.95,2
2018,Quảng Ninh,7.0,2
2018,Quảng Ninh,7.050000000000001,1
2018,Quảng Ninh,7.1,3
2018,Quảng Ninh,7.1499999999999995,1
2018,Quảng Ninh,7.2,2
2018,Quảng Ninh,7.25,2
2018,Quảng Ninh,7.3,3
2018,Quảng Ninh,7.35,3
2018,Quảng Ninh,7.4,1
2018,Quảng Ninh,7.45,1
2018,Quảng Ninh,7.5,2
2018,Quảng Ninh,7.55,2
2018,Quảng Ninh,7.550000000000001,1
2018,Quảng Ninh,7.6,1
2018,Quảng Ninh,7.65,3
2018,Quảng Ninh,7.7,2
2018,Quảng Ninh,7.75,5
2018,Quảng Ninh,7.8,4
2018,Quảng Ninh,7.800000000000001,1
2018,Quảng Ninh,7.85,2
2018,Quảng Ninh,7.9,3
2018,Quảng Ninh,7.95,4
2018,Quảng Ninh,8.0,4
2018,Quảng Ninh,8.05,5
2018,Quảng Ninh,8.1,3
2018,Quảng Ninh,8.15,1
2018,Quảng Ninh,8.2,4
2018,Quảng Ninh,8.25,2
2018,Quảng Ninh,8.3,3
2018,Quảng Ninh,8.35,2
2018,Quảng Ninh,8.4,5
2018,Quảng Ninh,8.45,5
2018,Quảng Ninh,8.5,1
2018,Quảng Ninh,8.6,1
2018,Quảng Ninh,8.65,3
2018,Quảng Ninh,8.7,3
2018,Quảng Ninh,8.75,4
2018,Quảng Ninh,8.8,4
2018,Quảng Ninh,8.85,5
2018,Quảng Ninh,8.9,4
2018,Quảng Ninh,8.95,9
2018,Quảng Ninh,9.0,3
2018,Quảng Ninh,9.05,7
2018,Quảng Ninh,9.1,5
2018,Quảng Ninh,9.15,4
2018,Quảng Ninh,9.2,4
2018,Quảng Ninh,9.25,8
2018,Quảng Ninh,9.3,4
2018,Quảng Ninh,9.35,1
2018,Quảng Ninh,9.4,7
2018,Quảng Ninh,9.45,3
2018,Quảng Ninh,9.5,5
2018,Quảng Ninh,9.55,6
2018,Quảng Ninh,9.6,6
2018,Quảng Ninh,9.65,3
2018,Quảng Ninh,9.7,7
2018,Quảng Ninh,9.75,4
2018,Quảng Ninh,9.8,6
2018,Quảng Ninh,9.85,11
2018,Quảng Ninh,9.9,5
2018,Quảng Ninh,9.95,8
2018,Quảng Ninh,10.0,4
2018,Quảng Ninh,10.05,2
2018,Quảng Ninh,10.1,8
2018,Quảng Ninh,10.15,3
2018,Quảng Ninh,10.2,10
2018,Quảng Ninh,10.25,6
2018,Quảng Ninh,10.3,4
2018,Quảng Ninh,10.35,4
2018,Quảng Ninh,10.4,4
2018,Quảng Ninh,10.45,5
2018,Quảng Ninh,10.5,4
2018,Quảng Ninh,10.55,9
2018,Quảng Ninh,10.6,7
2018,Quảng Ninh,10.65,13
2018,Quảng Ninh,10.7,9
2018,Quảng Ninh,10.75,8
2018,Quảng Ninh,10.8,8
2018,Quảng Ninh,10.85,4
2018,Quảng Ninh,10.9,2
2018,Quảng Ninh,10.95,8
2018,Quảng Ninh,11.0,11
2018,Quảng Ninh,11.05,9
2018,Quảng Ninh,11.1,8
2018,Quảng Ninh,11.15,7
2018,Quảng Ninh,11.2,7
2018,Quảng Ninh,11.25,8
2018,Quảng Ninh,11.3,14
2018,Quảng Ninh,11.35,11
2018,Quảng Ninh,11.4,4
2018,Quảng Ninh,11.45,13
2018,Quảng Ninh,11.5,13
2018,Quảng Ninh,11.55,8
2018,Quảng Ninh,11.6,4
2018,Quảng Ninh,11.65,7
2018,Quảng Ninh,11.7,8
2018,Quảng Ninh,11.75,5
2018,Quảng Ninh,11.8,16
2018,Quảng Ninh,11.85,13
2018,Quảng Ninh,11.9,17
2018,Quảng Ninh,11.95,11
2018,Quảng Ninh,12.0,10
2018,Quảng Ninh,12.05,16
2018,Quảng Ninh,12.1,11
2018,Quảng Ninh,12.15,7
2018,Quảng Ninh,12.2,10
2018,Quảng Ninh,12.25,6
2018,Quảng Ninh,12.3,10
2018,Quảng Ninh,12.35,9
2018,Quảng Ninh,12.4,14
2018,Quảng Ninh,12.45,12
2018,Quảng Ninh,12.5,16
2018,Quảng Ninh,12.55,4
2018,Quảng Ninh,12.6,12
2018,Quảng Ninh,12.65,15
2018,Quảng Ninh,12.7,9
2018,Quảng Ninh,12.75,12
2018,Quảng Ninh,12.799999999999999,1
2018,Quảng Ninh,12.8,13
2018,Quảng Ninh,12.85,11
2018,Quảng Ninh,12.9,9
2018,Quảng Ninh,12.95,11
2018,Quảng Ninh,13.0,16
2018,Quảng Ninh,13.05,11
2018,Quảng Ninh,13.1,7
2018,Quảng Ninh,13.15,9
2018,Quảng Ninh,13.2,11
2018,Quảng Ninh,13.25,12
2018,Quảng Ninh,13.3,7
2018,Quảng Ninh,13.35,7
2018,Quảng Ninh,13.4,7
2018,Quảng Ninh,13.45,10
2018,Quảng Ninh,13.5,17
2018,Quảng Ninh,13.55,4
