nam_hoc,tinh,tong_diem,so_hoc_sinh
2023,Quảng Trị,1.6,1
2023,Quảng Trị,2.8,1
2023,Quảng Trị,4.25,1
2023,Quảng Trị,5.0,1
2023,Quảng Trị,5.25,1
2023,Quảng Trị,5.75,1
2023,Quảng Trị,5.800000000000001,1
2023,Quảng Trị,5.95,1
2023,Quảng Trị,6.0,1
2023,Quảng Trị,6.15,1
2023,Quảng Trị,6.5,1
2023,Quảng Trị,7.0,1
2023,Quảng Trị,7.2,1
2023,Quảng Trị,7.5,1
2023,Quảng Trị,7.85,2
2023,Quảng Trị,8.25,1
2023,Quảng Trị,8.5,1
2023,Quảng Trị,9.0,1
2023,Quảng Trị,9.2,1
2023,Quảng Trị,9.4,1
2023,Quảng Trị,9.5,1
2023,Quảng Trị,9.55,1
2023,Quảng Trị,9.6,1
2023,Quảng Trị,9.65,1
2023,Quảng Trị,9.8,1
2023,Quảng Trị,9.95,1
2023,Quảng Trị,10.1,1
2023,Quảng Trị,10.4,1
2023,Quảng Trị,10.450000000000001,1
2023,Quảng Trị,10.5,1
2023,Quảng Trị,10.55,1
2023,Quảng Trị,10.95,1
2023,Quảng Trị,11.1,1
2023,Quảng Trị,11.15,2
2023,Quảng Trị,11.25,1
2023,Quảng Trị,11.45,1
2023,Quảng Trị,11.5,1
2023,Quảng Trị,11.7,2
2023,Quảng Trị,11.75,3
2023,Quảng Trị,12.0,1
2023,Quảng Trị,12.05,1
2023,Quảng Trị,12.1,1
2023,Quảng Trị,12.2,3
2023,Quảng Trị,12.45,1
2023,Quảng Trị,12.5,1
2023,Quảng Trị,12.6,2
2023,Quảng Trị,12.65,1
2023,Quảng Trị,12.7,1
2023,Quảng Trị,12.75,1
2023,Quảng Trị,12.85,1
2023,Quảng Trị,12.95,1
2023,Quảng Trị,13.0,1
2023,Quảng Trị,13.05,1
2023,Quảng Trị,13.25,3
2023,Quảng Trị,13.3,2
2023,Quảng Trị,13.35,1
2023,Quảng Trị,13.45,2
2023,Quảng Trị,13.5,2
2023,Quảng Trị,13.600000000000001,1
2023,Quảng Trị,13.65,1
2023,Quảng Trị,13.75,5
2023,Quảng Trị,13.8,1
2023,Quảng Trị,13.95,1
2023,Quảng Trị,14.0,1
2023,Quảng Trị,14.25,3
2023,Quảng Trị,14.3,1
2023,Quảng Trị,14.35,1
2023,Quảng Trị,14.45,4
2023,Quảng Trị,14.5,2
2023,Quảng Trị,14.55,1
2023,Quảng Trị,14.65,2
2023,Quảng Trị,14.73,1
2023,Quảng Trị,14.75,3
2023,Quảng Trị,14.8,2
2023,Quảng Trị,14.85,2
2023,Quảng Trị,14.9,2
2023,Quảng Trị,14.95,2
2023,Quảng Trị,15.0,5
2023,Quảng Trị,15.15,2
2023,Quảng Trị,15.25,2
2023,Quảng Trị,15.3,1
2023,Quảng Trị,15.35,3
2023,Quảng Trị,15.4,2
2023,Quảng Trị,15.45,2
2023,Quảng Trị,15.5,6
2023,Quảng Trị,15.6,1
2023,Quảng Trị,15.65,1
2023,Quảng Trị,15.75,2
2023,Quảng Trị,15.8,2
2023,Quảng Trị,15.85,1
2023,Quảng Trị,15.899999999999999,1
2023,Quảng Trị,15.9,3
2023,Quảng Trị,15.95,1
2023,Quảng Trị,16.0,3
2023,Quảng Trị,16.1,2
2023,Quảng Trị,16.15,1
2023,Quảng Trị,16.2,3
2023,Quảng Trị,16.25,6
2023,Quảng Trị,16.3,1
2023,Quảng Trị,16.35,1
2023,Quảng Trị,16.4,1
2023,Quảng Trị,16.5,2
2023,Quảng Trị,16.55,3
2023,Quảng Trị,16.6,1
2023,Quảng Trị,16.65,2
2023,Quảng Trị,16.75,7
2023,Quảng Trị,16.8,2
2023,Quảng Trị,16.9,1
2023,Quảng Trị,16.95,1
2023,Quảng Trị,17.0,2
2023,Quảng Trị,17.05,1
2023,Quảng Trị,17.1,1
2023,Quảng Trị,17.15,4
2023,Quảng Trị,17.2,2
2023,Quảng Trị,17.25,2
2023,Quảng Trị,17.35,3
2023,Quảng Trị,17.4,2
2023,Quảng Trị,17.45,5
2023,Quảng Trị,17.5,1
2023,Quảng Trị,17.55,3
2023,Quảng Trị,17.6,3
2023,Quảng Trị,17.65,1
2023,Quảng Trị,17.7,5
2023,Quảng Trị,17.75,11
2023,Quảng Trị,17.8,2
2023,Quảng Trị,17.85,1
2023,Quảng Trị,17.9,4
2023,Quảng Trị,17.95,4
2023,Quảng Trị,18.0,6
2023,Quảng Trị,18.05,4
2023,Quảng Trị,18.1,7
2023,Quảng Trị,18.15,1
2023,Quảng Trị,18.2,1
2023,Quảng Trị,18.25,4
2023,Quảng Trị,18.3,3
2023,Quảng Trị,18.35,1
2023,Quảng Trị,18.4,1
2023,Quảng Trị,18.45,3
2023,Quảng Trị,18.5,8
2023,Quảng Trị,18.55,2
2023,Quảng Trị,18.6,1
2023,Quảng Trị,18.65,2
2023,Quảng Trị,18.7,3
2023,Quảng Trị,18.75,8
2023,Quảng Trị,18.8,1
2023,Quảng Trị,18.85,4
2023,Quảng Trị,18.9,1
2023,Quảng Trị,18.95,4
2023,Quảng Trị,19.05,1
2023,Quảng Trị,19.1,1
2023,Quảng Trị,19.15,2
2023,Quảng Trị,19.2,5
2023,Quảng Trị,19.25,6
2023,Quảng Trị,19.3,2
2023,Quảng Trị,19.35,1
2023,Quảng Trị,19.4,2
2023,Quảng Trị,19.5,2
2023,Quảng Trị,19.55,2
2023,Quảng Trị,19.6,6
2023,Quảng Trị,19.65,2
2023,Quảng Trị,19.7,3
2023,Quảng Trị,19.75,8
2023,Quảng Trị,19.8,2
2023,Quảng Trị,20.0,6
2023,Quảng Trị,20.05,3
2023,Quảng Trị,20.1,3
2023,Quảng Trị,20.15,4
2023,Quảng Trị,20.2,6
2023,Quảng Trị,20.25,3
2023,Quảng Trị,20.3,1
2023,Quảng Trị,20.35,4
2023,Quảng Trị,20.4,3
2023,Quảng Trị,20.45,2
2023,Quảng Trị,20.5,6
2023,Quảng Trị,20.55,4
2023,Quảng Trị,20.6,4
2023,Quảng Trị,20.65,3
2023,Quảng Trị,20.7,4
2023,Quảng Trị,20.75,10
2023,Quảng Trị,20.8,4
2023,Quảng Trị,20.85,3
2023,Quảng Trị,20.9,4
2023,Quảng Trị,20.95,4
2023,Quảng Trị,21.0,7
2023,Quảng Trị,21.05,2
2023,Quảng Trị,21.1,3
2023,Quảng Trị,21.15,3
2023,Quảng Trị,21.2,1
2023,Quảng Trị,21.25,11
2023,Quảng Trị,21.3,1
2023,Quảng Trị,21.35,6
2023,Quảng Trị,21.4,1
2023,Quảng Trị,21.45,5
2023,Quảng Trị,21.450000000000003,1
2023,Quảng Trị,21.5,5
2023,Quảng Trị,21.55,5
2023,Quảng Trị,21.6,2
2023,Quảng Trị,21.65,2
2023,Quảng Trị,21.7,2
2023,Quảng Trị,21.75,9
2023,Quảng Trị,21.8,1
2023,Quảng Trị,21.85,7
2023,Quảng Trị,21.9,2
2023,Quảng Trị,21.95,6
2023,Quảng Trị,22.0,5
2023,Quảng Trị,22.049999999999997,1
2023,Quảng Trị,22.05,10
2023,Quảng Trị,22.1,4
2023,Quảng Trị,22.15,2
2023,Quảng Trị,22.2,3
2023,Quảng Trị,22.25,9
2023,Quảng Trị,22.3,1
2023,Quảng Trị,22.35,10
2023,Quảng Trị,22.4,4
2023,Quảng Trị,22.45,1
2023,Quảng Trị,22.5,8
2023,Quảng Trị,22.549999999999997,1
2023,Quảng Trị,22.55,7
2023,Quảng Trị,22.6,5
2023,Quảng Trị,22.65,5
2023,Quảng Trị,22.7,4
2023,Quảng Trị,22.700000000000003,1
2023,Quảng Trị,22.75,5
2023,Quảng Trị,22.85,5
2023,Quảng Trị,22.9,4
2023,Quảng Trị,22.95,1
2023,Quảng Trị,22.950000000000003,1
2023,Quảng Trị,23.0,8
2023,Quảng Trị,23.05,3
2023,Quảng Trị,23.1,3
2023,Quảng Trị,23.15,11
2023,Quảng Trị,23.2,5
2023,Quảng Trị,23.25,6
2023,Quảng Trị,23.3,3
2023,Quảng Trị,23.35,6
2023,Quảng Trị,23.4,2
2023,Quảng Trị,23.45,3
2023,Quảng Trị,23.5,6
2023,Quảng Trị,23.55,7
2023,Quảng Trị,23.6,10
2023,Quảng Trị,23.65,5
2023,Quảng Trị,23.7,5
2023,Quảng Trị,23.700000000000003,1
2023,Quảng Trị,23.75,10
2023,Quảng Trị,23.799999999999997,1
2023,Quảng Trị,23.8,6
2023,Quảng Trị,23.85,7
2023,Quảng Trị,23.9,3
2023,Quảng Trị,23.95,12
2023,Quảng Trị,23.950000000000003,1
2023,Quảng Trị,24.0,7
2023,Quảng Trị,24.05,5
2023,Quảng Trị,24.1,3
2023,Quảng Trị,24.15,7
2023,Quảng Trị,24.2,5
2023,Quảng Trị,24.200000000000003,2
2023,Quảng Trị,24.25,10
2023,Quảng Trị,24.3,5
2023,Quảng Trị,24.35,7
2023,Quảng Trị,24.4,4
2023,Quảng Trị,24.45,3
2023,Quảng Trị,24.5,6
2023,Quảng Trị,24.549999999999997,1
2023,Quảng Trị,24.55,4
2023,Quảng Trị,24.6,6
2023,Quảng Trị,24.65,9
2023,Quảng Trị,24.7,5
2023,Quảng Trị,24.700000000000003,1
2023,Quảng Trị,24.75,7
2023,Quảng Trị,24.799999999999997,1
2023,Quảng Trị,24.8,10
2023,Quảng Trị,24.85,6
2023,Quảng Trị,24.9,10
2023,Quảng Trị,24.95,4
2023,Quảng Trị,25.0,8
2023,Quảng Trị,25.05,4
2023,Quảng Trị,25.099999999999998,1
2023,Quảng Trị,25.1,4
2023,Quảng Trị,25.15,4
2023,Quảng Trị,25.2,6
2023,Quảng Trị,25.200000000000003,1
2023,Quảng Trị,25.25,5
2023,Quảng Trị,25.3,9
2023,Quảng Trị,25.35,3
2023,Quảng Trị,25.4,7
2023,Quảng Trị,25.45,9
2023,Quảng Trị,25.5,9
2023,Quảng Trị,25.55,4
2023,Quảng Trị,25.6,5
2023,Quảng Trị,25.65,9
2023,Quảng Trị,25.7,7
2023,Quảng Trị,25.75,13
2023,Quảng Trị,25.8,7
2023,Quảng Trị,25.85,6
2023,Quảng Trị,25.9,4
2023,Quảng Trị,25.95,4
2023,Quảng Trị,26.0,12
2023,Quảng Trị,26.05,5
2023,Quảng Trị,26.1,7
2023,Quảng Trị,26.15,13
2023,Quảng Trị,26.2,5
