nam_hoc,tinh,tong_diem,so_hoc_sinh
2018,Sóc Trăng,0.0,39
2018,Sóc Trăng,6.0,1
2018,Sóc Trăng,6.4,1
2018,Sóc Trăng,6.55,2
2018,Sóc Trăng,6.6,2
2018,Sóc Trăng,6.65,1
2018,Sóc Trăng,6.85,1
2018,Sóc Trăng,7.0,1
2018,Sóc Trăng,7.2,2
2018,Sóc Trăng,7.4,1
2018,Sóc Trăng,7.55,1
2018,Sóc Trăng,7.65,1
2018,Sóc Trăng,7.7,1
2018,Sóc Trăng,7.75,1
2018,Sóc Trăng,8.1,2
2018,Sóc Trăng,8.25,2
2018,Sóc Trăng,8.3,2
2018,Sóc Trăng,8.35,1
2018,Sóc Trăng,8.4,1
2018,Sóc Trăng,8.45,1
2018,Sóc Trăng,8.5,2
2018,Sóc Trăng,8.55,2
2018,Sóc Trăng,8.6,2
2018,Sóc Trăng,8.7,2
2018,Sóc Trăng,8.85,2
2018,Sóc Trăng,8.9,1
2018,Sóc Trăng,8.95,1
2018,Sóc Trăng,9.0,3
2018,Sóc Trăng,9.05,1
2018,Sóc Trăng,9.1,1
2018,Sóc Trăng,9.15,2
2018,Sóc Trăng,9.35,1
2018,Sóc Trăng,9.45,1
2018,Sóc Trăng,9.5,3
2018,Sóc Trăng,9.65,2
2018,Sóc Trăng,9.7,1
2018,Sóc Trăng,9.75,1
2018,Sóc Trăng,9.8,2
2018,Sóc Trăng,9.85,1
2018,Sóc Trăng,9.95,1
2018,Sóc Trăng,10.0,2
2018,Sóc Trăng,10.05,5
2018,Sóc Trăng,10.1,2
2018,Sóc Trăng,10.2,1
2018,Sóc Trăng,10.25,2
2018,Sóc Trăng,10.3,1
2018,Sóc Trăng,10.35,2
2018,Sóc Trăng,10.4,1
2018,Sóc Trăng,10.45,1
2018,Sóc Trăng,10.5,1
2018,Sóc Trăng,10.55,1
2018,Sóc Trăng,10.6,1
2018,Sóc Trăng,10.7,1
2018,Sóc Trăng,10.75,5
2018,Sóc Trăng,10.8,1
2018,Sóc Trăng,10.85,1
2018,Sóc Trăng,10.9,1
2018,Sóc Trăng,11.1,2
2018,Sóc Trăng,11.15,1
2018,Sóc Trăng,11.2,2
