nam_hoc,tinh,tong_diem,so_hoc_sinh
2023,Sơn La,6.0,1
2023,Sơn La,6.75,1
2023,Sơn La,6.8,1
2023,Sơn La,7.5,1
2023,Sơn La,7.75,1
2023,Sơn La,8.0,1
2023,Sơn La,8.4,1
2023,Sơn La,8.75,2
2023,Sơn La,9.0,2
2023,Sơn La,9.2,1
2023,Sơn La,9.25,1
2023,Sơn La,9.33,1
2023,Sơn La,9.5,1
2023,Sơn La,9.7,1
2023,Sơn La,9.75,2
2023,Sơn La,10.0,1
2023,Sơn La,10.2,1
2023,Sơn La,10.25,4
2023,Sơn La,10.5,4
2023,Sơn La,10.75,3
2023,Sơn La,11.0,2
2023,Sơn La,11.25,3
2023,Sơn La,11.35,1
2023,Sơn La,11.45,1
2023,Sơn La,11.5,4
2023,Sơn La,11.7,1
2023,Sơn La,11.75,4
2023,Sơn La,11.799999999999999,1
2023,Sơn La,11.95,1
2023,Sơn La,12.0,6
2023,Sơn La,12.25,4
2023,Sơn La,12.42,1
2023,Sơn La,12.45,1
2023,Sơn La,12.5,8
2023,Sơn La,12.6,1
2023,Sơn La,12.7,1
2023,Sơn La,12.75,4
2023,Sơn La,12.8,1
2023,Sơn La,12.85,1
2023,Sơn La,13.0,3
2023,Sơn La,13.1,1
2023,Sơn La,13.15,2
2023,Sơn La,13.25,6
2023,Sơn La,13.3,2
2023,Sơn La,13.45,1
2023,Sơn La,13.5,8
2023,Sơn La,13.6,2
2023,Sơn La,13.65,1
2023,Sơn La,13.7,2
2023,Sơn La,13.75,7
2023,Sơn La,13.8,3
2023,Sơn La,13.85,1
2023,Sơn La,13.9,2
2023,Sơn La,13.95,3
2023,Sơn La,14.0,9
2023,Sơn La,14.05,1
2023,Sơn La,14.08,1
2023,Sơn La,14.1,2
2023,Sơn La,14.15,1
2023,Sơn La,14.2,1
2023,Sơn La,14.25,9
2023,Sơn La,14.35,1
2023,Sơn La,14.5,8
2023,Sơn La,14.55,1
2023,Sơn La,14.6,2
2023,Sơn La,14.65,7
2023,Sơn La,14.7,5
2023,Sơn La,14.700000000000001,1
2023,Sơn La,14.75,11
2023,Sơn La,14.8,1
2023,Sơn La,14.9,4
2023,Sơn La,14.95,2
2023,Sơn La,15.0,5
2023,Sơn La,15.01,1
2023,Sơn La,15.05,1
2023,Sơn La,15.1,2
2023,Sơn La,15.15,1
2023,Sơn La,15.2,4
2023,Sơn La,15.25,12
2023,Sơn La,15.3,1
2023,Sơn La,15.35,1
2023,Sơn La,15.4,2
2023,Sơn La,15.45,2
2023,Sơn La,15.5,6
2023,Sơn La,15.55,3
2023,Sơn La,15.6,1
