nam_hoc,tinh,tong_diem,so_hoc_sinh
2023,Tây Ninh,0.0,2
2023,Tây Ninh,1.0,1
2023,Tây Ninh,1.75,1
2023,Tây Ninh,2.25,2
2023,Tây Ninh,3.0,1
2023,Tây Ninh,3.25,1
2023,Tây Ninh,3.5,1
2023,Tây Ninh,3.75,2
2023,Tây Ninh,4.75,1
2023,Tây Ninh,4.800000000000001,1
2023,Tây Ninh,5.5,2
2023,Tây Ninh,5.75,1
2023,Tây Ninh,6.25,1
2023,Tây Ninh,6.5,2
2023,Tây Ninh,6.75,1
2023,Tây Ninh,7.0,1
2023,Tây Ninh,7.1,1
2023,Tây Ninh,7.25,1
2023,Tây Ninh,7.5,1
2023,Tây Ninh,8.25,1
2023,Tây Ninh,8.45,2
2023,Tây Ninh,8.5,1
2023,Tây Ninh,8.6,1
2023,Tây Ninh,8.75,1
2023,Tây Ninh,9.1,1
2023,Tây Ninh,9.3,1
2023,Tây Ninh,9.45,1
2023,Tây Ninh,9.5,2
2023,Tây Ninh,9.55,3
2023,Tây Ninh,9.6,1
2023,Tây Ninh,9.7,1
2023,Tây Ninh,9.8,2
2023,Tây Ninh,10.25,1
2023,Tây Ninh,10.35,1
2023,Tây Ninh,10.4,1
2023,Tây Ninh,10.5,2
2023,Tây Ninh,10.55,1
2023,Tây Ninh,10.57,1
2023,Tây Ninh,10.75,3
2023,Tây Ninh,10.85,1
2023,Tây Ninh,11.0,3
2023,Tây Ninh,11.1,1
2023,Tây Ninh,11.25,4
2023,Tây Ninh,11.35,1
2023,Tây Ninh,11.5,4
2023,Tây Ninh,11.6,1
2023,Tây Ninh,11.65,1
2023,Tây Ninh,11.7,1
2023,Tây Ninh,11.75,3
2023,Tây Ninh,11.85,2
2023,Tây Ninh,11.9,2
2023,Tây Ninh,11.95,2
2023,Tây Ninh,12.0,5
2023,Tây Ninh,12.1,2
2023,Tây Ninh,12.15,1
2023,Tây Ninh,12.25,4
2023,Tây Ninh,12.27,1
2023,Tây Ninh,12.3,1
2023,Tây Ninh,12.35,1
2023,Tây Ninh,12.4,1
2023,Tây Ninh,12.5,3
2023,Tây Ninh,12.6,3
2023,Tây Ninh,12.65,2
2023,Tây Ninh,12.7,3
2023,Tây Ninh,12.75,4
2023,Tây Ninh,12.8,1
2023,Tây Ninh,12.85,1
2023,Tây Ninh,12.95,3
2023,Tây Ninh,13.0,11
2023,Tây Ninh,13.05,2
2023,Tây Ninh,13.1,3
2023,Tây Ninh,13.15,4
2023,Tây Ninh,13.2,2
2023,Tây Ninh,13.25,4
2023,Tây Ninh,13.3,3
2023,Tây Ninh,13.35,4
2023,Tây Ninh,13.4,3
2023,Tây Ninh,13.45,1
2023,Tây Ninh,13.5,8
2023,Tây Ninh,13.55,2
2023,Tây Ninh,13.6,3
2023,Tây Ninh,13.65,1
2023,Tây Ninh,13.719999999999999,1
2023,Tây Ninh,13.75,7
2023,Tây Ninh,13.8,2
2023,Tây Ninh,13.85,3
2023,Tây Ninh,13.9,2
2023,Tây Ninh,13.95,1
2023,Tây Ninh,14.0,9
2023,Tây Ninh,14.1,2
2023,Tây Ninh,14.15,1
2023,Tây Ninh,14.2,2
2023,Tây Ninh,14.25,9
2023,Tây Ninh,14.3,4
2023,Tây Ninh,14.35,1
2023,Tây Ninh,14.4,6
2023,Tây Ninh,14.45,1
2023,Tây Ninh,14.5,12
2023,Tây Ninh,14.55,1
2023,Tây Ninh,14.6,6
2023,Tây Ninh,14.65,2
2023,Tây Ninh,14.75,13
2023,Tây Ninh,14.8,1
2023,Tây Ninh,14.85,2
2023,Tây Ninh,14.9,4
2023,Tây Ninh,14.95,1
2023,Tây Ninh,15.0,6
2023,Tây Ninh,15.05,9
2023,Tây Ninh,15.1,3
2023,Tây Ninh,15.15,2
2023,Tây Ninh,15.2,5
2023,Tây Ninh,15.25,13
2023,Tây Ninh,15.3,5
2023,Tây Ninh,15.35,7
2023,Tây Ninh,15.4,1
2023,Tây Ninh,15.42,1
2023,Tây Ninh,15.45,5
2023,Tây Ninh,15.469999999999999,1
2023,Tây Ninh,15.5,15
2023,Tây Ninh,15.55,4
2023,Tây Ninh,15.6,5
2023,Tây Ninh,15.65,4
2023,Tây Ninh,15.7,2
2023,Tây Ninh,15.75,15
2023,Tây Ninh,15.8,3
2023,Tây Ninh,15.85,4
2023,Tây Ninh,15.9,4
2023,Tây Ninh,15.95,6
2023,Tây Ninh,16.0,9
2023,Tây Ninh,16.05,7
2023,Tây Ninh,16.1,4
2023,Tây Ninh,16.15,5
2023,Tây Ninh,16.2,9
2023,Tây Ninh,16.25,15
2023,Tây Ninh,16.3,6
2023,Tây Ninh,16.35,5
2023,Tây Ninh,16.4,4
2023,Tây Ninh,16.45,7
2023,Tây Ninh,16.5,13
2023,Tây Ninh,16.55,8
2023,Tây Ninh,16.6,6
2023,Tây Ninh,16.65,2
2023,Tây Ninh,16.7,5
2023,Tây Ninh,16.75,12
2023,Tây Ninh,16.8,7
2023,Tây Ninh,16.85,3
2023,Tây Ninh,16.9,7
2023,Tây Ninh,16.92,1
2023,Tây Ninh,16.95,5
2023,Tây Ninh,17.0,15
2023,Tây Ninh,17.05,8
2023,Tây Ninh,17.1,6
2023,Tây Ninh,17.15,4
2023,Tây Ninh,17.2,7
2023,Tây Ninh,17.25,17
2023,Tây Ninh,17.3,10
2023,Tây Ninh,17.35,3
2023,Tây Ninh,17.4,9
2023,Tây Ninh,17.45,6
2023,Tây Ninh,17.5,10
2023,Tây Ninh,17.55,12
2023,Tây Ninh,17.6,6
2023,Tây Ninh,17.65,8
2023,Tây Ninh,17.66,1
2023,Tây Ninh,17.7,7
2023,Tây Ninh,17.75,22
2023,Tây Ninh,17.8,7
2023,Tây Ninh,17.85,4
2023,Tây Ninh,17.9,11
2023,Tây Ninh,17.95,6
2023,Tây Ninh,18.0,18
2023,Tây Ninh,18.05,10
2023,Tây Ninh,18.1,9
2023,Tây Ninh,18.15,4
2023,Tây Ninh,18.2,6
2023,Tây Ninh,18.25,20
2023,Tây Ninh,18.3,6
2023,Tây Ninh,18.35,10
2023,Tây Ninh,18.4,12
2023,Tây Ninh,18.45,7
2023,Tây Ninh,18.5,15
2023,Tây Ninh,18.55,14
2023,Tây Ninh,18.6,7
2023,Tây Ninh,18.65,8
2023,Tây Ninh,18.7,13
2023,Tây Ninh,18.75,21
2023,Tây Ninh,18.8,11
2023,Tây Ninh,18.85,14
2023,Tây Ninh,18.9,13
2023,Tây Ninh,18.95,20
2023,Tây Ninh,19.0,20
2023,Tây Ninh,19.02,1
2023,Tây Ninh,19.05,4
2023,Tây Ninh,19.1,14
2023,Tây Ninh,19.15,12
2023,Tây Ninh,19.18,1
2023,Tây Ninh,19.2,10
2023,Tây Ninh,19.25,18
2023,Tây Ninh,19.27,1
2023,Tây Ninh,19.3,11
2023,Tây Ninh,19.35,11
2023,Tây Ninh,19.4,15
2023,Tây Ninh,19.45,20
2023,Tây Ninh,19.5,15
2023,Tây Ninh,19.55,15
2023,Tây Ninh,19.6,7
2023,Tây Ninh,19.65,8
2023,Tây Ninh,19.7,14
2023,Tây Ninh,19.75,17
2023,Tây Ninh,19.8,14
2023,Tây Ninh,19.83,1
2023,Tây Ninh,19.85,12
2023,Tây Ninh,19.9,11
2023,Tây Ninh,19.95,12
2023,Tây Ninh,20.0,21
2023,Tây Ninh,20.05,11
2023,Tây Ninh,20.1,12
2023,Tây Ninh,20.15,17
2023,Tây Ninh,20.18,1
2023,Tây Ninh,20.2,13
2023,Tây Ninh,20.23,1
2023,Tây Ninh,20.25,19
2023,Tây Ninh,20.3,11
2023,Tây Ninh,20.35,8
2023,Tây Ninh,20.4,10
2023,Tây Ninh,20.45,20
2023,Tây Ninh,20.5,9
2023,Tây Ninh,20.55,13
2023,Tây Ninh,20.6,6
2023,Tây Ninh,20.65,10
2023,Tây Ninh,20.7,10
2023,Tây Ninh,20.700000000000003,1
2023,Tây Ninh,20.75,22
2023,Tây Ninh,20.77,1
2023,Tây Ninh,20.8,10
2023,Tây Ninh,20.85,14
2023,Tây Ninh,20.9,13
2023,Tây Ninh,20.93,1
2023,Tây Ninh,20.95,11
2023,Tây Ninh,21.0,21
2023,Tây Ninh,21.05,15
2023,Tây Ninh,21.1,10
2023,Tây Ninh,21.13,1
2023,Tây Ninh,21.15,17
2023,Tây Ninh,21.2,14
2023,Tây Ninh,21.25,18
2023,Tây Ninh,21.299999999999997,1
2023,Tây Ninh,21.3,18
2023,Tây Ninh,21.35,14
2023,Tây Ninh,21.4,15
2023,Tây Ninh,21.45,7
2023,Tây Ninh,21.5,14
2023,Tây Ninh,21.55,10
2023,Tây Ninh,21.6,17
2023,Tây Ninh,21.65,21
2023,Tây Ninh,21.68,1
2023,Tây Ninh,21.7,9
2023,Tây Ninh,21.73,1
2023,Tây Ninh,21.75,20
2023,Tây Ninh,21.78,1
2023,Tây Ninh,21.799999999999997,1
2023,Tây Ninh,21.8,15
2023,Tây Ninh,21.85,10
2023,Tây Ninh,21.9,9
2023,Tây Ninh,21.95,15
2023,Tây Ninh,22.0,24
2023,Tây Ninh,22.05,13
2023,Tây Ninh,22.1,13
2023,Tây Ninh,22.15,13
2023,Tây Ninh,22.2,12
2023,Tây Ninh,22.25,14
2023,Tây Ninh,22.299999999999997,2
2023,Tây Ninh,22.3,16
2023,Tây Ninh,22.35,15
2023,Tây Ninh,22.4,13
2023,Tây Ninh,22.45,12
2023,Tây Ninh,22.48,1
2023,Tây Ninh,22.5,25
2023,Tây Ninh,22.55,14
2023,Tây Ninh,22.58,1
2023,Tây Ninh,22.6,7
2023,Tây Ninh,22.65,11
2023,Tây Ninh,22.67,1
2023,Tây Ninh,22.7,11
2023,Tây Ninh,22.75,21
2023,Tây Ninh,22.8,10
2023,Tây Ninh,22.85,12
2023,Tây Ninh,22.9,10
2023,Tây Ninh,22.95,14
2023,Tây Ninh,23.0,13
2023,Tây Ninh,23.02,2
2023,Tây Ninh,23.05,12
2023,Tây Ninh,23.1,12
2023,Tây Ninh,23.15,12
2023,Tây Ninh,23.2,13
2023,Tây Ninh,23.200000000000003,1
2023,Tây Ninh,23.25,18
2023,Tây Ninh,23.299999999999997,1
2023,Tây Ninh,23.3,18
2023,Tây Ninh,23.35,7
2023,Tây Ninh,23.4,14
2023,Tây Ninh,23.45,8
2023,Tây Ninh,23.48,1
2023,Tây Ninh,23.5,15
2023,Tây Ninh,23.55,18
2023,Tây Ninh,23.6,17
2023,Tây Ninh,23.65,14
2023,Tây Ninh,23.7,14
2023,Tây Ninh,23.75,17
2023,Tây Ninh,23.8,13
2023,Tây Ninh,23.82,1
2023,Tây Ninh,23.85,12
2023,Tây Ninh,23.9,17
2023,Tây Ninh,23.95,13
2023,Tây Ninh,23.950000000000003,1
2023,Tây Ninh,24.0,13
2023,Tây Ninh,24.049999999999997,1
2023,Tây Ninh,24.05,8
2023,Tây Ninh,24.1,13
2023,Tây Ninh,24.15,15
2023,Tây Ninh,24.2,17
2023,Tây Ninh,24.25,16
2023,Tây Ninh,24.3,8
2023,Tây Ninh,24.35,8
2023,Tây Ninh,24.37,2
2023,Tây Ninh,24.4,13
2023,Tây Ninh,24.45,6
2023,Tây Ninh,24.450000000000003,2
2023,Tây Ninh,24.5,12
2023,Tây Ninh,24.55,21
2023,Tây Ninh,24.6,10
2023,Tây Ninh,24.65,14
2023,Tây Ninh,24.7,9
2023,Tây Ninh,24.700000000000003,1
2023,Tây Ninh,24.75,18
2023,Tây Ninh,24.8,12
2023,Tây Ninh,24.85,11
2023,Tây Ninh,24.9,14
2023,Tây Ninh,24.95,10
2023,Tây Ninh,25.0,14
2023,Tây Ninh,25.02,1
2023,Tây Ninh,25.05,6
2023,Tây Ninh,25.1,19
2023,Tây Ninh,25.15,12
2023,Tây Ninh,25.2,14
2023,Tây Ninh,25.200000000000003,1
2023,Tây Ninh,25.25,9
2023,Tây Ninh,25.299999999999997,1
2023,Tây Ninh,25.3,10
2023,Tây Ninh,25.35,14
2023,Tây Ninh,25.4,12
2023,Tây Ninh,25.45,16
2023,Tây Ninh,25.450000000000003,1
2023,Tây Ninh,25.5,12
2023,Tây Ninh,25.53,1
2023,Tây Ninh,25.549999999999997,1
2023,Tây Ninh,25.55,13
2023,Tây Ninh,25.6,18
2023,Tây Ninh,25.65,18
2023,Tây Ninh,25.7,11
2023,Tây Ninh,25.700000000000003,1
2023,Tây Ninh,25.75,11
2023,Tây Ninh,25.799999999999997,1
2023,Tây Ninh,25.8,7
2023,Tây Ninh,25.85,13
2023,Tây Ninh,25.9,16
2023,Tây Ninh,25.92,1
2023,Tây Ninh,25.93,1
2023,Tây Ninh,25.95,10
2023,Tây Ninh,25.950000000000003,1
2023,Tây Ninh,26.0,13
2023,Tây Ninh,26.049999999999997,1
2023,Tây Ninh,26.05,13
2023,Tây Ninh,26.1,11
2023,Tây Ninh,26.15,17
2023,Tây Ninh,26.2,13
2023,Tây Ninh,26.25,10
2023,Tây Ninh,26.3,13
2023,Tây Ninh,26.35,16
2023,Tây Ninh,26.4,12
2023,Tây Ninh,26.45,13
2023,Tây Ninh,26.450000000000003,1
2023,Tây Ninh,26.5,16
2023,Tây Ninh,26.549999999999997,1
2023,Tây Ninh,26.55,9
2023,Tây Ninh,26.6,15
2023,Tây Ninh,26.65,16
2023,Tây Ninh,26.7,16
2023,Tây Ninh,26.700000000000003,1
2023,Tây Ninh,26.75,15
2023,Tây Ninh,26.8,9
2023,Tây Ninh,26.85,14
2023,Tây Ninh,26.9,18
2023,Tây Ninh,26.95,11
2023,Tây Ninh,26.950000000000003,3
2023,Tây Ninh,27.0,12
2023,Tây Ninh,27.02,1
2023,Tây Ninh,27.049999999999997,3
2023,Tây Ninh,27.05,12
2023,Tây Ninh,27.1,11
2023,Tây Ninh,27.15,23
2023,Tây Ninh,27.2,15
2023,Tây Ninh,27.200000000000003,4
2023,Tây Ninh,27.25,13
2023,Tây Ninh,27.299999999999997,3
2023,Tây Ninh,27.3,14
2023,Tây Ninh,27.35,16
2023,Tây Ninh,27.37,1
2023,Tây Ninh,27.4,14
2023,Tây Ninh,27.45,14
2023,Tây Ninh,27.450000000000003,2
2023,Tây Ninh,27.5,11
2023,Tây Ninh,27.549999999999997,5
2023,Tây Ninh,27.55,11
2023,Tây Ninh,27.6,9
2023,Tây Ninh,27.65,11
2023,Tây Ninh,27.7,10
2023,Tây Ninh,27.700000000000003,4
2023,Tây Ninh,27.75,21
2023,Tây Ninh,27.799999999999997,5
2023,Tây Ninh,27.8,13
2023,Tây Ninh,27.82,1
2023,Tây Ninh,27.83,1
2023,Tây Ninh,27.85,15
2023,Tây Ninh,27.9,15
2023,Tây Ninh,27.95,16
2023,Tây Ninh,27.950000000000003,7
2023,Tây Ninh,28.0,17
2023,Tây Ninh,28.03,1
2023,Tây Ninh,28.049999999999997,1
2023,Tây Ninh,28.05,13
2023,Tây Ninh,28.1,25
2023,Tây Ninh,28.15,16
2023,Tây Ninh,28.2,17
2023,Tây Ninh,28.200000000000003,2
2023,Tây Ninh,28.25,25
2023,Tây Ninh,28.299999999999997,9
2023,Tây Ninh,28.3,15
2023,Tây Ninh,28.35,20
2023,Tây Ninh,28.4,20
2023,Tây Ninh,28.45,15
2023,Tây Ninh,28.450000000000003,4
2023,Tây Ninh,28.5,14
2023,Tây Ninh,28.549999999999997,3
2023,Tây Ninh,28.55,19
2023,Tây Ninh,28.6,22
2023,Tây Ninh,28.65,18
2023,Tây Ninh,28.7,13
2023,Tây Ninh,28.700000000000003,4
2023,Tây Ninh,28.75,16
2023,Tây Ninh,28.78,1
2023,Tây Ninh,28.799999999999997,4
2023,Tây Ninh,28.8,18
2023,Tây Ninh,28.85,29
2023,Tây Ninh,28.9,24
2023,Tây Ninh,28.919999999999998,1
2023,Tây Ninh,28.95,8
2023,Tây Ninh,28.950000000000003,8
2023,Tây Ninh,29.0,31
2023,Tây Ninh,29.02,1
2023,Tây Ninh,29.049999999999997,4
2023,Tây Ninh,29.05,13
2023,Tây Ninh,29.1,19
2023,Tây Ninh,29.15,28
2023,Tây Ninh,29.2,15
2023,Tây Ninh,29.200000000000003,8
