nam_hoc,tinh,tong_diem,so_hoc_sinh
2018,Thái Bình,0.0,1
2018,Thái Bình,2.5,1
2018,Thái Bình,4.25,1
2018,Thái Bình,4.75,1
2018,Thái Bình,6.0,2
2018,Thái Bình,6.7,1
2018,Thái Bình,6.75,1
2018,Thái Bình,6.8,1
2018,Thái Bình,7.15,1
2018,Thái Bình,7.3,1
2018,Thái Bình,7.4,2
2018,Thái Bình,7.55,2
2018,Thái Bình,7.6,1
2018,Thái Bình,7.7,1
2018,Thái Bình,7.75,1
2018,Thái Bình,7.8,1
2018,Thái Bình,7.85,1
2018,Thái Bình,7.9,2
2018,Thái Bình,7.95,1
2018,Thái Bình,8.0,1
2018,Thái Bình,8.05,4
2018,Thái Bình,8.1,2
2018,Thái Bình,8.15,3
2018,Thái Bình,8.2,2
2018,Thái Bình,8.3,2
2018,Thái Bình,8.5,2
2018,Thái Bình,8.55,2
2018,Thái Bình,8.65,1
2018,Thái Bình,8.7,2
2018,Thái Bình,8.75,1
2018,Thái Bình,8.8,2
2018,Thái Bình,8.85,2
2018,Thái Bình,8.95,1
2018,Thái Bình,9.0,1
2018,Thái Bình,9.05,1
2018,Thái Bình,9.1,1
2018,Thái Bình,9.15,2
2018,Thái Bình,9.2,1
2018,Thái Bình,9.25,3
2018,Thái Bình,9.3,3
2018,Thái Bình,9.35,1
2018,Thái Bình,9.4,3
2018,Thái Bình,9.45,4
2018,Thái Bình,9.5,3
2018,Thái Bình,9.6,3
2018,Thái Bình,9.7,5
2018,Thái Bình,9.75,1
2018,Thái Bình,9.8,2
2018,Thái Bình,9.85,3
2018,Thái Bình,9.9,1
2018,Thái Bình,9.95,3
2018,Thái Bình,10.0,5
2018,Thái Bình,10.05,2
2018,Thái Bình,10.1,5
2018,Thái Bình,10.15,3
2018,Thái Bình,10.2,8
2018,Thái Bình,10.25,7
2018,Thái Bình,10.3,4
2018,Thái Bình,10.35,6
2018,Thái Bình,10.4,3
2018,Thái Bình,10.45,4
2018,Thái Bình,10.5,2
2018,Thái Bình,10.55,9
2018,Thái Bình,10.6,4
2018,Thái Bình,10.65,5
2018,Thái Bình,10.7,4
2018,Thái Bình,10.75,9
2018,Thái Bình,10.8,5
2018,Thái Bình,10.85,8
2018,Thái Bình,10.9,1
2018,Thái Bình,10.95,7
2018,Thái Bình,11.0,6
2018,Thái Bình,11.05,5
2018,Thái Bình,11.1,6
2018,Thái Bình,11.15,7
2018,Thái Bình,11.2,9
2018,Thái Bình,11.25,8
2018,Thái Bình,11.3,3
2018,Thái Bình,11.35,6
2018,Thái Bình,11.350000000000001,1
2018,Thái Bình,11.4,15
2018,Thái Bình,11.45,8
2018,Thái Bình,11.5,5
2018,Thái Bình,11.55,8
2018,Thái Bình,11.6,8
2018,Thái Bình,11.65,10
2018,Thái Bình,11.7,14
2018,Thái Bình,11.75,6
2018,Thái Bình,11.8,11
2018,Thái Bình,11.85,9
2018,Thái Bình,11.850000000000001,1
