nam_hoc,tinh,tong_diem,so_hoc_sinh
2018,Thái Nguyên,0.0,3
2018,Thái Nguyên,2.0,1
2018,Thái Nguyên,3.2,1
2018,Thái Nguyên,3.55,1
2018,Thái Nguyên,4.1,1
2018,Thái Nguyên,4.15,1
2018,Thái Nguyên,4.2,1
2018,Thái Nguyên,4.25,2
2018,Thái Nguyên,5.25,1
2018,Thái Nguyên,5.4,1
2018,Thái Nguyên,5.6,2
2018,Thái Nguyên,5.75,1
2018,Thái Nguyên,6.05,1
2018,Thái Nguyên,6.1,1
2018,Thái Nguyên,6.15,1
2018,Thái Nguyên,6.199999999999999,1
2018,Thái Nguyên,6.2,2
2018,Thái Nguyên,6.25,1
2018,Thái Nguyên,6.3,1
2018,Thái Nguyên,6.4,1
2018,Thái Nguyên,6.75,1
2018,Thái Nguyên,7.1,1
2018,Thái Nguyên,7.15,2
2018,Thái Nguyên,7.25,1
2018,Thái Nguyên,7.3,1
2018,Thái Nguyên,7.4,1
2018,Thái Nguyên,7.45,3
2018,Thái Nguyên,7.5,1
2018,Thái Nguyên,7.8,1
2018,Thái Nguyên,7.85,1
2018,Thái Nguyên,7.9,2
2018,Thái Nguyên,7.95,5
2018,Thái Nguyên,8.0,2
2018,Thái Nguyên,8.15,1
2018,Thái Nguyên,8.2,2
2018,Thái Nguyên,8.25,2
2018,Thái Nguyên,8.3,1
2018,Thái Nguyên,8.35,3
2018,Thái Nguyên,8.4,2
2018,Thái Nguyên,8.45,1
2018,Thái Nguyên,8.5,3
2018,Thái Nguyên,8.55,1
2018,Thái Nguyên,8.6,2
2018,Thái Nguyên,8.65,3
2018,Thái Nguyên,8.7,1
2018,Thái Nguyên,8.75,1
2018,Thái Nguyên,8.8,4
2018,Thái Nguyên,8.85,3
2018,Thái Nguyên,8.95,1
2018,Thái Nguyên,9.0,1
2018,Thái Nguyên,9.05,2
2018,Thái Nguyên,9.1,2
2018,Thái Nguyên,9.15,3
2018,Thái Nguyên,9.2,2
2018,Thái Nguyên,9.25,6
2018,Thái Nguyên,9.3,5
2018,Thái Nguyên,9.35,1
2018,Thái Nguyên,9.4,4
2018,Thái Nguyên,9.45,3
2018,Thái Nguyên,9.5,4
2018,Thái Nguyên,9.55,4
2018,Thái Nguyên,9.6,3
2018,Thái Nguyên,9.65,4
2018,Thái Nguyên,9.7,2
2018,Thái Nguyên,9.75,2
2018,Thái Nguyên,9.8,4
2018,Thái Nguyên,9.85,6
2018,Thái Nguyên,9.9,1
2018,Thái Nguyên,9.95,5
2018,Thái Nguyên,10.0,5
2018,Thái Nguyên,10.05,4
2018,Thái Nguyên,10.1,2
2018,Thái Nguyên,10.15,5
2018,Thái Nguyên,10.2,5
2018,Thái Nguyên,10.25,3
2018,Thái Nguyên,10.3,4
2018,Thái Nguyên,10.35,4
2018,Thái Nguyên,10.4,6
2018,Thái Nguyên,10.45,1
2018,Thái Nguyên,10.5,6
2018,Thái Nguyên,10.55,6
2018,Thái Nguyên,10.6,2
2018,Thái Nguyên,10.65,7
2018,Thái Nguyên,10.7,4
2018,Thái Nguyên,10.75,8
2018,Thái Nguyên,10.8,12
2018,Thái Nguyên,10.85,7
2018,Thái Nguyên,10.9,7
2018,Thái Nguyên,10.95,8
2018,Thái Nguyên,11.0,9
2018,Thái Nguyên,11.05,8
2018,Thái Nguyên,11.1,16
2018,Thái Nguyên,11.15,4
2018,Thái Nguyên,11.2,7
2018,Thái Nguyên,11.25,5
2018,Thái Nguyên,11.3,10
2018,Thái Nguyên,11.35,5
2018,Thái Nguyên,11.4,7
2018,Thái Nguyên,11.45,13
2018,Thái Nguyên,11.5,8
2018,Thái Nguyên,11.55,8
2018,Thái Nguyên,11.6,3
2018,Thái Nguyên,11.65,6
2018,Thái Nguyên,11.7,14
2018,Thái Nguyên,11.75,7
2018,Thái Nguyên,11.8,6
2018,Thái Nguyên,11.85,7
2018,Thái Nguyên,11.850000000000001,1
2018,Thái Nguyên,11.9,5
2018,Thái Nguyên,11.95,8
2018,Thái Nguyên,12.0,5
2018,Thái Nguyên,12.05,2
2018,Thái Nguyên,12.1,9
2018,Thái Nguyên,12.15,3
2018,Thái Nguyên,12.2,13
2018,Thái Nguyên,12.25,16
2018,Thái Nguyên,12.3,7
2018,Thái Nguyên,12.35,16
2018,Thái Nguyên,12.4,12
2018,Thái Nguyên,12.45,7
2018,Thái Nguyên,12.5,15
2018,Thái Nguyên,12.55,7
2018,Thái Nguyên,12.6,8
2018,Thái Nguyên,12.65,11
2018,Thái Nguyên,12.7,10
2018,Thái Nguyên,12.75,9
2018,Thái Nguyên,12.8,10
2018,Thái Nguyên,12.85,11
2018,Thái Nguyên,12.9,13
2018,Thái Nguyên,12.95,6
2018,Thái Nguyên,13.0,5
2018,Thái Nguyên,13.05,11
2018,Thái Nguyên,13.1,9
2018,Thái Nguyên,13.15,13
2018,Thái Nguyên,13.2,13
2018,Thái Nguyên,13.25,12
2018,Thái Nguyên,13.3,22
2018,Thái Nguyên,13.35,10
2018,Thái Nguyên,13.4,9
2018,Thái Nguyên,13.45,10
2018,Thái Nguyên,13.5,15
2018,Thái Nguyên,13.55,12
2018,Thái Nguyên,13.6,13
2018,Thái Nguyên,13.65,8
2018,Thái Nguyên,13.7,11
2018,Thái Nguyên,13.75,15
2018,Thái Nguyên,13.8,12
2018,Thái Nguyên,13.85,14
2018,Thái Nguyên,13.9,14
2018,Thái Nguyên,13.95,9
2018,Thái Nguyên,14.0,10
2018,Thái Nguyên,14.05,12
2018,Thái Nguyên,14.1,5
2018,Thái Nguyên,14.15,9
2018,Thái Nguyên,14.2,6
2018,Thái Nguyên,14.25,6
2018,Thái Nguyên,14.3,7
2018,Thái Nguyên,14.35,16
2018,Thái Nguyên,14.350000000000001,1
2018,Thái Nguyên,14.4,10
2018,Thái Nguyên,14.45,13
2018,Thái Nguyên,14.5,9
2018,Thái Nguyên,14.55,13
2018,Thái Nguyên,14.6,11
2018,Thái Nguyên,14.649999999999999,1
2018,Thái Nguyên,14.65,12
2018,Thái Nguyên,14.7,6
2018,Thái Nguyên,14.75,5
2018,Thái Nguyên,14.8,8
2018,Thái Nguyên,14.85,11
2018,Thái Nguyên,14.850000000000001,1
2018,Thái Nguyên,14.9,7
2018,Thái Nguyên,14.95,9
2018,Thái Nguyên,15.0,5
2018,Thái Nguyên,15.05,8
2018,Thái Nguyên,15.1,8
2018,Thái Nguyên,15.15,5
2018,Thái Nguyên,15.2,14
2018,Thái Nguyên,15.25,6
2018,Thái Nguyên,15.3,11
2018,Thái Nguyên,15.35,14
2018,Thái Nguyên,15.350000000000001,2
2018,Thái Nguyên,15.4,8
2018,Thái Nguyên,15.45,7
2018,Thái Nguyên,15.5,11
2018,Thái Nguyên,15.55,10
2018,Thái Nguyên,15.6,7
2018,Thái Nguyên,15.65,6
2018,Thái Nguyên,15.7,13
2018,Thái Nguyên,15.75,9
2018,Thái Nguyên,15.8,11
2018,Thái Nguyên,15.85,8
2018,Thái Nguyên,15.9,11
2018,Thái Nguyên,15.95,9
2018,Thái Nguyên,16.0,10
2018,Thái Nguyên,16.05,5
2018,Thái Nguyên,16.1,8
2018,Thái Nguyên,16.15,9
2018,Thái Nguyên,16.2,10
2018,Thái Nguyên,16.25,9
2018,Thái Nguyên,16.3,15
2018,Thái Nguyên,16.349999999999998,1
2018,Thái Nguyên,16.35,16
2018,Thái Nguyên,16.4,4
2018,Thái Nguyên,16.45,18
2018,Thái Nguyên,16.5,8
2018,Thái Nguyên,16.55,11
2018,Thái Nguyên,16.6,8
2018,Thái Nguyên,16.65,9
2018,Thái Nguyên,16.7,7
2018,Thái Nguyên,16.75,9
2018,Thái Nguyên,16.8,10
2018,Thái Nguyên,16.85,8
2018,Thái Nguyên,16.9,9
2018,Thái Nguyên,16.95,2
2018,Thái Nguyên,17.0,13
2018,Thái Nguyên,17.05,10
2018,Thái Nguyên,17.1,6
2018,Thái Nguyên,17.15,10
2018,Thái Nguyên,17.2,9
2018,Thái Nguyên,17.25,12
2018,Thái Nguyên,17.3,4
2018,Thái Nguyên,17.35,10
2018,Thái Nguyên,17.4,4
2018,Thái Nguyên,17.45,8
2018,Thái Nguyên,17.5,14
2018,Thái Nguyên,17.55,10
2018,Thái Nguyên,17.6,7
2018,Thái Nguyên,17.65,10
2018,Thái Nguyên,17.7,10
2018,Thái Nguyên,17.75,9
2018,Thái Nguyên,17.8,10
2018,Thái Nguyên,17.85,9
2018,Thái Nguyên,17.9,7
2018,Thái Nguyên,17.95,9
2018,Thái Nguyên,18.0,6
2018,Thái Nguyên,18.05,2
2018,Thái Nguyên,18.1,10
2018,Thái Nguyên,18.15,9
2018,Thái Nguyên,18.2,8
2018,Thái Nguyên,18.25,7
2018,Thái Nguyên,18.3,9
2018,Thái Nguyên,18.35,11
2018,Thái Nguyên,18.4,8
2018,Thái Nguyên,18.45,10
2018,Thái Nguyên,18.5,5
2018,Thái Nguyên,18.55,9
2018,Thái Nguyên,18.6,10
2018,Thái Nguyên,18.65,10
2018,Thái Nguyên,18.7,9
2018,Thái Nguyên,18.700000000000003,1
2018,Thái Nguyên,18.75,8
2018,Thái Nguyên,18.799999999999997,1
2018,Thái Nguyên,18.8,12
2018,Thái Nguyên,18.85,10
2018,Thái Nguyên,18.9,6
2018,Thái Nguyên,18.95,11
2018,Thái Nguyên,19.0,7
2018,Thái Nguyên,19.05,10
2018,Thái Nguyên,19.1,12
2018,Thái Nguyên,19.15,9
2018,Thái Nguyên,19.2,9
2018,Thái Nguyên,19.25,11
2018,Thái Nguyên,19.3,11
2018,Thái Nguyên,19.35,15
2018,Thái Nguyên,19.4,7
2018,Thái Nguyên,19.45,11
2018,Thái Nguyên,19.5,8
2018,Thái Nguyên,19.549999999999997,1
2018,Thái Nguyên,19.55,7
2018,Thái Nguyên,19.6,5
2018,Thái Nguyên,19.65,13
2018,Thái Nguyên,19.7,8
2018,Thái Nguyên,19.75,13
2018,Thái Nguyên,19.799999999999997,1
2018,Thái Nguyên,19.8,13
2018,Thái Nguyên,19.85,11
2018,Thái Nguyên,19.9,15
2018,Thái Nguyên,19.95,7
2018,Thái Nguyên,20.0,13
2018,Thái Nguyên,20.05,10
2018,Thái Nguyên,20.1,13
2018,Thái Nguyên,20.15,8
2018,Thái Nguyên,20.2,13
2018,Thái Nguyên,20.25,10
2018,Thái Nguyên,20.299999999999997,1
2018,Thái Nguyên,20.3,8
2018,Thái Nguyên,20.35,14
2018,Thái Nguyên,20.4,21
2018,Thái Nguyên,20.45,14
2018,Thái Nguyên,20.450000000000003,3
2018,Thái Nguyên,20.5,15
