nam_hoc,tinh,tong_diem,so_hoc_sinh
2018,Thanh Hoá,0.0,184
2018,Thanh Hoá,0.75,1
2018,Thanh Hoá,1.0,1
2018,Thanh Hoá,2.4,1
2018,Thanh Hoá,2.6,1
2018,Thanh Hoá,3.4,1
2018,Thanh Hoá,3.5,3
2018,Thanh Hoá,3.6,1
2018,Thanh Hoá,4.0,1
2018,Thanh Hoá,4.1,1
2018,Thanh Hoá,5.0,1
2018,Thanh Hoá,5.15,1
2018,Thanh Hoá,5.199999999999999,1
2018,Thanh Hoá,5.2,1
2018,Thanh Hoá,5.45,1
2018,Thanh Hoá,5.55,1
2018,Thanh Hoá,5.6,1
2018,Thanh Hoá,5.95,1
2018,Thanh Hoá,6.0,2
2018,Thanh Hoá,6.1,1
2018,Thanh Hoá,6.2,3
2018,Thanh Hoá,6.25,1
2018,Thanh Hoá,6.3,1
2018,Thanh Hoá,6.4,2
2018,Thanh Hoá,6.449999999999999,1
2018,Thanh Hoá,6.45,1
2018,Thanh Hoá,6.5,3
2018,Thanh Hoá,6.55,1
2018,Thanh Hoá,6.6,4
2018,Thanh Hoá,6.7,2
2018,Thanh Hoá,6.75,2
2018,Thanh Hoá,6.85,1
2018,Thanh Hoá,6.9,1
2018,Thanh Hoá,6.95,5
2018,Thanh Hoá,7.0,3
2018,Thanh Hoá,7.05,1
2018,Thanh Hoá,7.1,1
2018,Thanh Hoá,7.15,1
2018,Thanh Hoá,7.2,3
2018,Thanh Hoá,7.25,4
2018,Thanh Hoá,7.35,3
2018,Thanh Hoá,7.4,2
2018,Thanh Hoá,7.45,2
2018,Thanh Hoá,7.5,8
2018,Thanh Hoá,7.55,3
2018,Thanh Hoá,7.6,5
2018,Thanh Hoá,7.65,4
2018,Thanh Hoá,7.7,4
2018,Thanh Hoá,7.75,1
2018,Thanh Hoá,7.8,2
2018,Thanh Hoá,7.85,3
2018,Thanh Hoá,7.9,1
2018,Thanh Hoá,7.95,4
2018,Thanh Hoá,8.0,3
2018,Thanh Hoá,8.05,3
2018,Thanh Hoá,8.1,5
2018,Thanh Hoá,8.15,7
2018,Thanh Hoá,8.2,4
2018,Thanh Hoá,8.25,3
2018,Thanh Hoá,8.3,4
2018,Thanh Hoá,8.35,1
2018,Thanh Hoá,8.4,2
2018,Thanh Hoá,8.45,3
2018,Thanh Hoá,8.5,2
2018,Thanh Hoá,8.55,5
2018,Thanh Hoá,8.6,6
2018,Thanh Hoá,8.65,6
2018,Thanh Hoá,8.7,8
2018,Thanh Hoá,8.75,6
2018,Thanh Hoá,8.8,3
2018,Thanh Hoá,8.85,6
2018,Thanh Hoá,8.9,10
2018,Thanh Hoá,8.95,2
2018,Thanh Hoá,9.0,4
2018,Thanh Hoá,9.05,4
2018,Thanh Hoá,9.1,6
2018,Thanh Hoá,9.15,3
2018,Thanh Hoá,9.2,7
2018,Thanh Hoá,9.25,5
2018,Thanh Hoá,9.3,6
2018,Thanh Hoá,9.35,7
2018,Thanh Hoá,9.350000000000001,1
2018,Thanh Hoá,9.4,8
2018,Thanh Hoá,9.45,3
2018,Thanh Hoá,9.5,8
2018,Thanh Hoá,9.55,4
2018,Thanh Hoá,9.6,6
2018,Thanh Hoá,9.65,10
2018,Thanh Hoá,9.7,9
2018,Thanh Hoá,9.75,7
2018,Thanh Hoá,9.8,10
2018,Thanh Hoá,9.85,14
2018,Thanh Hoá,9.9,11
2018,Thanh Hoá,9.95,11
2018,Thanh Hoá,10.0,4
2018,Thanh Hoá,10.05,7
2018,Thanh Hoá,10.1,8
2018,Thanh Hoá,10.15,8
2018,Thanh Hoá,10.2,9
2018,Thanh Hoá,10.25,7
2018,Thanh Hoá,10.3,8
2018,Thanh Hoá,10.35,7
2018,Thanh Hoá,10.4,9
2018,Thanh Hoá,10.45,10
2018,Thanh Hoá,10.5,12
2018,Thanh Hoá,10.55,14
2018,Thanh Hoá,10.6,14
2018,Thanh Hoá,10.65,9
2018,Thanh Hoá,10.7,7
2018,Thanh Hoá,10.75,6
2018,Thanh Hoá,10.8,16
2018,Thanh Hoá,10.85,9
2018,Thanh Hoá,10.9,11
2018,Thanh Hoá,10.95,13
2018,Thanh Hoá,11.0,9
2018,Thanh Hoá,11.05,10
2018,Thanh Hoá,11.1,18
2018,Thanh Hoá,11.15,13
2018,Thanh Hoá,11.2,14
2018,Thanh Hoá,11.25,19
2018,Thanh Hoá,11.3,23
2018,Thanh Hoá,11.35,20
2018,Thanh Hoá,11.4,16
2018,Thanh Hoá,11.45,19
2018,Thanh Hoá,11.5,18
2018,Thanh Hoá,11.55,24
2018,Thanh Hoá,11.6,22
2018,Thanh Hoá,11.65,16
2018,Thanh Hoá,11.7,25
2018,Thanh Hoá,11.75,12
2018,Thanh Hoá,11.780000000000001,1
2018,Thanh Hoá,11.8,16
2018,Thanh Hoá,11.85,23
2018,Thanh Hoá,11.9,21
2018,Thanh Hoá,11.95,9
2018,Thanh Hoá,12.0,25
2018,Thanh Hoá,12.02,1
2018,Thanh Hoá,12.05,21
2018,Thanh Hoá,12.1,21
2018,Thanh Hoá,12.120000000000001,1
2018,Thanh Hoá,12.15,20
2018,Thanh Hoá,12.2,19
2018,Thanh Hoá,12.25,18
2018,Thanh Hoá,12.3,14
2018,Thanh Hoá,12.35,23
2018,Thanh Hoá,12.4,18
2018,Thanh Hoá,12.45,19
2018,Thanh Hoá,12.5,22
2018,Thanh Hoá,12.51,1
2018,Thanh Hoá,12.55,18
2018,Thanh Hoá,12.6,23
2018,Thanh Hoá,12.65,15
2018,Thanh Hoá,12.7,18
2018,Thanh Hoá,12.75,21
2018,Thanh Hoá,12.8,21
2018,Thanh Hoá,12.85,18
2018,Thanh Hoá,12.9,23
2018,Thanh Hoá,12.95,19
2018,Thanh Hoá,13.0,26
2018,Thanh Hoá,13.05,23
2018,Thanh Hoá,13.1,19
2018,Thanh Hoá,13.15,21
2018,Thanh Hoá,13.2,30
2018,Thanh Hoá,13.25,24
2018,Thanh Hoá,13.280000000000001,1
2018,Thanh Hoá,13.3,28
2018,Thanh Hoá,13.33,1
2018,Thanh Hoá,13.35,21
2018,Thanh Hoá,13.4,15
2018,Thanh Hoá,13.45,26
2018,Thanh Hoá,13.5,21
2018,Thanh Hoá,13.55,14
2018,Thanh Hoá,13.6,31
2018,Thanh Hoá,13.600000000000001,1
2018,Thanh Hoá,13.65,28
2018,Thanh Hoá,13.7,30
2018,Thanh Hoá,13.75,18
2018,Thanh Hoá,13.8,18
2018,Thanh Hoá,13.83,1
2018,Thanh Hoá,13.85,19
2018,Thanh Hoá,13.870000000000001,1
2018,Thanh Hoá,13.879999999999999,1
2018,Thanh Hoá,13.9,25
2018,Thanh Hoá,13.95,19
