nam_hoc,tinh,tong_diem,so_hoc_sinh
2018,Tiền Giang,3.5,1
2018,Tiền Giang,5.15,1
2018,Tiền Giang,5.7,1
2018,Tiền Giang,6.0,1
2018,Tiền Giang,6.5,1
2018,Tiền Giang,6.75,1
2018,Tiền Giang,7.050000000000001,1
2018,Tiền Giang,7.15,1
2018,Tiền Giang,7.25,1
2018,Tiền Giang,7.55,1
2018,Tiền Giang,7.6,2
2018,Tiền Giang,7.65,1
2018,Tiền Giang,7.8,1
2018,Tiền Giang,7.85,1
2018,Tiền Giang,7.9,1
2018,Tiền Giang,7.95,2
2018,Tiền Giang,8.0,1
2018,Tiền Giang,8.1,1
2018,Tiền Giang,8.15,2
2018,Tiền Giang,8.2,2
2018,Tiền Giang,8.3,1
2018,Tiền Giang,8.4,1
2018,Tiền Giang,8.5,1
2018,Tiền Giang,8.55,3
2018,Tiền Giang,8.65,2
2018,Tiền Giang,8.7,1
2018,Tiền Giang,8.75,2
2018,Tiền Giang,8.9,1
2018,Tiền Giang,8.95,4
2018,Tiền Giang,9.0,1
2018,Tiền Giang,9.15,1
2018,Tiền Giang,9.2,3
2018,Tiền Giang,9.3,2
2018,Tiền Giang,9.35,1
2018,Tiền Giang,9.4,1
2018,Tiền Giang,9.45,2
2018,Tiền Giang,9.55,1
2018,Tiền Giang,9.65,2
2018,Tiền Giang,9.7,2
2018,Tiền Giang,9.75,1
2018,Tiền Giang,9.8,3
2018,Tiền Giang,9.85,2
2018,Tiền Giang,9.9,1
2018,Tiền Giang,10.0,2
2018,Tiền Giang,10.05,1
2018,Tiền Giang,10.1,3
2018,Tiền Giang,10.15,2
2018,Tiền Giang,10.2,1
2018,Tiền Giang,10.25,1
2018,Tiền Giang,10.4,3
2018,Tiền Giang,10.45,2
2018,Tiền Giang,10.5,2
2018,Tiền Giang,10.55,1
2018,Tiền Giang,10.6,1
2018,Tiền Giang,10.65,1
2018,Tiền Giang,10.7,1
2018,Tiền Giang,10.75,1
2018,Tiền Giang,10.8,1
2018,Tiền Giang,10.85,2
2018,Tiền Giang,10.9,2
2018,Tiền Giang,10.95,2
2018,Tiền Giang,11.0,2
2018,Tiền Giang,11.25,3
2018,Tiền Giang,11.3,3
2018,Tiền Giang,11.35,1
2018,Tiền Giang,11.4,6
2018,Tiền Giang,11.45,3
2018,Tiền Giang,11.5,3
2018,Tiền Giang,11.55,1
2018,Tiền Giang,11.6,3
2018,Tiền Giang,11.65,5
2018,Tiền Giang,11.7,1
2018,Tiền Giang,11.75,1
2018,Tiền Giang,11.8,3
2018,Tiền Giang,11.85,1
2018,Tiền Giang,11.9,2
2018,Tiền Giang,11.95,1
2018,Tiền Giang,12.0,3
2018,Tiền Giang,12.05,4
2018,Tiền Giang,12.1,7
2018,Tiền Giang,12.15,2
