nam_hoc,tinh,tong_diem,so_hoc_sinh
2018,Trà Vinh,4.95,1
2018,Trà Vinh,6.25,1
2018,Trà Vinh,6.55,1
2018,Trà Vinh,6.95,1
2018,Trà Vinh,7.05,1
2018,Trà Vinh,7.2,2
2018,Trà Vinh,7.55,1
2018,Trà Vinh,7.85,1
2018,Trà Vinh,7.9,1
2018,Trà Vinh,7.95,1
2018,Trà Vinh,8.15,1
2018,Trà Vinh,8.25,1
2018,Trà Vinh,8.45,3
2018,Trà Vinh,8.5,1
2018,Trà Vinh,8.6,1
2018,Trà Vinh,8.7,1
2018,Trà Vinh,8.75,1
2018,Trà Vinh,8.8,1
2018,Trà Vinh,8.85,1
2018,Trà Vinh,8.95,3
2018,Trà Vinh,9.0,2
2018,Trà Vinh,9.05,3
2018,Trà Vinh,9.2,3
2018,Trà Vinh,9.25,3
2018,Trà Vinh,9.3,1
2018,Trà Vinh,9.35,2
2018,Trà Vinh,9.4,1
2018,Trà Vinh,9.45,4
2018,Trà Vinh,9.55,1
2018,Trà Vinh,9.6,2
2018,Trà Vinh,9.65,3
2018,Trà Vinh,9.75,2
2018,Trà Vinh,9.8,1
2018,Trà Vinh,9.9,1
2018,Trà Vinh,9.95,3
2018,Trà Vinh,10.0,2
2018,Trà Vinh,10.05,3
2018,Trà Vinh,10.1,2
2018,Trà Vinh,10.15,3
2018,Trà Vinh,10.2,5
2018,Trà Vinh,10.25,2
2018,Trà Vinh,10.3,1
2018,Trà Vinh,10.35,3
2018,Trà Vinh,10.4,2
2018,Trà Vinh,10.5,3
2018,Trà Vinh,10.55,4
2018,Trà Vinh,10.6,3
2018,Trà Vinh,10.65,3
2018,Trà Vinh,10.7,2
2018,Trà Vinh,10.75,2
2018,Trà Vinh,10.8,3
2018,Trà Vinh,10.85,1
2018,Trà Vinh,10.9,6
2018,Trà Vinh,10.95,7
2018,Trà Vinh,11.0,2
2018,Trà Vinh,11.05,5
2018,Trà Vinh,11.1,5
2018,Trà Vinh,11.15,9
2018,Trà Vinh,11.2,5
2018,Trà Vinh,11.25,4
2018,Trà Vinh,11.3,7
2018,Trà Vinh,11.35,4
2018,Trà Vinh,11.4,7
2018,Trà Vinh,11.45,3
2018,Trà Vinh,11.5,3
2018,Trà Vinh,11.55,5
2018,Trà Vinh,11.6,5
2018,Trà Vinh,11.65,6
2018,Trà Vinh,11.7,5
2018,Trà Vinh,11.75,3
2018,Trà Vinh,11.8,4
2018,Trà Vinh,11.85,5
2018,Trà Vinh,11.9,4
2018,Trà Vinh,11.95,7
2018,Trà Vinh,12.0,3
2018,Trà Vinh,12.05,4
2018,Trà Vinh,12.1,4
2018,Trà Vinh,12.15,9
2018,Trà Vinh,12.2,6
2018,Trà Vinh,12.25,7
2018,Trà Vinh,12.3,4
2018,Trà Vinh,12.35,4
2018,Trà Vinh,12.4,12
2018,Trà Vinh,12.45,8
2018,Trà Vinh,12.5,6
2018,Trà Vinh,12.55,8
2018,Trà Vinh,12.6,8
2018,Trà Vinh,12.65,6
2018,Trà Vinh,12.7,2
2018,Trà Vinh,12.75,11
2018,Trà Vinh,12.8,7
2018,Trà Vinh,12.85,7
2018,Trà Vinh,12.9,6
2018,Trà Vinh,12.95,5
2018,Trà Vinh,13.0,11
2018,Trà Vinh,13.05,5
2018,Trà Vinh,13.1,9
2018,Trà Vinh,13.15,3
2018,Trà Vinh,13.2,8
2018,Trà Vinh,13.25,13
2018,Trà Vinh,13.3,7
2018,Trà Vinh,13.35,5
2018,Trà Vinh,13.4,6
2018,Trà Vinh,13.45,7
2018,Trà Vinh,13.5,11
2018,Trà Vinh,13.55,10
2018,Trà Vinh,13.6,9
2018,Trà Vinh,13.65,6
2018,Trà Vinh,13.7,9
2018,Trà Vinh,13.75,9
2018,Trà Vinh,13.8,8
2018,Trà Vinh,13.85,8
2018,Trà Vinh,13.9,4
2018,Trà Vinh,13.95,14
2018,Trà Vinh,14.0,9
2018,Trà Vinh,14.05,6
2018,Trà Vinh,14.1,8
2018,Trà Vinh,14.15,8
2018,Trà Vinh,14.2,5
2018,Trà Vinh,14.25,5
2018,Trà Vinh,14.3,8
2018,Trà Vinh,14.35,8
2018,Trà Vinh,14.4,6
2018,Trà Vinh,14.45,7
2018,Trà Vinh,14.5,16
2018,Trà Vinh,14.55,3
2018,Trà Vinh,14.56,1
2018,Trà Vinh,14.6,8
2018,Trà Vinh,14.65,10
2018,Trà Vinh,14.7,4
2018,Trà Vinh,14.75,6
2018,Trà Vinh,14.8,9
2018,Trà Vinh,14.85,17
2018,Trà Vinh,14.9,4
2018,Trà Vinh,14.95,13
2018,Trà Vinh,15.0,8
2018,Trà Vinh,15.05,8
2018,Trà Vinh,15.1,8
2018,Trà Vinh,15.15,7
2018,Trà Vinh,15.2,4
2018,Trà Vinh,15.25,7
2018,Trà Vinh,15.3,11
2018,Trà Vinh,15.35,15
2018,Trà Vinh,15.379999999999999,1
2018,Trà Vinh,15.4,8
2018,Trà Vinh,15.45,13
2018,Trà Vinh,15.5,7
2018,Trà Vinh,15.55,11
2018,Trà Vinh,15.6,6
2018,Trà Vinh,15.65,16
2018,Trà Vinh,15.7,10
2018,Trà Vinh,15.75,14
2018,Trà Vinh,15.8,10
2018,Trà Vinh,15.85,10
2018,Trà Vinh,15.9,14
2018,Trà Vinh,15.95,2
2018,Trà Vinh,16.0,16
2018,Trà Vinh,16.05,9
2018,Trà Vinh,16.1,11
2018,Trà Vinh,16.13,1
2018,Trà Vinh,16.15,11
2018,Trà Vinh,16.2,5
2018,Trà Vinh,16.21,1
2018,Trà Vinh,16.25,7
2018,Trà Vinh,16.28,1
2018,Trà Vinh,16.3,10
2018,Trà Vinh,16.35,8
2018,Trà Vinh,16.4,5
2018,Trà Vinh,16.45,8
2018,Trà Vinh,16.5,7
2018,Trà Vinh,16.55,10
2018,Trà Vinh,16.560000000000002,1
2018,Trà Vinh,16.6,11
2018,Trà Vinh,16.65,6
2018,Trà Vinh,16.7,10
2018,Trà Vinh,16.75,10
2018,Trà Vinh,16.8,8
2018,Trà Vinh,16.85,9
2018,Trà Vinh,16.9,10
2018,Trà Vinh,16.95,9
2018,Trà Vinh,17.0,9
