nam_hoc,tinh,tong_diem,so_hoc_sinh
2023,Tuyên Quang,2.6,1
2023,Tuyên Quang,4.2,1
2023,Tuyên Quang,5.25,1
2023,Tuyên Quang,6.0,1
2023,Tuyên Quang,6.5,1
2023,Tuyên Quang,7.0,2
2023,Tuyên Quang,7.5,1
2023,Tuyên Quang,8.0,1
2023,Tuyên Quang,8.5,2
2023,Tuyên Quang,8.7,1
2023,Tuyên Quang,9.2,1
2023,Tuyên Quang,9.25,2
2023,Tuyên Quang,9.35,1
2023,Tuyên Quang,9.65,1
2023,Tuyên Quang,9.7,1
2023,Tuyên Quang,10.1,1
2023,Tuyên Quang,10.45,1
2023,Tuyên Quang,10.75,1
2023,Tuyên Quang,11.0,1
2023,Tuyên Quang,11.1,1
2023,Tuyên Quang,11.45,1
2023,Tuyên Quang,11.65,1
2023,Tuyên Quang,11.8,1
2023,Tuyên Quang,11.95,2
2023,Tuyên Quang,12.0,1
2023,Tuyên Quang,12.25,4
2023,Tuyên Quang,12.45,2
2023,Tuyên Quang,12.5,2
2023,Tuyên Quang,12.55,1
2023,Tuyên Quang,12.6,1
2023,Tuyên Quang,12.7,1
2023,Tuyên Quang,12.75,2
2023,Tuyên Quang,12.85,2
2023,Tuyên Quang,12.95,1
2023,Tuyên Quang,13.0,2
2023,Tuyên Quang,13.1,1
2023,Tuyên Quang,13.15,1
2023,Tuyên Quang,13.2,1
2023,Tuyên Quang,13.25,2
2023,Tuyên Quang,13.35,1
2023,Tuyên Quang,13.45,1
2023,Tuyên Quang,13.5,3
2023,Tuyên Quang,13.55,1
2023,Tuyên Quang,13.6,1
2023,Tuyên Quang,13.75,3
2023,Tuyên Quang,13.95,2
2023,Tuyên Quang,14.0,1
2023,Tuyên Quang,14.05,3
2023,Tuyên Quang,14.2,2
2023,Tuyên Quang,14.25,7
2023,Tuyên Quang,14.4,1
2023,Tuyên Quang,14.45,2
2023,Tuyên Quang,14.5,2
2023,Tuyên Quang,14.6,2
2023,Tuyên Quang,14.65,1
2023,Tuyên Quang,14.7,4
2023,Tuyên Quang,14.75,5
2023,Tuyên Quang,14.8,1
2023,Tuyên Quang,14.85,1
2023,Tuyên Quang,14.9,2
2023,Tuyên Quang,15.0,7
2023,Tuyên Quang,15.05,1
2023,Tuyên Quang,15.1,2
2023,Tuyên Quang,15.15,5
2023,Tuyên Quang,15.2,3
2023,Tuyên Quang,15.25,2
2023,Tuyên Quang,15.3,1
2023,Tuyên Quang,15.35,1
2023,Tuyên Quang,15.4,1
2023,Tuyên Quang,15.45,2
2023,Tuyên Quang,15.5,4
2023,Tuyên Quang,15.55,3
2023,Tuyên Quang,15.6,4
2023,Tuyên Quang,15.65,3
2023,Tuyên Quang,15.7,2
2023,Tuyên Quang,15.75,6
2023,Tuyên Quang,15.8,3
2023,Tuyên Quang,15.85,1
2023,Tuyên Quang,15.9,3
2023,Tuyên Quang,15.95,3
2023,Tuyên Quang,16.0,6
2023,Tuyên Quang,16.05,3
2023,Tuyên Quang,16.1,3
2023,Tuyên Quang,16.15,3
2023,Tuyên Quang,16.2,4
2023,Tuyên Quang,16.25,6
2023,Tuyên Quang,16.3,1
2023,Tuyên Quang,16.35,3
2023,Tuyên Quang,16.4,1
2023,Tuyên Quang,16.45,4
2023,Tuyên Quang,16.5,3
2023,Tuyên Quang,16.55,1
2023,Tuyên Quang,16.6,6
2023,Tuyên Quang,16.65,2
2023,Tuyên Quang,16.7,2
2023,Tuyên Quang,16.75,7
2023,Tuyên Quang,16.8,1
2023,Tuyên Quang,16.85,1
2023,Tuyên Quang,16.9,4
2023,Tuyên Quang,16.95,3
2023,Tuyên Quang,17.0,4
2023,Tuyên Quang,17.05,2
2023,Tuyên Quang,17.1,4
2023,Tuyên Quang,17.15,5
2023,Tuyên Quang,17.2,3
2023,Tuyên Quang,17.25,4
2023,Tuyên Quang,17.3,4
2023,Tuyên Quang,17.35,1
2023,Tuyên Quang,17.4,1
2023,Tuyên Quang,17.45,3
2023,Tuyên Quang,17.5,2
2023,Tuyên Quang,17.55,1
2023,Tuyên Quang,17.6,1
2023,Tuyên Quang,17.65,5
2023,Tuyên Quang,17.7,3
2023,Tuyên Quang,17.75,10
2023,Tuyên Quang,17.8,3
2023,Tuyên Quang,17.85,2
2023,Tuyên Quang,17.9,1
2023,Tuyên Quang,18.0,5
2023,Tuyên Quang,18.05,4
2023,Tuyên Quang,18.1,5
2023,Tuyên Quang,18.15,7
2023,Tuyên Quang,18.2,1
2023,Tuyên Quang,18.25,6
2023,Tuyên Quang,18.3,2
2023,Tuyên Quang,18.35,3
2023,Tuyên Quang,18.4,3
2023,Tuyên Quang,18.45,4
2023,Tuyên Quang,18.5,10
2023,Tuyên Quang,18.55,2
2023,Tuyên Quang,18.6,3
2023,Tuyên Quang,18.65,3
2023,Tuyên Quang,18.7,3
2023,Tuyên Quang,18.75,7
2023,Tuyên Quang,18.8,1
2023,Tuyên Quang,18.9,5
2023,Tuyên Quang,18.95,6
2023,Tuyên Quang,19.0,4
2023,Tuyên Quang,19.05,2
2023,Tuyên Quang,19.1,4
2023,Tuyên Quang,19.15,1
2023,Tuyên Quang,19.25,10
2023,Tuyên Quang,19.3,2
2023,Tuyên Quang,19.35,1
2023,Tuyên Quang,19.4,2
2023,Tuyên Quang,19.45,2
2023,Tuyên Quang,19.5,11
2023,Tuyên Quang,19.55,2
2023,Tuyên Quang,19.6,3
2023,Tuyên Quang,19.65,6
2023,Tuyên Quang,19.7,1
2023,Tuyên Quang,19.75,7
2023,Tuyên Quang,19.8,2
2023,Tuyên Quang,19.85,1
2023,Tuyên Quang,19.9,5
2023,Tuyên Quang,19.95,2
2023,Tuyên Quang,20.0,6
2023,Tuyên Quang,20.05,5
2023,Tuyên Quang,20.1,3
2023,Tuyên Quang,20.15,4
2023,Tuyên Quang,20.2,6
2023,Tuyên Quang,20.25,6
2023,Tuyên Quang,20.3,1
2023,Tuyên Quang,20.35,4
2023,Tuyên Quang,20.4,3
2023,Tuyên Quang,20.45,4
2023,Tuyên Quang,20.5,9
2023,Tuyên Quang,20.55,2
2023,Tuyên Quang,20.6,5
2023,Tuyên Quang,20.65,4
2023,Tuyên Quang,20.7,1
2023,Tuyên Quang,20.75,4
2023,Tuyên Quang,20.8,3
