nam_hoc,tinh,tong_diem,so_hoc_sinh
2023,Vĩnh Long,5.0,1
2023,Vĩnh Long,5.4,1
2023,Vĩnh Long,6.5,2
2023,Vĩnh Long,8.0,1
2023,Vĩnh Long,9.9,1
2023,Vĩnh Long,9.95,1
2023,Vĩnh Long,10.25,1
2023,Vĩnh Long,10.3,1
2023,Vĩnh Long,10.85,2
2023,Vĩnh Long,10.95,1
2023,Vĩnh Long,11.3,1
2023,Vĩnh Long,11.5,3
2023,Vĩnh Long,11.6,1
2023,Vĩnh Long,11.65,1
2023,Vĩnh Long,11.9,1
2023,Vĩnh Long,11.95,1
2023,Vĩnh Long,12.15,2
2023,Vĩnh Long,12.2,1
2023,Vĩnh Long,12.4,1
2023,Vĩnh Long,12.45,1
2023,Vĩnh Long,12.5,2
2023,Vĩnh Long,12.65,2
2023,Vĩnh Long,12.8,1
2023,Vĩnh Long,12.85,2
2023,Vĩnh Long,13.0,2
2023,Vĩnh Long,13.1,1
2023,Vĩnh Long,13.35,2
2023,Vĩnh Long,13.5,4
2023,Vĩnh Long,13.55,1
2023,Vĩnh Long,13.7,1
2023,Vĩnh Long,13.75,2
2023,Vĩnh Long,13.8,1
2023,Vĩnh Long,13.95,1
2023,Vĩnh Long,14.0,1
2023,Vĩnh Long,14.1,1
2023,Vĩnh Long,14.2,1
2023,Vĩnh Long,14.25,3
2023,Vĩnh Long,14.3,2
2023,Vĩnh Long,14.45,3
2023,Vĩnh Long,14.5,2
2023,Vĩnh Long,14.55,2
2023,Vĩnh Long,14.65,1
2023,Vĩnh Long,14.75,3
2023,Vĩnh Long,14.8,1
2023,Vĩnh Long,14.85,3
2023,Vĩnh Long,14.9,1
2023,Vĩnh Long,14.95,1
2023,Vĩnh Long,15.0,4
2023,Vĩnh Long,15.05,1
2023,Vĩnh Long,15.1,1
2023,Vĩnh Long,15.15,2
2023,Vĩnh Long,15.2,1
2023,Vĩnh Long,15.200000000000001,1
2023,Vĩnh Long,15.25,4
2023,Vĩnh Long,15.35,2
2023,Vĩnh Long,15.4,1
2023,Vĩnh Long,15.5,6
2023,Vĩnh Long,15.6,1
2023,Vĩnh Long,15.65,3
2023,Vĩnh Long,15.7,1
2023,Vĩnh Long,15.75,6
2023,Vĩnh Long,15.8,3
2023,Vĩnh Long,15.85,1
2023,Vĩnh Long,15.9,2
2023,Vĩnh Long,15.95,2
