nam_hoc,tinh,tong_diem,so_hoc_sinh
2018,Vĩnh Phúc,3.65,1
2018,Vĩnh Phúc,3.8,1
2018,Vĩnh Phúc,3.85,1
2018,Vĩnh Phúc,5.25,1
2018,Vĩnh Phúc,5.3,1
2018,Vĩnh Phúc,5.45,1
2018,Vĩnh Phúc,5.55,2
2018,Vĩnh Phúc,5.6,1
2018,Vĩnh Phúc,5.75,1
2018,Vĩnh Phúc,5.8,1
2018,Vĩnh Phúc,5.85,1
2018,Vĩnh Phúc,5.9,1
2018,Vĩnh Phúc,6.25,1
2018,Vĩnh Phúc,6.3,1
2018,Vĩnh Phúc,6.35,1
2018,Vĩnh Phúc,6.4,1
2018,Vĩnh Phúc,6.45,2
2018,Vĩnh Phúc,6.5,2
2018,Vĩnh Phúc,6.6,2
2018,Vĩnh Phúc,6.65,1
2018,Vĩnh Phúc,6.7,2
2018,Vĩnh Phúc,6.75,3
2018,Vĩnh Phúc,6.8,1
2018,Vĩnh Phúc,6.85,1
2018,Vĩnh Phúc,6.8999999999999995,1
2018,Vĩnh Phúc,6.9,2
2018,Vĩnh Phúc,6.95,3
2018,Vĩnh Phúc,7.0,1
2018,Vĩnh Phúc,7.05,3
2018,Vĩnh Phúc,7.1,2
2018,Vĩnh Phúc,7.2,2
2018,Vĩnh Phúc,7.25,3
2018,Vĩnh Phúc,7.5,1
2018,Vĩnh Phúc,7.55,1
2018,Vĩnh Phúc,7.6,3
2018,Vĩnh Phúc,7.65,1
2018,Vĩnh Phúc,7.7,2
2018,Vĩnh Phúc,7.75,1
2018,Vĩnh Phúc,7.8,2
2018,Vĩnh Phúc,7.9,1
2018,Vĩnh Phúc,7.95,4
2018,Vĩnh Phúc,8.0,2
2018,Vĩnh Phúc,8.05,1
2018,Vĩnh Phúc,8.1,2
2018,Vĩnh Phúc,8.15,4
2018,Vĩnh Phúc,8.2,2
2018,Vĩnh Phúc,8.25,1
2018,Vĩnh Phúc,8.3,3
2018,Vĩnh Phúc,8.35,5
2018,Vĩnh Phúc,8.4,1
2018,Vĩnh Phúc,8.45,3
2018,Vĩnh Phúc,8.5,2
2018,Vĩnh Phúc,8.55,1
2018,Vĩnh Phúc,8.6,5
2018,Vĩnh Phúc,8.65,2
2018,Vĩnh Phúc,8.7,5
2018,Vĩnh Phúc,8.75,1
2018,Vĩnh Phúc,8.8,3
2018,Vĩnh Phúc,8.85,5
2018,Vĩnh Phúc,8.9,3
2018,Vĩnh Phúc,8.95,3
2018,Vĩnh Phúc,9.0,4
2018,Vĩnh Phúc,9.05,4
2018,Vĩnh Phúc,9.1,3
2018,Vĩnh Phúc,9.15,2
2018,Vĩnh Phúc,9.2,5
2018,Vĩnh Phúc,9.25,1
2018,Vĩnh Phúc,9.3,3
2018,Vĩnh Phúc,9.35,5
2018,Vĩnh Phúc,9.4,4
2018,Vĩnh Phúc,9.45,4
2018,Vĩnh Phúc,9.5,4
2018,Vĩnh Phúc,9.55,2
2018,Vĩnh Phúc,9.6,6
2018,Vĩnh Phúc,9.65,4
2018,Vĩnh Phúc,9.7,7
2018,Vĩnh Phúc,9.75,6
