nam_hoc,tinh,tong_diem,so_hoc_sinh
2023,Vũng Tàu,2.0,1
2023,Vũng Tàu,4.5,1
2023,Vũng Tàu,6.25,1
2023,Vũng Tàu,7.0,1
2023,Vũng Tàu,7.5,1
2023,Vũng Tàu,8.5,1
2023,Vũng Tàu,8.65,1
2023,Vũng Tàu,8.75,1
2023,Vũng Tàu,9.8,1
2023,Vũng Tàu,10.0,2
2023,Vũng Tàu,10.25,1
2023,Vũng Tàu,10.45,1
2023,Vũng Tàu,10.85,1
2023,Vũng Tàu,11.0,2
2023,Vũng Tàu,11.4,1
2023,Vũng Tàu,11.45,1
2023,Vũng Tàu,11.75,2
2023,Vũng Tàu,12.0,1
2023,Vũng Tàu,12.05,1
2023,Vũng Tàu,12.2,1
2023,Vũng Tàu,12.25,1
2023,Vũng Tàu,12.4,1
2023,Vũng Tàu,12.45,1
2023,Vũng Tàu,12.5,2
2023,Vũng Tàu,12.7,1
2023,Vũng Tàu,12.75,1
2023,Vũng Tàu,12.8,1
2023,Vũng Tàu,12.9,2
2023,Vũng Tàu,12.95,1
2023,Vũng Tàu,13.0,3
2023,Vũng Tàu,13.05,1
2023,Vũng Tàu,13.1,1
2023,Vũng Tàu,13.15,1
2023,Vũng Tàu,13.25,1
2023,Vũng Tàu,13.3,2
2023,Vũng Tàu,13.4,2
2023,Vũng Tàu,13.45,1
2023,Vũng Tàu,13.5,2
2023,Vũng Tàu,13.55,2
2023,Vũng Tàu,13.6,2
2023,Vũng Tàu,13.65,4
2023,Vũng Tàu,13.7,2
2023,Vũng Tàu,13.75,5
2023,Vũng Tàu,13.85,2
2023,Vũng Tàu,13.9,1
2023,Vũng Tàu,13.95,2
2023,Vũng Tàu,14.0,3
2023,Vũng Tàu,14.1,2
2023,Vũng Tàu,14.2,4
2023,Vũng Tàu,14.25,4
2023,Vũng Tàu,14.3,1
2023,Vũng Tàu,14.35,1
2023,Vũng Tàu,14.45,1
2023,Vũng Tàu,14.5,9
2023,Vũng Tàu,14.55,1
2023,Vũng Tàu,14.6,1
2023,Vũng Tàu,14.65,3
2023,Vũng Tàu,14.7,1
2023,Vũng Tàu,14.75,7
2023,Vũng Tàu,14.8,1
2023,Vũng Tàu,14.85,2
2023,Vũng Tàu,14.9,5
2023,Vũng Tàu,14.95,2
2023,Vũng Tàu,15.0,14
2023,Vũng Tàu,15.05,1
2023,Vũng Tàu,15.1,1
2023,Vũng Tàu,15.15,3
2023,Vũng Tàu,15.2,1
2023,Vũng Tàu,15.25,3
2023,Vũng Tàu,15.3,2
2023,Vũng Tàu,15.4,1
2023,Vũng Tàu,15.5,7
2023,Vũng Tàu,15.55,6
2023,Vũng Tàu,15.65,2
2023,Vũng Tàu,15.7,3
2023,Vũng Tàu,15.8,4
2023,Vũng Tàu,15.850000000000001,1
2023,Vũng Tàu,15.9,4
2023,Vũng Tàu,15.95,2
2023,Vũng Tàu,16.0,4
2023,Vũng Tàu,16.05,3
2023,Vũng Tàu,16.1,5
2023,Vũng Tàu,16.15,8
2023,Vũng Tàu,16.2,4
2023,Vũng Tàu,16.25,7
2023,Vũng Tàu,16.3,2
2023,Vũng Tàu,16.35,6
2023,Vũng Tàu,16.4,5
2023,Vũng Tàu,16.45,5
2023,Vũng Tàu,16.5,7
2023,Vũng Tàu,16.55,4
2023,Vũng Tàu,16.6,3
2023,Vũng Tàu,16.65,9
2023,Vũng Tàu,16.7,4
2023,Vũng Tàu,16.75,7
2023,Vũng Tàu,16.8,3
2023,Vũng Tàu,16.85,5
2023,Vũng Tàu,16.9,3
2023,Vũng Tàu,16.95,1
2023,Vũng Tàu,17.0,4
2023,Vũng Tàu,17.05,10
2023,Vũng Tàu,17.1,5
2023,Vũng Tàu,17.15,2
2023,Vũng Tàu,17.2,4
2023,Vũng Tàu,17.25,6
2023,Vũng Tàu,17.3,7
2023,Vũng Tàu,17.35,7
2023,Vũng Tàu,17.4,5
2023,Vũng Tàu,17.45,5
2023,Vũng Tàu,17.5,8
2023,Vũng Tàu,17.55,3
2023,Vũng Tàu,17.6,4
2023,Vũng Tàu,17.65,3
2023,Vũng Tàu,17.7,3
2023,Vũng Tàu,17.75,12
2023,Vũng Tàu,17.8,3
2023,Vũng Tàu,17.85,7
2023,Vũng Tàu,17.9,5
2023,Vũng Tàu,17.95,9
2023,Vũng Tàu,18.0,6
2023,Vũng Tàu,18.05,5
2023,Vũng Tàu,18.1,8
2023,Vũng Tàu,18.15,5
2023,Vũng Tàu,18.2,3
2023,Vũng Tàu,18.25,8
2023,Vũng Tàu,18.3,7
2023,Vũng Tàu,18.35,6
