nam_hoc,tinh,tong_diem,so_hoc_sinh
2023,Yên Bái,6.0,1
2023,Yên Bái,6.6,1
2023,Yên Bái,7.2,1
2023,Yên Bái,7.5,1
2023,Yên Bái,8.0,2
2023,Yên Bái,8.5,2
2023,Yên Bái,10.25,3
2023,Yên Bái,10.5,1
2023,Yên Bái,10.6,2
2023,Yên Bái,10.7,1
2023,Yên Bái,10.75,2
2023,Yên Bái,10.85,2
2023,Yên Bái,11.2,1
2023,Yên Bái,11.25,2
2023,Yên Bái,11.5,1
2023,Yên Bái,11.6,1
2023,Yên Bái,11.75,2
2023,Yên Bái,11.8,1
2023,Yên Bái,11.85,1
2023,Yên Bái,11.95,2
2023,Yên Bái,12.0,1
2023,Yên Bái,12.05,1
2023,Yên Bái,12.1,3
2023,Yên Bái,12.15,2
2023,Yên Bái,12.25,4
2023,Yên Bái,12.3,1
2023,Yên Bái,12.35,2
2023,Yên Bái,12.4,1
2023,Yên Bái,12.45,1
2023,Yên Bái,12.5,4
2023,Yên Bái,12.55,1
2023,Yên Bái,12.75,2
2023,Yên Bái,12.8,3
2023,Yên Bái,12.85,3
2023,Yên Bái,12.9,3
2023,Yên Bái,12.95,1
2023,Yên Bái,13.0,3
2023,Yên Bái,13.05,1
2023,Yên Bái,13.1,2
2023,Yên Bái,13.15,1
2023,Yên Bái,13.2,2
2023,Yên Bái,13.25,4
2023,Yên Bái,13.3,3
2023,Yên Bái,13.35,1
2023,Yên Bái,13.4,2
2023,Yên Bái,13.5,4
2023,Yên Bái,13.55,1
2023,Yên Bái,13.6,2
2023,Yên Bái,13.7,3
2023,Yên Bái,13.75,10
2023,Yên Bái,13.85,2
2023,Yên Bái,13.95,1
2023,Yên Bái,14.0,5
2023,Yên Bái,14.1,2
2023,Yên Bái,14.15,2
2023,Yên Bái,14.2,4
2023,Yên Bái,14.25,10
2023,Yên Bái,14.3,2
2023,Yên Bái,14.35,1
2023,Yên Bái,14.4,1
2023,Yên Bái,14.45,2
2023,Yên Bái,14.5,4
2023,Yên Bái,14.55,4
2023,Yên Bái,14.6,3
2023,Yên Bái,14.65,4
2023,Yên Bái,14.7,2
2023,Yên Bái,14.75,1
2023,Yên Bái,14.8,4
2023,Yên Bái,14.85,3
2023,Yên Bái,14.9,5
2023,Yên Bái,14.95,1
2023,Yên Bái,15.0,14
2023,Yên Bái,15.05,3
2023,Yên Bái,15.1,2
2023,Yên Bái,15.15,3
2023,Yên Bái,15.2,1
2023,Yên Bái,15.25,4
2023,Yên Bái,15.3,2
2023,Yên Bái,15.4,3
2023,Yên Bái,15.45,5
2023,Yên Bái,15.5,7
2023,Yên Bái,15.55,5
2023,Yên Bái,15.6,3
2023,Yên Bái,15.65,7
2023,Yên Bái,15.7,2
2023,Yên Bái,15.75,8
2023,Yên Bái,15.85,4
2023,Yên Bái,15.9,1
2023,Yên Bái,15.95,5
2023,Yên Bái,16.0,8
2023,Yên Bái,16.05,2
2023,Yên Bái,16.1,5
2023,Yên Bái,16.15,1
2023,Yên Bái,16.2,5
2023,Yên Bái,16.25,16
2023,Yên Bái,16.3,1
2023,Yên Bái,16.35,1
2023,Yên Bái,16.4,7
2023,Yên Bái,16.45,5
2023,Yên Bái,16.5,11
2023,Yên Bái,16.55,5
2023,Yên Bái,16.6,7
2023,Yên Bái,16.65,4
2023,Yên Bái,16.7,4
2023,Yên Bái,16.75,5
2023,Yên Bái,16.8,2
2023,Yên Bái,16.85,5
2023,Yên Bái,16.9,7
2023,Yên Bái,16.95,6
2023,Yên Bái,17.0,3
2023,Yên Bái,17.05,7
2023,Yên Bái,17.1,7
2023,Yên Bái,17.15,5
2023,Yên Bái,17.2,6
2023,Yên Bái,17.25,10
2023,Yên Bái,17.3,2
2023,Yên Bái,17.35,3
2023,Yên Bái,17.4,8
2023,Yên Bái,17.45,7
2023,Yên Bái,17.5,6
2023,Yên Bái,17.55,5
2023,Yên Bái,17.6,9
2023,Yên Bái,17.65,6
2023,Yên Bái,17.7,7
2023,Yên Bái,17.75,8
2023,Yên Bái,17.8,7
2023,Yên Bái,17.85,4
2023,Yên Bái,17.9,8
2023,Yên Bái,17.95,5
2023,Yên Bái,18.0,6
2023,Yên Bái,18.05,3
2023,Yên Bái,18.1,9
2023,Yên Bái,18.15,5
2023,Yên Bái,18.2,5
2023,Yên Bái,18.25,10
2023,Yên Bái,18.3,5
2023,Yên Bái,18.35,6
2023,Yên Bái,18.4,8
2023,Yên Bái,18.45,2
2023,Yên Bái,18.5,13
2023,Yên Bái,18.55,4
2023,Yên Bái,18.6,12
2023,Yên Bái,18.65,6
2023,Yên Bái,18.7,5
2023,Yên Bái,18.75,9
2023,Yên Bái,18.8,8
2023,Yên Bái,18.85,9
2023,Yên Bái,18.9,8
2023,Yên Bái,18.95,6
2023,Yên Bái,19.0,11
2023,Yên Bái,19.05,5
2023,Yên Bái,19.1,11
2023,Yên Bái,19.15,8
2023,Yên Bái,19.2,5
2023,Yên Bái,19.25,16
2023,Yên Bái,19.299999999999997,1
2023,Yên Bái,19.3,10
2023,Yên Bái,19.35,12
2023,Yên Bái,19.4,3
2023,Yên Bái,19.45,4
2023,Yên Bái,19.5,9
2023,Yên Bái,19.55,8
2023,Yên Bái,19.6,7
2023,Yên Bái,19.65,4
2023,Yên Bái,19.7,5
2023,Yên Bái,19.75,11
2023,Yên Bái,19.8,9
2023,Yên Bái,19.85,8
2023,Yên Bái,19.9,9
2023,Yên Bái,19.95,9
2023,Yên Bái,20.0,9
2023,Yên Bái,20.05,9
2023,Yên Bái,20.1,6
2023,Yên Bái,20.15,14
2023,Yên Bái,20.2,5
2023,Yên Bái,20.25,12
2023,Yên Bái,20.35,5
2023,Yên Bái,20.4,6
2023,Yên Bái,20.45,3
2023,Yên Bái,20.5,12
2023,Yên Bái,20.55,7
2023,Yên Bái,20.6,4
2023,Yên Bái,20.65,8
2023,Yên Bái,20.7,10
2023,Yên Bái,20.75,5
2023,Yên Bái,20.8,14
2023,Yên Bái,20.85,9
2023,Yên Bái,20.9,8
2023,Yên Bái,20.95,6
2023,Yên Bái,21.0,4
2023,Yên Bái,21.05,8
2023,Yên Bái,21.1,11
2023,Yên Bái,21.15,11
2023,Yên Bái,21.2,8
2023,Yên Bái,21.25,10
2023,Yên Bái,21.3,8
2023,Yên Bái,21.35,7
2023,Yên Bái,21.4,7
2023,Yên Bái,21.45,2
2023,Yên Bái,21.450000000000003,1
2023,Yên Bái,21.5,12
2023,Yên Bái,21.55,8
2023,Yên Bái,21.6,8
2023,Yên Bái,21.65,5
2023,Yên Bái,21.7,2
2023,Yên Bái,21.75,10
2023,Yên Bái,21.8,14
2023,Yên Bái,21.85,8
2023,Yên Bái,21.9,10
2023,Yên Bái,21.95,8
2023,Yên Bái,22.0,8
2023,Yên Bái,22.049999999999997,1
2023,Yên Bái,22.05,10
2023,Yên Bái,22.1,4
2023,Yên Bái,22.15,7
2023,Yên Bái,22.2,4
2023,Yên Bái,22.200000000000003,1
2023,Yên Bái,22.25,16
2023,Yên Bái,22.3,4
2023,Yên Bái,22.35,5
2023,Yên Bái,22.4,3
2023,Yên Bái,22.45,9
2023,Yên Bái,22.450000000000003,1
2023,Yên Bái,22.5,9
2023,Yên Bái,22.55,6
2023,Yên Bái,22.6,9
2023,Yên Bái,22.65,10
2023,Yên Bái,22.7,4
2023,Yên Bái,22.700000000000003,1
2023,Yên Bái,22.75,10
