nam_hoc,tinh,tong_diem,so_hoc_sinh
2023,Đà Nẵng,0.0,2
2023,Đà Nẵng,2.75,1
2023,Đà Nẵng,3.2,1
2023,Đà Nẵng,3.25,1
2023,Đà Nẵng,3.4,1
2023,Đà Nẵng,3.5,1
2023,Đà Nẵng,4.2,1
2023,Đà Nẵng,4.45,1
2023,Đà Nẵng,4.5,1
2023,Đà Nẵng,4.6,1
2023,Đà Nẵng,4.65,1
2023,Đà Nẵng,4.9,1
2023,Đà Nẵng,5.0,1
2023,Đà Nẵng,5.25,1
2023,Đà Nẵng,5.4,1
2023,Đà Nẵng,5.8,1
2023,Đà Nẵng,6.0,3
2023,Đà Nẵng,6.1,1
2023,Đà Nẵng,6.2,1
2023,Đà Nẵng,6.35,1
2023,Đà Nẵng,6.5,1
2023,Đà Nẵng,6.6,1
2023,Đà Nẵng,7.2,1
2023,Đà Nẵng,7.25,1
2023,Đà Nẵng,7.55,1
2023,Đà Nẵng,7.6,1
2023,Đà Nẵng,7.65,1
2023,Đà Nẵng,7.75,1
2023,Đà Nẵng,7.95,1
2023,Đà Nẵng,8.05,1
2023,Đà Nẵng,8.25,1
2023,Đà Nẵng,8.35,2
2023,Đà Nẵng,8.45,1
2023,Đà Nẵng,8.5,2
2023,Đà Nẵng,8.55,1
2023,Đà Nẵng,8.75,2
2023,Đà Nẵng,8.9,1
2023,Đà Nẵng,8.95,2
2023,Đà Nẵng,9.0,5
2023,Đà Nẵng,9.25,5
2023,Đà Nẵng,9.35,2
2023,Đà Nẵng,9.5,2
2023,Đà Nẵng,9.55,3
2023,Đà Nẵng,9.6,1
2023,Đà Nẵng,9.65,1
2023,Đà Nẵng,9.7,2
2023,Đà Nẵng,9.75,1
2023,Đà Nẵng,9.8,1
2023,Đà Nẵng,9.85,1
2023,Đà Nẵng,9.9,2
2023,Đà Nẵng,9.95,1
2023,Đà Nẵng,10.0,2
2023,Đà Nẵng,10.05,1
2023,Đà Nẵng,10.1,2
2023,Đà Nẵng,10.15,3
2023,Đà Nẵng,10.2,1
2023,Đà Nẵng,10.25,3
2023,Đà Nẵng,10.35,2
2023,Đà Nẵng,10.45,3
2023,Đà Nẵng,10.5,8
2023,Đà Nẵng,10.55,1
2023,Đà Nẵng,10.6,3
2023,Đà Nẵng,10.75,3
2023,Đà Nẵng,10.8,4
2023,Đà Nẵng,10.85,7
2023,Đà Nẵng,10.9,2
2023,Đà Nẵng,10.95,2
2023,Đà Nẵng,11.0,8
2023,Đà Nẵng,11.05,2
2023,Đà Nẵng,11.1,2
2023,Đà Nẵng,11.15,1
2023,Đà Nẵng,11.2,3
2023,Đà Nẵng,11.25,3
2023,Đà Nẵng,11.3,2
