nam_hoc,tinh,tong_diem,so_hoc_sinh
2018,Đắk Lắk,0.25,1
2018,Đắk Lắk,1.5,1
2018,Đắk Lắk,2.5,1
2018,Đắk Lắk,2.75,1
2018,Đắk Lắk,3.25,1
2018,Đắk Lắk,4.05,1
2018,Đắk Lắk,4.35,1
2018,Đắk Lắk,4.6,1
2018,Đắk Lắk,4.9,2
2018,Đắk Lắk,5.2,1
2018,Đắk Lắk,5.25,1
2018,Đắk Lắk,5.45,1
2018,Đắk Lắk,5.5,1
2018,Đắk Lắk,5.75,2
2018,Đắk Lắk,5.85,2
2018,Đắk Lắk,5.9,2
2018,Đắk Lắk,6.05,1
2018,Đắk Lắk,6.1,2
2018,Đắk Lắk,6.15,1
2018,Đắk Lắk,6.25,1
2018,Đắk Lắk,6.3,1
2018,Đắk Lắk,6.35,2
2018,Đắk Lắk,6.45,1
2018,Đắk Lắk,6.5,4
2018,Đắk Lắk,6.55,2
2018,Đắk Lắk,6.65,2
2018,Đắk Lắk,6.95,4
2018,Đắk Lắk,7.0,1
2018,Đắk Lắk,7.05,4
2018,Đắk Lắk,7.050000000000001,1
2018,Đắk Lắk,7.1,1
2018,Đắk Lắk,7.15,1
2018,Đắk Lắk,7.2,5
2018,Đắk Lắk,7.25,4
2018,Đắk Lắk,7.3,2
2018,Đắk Lắk,7.35,3
2018,Đắk Lắk,7.4,2
2018,Đắk Lắk,7.45,5
2018,Đắk Lắk,7.5,1
2018,Đắk Lắk,7.55,2
2018,Đắk Lắk,7.6,1
2018,Đắk Lắk,7.65,3
2018,Đắk Lắk,7.7,1
2018,Đắk Lắk,7.75,4
2018,Đắk Lắk,7.8,1
2018,Đắk Lắk,7.800000000000001,1
2018,Đắk Lắk,7.85,3
2018,Đắk Lắk,7.8500000000000005,1
2018,Đắk Lắk,7.9,5
2018,Đắk Lắk,7.95,2
2018,Đắk Lắk,8.0,2
2018,Đắk Lắk,8.05,5
2018,Đắk Lắk,8.1,5
2018,Đắk Lắk,8.15,3
2018,Đắk Lắk,8.2,2
2018,Đắk Lắk,8.25,4
2018,Đắk Lắk,8.3,6
2018,Đắk Lắk,8.35,6
2018,Đắk Lắk,8.4,1
2018,Đắk Lắk,8.45,5
2018,Đắk Lắk,8.5,5
2018,Đắk Lắk,8.55,3
2018,Đắk Lắk,8.6,3
2018,Đắk Lắk,8.65,2
2018,Đắk Lắk,8.7,6
2018,Đắk Lắk,8.75,7
2018,Đắk Lắk,8.8,7
2018,Đắk Lắk,8.85,5
2018,Đắk Lắk,8.9,6
2018,Đắk Lắk,8.95,5
2018,Đắk Lắk,9.0,2
2018,Đắk Lắk,9.05,5
2018,Đắk Lắk,9.1,5
2018,Đắk Lắk,9.129999999999999,1
2018,Đắk Lắk,9.15,6
2018,Đắk Lắk,9.2,5
2018,Đắk Lắk,9.25,8
2018,Đắk Lắk,9.3,5
2018,Đắk Lắk,9.35,8
2018,Đắk Lắk,9.4,6
2018,Đắk Lắk,9.45,4
2018,Đắk Lắk,9.5,8
2018,Đắk Lắk,9.55,6
2018,Đắk Lắk,9.6,7
2018,Đắk Lắk,9.65,10
2018,Đắk Lắk,9.7,4
2018,Đắk Lắk,9.75,5
2018,Đắk Lắk,9.8,4
2018,Đắk Lắk,9.85,7
2018,Đắk Lắk,9.9,3
2018,Đắk Lắk,9.95,6
2018,Đắk Lắk,10.0,10
2018,Đắk Lắk,10.05,12
2018,Đắk Lắk,10.1,8
2018,Đắk Lắk,10.15,9
2018,Đắk Lắk,10.17,1
2018,Đắk Lắk,10.2,10
2018,Đắk Lắk,10.25,4
2018,Đắk Lắk,10.3,9
2018,Đắk Lắk,10.35,13
2018,Đắk Lắk,10.4,9
2018,Đắk Lắk,10.45,7
2018,Đắk Lắk,10.5,14
2018,Đắk Lắk,10.55,10
2018,Đắk Lắk,10.6,6
2018,Đắk Lắk,10.65,11
2018,Đắk Lắk,10.7,10
2018,Đắk Lắk,10.75,12
2018,Đắk Lắk,10.8,8
2018,Đắk Lắk,10.83,1
2018,Đắk Lắk,10.85,7
2018,Đắk Lắk,10.9,6
2018,Đắk Lắk,10.95,12
2018,Đắk Lắk,11.0,8
2018,Đắk Lắk,11.05,11
2018,Đắk Lắk,11.1,11
2018,Đắk Lắk,11.15,10
2018,Đắk Lắk,11.2,6
2018,Đắk Lắk,11.25,11
2018,Đắk Lắk,11.3,11
2018,Đắk Lắk,11.35,14
2018,Đắk Lắk,11.399999999999999,1
2018,Đắk Lắk,11.4,11
2018,Đắk Lắk,11.45,7
2018,Đắk Lắk,11.5,10
2018,Đắk Lắk,11.55,13
2018,Đắk Lắk,11.6,18
2018,Đắk Lắk,11.65,7
2018,Đắk Lắk,11.7,12
2018,Đắk Lắk,11.75,10
2018,Đắk Lắk,11.8,13
2018,Đắk Lắk,11.85,10
2018,Đắk Lắk,11.9,13
2018,Đắk Lắk,11.95,9
2018,Đắk Lắk,12.0,10
2018,Đắk Lắk,12.05,9
2018,Đắk Lắk,12.1,7
2018,Đắk Lắk,12.15,13
2018,Đắk Lắk,12.2,21
2018,Đắk Lắk,12.25,14
2018,Đắk Lắk,12.3,9
2018,Đắk Lắk,12.35,11
2018,Đắk Lắk,12.4,9
2018,Đắk Lắk,12.42,1
2018,Đắk Lắk,12.45,8
2018,Đắk Lắk,12.5,7
2018,Đắk Lắk,12.55,16
2018,Đắk Lắk,12.6,13
2018,Đắk Lắk,12.65,9
2018,Đắk Lắk,12.7,15
2018,Đắk Lắk,12.75,7
2018,Đắk Lắk,12.8,12
2018,Đắk Lắk,12.85,19
2018,Đắk Lắk,12.9,11
2018,Đắk Lắk,12.95,16
2018,Đắk Lắk,12.950000000000001,1
2018,Đắk Lắk,13.0,9
2018,Đắk Lắk,13.05,16
2018,Đắk Lắk,13.1,12
2018,Đắk Lắk,13.100000000000001,1
2018,Đắk Lắk,13.15,10
2018,Đắk Lắk,13.17,1
2018,Đắk Lắk,13.2,11
2018,Đắk Lắk,13.25,14
2018,Đắk Lắk,13.3,15
2018,Đắk Lắk,13.35,12
2018,Đắk Lắk,13.4,11
2018,Đắk Lắk,13.45,14
2018,Đắk Lắk,13.5,10
2018,Đắk Lắk,13.52,1
2018,Đắk Lắk,13.55,5
2018,Đắk Lắk,13.6,10
2018,Đắk Lắk,13.600000000000001,2
2018,Đắk Lắk,13.620000000000001,1
2018,Đắk Lắk,13.65,14
2018,Đắk Lắk,13.7,17
2018,Đắk Lắk,13.700000000000001,1
2018,Đắk Lắk,13.75,14
2018,Đắk Lắk,13.780000000000001,1
2018,Đắk Lắk,13.8,15
2018,Đắk Lắk,13.85,18
2018,Đắk Lắk,13.899999999999999,1
2018,Đắk Lắk,13.9,14
2018,Đắk Lắk,13.95,9
2018,Đắk Lắk,13.98,1
2018,Đắk Lắk,14.0,20
2018,Đắk Lắk,14.030000000000001,1
2018,Đắk Lắk,14.05,9
