nam_hoc,tinh,tong_diem,so_hoc_sinh
2018,Đăk Nông,1.75,1
2018,Đăk Nông,2.2,1
2018,Đăk Nông,4.2,1
2018,Đăk Nông,4.5,1
2018,Đăk Nông,6.1,1
2018,Đăk Nông,6.15,1
2018,Đăk Nông,6.25,2
2018,Đăk Nông,6.4,1
2018,Đăk Nông,6.5,1
2018,Đăk Nông,6.55,1
2018,Đăk Nông,6.75,1
2018,Đăk Nông,6.8,1
2018,Đăk Nông,6.85,2
2018,Đăk Nông,7.0,2
2018,Đăk Nông,7.05,1
2018,Đăk Nông,7.2,1
2018,Đăk Nông,7.25,1
2018,Đăk Nông,7.45,1
2018,Đăk Nông,7.5,1
2018,Đăk Nông,7.7,1
2018,Đăk Nông,7.75,2
2018,Đăk Nông,7.85,1
2018,Đăk Nông,7.9,1
2018,Đăk Nông,7.95,3
2018,Đăk Nông,8.0,2
2018,Đăk Nông,8.05,1
2018,Đăk Nông,8.1,1
2018,Đăk Nông,8.15,1
2018,Đăk Nông,8.25,2
2018,Đăk Nông,8.35,4
2018,Đăk Nông,8.399999999999999,1
2018,Đăk Nông,8.5,2
2018,Đăk Nông,8.55,1
2018,Đăk Nông,8.6,2
2018,Đăk Nông,8.65,2
2018,Đăk Nông,8.7,3
2018,Đăk Nông,8.8,1
2018,Đăk Nông,8.85,1
2018,Đăk Nông,8.9,3
2018,Đăk Nông,8.95,1
2018,Đăk Nông,9.0,2
2018,Đăk Nông,9.05,1
2018,Đăk Nông,9.15,1
2018,Đăk Nông,9.25,1
2018,Đăk Nông,9.3,3
2018,Đăk Nông,9.35,2
2018,Đăk Nông,9.350000000000001,1
2018,Đăk Nông,9.4,1
2018,Đăk Nông,9.55,1
2018,Đăk Nông,9.6,3
2018,Đăk Nông,9.65,1
2018,Đăk Nông,9.7,4
2018,Đăk Nông,9.75,2
2018,Đăk Nông,9.8,1
2018,Đăk Nông,9.85,2
2018,Đăk Nông,9.9,4
2018,Đăk Nông,9.95,1
2018,Đăk Nông,10.0,5
2018,Đăk Nông,10.05,3
2018,Đăk Nông,10.15,1
2018,Đăk Nông,10.2,1
2018,Đăk Nông,10.25,2
2018,Đăk Nông,10.3,1
2018,Đăk Nông,10.35,2
2018,Đăk Nông,10.45,1
2018,Đăk Nông,10.5,3
2018,Đăk Nông,10.6,2
2018,Đăk Nông,10.65,1
2018,Đăk Nông,10.7,7
2018,Đăk Nông,10.75,2
2018,Đăk Nông,10.8,4
2018,Đăk Nông,10.85,3
2018,Đăk Nông,10.9,1
2018,Đăk Nông,10.95,2
2018,Đăk Nông,11.0,2
2018,Đăk Nông,11.05,1
2018,Đăk Nông,11.1,3
2018,Đăk Nông,11.15,3
2018,Đăk Nông,11.2,2
2018,Đăk Nông,11.25,1
2018,Đăk Nông,11.3,4
2018,Đăk Nông,11.35,2
2018,Đăk Nông,11.4,1
2018,Đăk Nông,11.5,2
2018,Đăk Nông,11.55,1
2018,Đăk Nông,11.6,4
2018,Đăk Nông,11.629999999999999,1
2018,Đăk Nông,11.65,3
2018,Đăk Nông,11.7,1
2018,Đăk Nông,11.75,2
2018,Đăk Nông,11.85,2
2018,Đăk Nông,11.9,1
2018,Đăk Nông,11.95,3
2018,Đăk Nông,11.950000000000001,1
2018,Đăk Nông,12.0,2
2018,Đăk Nông,12.05,3
2018,Đăk Nông,12.1,2
2018,Đăk Nông,12.15,2
2018,Đăk Nông,12.2,2
2018,Đăk Nông,12.25,3
2018,Đăk Nông,12.35,5
2018,Đăk Nông,12.399999999999999,1
2018,Đăk Nông,12.45,4
2018,Đăk Nông,12.5,2
2018,Đăk Nông,12.55,2
2018,Đăk Nông,12.6,2
2018,Đăk Nông,12.65,1
2018,Đăk Nông,12.7,3
2018,Đăk Nông,12.75,1
2018,Đăk Nông,12.8,2
2018,Đăk Nông,12.85,1
2018,Đăk Nông,12.9,1
2018,Đăk Nông,12.95,2
2018,Đăk Nông,13.0,6
2018,Đăk Nông,13.05,1
2018,Đăk Nông,13.1,1
2018,Đăk Nông,13.100000000000001,1
2018,Đăk Nông,13.15,1
2018,Đăk Nông,13.2,2
2018,Đăk Nông,13.25,2
2018,Đăk Nông,13.3,4
2018,Đăk Nông,13.35,3
2018,Đăk Nông,13.4,2
2018,Đăk Nông,13.45,3
2018,Đăk Nông,13.5,3
2018,Đăk Nông,13.55,5
2018,Đăk Nông,13.6,1
2018,Đăk Nông,13.65,3
2018,Đăk Nông,13.7,3
2018,Đăk Nông,13.75,2
2018,Đăk Nông,13.8,3
2018,Đăk Nông,13.85,2
2018,Đăk Nông,13.850000000000001,1
2018,Đăk Nông,13.9,1
2018,Đăk Nông,13.95,2
2018,Đăk Nông,14.0,3
2018,Đăk Nông,14.05,2
2018,Đăk Nông,14.1,1
2018,Đăk Nông,14.100000000000001,1
2018,Đăk Nông,14.15,5
2018,Đăk Nông,14.2,5
2018,Đăk Nông,14.25,3
2018,Đăk Nông,14.3,2
2018,Đăk Nông,14.35,1
2018,Đăk Nông,14.4,4
2018,Đăk Nông,14.45,1
2018,Đăk Nông,14.5,3
2018,Đăk Nông,14.55,4
2018,Đăk Nông,14.6,3
2018,Đăk Nông,14.65,1
2018,Đăk Nông,14.7,3
2018,Đăk Nông,14.75,1
2018,Đăk Nông,14.8,3
2018,Đăk Nông,14.85,5
2018,Đăk Nông,14.9,2
2018,Đăk Nông,14.95,2
2018,Đăk Nông,15.0,3
2018,Đăk Nông,15.05,1
