nam_hoc,tinh,tong_diem,so_hoc_sinh
2023,Điện Biên,8.0,1
2023,Điện Biên,9.55,1
2023,Điện Biên,10.25,2
2023,Điện Biên,10.3,1
2023,Điện Biên,10.5,1
2023,Điện Biên,10.55,1
2023,Điện Biên,10.75,1
2023,Điện Biên,11.0,1
2023,Điện Biên,11.15,1
2023,Điện Biên,11.25,2
2023,Điện Biên,11.700000000000001,1
2023,Điện Biên,11.75,1
2023,Điện Biên,12.0,2
2023,Điện Biên,12.15,1
2023,Điện Biên,12.2,1
2023,Điện Biên,12.25,3
2023,Điện Biên,12.5,2
2023,Điện Biên,12.75,2
2023,Điện Biên,12.85,1
2023,Điện Biên,12.9,1
2023,Điện Biên,13.0,4
2023,Điện Biên,13.25,1
2023,Điện Biên,13.35,1
2023,Điện Biên,13.5,1
2023,Điện Biên,13.65,1
2023,Điện Biên,13.75,3
2023,Điện Biên,14.0,3
2023,Điện Biên,14.2,2
2023,Điện Biên,14.25,5
2023,Điện Biên,14.4,2
2023,Điện Biên,14.45,1
2023,Điện Biên,14.5,5
2023,Điện Biên,14.55,1
2023,Điện Biên,14.65,1
2023,Điện Biên,14.7,2
2023,Điện Biên,14.75,4
2023,Điện Biên,14.85,2
2023,Điện Biên,14.95,2
2023,Điện Biên,15.0,5
2023,Điện Biên,15.15,1
2023,Điện Biên,15.25,11
2023,Điện Biên,15.3,1
2023,Điện Biên,15.4,1
2023,Điện Biên,15.5,7
2023,Điện Biên,15.55,2
2023,Điện Biên,15.65,1
2023,Điện Biên,15.7,1
2023,Điện Biên,15.75,7
2023,Điện Biên,15.8,1
2023,Điện Biên,16.0,10
2023,Điện Biên,16.1,1
2023,Điện Biên,16.15,1
2023,Điện Biên,16.25,9
2023,Điện Biên,16.4,2
2023,Điện Biên,16.45,1
2023,Điện Biên,16.5,6
2023,Điện Biên,16.55,3
2023,Điện Biên,16.6,1
2023,Điện Biên,16.65,4
2023,Điện Biên,16.7,1
2023,Điện Biên,16.75,9
