nam_hoc,tinh,tong_diem,so_hoc_sinh
2018,Đồng Nai,0.0,1
2018,Đồng Nai,0.75,1
2018,Đồng Nai,1.25,1
2018,Đồng Nai,1.5,3
2018,Đồng Nai,2.0,1
2018,Đồng Nai,4.2,1
2018,Đồng Nai,4.25,1
2018,Đồng Nai,4.45,1
2018,Đồng Nai,4.55,1
2018,Đồng Nai,4.65,1
2018,Đồng Nai,4.75,1
2018,Đồng Nai,4.8,1
2018,Đồng Nai,4.9,1
2018,Đồng Nai,5.1,1
2018,Đồng Nai,5.25,1
2018,Đồng Nai,5.5,1
2018,Đồng Nai,5.65,1
2018,Đồng Nai,5.7,1
2018,Đồng Nai,5.75,1
2018,Đồng Nai,5.800000000000001,1
2018,Đồng Nai,5.9,1
2018,Đồng Nai,6.05,2
2018,Đồng Nai,6.15,2
2018,Đồng Nai,6.2,1
2018,Đồng Nai,6.45,1
2018,Đồng Nai,6.5,2
2018,Đồng Nai,6.55,1
2018,Đồng Nai,6.65,1
2018,Đồng Nai,6.7,2
2018,Đồng Nai,6.75,2
2018,Đồng Nai,6.8,1
2018,Đồng Nai,6.9,3
2018,Đồng Nai,6.95,1
2018,Đồng Nai,7.0,4
2018,Đồng Nai,7.1,1
2018,Đồng Nai,7.15,1
2018,Đồng Nai,7.2,2
2018,Đồng Nai,7.35,1
2018,Đồng Nai,7.4,1
2018,Đồng Nai,7.449999999999999,1
2018,Đồng Nai,7.45,1
2018,Đồng Nai,7.5,4
2018,Đồng Nai,7.55,2
2018,Đồng Nai,7.6,2
2018,Đồng Nai,7.6000000000000005,1
2018,Đồng Nai,7.65,3
2018,Đồng Nai,7.7,3
2018,Đồng Nai,7.85,2
2018,Đồng Nai,7.9,2
2018,Đồng Nai,7.95,4
2018,Đồng Nai,8.0,1
2018,Đồng Nai,8.05,4
2018,Đồng Nai,8.1,5
2018,Đồng Nai,8.15,6
2018,Đồng Nai,8.2,3
2018,Đồng Nai,8.25,3
2018,Đồng Nai,8.3,3
2018,Đồng Nai,8.35,6
2018,Đồng Nai,8.399999999999999,1
2018,Đồng Nai,8.45,3
2018,Đồng Nai,8.5,5
2018,Đồng Nai,8.55,6
2018,Đồng Nai,8.6,7
2018,Đồng Nai,8.65,4
2018,Đồng Nai,8.7,7
2018,Đồng Nai,8.75,5
2018,Đồng Nai,8.8,4
2018,Đồng Nai,8.85,5
2018,Đồng Nai,8.9,5
2018,Đồng Nai,8.95,4
2018,Đồng Nai,9.0,3
2018,Đồng Nai,9.05,4
2018,Đồng Nai,9.1,7
2018,Đồng Nai,9.15,5
2018,Đồng Nai,9.2,13
2018,Đồng Nai,9.25,8
2018,Đồng Nai,9.3,8
2018,Đồng Nai,9.35,1
2018,Đồng Nai,9.4,6
2018,Đồng Nai,9.45,6
2018,Đồng Nai,9.5,12
2018,Đồng Nai,9.55,2
2018,Đồng Nai,9.6,7
2018,Đồng Nai,9.65,6
2018,Đồng Nai,9.7,6
2018,Đồng Nai,9.75,7
2018,Đồng Nai,9.8,10
2018,Đồng Nai,9.85,4
2018,Đồng Nai,9.9,13
2018,Đồng Nai,9.95,10
2018,Đồng Nai,10.0,8
2018,Đồng Nai,10.05,3
2018,Đồng Nai,10.1,11
2018,Đồng Nai,10.15,6
2018,Đồng Nai,10.2,8
2018,Đồng Nai,10.25,4
2018,Đồng Nai,10.3,5
2018,Đồng Nai,10.35,6
2018,Đồng Nai,10.4,18
2018,Đồng Nai,10.45,18
2018,Đồng Nai,10.5,7
2018,Đồng Nai,10.55,11
2018,Đồng Nai,10.6,10
2018,Đồng Nai,10.649999999999999,1
2018,Đồng Nai,10.65,7
2018,Đồng Nai,10.7,11
2018,Đồng Nai,10.75,16
2018,Đồng Nai,10.8,15
2018,Đồng Nai,10.85,20
2018,Đồng Nai,10.9,11
2018,Đồng Nai,10.95,16
2018,Đồng Nai,11.0,20
2018,Đồng Nai,11.05,19
2018,Đồng Nai,11.1,12
2018,Đồng Nai,11.15,14
2018,Đồng Nai,11.2,23
2018,Đồng Nai,11.25,14
2018,Đồng Nai,11.3,15
2018,Đồng Nai,11.35,23
2018,Đồng Nai,11.4,18
2018,Đồng Nai,11.45,15
2018,Đồng Nai,11.5,16
2018,Đồng Nai,11.55,21
2018,Đồng Nai,11.6,27
2018,Đồng Nai,11.65,25
2018,Đồng Nai,11.7,15
2018,Đồng Nai,11.75,17
2018,Đồng Nai,11.8,18
2018,Đồng Nai,11.85,17
2018,Đồng Nai,11.899999999999999,1
2018,Đồng Nai,11.9,16
2018,Đồng Nai,11.95,20
2018,Đồng Nai,12.0,21
2018,Đồng Nai,12.05,16
2018,Đồng Nai,12.1,29
2018,Đồng Nai,12.149999999999999,1
2018,Đồng Nai,12.15,17
2018,Đồng Nai,12.2,24
2018,Đồng Nai,12.25,16
2018,Đồng Nai,12.3,11
2018,Đồng Nai,12.35,21
2018,Đồng Nai,12.4,17
2018,Đồng Nai,12.45,30
2018,Đồng Nai,12.5,24
2018,Đồng Nai,12.55,29
2018,Đồng Nai,12.6,20
2018,Đồng Nai,12.65,25
2018,Đồng Nai,12.7,19
2018,Đồng Nai,12.75,19
2018,Đồng Nai,12.8,27
2018,Đồng Nai,12.85,23
2018,Đồng Nai,12.899999999999999,2
2018,Đồng Nai,12.9,23
2018,Đồng Nai,12.95,20
2018,Đồng Nai,13.0,21
2018,Đồng Nai,13.049999999999999,2
2018,Đồng Nai,13.05,22
2018,Đồng Nai,13.1,24
2018,Đồng Nai,13.15,19
2018,Đồng Nai,13.2,32
2018,Đồng Nai,13.25,22
2018,Đồng Nai,13.3,29
2018,Đồng Nai,13.35,21
2018,Đồng Nai,13.4,22
2018,Đồng Nai,13.45,25
2018,Đồng Nai,13.5,16
2018,Đồng Nai,13.55,32
2018,Đồng Nai,13.6,29
2018,Đồng Nai,13.65,30
2018,Đồng Nai,13.7,21
2018,Đồng Nai,13.75,30
2018,Đồng Nai,13.8,28
2018,Đồng Nai,13.85,26
2018,Đồng Nai,13.850000000000001,1
2018,Đồng Nai,13.9,30
2018,Đồng Nai,13.95,26
2018,Đồng Nai,14.0,23
2018,Đồng Nai,14.05,25
2018,Đồng Nai,14.1,23
2018,Đồng Nai,14.100000000000001,1
2018,Đồng Nai,14.149999999999999,1
2018,Đồng Nai,14.15,28
2018,Đồng Nai,14.2,24
2018,Đồng Nai,14.25,33
2018,Đồng Nai,14.3,22
2018,Đồng Nai,14.35,24
2018,Đồng Nai,14.350000000000001,1
2018,Đồng Nai,14.4,18
2018,Đồng Nai,14.45,20
2018,Đồng Nai,14.5,26
2018,Đồng Nai,14.55,19
2018,Đồng Nai,14.6,33
